LGA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA50080,19033,19732,38763,982,949,1932,2489,2374,4864,1260,1144,2404,913,810,1726,2155,1990,4150,2048,2179,4231,2342,2635,4976,2574,2872,5440,2429,2565,4990,1340,1551,2890,498,661,1164,17374,18399,35772,1657,1336,2991,786,654,1433,9,13,21,16,7,18,811,667,1476,14488,14762,29248,3434,4005,7440,16542,17495,34040,1106,1274,2387,16635,17645,34276,263,233,497,2312,2209,4528,839,825,1667,124,155,276,319,762,1080,6281,7880,14165,1770,1969,3740,4701,4101,8805,964,827,1792,643,501,1147,79,73,150,16656,17906,34559,1919,1573,3488
LGA50210,46604,47583,94184,3850,3656,7505,7481,7107,14584,2721,2684,5404,2667,2680,5350,6711,7429,14140,7707,7815,15526,5572,5471,11039,4577,4755,9336,3306,3710,7019,1589,1703,3289,426,581,1006,44221,46123,90345,2384,1453,3839,1314,1372,2682,21,21,43,27,32,64,1366,1417,2785,27652,27807,55458,16394,17598,33992,33219,33701,66921,10683,11534,22213,38591,39155,77747,1073,950,2024,6962,6641,13602,1926,2031,3962,740,896,1634,1213,2181,3394,18171,20648,38823,3772,3801,7575,8133,7624,15761,1764,1618,3383,840,878,1716,222,250,477,43247,45070,88312,1916,2001,3915
LGA50250,4297,3096,7391,330,319,651,569,506,1073,138,115,258,216,164,381,848,666,1511,904,589,1494,661,359,1021,482,268,744,106,90,200,30,20,54,3,4,10,4005,2855,6859,294,246,538,386,331,716,19,16,33,10,13,24,411,364,772,2590,1984,4574,782,612,1395,2961,2205,5167,417,396,811,3008,2233,5242,67,68,132,477,431,906,67,56,124,10,17,28,61,128,186,1281,1137,2421,427,240,665,721,383,1106,94,57,148,49,37,78,26,15,38,2207,2070,4278,8247,2912,11158
LGA50280,8388,8400,16791,523,462,985,1243,1194,2439,434,371,806,260,205,467,854,879,1734,1224,1446,2673,1301,1219,2511,1068,1150,2214,975,946,1925,379,366,746,120,163,286,7329,7641,14963,1057,768,1825,105,110,215,4,6,13,0,0,0,113,114,231,5823,5717,11538,1762,2001,3763,7027,7130,14155,598,649,1250,6971,7079,14046,119,121,242,1114,1046,2164,303,263,564,36,42,76,143,380,521,3383,4068,7444,706,652,1360,1432,1183,2614,251,216,466,144,73,221,9,11,16,6956,7297,14256,1081,1087,2167
LGA50350,7797,8135,15932,532,476,1002,939,857,1799,386,346,736,459,405,867,1115,1122,2231,1145,1249,2389,1067,1096,2165,933,1035,1971,736,834,1574,364,482,839,120,241,360,7349,7833,15180,453,303,752,199,183,383,0,4,12,0,9,7,205,196,399,5307,5459,10767,2027,2310,4334,6327,6529,12856,991,1235,2220,6712,7069,13777,148,129,275,880,805,1678,289,278,566,148,150,304,242,403,647,3516,4099,7611,581,538,1118,1270,1262,2538,274,238,516,189,257,446,37,46,87,7145,7636,14777,383,355,740
LGA50420,34387,34900,69283,2077,1975,4052,3657,3313,6976,1633,1526,3159,2124,2052,4175,5754,5889,11640,5404,5278,10678,4345,4396,8739,3875,3925,7799,3113,3490,6607,1813,2018,3832,594,1032,1634,32611,33595,66209,1773,1298,3075,482,511,993,23,17,30,25,23,53,535,545,1075,20119,20032,40148,12634,13506,26137,23747,23517,47267,8923,9920,18844,28656,29255,57916,621,547,1173,3456,3150,6608,1275,1272,2546,878,877,1756,1422,1976,3399,17932,18806,36737,2351,2148,4503,4470,4575,9045,1032,1027,2064,928,1223,2148,237,341,579,32006,32892,64897,1472,1474,2950
LGA50490,21413,20846,42257,1251,1235,2487,2162,2072,4239,962,868,1827,1545,1501,3044,4351,4171,8528,3450,3162,6610,2647,2375,5019,2329,2165,4498,1555,1723,3282,832,999,1827,328,574,902,20086,19984,40070,1327,862,2194,519,562,1080,18,15,35,11,10,19,547,582,1129,11256,10882,22139,8614,8685,17293,13361,12771,26130,6431,6670,13101,15870,15456,31330,286,273,557,1993,1905,3893,689,663,1350,580,578,1160,981,1385,2359,10521,10658,21181,1572,1391,2965,2995,2763,5759,670,611,1283,502,608,1113,190,185,377,19303,19196,38496,1829,1474,3303
LGA50560,858,834,1694,39,34,73,59,75,132,39,34,75,22,25,47,66,56,124,81,85,161,111,116,220,144,153,292,187,169,349,95,73,165,31,27,58,768,772,1542,90,63,160,22,20,50,0,0,3,0,0,0,27,25,48,594,573,1163,146,161,312,729,714,1442,19,38,55,724,715,1437,7,4,11,54,67,119,19,24,41,0,4,4,7,23,32,264,308,567,69,73,139,214,196,406,65,49,112,46,21,64,0,0,0,703,709,1416,106,97,200
LGA50630,885,822,1705,70,55,121,137,119,256,28,41,70,30,26,54,91,97,183,102,108,208,130,111,242,136,129,266,109,93,197,43,38,86,11,7,20,806,783,1582,82,46,126,31,31,57,3,0,3,0,0,0,31,31,60,673,612,1279,113,141,258,767,716,1475,37,44,76,752,694,1446,10,16,28,126,100,227,18,24,43,7,3,15,13,18,26,236,269,508,78,95,177,213,169,380,44,39,80,16,13,31,0,4,4,731,711,1444,428,138,564
LGA50770,917,914,1834,56,56,110,133,122,250,32,39,72,36,37,75,57,67,129,90,127,220,129,118,243,155,140,295,125,116,245,83,77,158,17,20,35,836,852,1691,75,66,141,15,17,26,0,0,3,0,0,0,14,15,29,684,683,1371,114,125,239,803,792,1598,12,27,40,778,782,1553,12,15,21,109,103,214,18,26,47,5,7,7,7,20,26,298,338,638,75,71,141,201,176,385,54,41,94,23,20,46,4,0,3,767,780,1552,123,113,234
LGA50840,2587,2649,5238,117,105,223,337,303,646,107,139,250,81,79,160,191,191,381,253,285,537,346,351,699,424,472,896,465,452,922,216,206,426,43,57,104,2353,2470,4821,238,177,418,46,40,81,0,0,0,0,0,0,46,39,85,1807,1866,3676,543,579,1126,2294,2379,4675,85,96,180,2256,2345,4602,31,35,64,315,279,590,66,103,167,12,21,29,24,76,105,845,1061,1907,248,256,503,658,564,1222,109,116,221,65,58,122,0,4,0,2230,2363,4595,360,215,581
LGA50910,474,455,929,34,27,57,48,52,103,15,19,29,21,17,35,30,41,67,50,51,102,73,65,137,75,53,134,76,57,133,40,51,90,19,22,41,435,424,861,38,30,66,43,47,83,0,0,0,0,0,0,43,51,89,372,361,737,49,49,94,403,385,785,19,28,46,408,387,793,9,7,12,39,48,85,9,11,16,0,5,0,4,9,17,140,134,278,39,35,69,120,131,247,17,29,47,31,14,48,0,0,4,389,372,761,67,74,145
LGA50980,8255,8706,16959,633,602,1233,1418,1344,2762,459,503,961,452,464,917,1265,1620,2890,1231,1469,2707,1194,1159,2353,903,928,1828,512,438,953,149,140,289,37,33,75,7540,8096,15631,723,608,1329,2254,2343,4599,19,26,43,94,103,203,2369,2480,4847,6039,6183,12228,1076,1376,2449,6090,6344,12426,916,1160,2076,6605,6914,13516,122,121,246,1185,1124,2309,233,289,518,44,70,118,160,399,561,2636,3587,6223,718,714,1436,1351,1056,2413,287,235,528,171,121,299,48,36,78,7006,7556,14569,5287,5542,10830
LGA51080,526,525,1046,32,31,63,75,95,168,22,29,55,25,20,44,54,57,114,58,70,125,69,64,129,95,82,179,59,47,104,31,29,52,4,9,13,501,480,975,28,44,73,60,79,136,0,0,0,0,0,0,60,79,136,423,395,818,49,51,103,453,436,892,16,18,38,459,440,898,6,6,11,65,78,139,8,19,32,4,5,7,0,18,17,156,186,348,43,35,81,111,84,195,30,15,47,26,10,34,4,0,7,471,444,914,52,52,103
LGA51120,503,476,979,31,30,54,60,63,127,20,17,40,31,17,45,48,37,88,58,51,111,59,59,123,70,77,143,90,68,155,27,46,72,8,12,26,456,427,890,46,46,97,17,22,38,0,0,0,0,0,0,20,22,42,386,357,745,42,45,88,412,385,795,22,15,38,418,390,809,8,0,12,58,54,110,14,7,21,5,3,6,3,14,17,152,161,310,37,29,63,115,90,206,21,21,46,14,16,27,0,0,0,399,370,765,123,70,202
LGA51190,16194,16790,32987,864,837,1693,1958,1791,3752,864,898,1764,892,892,1785,2146,2067,4214,2045,2009,4053,2097,2198,4290,2138,2299,4440,1847,2025,3875,997,1158,2158,344,622,968,14919,15820,30744,1279,967,2241,679,679,1354,5,4,17,18,16,31,703,701,1402,12101,12387,24485,3066,3443,6510,13330,14287,27619,1296,1549,2853,13522,14517,28041,236,198,433,1795,1656,3449,562,602,1160,122,197,323,268,631,904,5161,6227,11389,1496,1671,3170,4219,3915,8132,841,786,1627,469,519,989,81,52,136,13940,15253,29195,1924,1299,3222
LGA51260,19752,20894,40640,1003,1029,2035,2868,2715,5587,1192,1079,2269,739,653,1394,1851,1965,3812,2408,2760,5162,2649,2854,5504,2518,2837,5355,2673,2844,5509,1447,1510,2960,404,645,1045,17561,19337,36891,2187,1559,3750,399,372,768,3,5,15,9,3,16,416,383,795,14794,15563,30356,3654,4203,7864,17556,18631,36188,933,1163,2098,17399,18485,35886,277,275,553,2702,2537,5240,828,776,1605,137,155,293,290,808,1099,7309,8734,16046,1843,1891,3731,4115,4192,8306,844,732,1576,463,448,915,69,44,115,17156,18776,35933,1941,2176,4122
LGA51310,14066,14807,28876,727,667,1400,2187,2072,4260,1069,914,1984,729,742,1472,1371,1462,2837,1749,1993,3743,2138,2259,4391,1746,1857,3602,1264,1355,2616,749,861,1608,345,621,969,13368,14150,27515,698,658,1361,60,54,112,0,5,5,0,0,3,63,57,121,9451,9790,19240,4231,4604,8838,11782,12023,23810,1881,2334,4212,12522,13036,25551,271,248,520,2143,2017,4162,965,851,1819,419,468,891,420,634,1050,8683,9223,17905,619,593,1215,956,1260,2218,344,324,664,99,159,256,23,35,51,13225,13834,27060,546,814,1358
LGA51330,48021,47844,95860,2748,2541,5286,6246,5868,12114,2996,2937,5932,4176,3597,7768,7804,7085,14885,6867,7168,14030,5879,5867,11751,4867,5256,10116,3817,4274,8086,1987,2310,4299,631,959,1591,45952,46446,92399,2069,1395,3464,550,616,1165,20,9,31,13,26,45,586,652,1236,21870,21589,43460,24167,24603,48777,25464,25291,50748,20347,20645,40993,35060,35284,70349,768,716,1487,6016,5610,11626,2501,2582,5082,2254,2027,4278,2375,3017,5395,26479,26636,53118,2773,2724,5499,5104,5380,10486,1308,1327,2639,948,1143,2091,297,433,732,45178,45638,90816,1622,1626,3254
LGA51400,8882,9287,18175,522,534,1052,1525,1445,2973,693,689,1385,452,449,903,821,1022,1842,1117,1308,2425,1318,1409,2727,1165,1162,2332,861,831,1692,353,356,701,56,82,136,8163,8817,16980,722,474,1194,229,254,487,0,0,0,3,10,12,234,267,498,6472,6842,13318,1924,2059,3982,7656,8056,15709,749,855,1603,7776,8217,15987,144,150,290,1440,1369,2813,493,494,985,86,121,203,162,396,562,2938,3873,6814,867,878,1747,1987,1726,3715,424,317,742,142,127,277,19,18,30,8068,8683,16749,330,367,696
LGA51470,287,261,552,21,12,27,18,24,48,11,0,15,7,18,29,22,37,62,50,43,95,41,28,64,36,46,82,57,35,86,18,13,33,3,4,11,261,232,492,36,29,62,9,12,22,0,0,0,0,0,0,9,12,22,208,172,386,37,39,79,237,204,442,13,8,20,228,198,429,3,5,6,14,19,31,3,0,3,0,5,6,0,3,4,83,95,181,23,20,41,76,57,139,22,3,27,14,4,16,0,0,0,225,204,429,80,58,141
LGA51540,2732,2520,5251,184,162,352,331,292,623,143,111,257,147,162,307,353,363,715,298,318,617,404,355,767,391,367,753,323,237,556,130,114,241,29,40,70,2516,2332,4851,213,188,403,388,455,839,3,0,4,0,5,7,392,462,857,1776,1593,3371,462,505,968,1909,1761,3674,323,343,666,2072,1894,3961,43,41,86,256,231,486,61,45,103,12,11,24,30,63,91,680,798,1475,235,225,459,559,444,1006,148,96,248,127,108,230,21,27,44,2132,2012,4139,2089,1926,4019
LGA51610,806,750,1556,34,35,69,136,120,255,47,45,94,29,27,47,61,71,127,91,100,194,139,129,274,134,118,254,83,87,169,37,20,53,8,3,9,733,711,1443,77,37,113,36,34,70,0,0,0,0,0,0,36,33,74,593,541,1138,108,101,208,679,627,1306,19,21,39,679,627,1306,3,8,14,110,94,206,33,32,66,0,0,6,12,20,37,219,278,497,92,84,177,177,127,305,43,10,56,14,14,26,0,0,4,666,645,1309,109,113,221
LGA51680,3005,2924,5930,155,147,301,407,404,812,213,198,415,143,106,255,248,264,516,328,351,682,466,472,942,503,484,988,334,310,642,164,144,309,33,40,77,2728,2776,5504,281,149,426,83,79,159,0,0,0,0,0,4,85,84,161,2053,1949,3991,644,739,1384,2610,2594,5208,134,129,264,2576,2563,5144,32,31,62,375,380,750,145,137,283,31,39,70,27,92,125,889,1109,1998,307,284,591,747,617,1371,166,111,273,69,36,101,0,7,9,2584,2650,5234,255,216,476
LGA51710,1006,685,1692,45,41,83,107,96,200,22,32,54,52,23,73,221,94,319,146,117,271,152,109,263,111,99,210,128,52,178,16,14,32,4,0,4,954,643,1598,51,35,88,4,6,9,0,0,0,0,0,0,4,4,10,374,315,690,492,249,739,283,215,495,391,364,757,542,434,979,13,12,25,90,85,177,11,21,38,6,5,12,23,23,44,270,265,533,41,41,80,110,82,185,18,13,29,59,33,93,13,18,34,552,495,1049,617,314,935
LGA51750,5379,5909,11284,236,187,426,704,642,1343,471,385,859,351,375,725,616,629,1244,539,632,1175,693,785,1475,581,703,1286,542,648,1196,461,571,1030,189,344,529,5016,5612,10626,367,299,663,53,30,88,0,4,4,0,4,4,53,36,88,3431,3741,7170,1662,1876,3535,4488,4841,9326,635,787,1423,4601,5025,9625,86,82,161,673,613,1288,414,346,761,216,212,429,191,280,467,3444,3877,7325,232,274,506,343,475,819,107,119,226,39,43,80,3,5,6,4673,5308,9980,529,440,971
LGA51820,58179,59910,118091,4117,3764,7881,7678,7411,15090,3309,3191,6500,3707,3770,7474,8664,9232,17894,9189,9379,18564,7856,7977,15830,6237,6705,12939,4491,4876,9368,2247,2497,4740,697,1115,1811,54928,57863,112793,3251,2047,5296,1074,1081,2159,22,7,27,26,25,42,1116,1116,2233,36220,36688,72904,19275,21087,40363,43396,44022,87418,11942,13554,25504,49294,50915,100212,1237,1109,2350,7310,7072,14379,2475,2543,5022,1263,1560,2825,1716,2980,4698,26345,29877,56222,4679,4300,8984,9127,8575,17704,1919,1847,3764,1328,1502,2832,265,339,605,54102,56876,110974,2103,2287,4392
