SED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED50106,90,141,231,54,73,127,34,166,205,61,339,405,216,873,1085,231,649,876,768,361,1133,618,418,1037,766,405,1172,879,246,1121,613,228,838,623,158,781,1279,250,1523,941,19,959,676,44,721,377,10,386,781,65,846,930,61,990,120,167,292,10060,4673,14733
SED50202,130,188,321,38,54,91,75,194,272,86,417,507,272,952,1219,354,599,956,886,368,1250,781,531,1312,990,592,1582,1123,474,1591,967,329,1295,908,233,1141,1772,305,2079,1226,22,1250,794,48,847,393,12,403,723,57,776,1217,113,1336,164,190,358,12892,5696,18585
SED50304,127,211,338,44,63,106,61,227,289,70,493,557,213,1076,1289,230,599,828,636,426,1059,572,523,1096,683,737,1420,807,623,1430,695,588,1281,670,430,1100,1552,686,2230,1065,84,1154,960,143,1103,641,42,680,1781,182,1961,860,125,992,125,171,295,11795,7423,19217
SED50405,107,107,213,39,40,79,44,78,125,56,179,237,153,434,585,280,346,626,628,220,850,580,289,860,699,397,1096,872,381,1253,815,332,1150,912,239,1155,2140,432,2574,1593,53,1651,1386,95,1479,901,17,922,1719,82,1807,2102,113,2217,133,103,232,15167,3945,19110
SED50502,92,164,258,43,57,98,46,142,185,82,318,401,183,779,961,224,412,631,667,284,951,584,373,953,739,423,1167,865,339,1208,660,272,937,654,219,877,1463,380,1845,1190,55,1251,887,77,963,592,22,617,1210,85,1299,1007,103,1109,122,141,259,11305,4648,15952
SED50605,148,154,298,86,57,141,69,128,196,51,221,272,167,477,643,140,385,529,442,255,696,475,283,759,562,321,884,679,240,920,472,236,708,531,196,728,1181,374,1552,934,45,981,965,110,1074,699,22,720,3678,222,3901,932,98,1030,89,67,154,12299,3890,16187
SED50702,145,230,377,45,81,125,48,210,254,98,437,537,171,943,1115,229,477,706,546,360,907,558,541,1097,655,687,1336,847,608,1462,678,553,1229,690,399,1088,1655,763,2414,1175,105,1283,1003,212,1215,700,49,751,1638,252,1888,1091,249,1339,114,162,275,12085,7322,19404
SED50805,88,166,249,56,62,116,23,175,198,31,275,306,140,722,863,132,502,638,382,352,728,312,349,667,486,389,867,506,351,864,363,324,691,431,256,689,970,482,1451,860,39,896,889,114,1005,642,13,659,3065,193,3254,886,74,962,65,119,179,10334,4951,15279
SED50906,94,155,244,36,62,98,62,189,252,74,417,485,214,976,1189,303,591,892,795,405,1201,646,480,1122,738,507,1247,809,401,1211,635,331,962,688,260,949,1388,386,1771,1063,41,1104,883,97,976,497,28,524,1189,123,1312,1191,90,1280,96,185,277,11380,5728,17111
SED51004,102,105,207,41,37,69,45,83,128,62,169,228,147,339,487,174,275,452,515,195,705,501,246,747,625,290,912,691,223,919,619,245,865,612,177,789,1627,285,1909,1298,30,1330,1165,65,1234,757,13,768,2208,83,2293,1424,63,1490,132,73,206,12736,2988,15728
