SED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SED50106,0,0,0,9,35,29,270,129,35,24,24,29,10,3,6,608,9,3,3,3,10,6,4,0,3,0,0,0,0,0,0,41,0,0,3,6,4,0,9,3,0,0,0,4,0,0,3,34,0,9,14,20,34,43,186,82,14,14,16,28,0,0,8,458,0,3,3,0,0,6,4,7,0,0,10,0,0,0,0,32,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,17,0,0,0,0,0,11,46,44,15,0,5,0,3,0,5,146,111,246,1003,638,388,219,287,124,15,12,18,20,4,0,111,3195,0,0,14,37,28,23,27,9,7,0,0,7,3,0,0,148,0,0,0,3,0,7,9,7,0,0,3,5,0,0,15,38,17,35,65,63,75,51,168,91,34,21,22,18,11,42,36,740,204,531,1321,968,842,570,1339,699,155,100,129,152,54,65,303,7440
SED50202,0,0,3,20,61,43,438,501,86,44,39,39,26,3,21,1327,3,0,0,4,21,6,8,0,0,4,0,0,0,0,0,54,0,0,7,24,26,27,95,22,4,5,0,3,0,0,7,220,0,0,7,36,36,33,223,93,8,7,11,16,4,5,6,485,0,5,0,0,4,18,96,137,6,10,3,3,12,0,5,293,0,0,0,0,3,5,7,20,0,0,5,0,0,0,0,41,0,0,0,5,17,28,167,86,19,21,14,12,5,4,6,386,48,183,1371,955,733,346,369,168,15,15,16,20,0,9,119,4375,0,3,7,18,22,18,28,14,5,0,3,3,0,0,0,127,0,0,0,5,13,16,14,17,0,4,3,10,3,0,0,82,12,28,138,128,159,183,1120,532,89,54,66,65,13,15,61,2658,119,476,1819,1543,1733,1222,4229,2931,386,280,294,311,119,65,342,15869
SED50304,0,0,3,10,41,49,133,140,31,35,24,26,9,0,3,510,10,7,10,7,83,28,19,14,0,0,0,0,0,0,0,184,0,5,13,19,46,33,79,23,0,10,0,4,8,0,6,242,0,0,5,28,67,111,200,71,18,10,0,0,8,6,8,534,0,0,3,6,22,15,31,20,8,8,8,33,14,0,0,170,0,0,0,0,16,19,14,49,8,6,10,11,0,0,0,137,0,0,0,4,19,20,46,52,12,9,6,5,10,4,7,194,26,83,364,301,344,201,426,215,38,26,25,30,21,0,38,2140,0,0,11,11,14,21,46,26,3,3,4,5,3,3,9,158,0,0,0,77,214,96,97,70,24,21,20,9,7,0,22,665,30,35,181,165,257,523,856,735,245,265,288,493,156,10,58,4299,193,920,1589,1184,1850,1922,3821,3335,771,696,761,1037,435,60,397,18968
SED50405,0,0,0,10,46,59,647,694,104,93,64,68,25,16,19,1842,0,0,0,6,16,4,22,13,0,0,0,0,0,0,0,62,3,0,3,10,14,19,103,36,0,10,9,0,0,0,5,201,0,0,9,30,59,113,689,289,57,35,34,34,24,8,9,1385,0,0,0,0,4,4,27,28,0,6,0,0,3,0,0,80,0,0,0,0,0,0,8,9,0,0,0,3,0,0,4,31,0,0,0,0,7,15,45,41,8,4,5,9,7,5,3,160,34,115,921,774,767,505,1777,1112,64,60,68,59,23,0,93,6394,4,0,9,11,16,28,51,24,5,7,5,0,5,4,3,171,0,0,0,0,3,10,46,12,4,0,4,10,10,0,6,101,8,18,88,94,129,221,987,526,96,69,64,46,30,14,41,2416,78,256,1197,1168,1515,1494,6704,4774,560,453,469,423,216,94,305,19699
SED50502,0,0,0,16,79,103,172,220,38,33,31,30,15,0,19,759,6,7,9,13,77,21,15,4,6,3,4,0,0,0,0,164,3,0,11,49,53,15,46,8,6,0,3,3,0,0,0,207,0,0,8,14,55,56,141,37,0,4,9,4,0,3,8,338,0,3,5,15,40,14,35,33,8,4,6,7,0,0,4,169,0,0,0,0,3,3,11,23,4,0,0,8,0,0,0,69,0,0,0,5,31,33,84,34,9,4,11,7,4,0,6,226,41,125,734,441,401,203,378,171,25,10,16,10,9,8,47,2618,0,0,6,5,9,20,28,13,3,4,0,0,3,0,0,99,0,0,0,112,321,278,227,136,31,25,22,31,33,4,49,1276,25,48,199,234,261,536,733,332,47,51,69,42,14,9,59,2652,143,420,1404,1350,2137,2142,3553,2010,314,247,318,308,156,54,317,14873
SED50605,0,0,5,12,46,15,55,97,18,9,10,14,12,3,11,314,5,0,0,9,39,7,12,6,0,0,0,0,4,0,0,86,4,4,24,76,241,167,251,105,18,16,16,37,18,5,6,1002,0,3,15,75,109,134,300,91,19,19,15,19,25,4,7,833,0,0,3,8,72,84,76,23,0,0,3,5,8,0,0,299,0,0,0,0,30,28,27,40,4,5,6,8,4,0,3,151,0,0,0,9,13,17,61,29,6,7,4,7,10,0,6,176,38,136,629,522,588,332,588,333,30,29,41,29,27,16,43,3380,0,8,4,28,23,25,57,36,8,11,5,8,7,11,9,246,0,0,0,48,50,19,25,15,5,16,15,6,3,5,6,207,36,32,142,203,309,290,415,297,45,59,50,77,66,3,27,2053,157,464,1216,1547,3293,2605,3808,2227,391,388,377,497,355,92,255,17654
SED50702,0,0,0,13,71,53,278,442,79,66,58,91,16,3,33,1204,12,14,13,10,58,17,8,9,0,0,0,0,3,0,6,147,6,0,8,60,83,67,113,57,8,8,21,10,13,0,8,470,0,0,6,16,55,52,176,72,9,0,15,19,5,4,8,434,0,0,0,23,25,23,94,61,17,9,21,38,25,0,6,348,0,0,0,0,5,18,43,85,13,11,13,14,0,0,4,212,0,0,0,4,29,40,94,58,16,11,13,6,10,3,7,292,37,139,749,471,353,213,360,245,25,13,19,40,19,3,67,2751,0,3,3,15,12,18,29,29,3,8,8,6,0,3,6,151,0,0,0,45,75,50,98,66,17,10,12,14,7,0,24,417,21,46,182,181,243,338,911,568,192,159,182,224,90,38,62,3428,164,450,1327,1234,1737,1685,4628,3868,793,687,793,990,394,113,416,19284
SED50805,0,0,0,0,18,12,32,28,0,3,9,3,7,0,7,133,4,3,0,10,34,8,3,4,3,0,0,0,0,0,0,69,0,3,16,21,25,23,29,13,3,11,5,5,0,0,4,170,0,4,10,37,81,88,175,46,7,10,10,6,4,3,3,484,0,0,0,6,6,7,4,4,3,0,0,4,0,0,0,42,0,0,0,0,5,0,6,10,0,0,0,0,0,0,0,19,0,0,0,4,10,8,27,24,3,10,5,0,5,0,3,107,65,143,623,562,618,403,807,365,55,40,35,35,21,8,68,3848,0,0,14,20,38,28,42,34,8,6,7,9,6,6,10,219,0,0,0,10,14,0,6,3,0,0,0,0,0,0,0,41,31,36,157,133,193,161,317,210,31,44,29,42,24,6,36,1443,177,482,1169,1101,1518,1099,2035,1152,161,168,156,163,129,39,217,9756
SED50906,0,0,0,11,29,44,254,212,36,37,39,41,30,4,21,756,3,4,4,9,23,6,6,6,0,0,0,0,0,0,3,64,0,7,6,0,3,3,21,5,0,4,4,0,4,0,0,56,0,0,10,25,38,58,433,193,20,40,15,36,17,7,22,903,0,0,3,0,5,3,14,12,7,4,0,0,0,4,0,56,0,0,0,0,0,4,3,18,4,10,11,30,8,0,0,88,0,0,0,0,10,6,44,16,8,3,3,9,0,0,0,100,73,181,743,453,356,199,478,235,23,10,16,37,19,6,91,2925,0,0,11,27,12,3,26,12,8,0,0,8,0,7,0,115,0,0,0,3,7,17,18,18,0,3,0,0,0,0,5,75,14,25,76,78,81,82,320,177,39,48,30,44,27,3,31,1084,171,457,1038,837,914,701,2269,1511,221,250,230,321,150,50,291,9404
SED51004,0,0,0,7,59,35,104,116,20,12,11,23,8,4,4,407,0,0,3,11,86,35,15,29,0,3,0,3,3,0,0,192,0,0,5,16,34,50,68,19,6,5,3,7,6,0,3,231,0,0,5,36,51,193,1169,608,73,75,74,76,41,21,13,2427,0,0,0,9,3,0,16,5,0,0,0,5,5,0,0,47,0,0,0,0,0,11,7,10,0,0,0,3,0,0,0,39,0,0,0,5,10,10,45,42,5,7,0,9,0,0,0,148,18,96,639,742,1294,1244,3797,1729,160,124,116,113,64,18,124,10286,0,0,10,24,12,18,51,43,5,8,0,8,3,0,5,186,0,0,0,5,34,28,35,28,6,6,0,7,0,0,6,146,3,14,107,136,295,324,736,313,51,48,49,47,24,3,23,2191,62,193,940,1233,2521,2553,7276,3802,430,381,384,426,229,70,247,20752
