SED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SED50106,155,175,137,121,141,28,9,764,109,143,77,60,87,10,0,483,159,150,105,83,71,10,0,588,1109,1150,701,532,574,51,3,4110,6,6,0,4,3,0,0,17,1537,1617,1017,797,876,97,19,5961,13,20,21,12,19,3,0,97,15,33,30,17,29,3,0,133,14,40,32,31,37,0,0,148,229,369,242,193,213,15,4,1266,7,16,8,3,0,0,0,38,273,480,336,259,303,25,7,1685,1816,2097,1348,1055,1180,127,27,7653
SED50202,1034,1063,550,300,378,187,88,3599,248,252,129,102,109,24,17,881,224,239,97,78,81,23,7,748,1226,1068,521,355,380,76,44,3667,23,17,8,5,0,0,0,61,2752,2641,1305,846,948,311,155,8960,117,142,95,68,86,35,27,572,92,94,82,50,45,14,13,388,59,90,44,38,37,10,5,288,478,543,353,267,245,41,25,1958,19,32,14,12,11,0,0,98,770,909,591,440,429,97,69,3305,3521,3543,1899,1294,1372,412,227,12264
SED50304,1180,880,358,191,291,161,117,3182,238,154,77,54,80,35,19,665,255,172,78,43,55,27,11,647,691,598,315,205,277,110,58,2261,13,9,0,4,7,0,0,35,2383,1819,838,497,702,338,206,6784,74,129,81,50,87,49,46,506,45,67,34,17,25,18,9,218,23,40,20,18,23,7,0,133,100,170,91,80,106,32,16,591,11,13,8,0,0,0,0,30,247,410,231,169,239,108,76,1471,2628,2228,1065,664,942,447,285,8259
SED50405,1392,1520,829,505,657,256,131,5303,505,451,201,116,119,22,10,1433,487,394,181,99,120,24,6,1315,1781,1593,889,536,596,109,40,5534,17,19,4,8,0,0,0,41,4178,3975,2099,1267,1502,414,192,13625,105,143,103,70,127,37,32,618,102,151,90,51,61,10,11,471,56,88,61,39,37,12,4,297,365,517,314,205,206,35,28,1672,11,11,6,3,3,0,0,32,643,899,574,370,439,89,74,3094,4824,4879,2669,1636,1944,506,258,16721
SED50502,808,877,432,300,369,231,150,3166,220,257,130,69,97,38,24,836,274,214,118,66,86,35,19,811,842,732,453,292,329,118,43,2809,9,9,9,4,3,0,0,34,2156,2085,1135,735,876,418,238,7649,78,124,84,60,76,48,34,504,45,79,42,51,38,14,4,276,31,48,21,27,30,8,9,172,182,300,187,146,155,32,28,1022,4,11,4,9,4,3,0,38,344,565,340,288,305,103,71,2018,2495,2643,1474,1027,1181,525,313,9662
SED50605,653,993,629,394,539,355,192,3757,234,237,126,90,125,69,36,921,253,290,178,130,134,86,49,1117,660,750,522,370,481,271,171,3237,7,12,5,0,0,0,0,32,1812,2292,1456,992,1285,773,449,9054,34,79,81,66,94,64,33,445,13,31,24,29,34,21,10,153,13,37,21,21,36,18,3,149,54,118,106,88,109,40,26,543,3,8,6,8,0,0,0,26,122,271,235,208,265,146,75,1323,1931,2556,1691,1199,1548,922,526,10378
SED50702,1258,1043,485,273,343,208,93,3700,179,160,86,47,64,16,6,559,230,183,88,54,56,23,16,644,682,644,331,204,268,80,46,2258,19,12,0,0,3,0,0,36,2372,2045,997,574,733,326,158,7205,80,120,88,62,92,49,31,515,50,56,42,29,37,14,11,240,34,42,21,21,26,6,12,157,150,220,123,108,108,28,24,767,11,19,9,0,5,0,0,44,317,459,283,225,268,96,76,1726,2687,2501,1283,802,997,425,232,8928
SED50805,310,355,202,143,170,119,46,1344,237,289,171,115,152,95,34,1099,270,283,157,95,119,57,22,1001,1007,1076,630,455,648,310,150,4273,0,0,4,0,0,0,0,7,1826,2004,1163,814,1094,572,261,7733,20,29,30,38,55,18,14,205,36,54,43,30,40,26,6,236,10,33,26,27,42,16,8,166,66,117,118,105,150,56,40,662,4,9,6,0,0,0,0,24,131,244,227,196,286,122,67,1277,1960,2245,1392,1012,1379,695,324,9011
SED50906,359,397,268,180,220,38,15,1476,163,148,80,64,76,13,5,546,188,187,102,59,86,9,6,638,1066,1188,700,479,653,60,25,4168,3,15,5,9,0,0,0,36,1773,1947,1148,782,1042,113,51,6860,34,43,40,32,45,8,4,209,43,76,49,31,35,7,0,236,24,56,35,26,39,0,0,186,349,462,343,270,247,22,4,1692,13,17,8,7,0,0,0,51,468,655,474,365,370,38,9,2380,2243,2602,1624,1149,1409,147,64,9243
SED51004,894,1016,715,512,702,311,236,4383,324,305,145,105,127,64,28,1100,298,291,146,98,122,42,21,1015,661,736,473,318,387,119,48,2751,8,8,0,5,0,0,0,20,2184,2348,1484,1041,1338,539,330,9272,77,134,110,89,144,49,39,649,48,90,62,36,47,9,5,298,42,71,37,41,47,7,12,263,148,250,144,114,140,39,17,855,5,13,6,0,5,0,0,35,317,562,365,279,379,111,78,2095,2503,2914,1847,1319,1716,652,408,11365
