SED_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SED50106,128,200,63,165,111,43,27,31,7,774,179,173,125,294,178,70,30,87,13,1155,493,208,1656,832,412,315,389,480,58,4849,30,20,55,81,79,94,37,83,4,486,47,25,32,78,79,35,17,48,3,361,13,30,8,19,12,8,6,7,11,106,39,23,35,54,32,33,17,50,23,307,1423,2864,2103,1822,1128,681,562,917,131,11635
SED50202,78,150,115,128,96,38,49,40,8,700,145,202,237,447,276,92,132,120,26,1676,364,249,2030,1046,618,301,701,562,91,5975,34,12,67,70,78,90,61,119,7,539,22,20,42,97,62,37,47,40,6,374,6,18,26,24,21,11,28,26,9,168,31,25,41,73,45,31,58,51,72,424,1023,2360,2809,2318,1588,751,1237,1138,246,13473
SED50304,172,213,134,154,144,77,62,65,12,1029,240,254,343,393,315,130,89,136,27,1930,327,225,1450,557,430,223,265,338,66,3887,26,21,29,58,68,43,21,41,0,315,35,36,39,55,102,39,13,45,7,367,30,52,28,20,35,9,18,26,3,215,36,62,60,74,42,27,23,58,45,417,2137,5859,2615,2194,2073,1041,803,1234,275,18230
SED50405,134,195,141,180,136,43,58,51,18,960,327,343,348,649,374,131,113,107,21,2416,640,401,3070,1283,833,373,740,598,113,8050,30,31,79,99,92,97,70,122,7,634,51,42,76,125,96,45,57,58,3,562,17,26,29,34,24,12,13,16,3,191,37,43,58,76,53,32,35,55,63,452,1931,4025,4162,3070,2134,957,1284,1213,279,19047
SED50502,97,180,115,137,112,48,39,42,10,781,213,226,221,337,224,105,74,72,20,1492,312,242,1719,693,490,261,381,377,65,4529,22,10,43,45,69,63,37,76,8,376,39,27,43,99,80,34,34,35,4,387,15,25,24,23,31,11,16,10,0,153,22,31,30,52,46,39,35,44,38,340,1518,3789,2488,1890,1666,793,742,836,216,13938
SED50605,174,281,103,114,180,83,18,37,17,1006,188,208,163,193,200,108,38,31,9,1137,310,181,859,335,297,168,110,150,29,2443,19,18,26,33,37,41,14,32,0,216,28,46,40,51,78,34,14,9,0,312,30,63,14,27,22,12,5,7,7,171,32,64,22,22,45,33,12,24,49,294,2979,7489,1645,1317,2008,872,334,491,221,17374
SED50702,169,191,175,148,157,49,74,50,12,1027,303,264,368,381,281,128,134,123,24,2018,391,274,1825,676,533,254,444,353,76,4838,20,25,44,68,64,64,52,78,7,428,43,22,41,85,91,45,45,38,4,416,27,49,43,31,24,0,18,31,7,227,36,50,63,76,60,36,39,64,82,500,2173,5136,3099,2215,2115,949,1085,1083,301,18152
SED50805,177,284,106,93,162,67,25,15,3,945,256,225,152,187,220,88,23,43,12,1209,432,179,1047,390,347,183,118,181,32,2902,24,15,24,50,42,42,9,39,4,248,52,43,26,60,91,50,16,25,9,374,29,56,12,10,15,10,3,13,0,152,29,63,30,32,43,26,9,15,29,275,2885,6412,1639,1338,1719,731,284,463,160,15622
SED50906,119,176,94,111,75,36,37,27,5,683,171,201,203,290,175,73,59,79,13,1261,410,279,2129,883,587,343,569,568,84,5857,30,19,73,86,78,85,56,98,7,533,30,26,40,70,98,48,36,54,8,406,12,40,18,17,20,4,15,22,0,147,30,35,45,38,32,29,35,54,50,351,1343,3470,2797,1846,1373,714,885,1092,191,13713
SED51004,215,292,156,186,239,57,31,50,9,1236,293,326,232,485,340,122,63,90,23,1966,548,303,2411,848,610,316,395,474,109,6014,42,22,42,91,89,88,30,67,4,475,57,45,57,91,108,40,32,48,6,481,29,35,29,27,36,16,16,12,0,203,36,48,42,39,77,28,23,35,46,362,2197,4299,3239,2303,2144,907,685,898,244,16927
