SED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SED50106,0,0,0,0,1263,1260,46,0,0,0,862,913,675,36,31,0,1421,2155,1102,100,93,8,746,2048,1337,124,285,13,579,2342,1576,121,422,54,395,2574,1676,94,396,100,173,2429,978,39,133,145,47,1340,308,3,29,141,11,498,7711,510,1386,456,5497,15562,0,0,0,0,1142,1144,73,6,0,3,730,810,771,50,47,0,1117,1990,1196,139,183,23,636,2179,1476,164,405,50,535,2635,1658,128,598,138,352,2872,1573,90,436,336,132,2565,738,24,200,554,28,1551,156,11,47,442,8,661,7641,606,1916,1551,4687,16411,6,0,0,0,2406,2404,121,3,0,0,1594,1726,1449,77,73,3,2534,4150,2297,239,278,28,1386,4231,2817,286,688,68,1114,4976,3235,247,1018,188,747,5440,3245,182,832,434,296,4990,1719,57,330,697,82,2890,468,16,84,584,20,1164,15353,1121,3303,2003,10186,31970
SED50202,4,0,0,0,1513,1521,58,0,0,4,1524,1592,1054,74,53,6,2645,3825,1894,178,209,4,1263,3555,1429,199,380,29,907,2946,1431,173,496,69,489,2659,1220,115,376,96,173,1981,652,45,141,121,59,1018,164,3,33,98,5,299,7900,794,1688,430,8575,19398,3,0,0,0,1471,1473,131,15,3,4,1529,1676,1474,143,104,12,2292,4025,1944,237,315,35,1101,3629,1434,235,522,80,677,2947,1356,187,737,190,301,2778,1134,102,509,391,102,2242,478,35,189,434,23,1155,87,9,29,309,7,441,8030,970,2408,1455,7498,20367,3,0,0,0,2986,2996,191,19,0,6,3055,3272,2523,224,153,13,4931,7846,3843,412,517,40,2367,7185,2858,440,909,108,1581,5896,2782,362,1237,262,793,5439,2349,221,889,487,274,4225,1127,79,326,559,81,2173,249,8,65,401,11,736,15930,1762,4105,1887,16079,39756
SED50304,4,0,0,0,912,910,46,0,0,4,1200,1262,1492,50,63,0,2656,4261,2154,116,194,5,1330,3791,1449,124,327,10,790,2706,1243,115,401,29,474,2256,1020,74,331,71,177,1672,764,27,124,95,62,1071,287,15,18,119,10,454,8469,521,1454,334,7606,18380,0,3,0,0,882,888,113,9,5,3,1250,1379,1918,104,104,0,2527,4663,2116,168,256,17,1138,3697,1379,159,449,47,637,2663,1228,128,602,110,383,2447,1062,73,509,325,190,2162,571,21,232,495,60,1386,104,3,68,505,7,694,8500,665,2232,1511,7074,19975,9,3,0,0,1792,1802,168,8,0,6,2459,2638,3413,154,173,3,5179,8928,4266,283,454,21,2466,7486,2832,283,774,63,1419,5369,2470,239,1000,144,856,4706,2088,147,838,394,365,3832,1337,52,354,595,119,2460,388,14,83,629,23,1145,16967,1187,3680,1846,14680,38364
SED50405,0,0,0,0,1830,1834,31,5,0,0,1563,1602,1610,104,77,3,2737,4531,2974,201,237,8,1105,4520,2272,205,380,14,510,3379,1588,105,347,44,208,2287,1038,64,184,50,57,1395,564,19,74,89,15,755,84,3,16,42,4,148,10156,700,1318,246,8034,20456,0,0,0,0,1771,1777,108,11,0,0,1675,1795,2225,169,145,12,2625,5177,3023,292,359,26,1033,4736,2173,224,547,57,448,3446,1482,147,519,160,150,2457,964,72,326,290,49,1697,394,19,114,306,7,833,50,3,8,112,0,174,10417,928,2020,958,7764,22088,0,0,0,0,3604,3604,144,16,0,0,3243,3402,3835,273,224,13,5366,9710,5992,494,598,30,2136,9255,4452,423,925,68,955,6820,3066,247,861,206,355,4738,1998,129,517,343,107,3092,955,39,183,388,22,1589,130,10,24,159,6,328,20574,1633,3332,1203,15799,42541
SED50502,0,0,0,0,1207,1208,33,0,0,0,1381,1420,837,37,49,0,2124,3046,1722,120,145,8,1103,3098,1553,159,308,17,718,2749,1625,126,405,41,450,2647,1250,91,301,106,183,1930,608,35,119,104,34,900,150,9,17,88,15,273,7778,578,1344,357,7214,17278,0,0,0,0,1158,1157,68,8,0,0,1149,1227,1170,97,86,5,1680,3032,1843,157,237,18,848,3100,1542,188,501,50,599,2881,1582,134,544,147,370,2777,1074,81,473,332,149,2113,446,24,179,394,36,1081,66,0,45,362,8,479,7799,684,2064,1295,5993,17846,0,0,4,0,2366,2367,101,4,5,0,2531,2644,2007,132,136,4,3802,6080,3572,279,374,24,1949,6193,3095,345,802,63,1319,5627,3210,266,947,183,818,5430,2320,176,781,431,335,4042,1049,58,301,496,71,1982,217,12,60,445,23,748,15579,1270,3409,1654,13209,35119
SED50605,3,0,0,0,1426,1426,16,0,0,0,1459,1478,593,22,34,0,1660,2303,1940,86,136,0,578,2737,2142,107,190,5,315,2762,2093,80,264,31,217,2686,2013,51,206,66,98,2439,1097,24,84,97,29,1335,298,7,15,123,6,449,10196,377,929,333,5779,17615,0,0,0,0,1340,1343,19,0,0,0,1305,1328,843,31,51,0,1306,2239,2226,128,177,11,496,3042,2258,148,343,32,305,3091,2188,106,437,91,206,3032,1956,65,366,268,101,2765,764,24,172,438,35,1428,140,4,45,506,22,715,10409,518,1601,1346,5116,18983,0,0,0,0,2763,2766,38,0,0,0,2763,2805,1442,53,88,0,2965,4549,4167,213,314,13,1072,5775,4405,255,539,39,618,5856,4282,190,703,117,420,5717,3976,119,575,334,198,5205,1867,49,252,534,63,2766,444,6,60,634,27,1166,20608,889,2533,1683,10895,36602
SED50702,0,0,0,0,1101,1102,42,5,0,0,1658,1702,1287,53,82,6,3405,4833,2130,154,238,3,1409,3936,1621,194,397,19,814,3039,1424,166,545,42,568,2742,1070,98,389,92,203,1849,587,29,154,119,62,945,173,9,40,106,29,357,8330,711,1851,371,9254,20519,0,0,0,0,989,992,88,3,7,0,1567,1666,1712,89,110,3,2768,4683,2117,183,282,25,1049,3656,1491,178,472,67,597,2810,1277,160,640,140,333,2547,984,98,498,322,130,2030,420,22,179,441,57,1121,98,6,41,443,20,606,8186,749,2228,1446,7513,20122,0,0,0,0,2092,2096,128,8,9,0,3227,3370,2994,146,196,3,6177,9515,4245,340,521,32,2458,7593,3108,377,869,80,1417,5853,2700,323,1188,180,904,5290,2055,197,878,413,334,3881,1004,50,335,560,119,2069,273,16,82,551,43,961,16517,1458,4072,1823,16764,40633
SED50805,0,0,0,0,1204,1204,3,0,0,0,989,993,471,18,16,0,1436,1939,1549,52,117,3,605,2324,1805,115,270,11,506,2714,1548,86,340,36,369,2375,1309,58,258,47,189,1865,709,26,128,107,56,1031,286,5,28,180,18,516,7683,357,1157,380,5374,14951,0,0,0,0,1316,1317,9,0,3,0,1054,1071,668,32,35,0,1499,2236,1761,100,178,14,682,2728,1843,156,430,34,532,2998,1534,117,515,82,367,2611,1154,68,457,225,190,2105,562,33,249,437,71,1358,171,8,58,605,24,872,7718,523,1926,1397,5742,17303,0,0,0,0,2519,2526,13,0,3,0,2042,2060,1144,46,53,0,2930,4181,3311,150,295,14,1286,5057,3650,270,702,44,1039,5708,3086,204,854,110,738,4988,2468,133,714,272,384,3970,1268,59,375,549,130,2385,461,18,92,787,38,1385,15397,882,3082,1782,11112,32259
SED50906,0,0,0,0,1351,1351,33,5,0,0,1148,1190,695,53,30,0,1928,2705,1474,131,163,3,1017,2789,1629,183,366,16,721,2919,1654,155,515,53,377,2754,1498,114,387,105,141,2241,827,36,142,124,29,1157,217,8,20,105,19,371,8023,683,1627,413,6728,17473,7,0,0,0,1358,1366,54,0,0,0,1155,1206,921,101,73,4,1670,2775,1556,192,238,22,875,2884,1648,233,504,66,615,3066,1602,159,704,133,283,2883,1369,98,510,337,107,2432,597,28,183,505,36,1342,117,10,41,479,9,650,7864,822,2257,1560,6106,18606,7,0,0,0,2708,2721,87,6,0,3,2306,2395,1613,152,107,6,3601,5480,3026,326,397,29,1889,5673,3277,418,874,84,1331,5984,3254,318,1221,185,664,5637,2873,209,895,441,246,4671,1419,62,321,630,59,2502,335,18,64,586,25,1024,15886,1509,3884,1974,12831,36082
SED51004,0,0,0,0,1684,1690,24,3,0,0,1594,1623,741,42,35,0,1954,2771,1806,117,157,3,801,2882,2512,185,312,25,470,3495,2242,112,385,37,220,2997,1237,68,169,56,52,1574,549,12,51,54,10,675,107,3,14,55,0,179,9214,548,1125,228,6790,17897,0,0,0,0,1590,1592,49,0,0,0,1519,1566,1049,75,71,3,1681,2875,2014,150,256,27,696,3126,2647,216,472,44,441,3821,2038,129,539,121,162,2990,1035,72,315,197,33,1652,414,7,117,265,9,812,49,4,14,197,0,271,9290,653,1783,853,6122,18699,0,0,0,0,3278,3277,66,7,0,0,3112,3194,1789,117,107,5,3638,5647,3820,267,413,24,1492,6015,5157,402,789,66,907,7314,4281,240,926,155,383,5981,2273,140,482,252,86,3227,960,25,166,317,17,1489,157,12,30,254,4,447,18504,1203,2904,1078,12909,36600
