SED_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
SED50106,3078,2884,1036,265,1445,1279,219,588,3426,339,2510,16720,1570,29248,78,65,28,5,35,35,5,15,62,4,57,450,48,755,735,263,238,81,330,311,50,152,365,86,427,1330,110,3195,121,43,34,14,69,68,6,28,57,15,79,326,24,674,59,12,26,9,37,44,7,7,21,10,38,159,17,319,0,0,3,0,6,0,0,0,0,0,8,24,4,45,37,22,12,3,48,16,4,4,33,0,52,832,66,1087,0,4,0,0,0,0,0,0,6,0,3,130,20,160,10,7,6,0,19,15,3,0,10,0,14,129,4,189,36,17,13,3,14,13,0,11,28,10,35,172,9,312,62,44,18,5,34,33,3,9,66,3,46,450,24,692,1141,481,372,127,592,535,82,220,640,132,759,4002,316,7425,76,24,27,19,35,43,11,21,38,13,25,191,1710,2094,4294,3389,1430,414,2077,1860,313,834,4106,479,3296,20913,3603,38763,1287,1646,434,7
SED50202,2549,3808,714,125,1716,1103,290,730,4512,242,3007,18434,1418,31529,191,206,54,8,131,88,14,48,189,24,151,1239,100,2059,1029,427,314,87,594,486,91,293,604,135,582,1697,142,4375,176,47,71,35,95,103,22,49,77,27,122,382,27,878,84,14,25,16,56,38,7,18,44,10,50,237,20,452,28,19,3,3,38,11,4,9,24,4,27,244,17,363,137,138,45,14,225,73,30,27,100,15,188,2288,68,3053,9,12,8,0,4,5,0,0,8,0,29,258,5,318,63,60,12,3,142,48,8,15,57,8,86,1811,64,2228,43,25,17,0,22,18,0,0,34,0,38,223,18,365,73,72,20,3,65,39,8,9,81,11,109,1331,60,1740,1814,1026,560,163,1372,915,181,466,1219,227,1384,9711,528,15836,74,56,28,30,52,36,7,23,88,10,51,208,3057,3521,4435,4885,1300,319,3141,2057,481,1214,5814,479,4445,28350,5006,50888,1361,2114,374,12
SED50304,1630,1966,633,102,860,761,163,373,2695,159,2020,15623,842,24065,59,72,30,0,31,24,5,18,83,6,65,535,21,835,285,189,96,28,126,116,25,64,270,26,200,1165,79,2140,60,44,26,12,23,25,10,16,51,7,48,693,21,939,803,165,225,145,430,335,68,98,268,110,370,1921,130,3783,51,30,18,3,51,23,9,12,44,8,71,631,23,859,122,108,39,12,146,68,14,16,87,16,194,1914,75,2592,42,32,17,0,53,29,5,6,30,3,68,1108,12,1329,75,66,18,6,138,46,18,13,45,5,90,3514,70,3960,38,43,12,0,14,14,3,6,60,3,44,674,18,871,60,79,26,8,60,30,8,11,79,11,103,1200,53,1620,1592,818,521,209,1073,707,171,247,1020,188,1252,13359,512,18926,62,17,26,5,30,34,10,15,29,11,23,168,1985,2301,3286,2809,1176,315,1956,1507,339,636,3743,356,3294,29150,3340,45295,895,1624,365,4
SED50405,1980,3561,610,62,1079,714,200,400,4008,164,2761,22934,1276,34804,203,300,74,3,173,89,24,53,219,16,214,2414,127,3518,872,496,271,42,457,349,73,213,677,88,637,3477,256,6394,92,51,32,5,51,41,11,27,64,12,83,510,20,815,41,19,24,3,46,22,8,3,35,9,51,391,21,600,8,10,4,0,15,0,0,4,15,0,14,187,14,245,63,137,20,3,139,28,15,5,61,8,139,2220,69,2798,8,7,3,0,13,9,6,0,8,0,30,316,5,379,48,30,15,3,80,33,6,5,26,4,63,1565,39,1830,30,33,11,0,20,15,4,4,45,0,48,349,11,519,106,124,46,0,102,43,4,8,140,8,153,1947,76,2569,1472,1201,502,62,1098,627,143,327,1284,138,1423,13371,634,19672,41,18,15,5,22,12,3,14,22,0,19,125,2640,2867,3494,4780,1126,133,2203,1355,346,741,5314,311,4200,36429,4547,57344,1382,2444,420,6
SED50502,1961,2651,647,130,1118,856,228,502,2945,211,2309,16258,1144,26268,109,102,40,4,79,73,21,42,90,14,89,744,68,1249,456,245,162,42,260,226,48,151,336,43,267,1240,104,2618,79,50,35,9,54,57,12,23,69,16,56,439,28,741,235,39,79,34,162,123,33,48,78,41,154,782,54,1468,38,37,7,0,52,15,10,8,40,3,64,425,27,630,207,191,68,28,310,120,33,24,115,36,270,2690,117,3782,24,15,17,4,27,11,3,0,27,6,49,618,9,763,150,82,37,16,207,86,35,20,58,26,121,1573,68,2179,37,20,9,0,14,15,0,3,27,0,34,206,14,321,61,59,25,0,79,26,13,14,58,5,89,761,27,1095,1392,837,482,137,1244,747,201,338,899,188,1188,9481,514,14850,46,27,10,0,26,26,8,20,26,6,31,129,1847,2103,3403,3516,1146,274,2386,1630,435,853,3866,405,3528,25867,3506,43217,1129,1837,393,8
SED50605,1719,1853,753,153,644,814,142,271,2023,164,1964,17053,854,25327,58,54,41,5,29,34,0,15,37,7,42,466,22,720,402,221,171,44,176,237,37,83,233,35,359,1944,84,3380,80,42,43,5,26,53,3,13,29,12,74,494,15,766,123,29,43,13,66,81,14,23,41,17,75,577,34,939,44,23,22,8,41,28,6,4,38,3,50,579,10,786,279,175,147,28,340,204,34,33,127,47,401,3786,114,5241,53,38,35,12,84,40,14,11,48,13,143,1842,38,2274,97,49,38,10,155,62,7,12,45,3,94,1035,39,1487,35,34,19,0,12,20,3,3,41,6,61,478,12,667,96,83,53,9,42,45,8,18,91,7,107,921,24,1373,1273,755,601,140,973,809,126,209,741,153,1400,12129,400,17630,19,11,8,3,16,12,5,6,12,4,18,125,1043,1239,3008,2620,1362,297,1632,1637,275,485,2773,320,3381,29312,2300,44195,959,1440,445,3
SED50702,2008,2397,691,174,1155,895,211,475,2918,246,2115,16401,941,25990,123,143,61,3,104,66,14,32,117,21,121,1133,68,1739,452,237,157,62,213,227,41,139,285,73,311,1374,90,2751,94,46,24,16,45,65,10,27,46,15,61,594,25,884,170,55,55,27,123,117,19,27,57,24,91,600,44,1068,43,35,13,5,67,26,5,5,30,5,63,680,41,914,171,184,66,17,236,98,20,22,123,32,273,3101,100,4076,31,22,20,6,73,22,10,5,41,10,85,1802,46,2109,111,86,23,6,173,71,13,20,76,12,119,2885,88,3473,33,26,11,0,17,11,4,7,49,0,40,508,12,665,63,71,22,0,81,24,4,11,82,6,86,1161,49,1544,1287,913,451,141,1137,727,137,289,906,208,1250,13836,563,19232,54,24,23,11,28,31,7,14,25,10,25,173,2888,3193,3345,3338,1167,323,2318,1659,357,777,3841,456,3391,30412,4388,48411,1106,1887,398,4
SED50805,1969,2129,829,233,696,979,173,401,2572,203,2155,18159,1032,27889,66,67,31,0,29,36,8,10,67,8,59,492,31,778,439,264,181,59,161,246,25,82,334,53,344,2211,123,3848,82,33,40,11,29,55,11,21,53,13,62,588,24,885,162,34,56,34,81,79,16,20,66,13,101,542,35,961,11,9,4,11,20,14,3,4,10,0,21,144,8,217,54,44,15,9,43,30,13,4,47,9,76,604,17,871,9,12,9,0,14,6,0,0,11,0,32,288,7,367,26,18,11,4,20,16,3,0,14,5,32,230,5,331,46,39,29,0,20,15,4,6,42,9,46,465,13,653,68,43,44,6,25,27,10,12,57,6,79,545,17,823,972,557,408,138,441,526,84,156,701,116,855,6102,283,9734,45,7,14,64,17,45,11,21,41,7,52,87,1358,1600,2986,2696,1251,434,1156,1550,267,573,3310,325,3057,24336,2679,39223,898,1537,445,4
SED50906,3337,3167,1008,314,1646,1264,286,630,3987,303,2797,18707,1797,32406,127,118,49,3,83,46,15,33,133,11,76,722,64,1225,570,259,178,59,256,227,50,138,342,65,331,1388,137,2925,105,39,31,18,58,50,4,26,53,11,67,343,24,636,96,17,38,21,77,64,12,16,29,21,54,237,28,499,7,3,0,0,7,8,3,0,7,0,6,131,17,179,43,45,7,0,79,23,9,6,25,3,56,978,41,1244,5,6,6,0,9,5,5,0,4,0,12,309,10,351,16,13,4,0,34,11,3,0,3,0,24,512,18,609,21,16,7,0,17,9,0,4,26,6,30,220,8,323,85,97,38,7,49,47,6,13,86,14,104,970,26,1385,1081,613,349,121,664,483,101,247,708,129,750,5807,378,9383,57,31,15,12,28,23,8,13,38,6,25,144,2147,2451,4481,3811,1376,444,2332,1772,399,892,4743,442,3572,24657,4319,44242,1389,1776,408,15
SED51004,1291,2116,468,88,717,539,136,234,2324,133,1841,15293,937,23075,119,119,40,5,58,55,5,27,116,11,100,992,70,1527,1050,673,373,83,497,412,68,173,859,93,823,6422,407,10286,100,64,47,13,57,69,13,21,72,14,96,722,49,1122,87,36,36,9,55,52,9,15,43,10,66,522,33,823,29,27,9,0,31,19,4,4,15,3,34,315,19,452,57,56,22,9,95,40,6,16,49,7,116,1043,42,1415,7,5,4,0,16,6,0,0,11,0,17,363,10,430,45,29,18,4,48,18,5,8,14,11,48,536,15,716,42,38,23,5,32,17,7,6,40,0,54,391,15,591,160,190,78,5,119,94,17,19,206,18,236,2418,79,3336,1709,1242,636,133,1007,778,140,286,1431,164,1585,13722,731,20703,15,14,10,8,8,6,3,7,22,0,16,124,1623,1814,3019,3374,1119,223,1728,1324,279,528,3772,298,3439,29137,3295,45594,1267,1848,452,0
