SED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED50106,14801,15711,30518,661,726,1388,37,36,68,22,24,48,37,39,73,10,15,23,1635,1807,3438,15,13,28,14,6,19,3,8,8,0,0,0,1770,1940,3714,116,78,191,51,52,102,2597,2796,5392,1460,1025,2488,18863,19529,38390
SED50202,20028,20603,40629,427,454,877,41,56,96,54,50,105,42,51,90,22,26,44,2132,2307,4439,10,14,15,7,14,18,6,6,6,0,0,0,2305,2516,4825,105,125,223,70,60,132,2903,3156,6059,1857,1637,3494,24787,25397,50183
SED50304,17268,18671,35944,400,423,827,59,66,121,72,80,152,36,42,80,18,16,35,2281,2550,4824,6,10,16,12,6,15,8,4,15,0,0,0,2498,2767,5264,166,182,345,47,26,71,3105,3402,6514,1167,1078,2243,21543,23151,44699
SED50405,22058,23357,45416,819,882,1703,140,119,258,143,115,258,101,117,212,41,45,86,2369,2736,5106,19,11,33,33,34,67,16,8,20,3,0,3,2852,3192,6045,161,183,337,60,71,127,3890,4321,8214,1598,1184,2783,27549,28864,56408
SED50502,17765,18093,35861,369,396,763,42,23,65,48,46,96,37,43,79,16,13,22,1684,1685,3374,3,0,3,17,10,19,7,3,11,0,0,0,1847,1825,3671,131,140,274,36,27,62,2388,2385,4776,1155,940,2095,21311,21420,42729
SED50605,17739,18786,36529,539,548,1090,60,66,129,87,78,160,24,37,67,23,16,35,1936,2112,4054,0,5,3,8,8,15,3,0,8,0,0,0,2148,2336,4480,250,260,508,41,31,74,2982,3170,6147,638,577,1214,21355,22536,43886
SED50702,18500,18112,36618,468,498,962,108,79,182,113,95,208,81,63,143,32,34,67,2765,2857,5627,17,15,24,24,27,49,3,8,21,0,0,0,3146,3175,6317,245,247,494,75,63,135,3932,3976,7910,1740,1497,3235,24171,23588,47760
SED50805,14957,16882,31842,470,564,1037,60,77,144,66,92,164,36,40,73,12,18,25,1590,1882,3472,3,8,11,12,13,22,3,3,8,0,0,0,1780,2141,3922,165,180,349,36,58,90,2454,2946,5402,798,792,1591,18210,20613,38828
SED50906,16327,17523,33850,722,826,1546,59,55,112,50,52,95,73,68,143,22,20,38,2114,2337,4456,15,18,34,29,31,61,4,7,18,0,0,0,2375,2582,4954,117,128,245,67,67,139,3282,3598,6880,1831,1196,3032,21443,22323,43762
SED51004,18416,18902,37325,599,568,1167,72,78,154,49,61,111,41,52,93,13,13,30,1837,2047,3885,7,11,16,13,9,28,0,3,3,0,0,0,2045,2276,4321,184,187,368,64,60,126,2890,3099,5983,1036,773,1809,22343,22770,45116
SED51104,21447,22820,44261,782,998,1781,73,83,156,80,96,178,101,113,210,38,23,51,2572,2886,5455,18,15,28,17,19,34,11,6,23,0,0,0,2912,3241,6146,182,205,386,77,79,150,3947,4515,8464,1615,1273,2883,27012,28604,55615
SED51205,20993,20882,41880,701,655,1354,93,70,163,104,79,178,66,55,131,21,26,47,2498,2409,4905,22,17,40,24,19,43,9,10,19,6,0,9,2834,2693,5530,256,230,487,103,75,173,3894,3652,7549,1461,1244,2708,26346,25785,52128
SED51304,17892,18806,36700,272,307,578,44,79,131,53,61,108,31,29,57,9,5,15,1526,1541,3068,9,0,9,5,9,10,5,3,9,0,0,0,1677,1729,3407,115,100,212,34,23,59,2090,2165,4259,609,516,1130,20597,21489,42087
SED51401,14314,13871,28183,760,819,1581,37,31,74,32,25,54,37,37,74,19,16,38,1179,1126,2306,4,0,5,12,9,20,0,4,4,0,0,0,1322,1238,2561,59,55,118,33,17,45,2170,2129,4304,2644,1976,4622,19131,17978,37103
SED51504,18003,18783,36787,564,543,1111,74,83,155,91,99,191,63,61,122,8,18,27,1795,1839,3633,7,11,15,8,10,19,4,5,15,0,0,0,2049,2126,4171,261,285,544,37,31,70,2914,2985,5899,649,610,1257,21567,22375,43943
SED51605,19456,20044,39505,399,428,828,77,67,139,63,69,135,30,46,78,24,22,41,2190,2324,4519,11,7,21,15,14,25,8,6,17,0,0,0,2421,2555,4977,141,148,290,53,43,95,3021,3171,6187,988,832,1821,23464,24048,47510
SED51706,17606,18028,35631,833,836,1671,22,31,54,33,45,81,31,38,68,13,14,23,1614,1811,3424,13,12,23,8,12,25,0,0,4,0,0,0,1741,1958,3703,70,80,145,58,39,97,2708,2913,5618,1478,1231,2712,21789,22172,43956
SED51804,16626,17944,34571,662,726,1391,125,132,256,95,138,233,76,66,140,10,15,26,1958,2210,4170,10,11,18,16,13,33,23,12,44,0,0,0,2322,2600,4920,342,386,726,39,42,82,3365,3754,7116,1032,1042,2072,21023,22737,43764
SED51902,19476,19965,39444,472,513,985,31,34,72,30,39,65,34,32,71,12,10,20,1844,1978,3817,6,20,22,12,9,24,4,0,4,0,0,0,1969,2118,4085,93,83,170,60,62,122,2591,2772,5364,1447,851,2297,23516,23586,47099
SED52006,16371,17705,34076,629,679,1311,72,69,142,44,62,107,65,88,161,14,19,31,1903,2109,4012,9,18,31,13,11,23,7,7,16,0,0,0,2135,2389,4524,129,136,261,28,31,64,2921,3238,6160,1217,951,2167,20511,21892,42399
SED52102,17428,17462,34886,438,492,927,37,24,67,29,34,63,36,25,61,9,11,22,1654,1686,3339,8,6,19,7,11,22,0,7,3,0,0,0,1786,1807,3590,95,110,203,52,57,114,2360,2466,4830,1153,952,2107,20939,20877,41821
SED52205,16365,17215,33578,502,596,1103,146,130,273,122,138,263,88,100,185,30,32,59,2110,2422,4531,13,12,25,17,20,38,19,8,28,0,0,0,2542,2862,5406,209,214,427,74,77,151,3331,3749,7079,1521,1209,2731,21215,22173,43385
SED52301,14410,14991,29402,658,662,1322,40,47,81,46,68,114,42,43,87,16,20,33,1564,1774,3339,0,7,9,21,37,62,7,3,11,0,0,0,1737,1993,3725,91,85,171,40,44,88,2523,2789,5309,2063,1745,3809,18997,19524,38520
SED52404,17514,17930,35441,299,312,609,56,72,128,63,60,128,42,54,95,3,9,13,1625,1741,3360,3,5,9,6,9,10,0,3,4,0,0,8,1797,1952,3745,128,150,274,36,35,70,2261,2438,4698,723,544,1267,20498,20913,41407
SED52505,22919,23679,46596,432,456,886,77,67,145,80,79,156,43,64,109,26,30,59,2529,2696,5222,14,8,18,18,19,42,5,9,11,0,0,6,2797,2968,5764,208,221,428,52,56,101,3479,3701,7182,1821,754,2570,28217,28131,56354
SED52604,16689,16912,33608,351,375,728,66,73,134,74,64,141,53,46,93,16,17,29,1969,1954,3928,11,9,18,14,15,27,11,16,24,0,3,6,2208,2195,4406,174,167,335,57,57,112,2788,2796,5589,894,673,1570,20375,20379,40760
SED52702,16707,17157,33864,344,367,716,31,36,63,36,42,76,19,23,36,11,3,13,1249,1379,2626,14,10,19,10,9,12,0,0,3,0,0,0,1361,1501,2861,83,89,169,30,28,58,1817,1985,3799,824,674,1495,19343,19810,39154
