SED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED50106,13322,32472,989,1471,103,158,1090,1627,46,71,0,0,0,0,0,0,22,45,67,113,90,131,118,160,6,12,3,6,219,308,34,62,14733,34582,2295,..,17025,34582
SED50202,15529,41585,2566,4676,35,58,2606,4734,136,201,54,82,0,0,0,0,20,42,204,329,85,100,130,174,0,0,10,18,225,298,18,39,18585,46983,1651,..,20230,46983
SED50304,9788,24995,7029,13121,1058,2127,8084,15248,1042,1732,274,448,8,6,0,0,3,16,1331,2208,0,0,0,0,0,0,0,0,0,0,14,30,19217,42488,1603,..,20824,42488
SED50405,18201,51877,531,934,106,167,636,1099,50,66,110,158,7,12,0,0,4,11,173,248,28,50,11,17,3,7,45,66,89,138,15,33,19110,53394,1240,..,20352,53394
SED50502,13662,36650,1629,2923,243,499,1874,3423,261,384,63,84,53,77,0,0,23,44,398,591,0,0,0,5,0,4,5,9,5,14,17,30,15952,40714,1164,..,17123,40714
SED50605,12514,35024,1959,3920,732,1745,2700,5664,249,410,122,190,400,722,177,278,13,31,953,1629,0,0,0,0,0,0,3,6,3,6,15,29,16187,42358,1565,..,17750,42358
SED50702,12713,31877,2080,4054,1493,3089,3573,7149,609,1006,587,944,590,940,1262,2216,23,39,3058,5141,10,13,3,3,0,0,9,6,21,31,37,73,19404,44266,2675,..,22074,44266
SED50805,10163,27232,3098,5468,947,1983,4050,7456,356,491,405,576,209,341,33,59,15,35,1027,1502,0,0,0,0,0,0,15,25,15,25,31,66,15279,36288,1365,..,16647,36288
SED50906,13740,34434,2236,3449,433,799,2667,4244,397,592,104,160,15,27,32,53,5,11,553,843,67,93,36,54,0,0,9,23,116,166,33,62,17111,39749,1950,..,19054,39749
SED51004,14347,40409,890,1620,187,317,1075,1941,69,112,210,333,3,7,0,0,13,20,287,475,5,3,0,0,0,0,3,7,9,13,3,17,15728,42851,1016,..,16741,42851
