SED_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED54505,12805,13597,26409,1163,1231,2397,111,133,246,134,116,250,104,106,206,55,65,123,4834,4959,9790,21,14,31,45,27,77,26,17,50,0,6,5,5333,5460,10789,1478,1597,3075,98,75,176,8071,8361,16430,633,543,1174,21511,22503,44018
SED54605,10668,10871,21537,1023,1105,2126,284,235,526,202,162,369,261,233,491,48,41,91,4391,4722,9114,38,33,73,53,54,107,35,32,64,0,0,0,5311,5520,10832,436,507,945,184,196,380,6956,7330,14286,1821,1303,3125,19440,19501,38945
SED54701,10211,9595,19808,2257,2259,4516,71,82,159,93,80,173,91,94,186,69,57,123,2512,2677,5191,11,6,19,19,19,38,0,0,4,0,0,0,2873,3025,5897,454,428,883,110,90,200,5689,5806,11493,2146,1892,4041,18050,17297,35342
SED54804,9871,10721,20597,1197,1335,2528,266,302,569,203,258,462,218,206,425,40,48,92,5757,6591,12345,31,36,66,47,46,93,33,39,70,5,0,14,6593,7546,14139,1247,1489,2734,213,198,419,9253,10570,19821,1347,1199,2551,20477,22483,42960
SED54905,9719,10489,20206,1250,1289,2535,164,189,354,186,193,379,165,150,315,59,64,120,5734,5824,11558,19,25,50,22,36,56,27,26,53,9,11,16,6384,6511,12893,1507,1512,3019,184,195,381,9320,9509,18828,1075,1105,2183,20122,21101,41217
SED55005,14639,14826,29460,1191,1194,2381,148,156,299,100,95,198,74,83,155,46,45,94,4879,5276,10157,25,36,65,47,49,96,21,25,46,12,11,24,5352,5778,11130,1154,1351,2502,177,117,294,7878,8436,16313,1012,872,1888,23527,24130,47662
SED55102,13355,13499,26850,1008,1098,2110,131,159,289,139,156,293,150,139,284,31,31,63,5134,5635,10768,24,19,43,50,35,85,28,32,60,0,0,5,5697,6196,11888,446,511,954,163,133,295,7311,7936,15244,3205,1025,4233,23877,22457,46332
SED55202,13224,13485,26709,1177,1202,2378,143,141,280,103,96,201,101,84,186,51,60,111,4768,4834,9602,16,20,35,31,34,63,0,4,7,3,7,12,5215,5279,10492,1115,1378,2492,160,124,284,7673,7973,15648,1504,1400,2903,22401,22857,45259
SED55306,10680,11113,21795,2487,2637,5122,127,162,291,128,132,265,107,131,237,47,45,90,4656,5209,9868,31,32,64,44,57,104,10,8,20,0,0,0,5155,5782,10937,492,566,1055,105,100,199,8234,9083,17315,1541,1396,2940,20461,21594,42055
SED55405,9319,9549,18865,1269,1194,2459,208,174,376,225,203,427,177,168,343,64,53,112,6899,6562,13458,17,18,36,39,34,76,24,18,42,6,3,8,7658,7232,14890,3114,2789,5907,226,170,404,12265,11386,23657,1788,1638,3420,23371,22570,45943
SED55504,13984,14465,28449,1158,1298,2449,96,110,208,105,119,221,92,102,194,22,22,43,5114,5426,10537,21,17,42,36,32,74,9,7,17,4,0,4,5497,5839,11343,681,819,1501,183,162,350,7519,8118,15639,1084,845,1929,22588,23427,46014
SED55605,13084,13266,26351,1705,1881,3587,253,261,516,226,252,474,242,248,484,67,59,127,4793,5422,10212,44,59,108,61,64,128,31,25,58,0,4,3,5708,6400,12112,513,561,1074,205,182,388,8132,9025,17156,1415,929,2349,22637,23218,45856
SED55706,11292,11170,22459,2394,2534,4936,123,118,241,114,141,251,100,91,190,38,46,87,3708,4031,7736,38,32,74,41,37,73,5,5,7,3,0,10,4173,4497,8669,543,530,1071,112,128,243,7222,7691,14913,2111,1824,3933,20623,20686,41307
SED55802,13391,13546,26935,1111,1205,2306,145,137,281,129,134,264,141,133,269,54,47,107,6678,7047,13726,17,20,37,44,46,90,10,12,21,0,4,8,7221,7588,14810,825,1095,1925,175,138,310,9337,10018,19352,1131,1127,2262,23857,24694,48554
SED55905,10872,11601,22473,621,658,1275,91,103,199,119,131,247,116,118,234,34,40,72,4569,5148,9723,20,15,36,29,32,64,18,17,35,0,0,0,4996,5606,10603,612,755,1366,158,168,321,6386,7181,13567,1139,1113,2249,18397,19894,38294
SED59494,365,234,595,139,96,234,161,141,302,131,129,257,206,200,407,42,44,91,889,802,1698,27,27,53,34,30,60,7,14,21,0,0,0,1499,1391,2889,228,255,488,32,21,50,1901,1766,3664,2225,1267,3492,4491,3264,7755
SED59797,123,16,139,0,0,0,11,0,8,0,0,0,12,0,15,0,0,0,78,9,88,0,0,0,5,0,4,0,0,0,0,0,0,102,13,116,34,10,38,0,0,0,137,24,163,199,19,222,455,58,514
