SED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SED50106,0,0,0,0,0,0,0,0,0,3,947,2241,1850,3239,1727,1794,1646,757,288,14488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,8,5,7,7,4,8,59,0,0,0,0,0,0,0,0,0,0,0,4,3,16,3,6,0,0,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,5,0,26,26,101,134,294,316,273,102,1272,0,0,0,7,0,0,0,0,0,10,0,0,0,9,3,3,0,3,0,28,0,0,0,7,8,8,31,18,0,82,0,0,0,0,0,3,0,0,0,3,0,0,0,8,0,0,0,0,0,11,0,3,3,36,12,8,0,6,0,74,0,5,0,8,3,0,0,0,0,14,0,0,0,0,0,4,0,0,0,4
SED50202,0,5,16,71,11,3,0,0,0,108,1816,3112,2200,4343,1594,1285,965,380,82,15777,0,3,0,19,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,4,0,0,0,9,3,6,0,0,0,16,0,8,8,10,5,0,3,4,0,40,0,0,0,0,9,11,3,4,0,22,3,4,0,17,3,5,4,0,0,50,0,0,0,0,3,4,4,3,0,12,0,0,0,3,0,4,4,0,0,11,0,11,32,257,252,493,378,275,89,1801,0,0,0,4,3,4,0,0,0,10,0,0,0,0,6,5,0,4,0,16,0,0,0,13,11,17,25,24,4,96,0,0,0,0,0,0,0,0,0,4,0,3,0,5,8,0,0,0,0,17,5,74,53,456,96,31,45,16,5,782,0,8,16,35,16,9,3,0,0,89,0,0,0,24,4,7,0,5,0,40
SED50304,0,0,0,18,3,3,0,0,0,34,1312,1645,1448,3505,1420,1148,669,359,116,11623,0,0,3,16,3,0,0,0,0,20,0,0,0,32,11,28,14,3,3,93,0,0,5,91,12,5,0,0,0,113,0,0,0,3,0,0,0,0,0,8,0,3,3,17,8,9,4,0,0,45,0,5,7,8,6,0,5,5,0,29,0,10,25,139,31,49,28,15,7,291,0,0,0,22,8,17,38,40,16,137,0,6,4,8,3,6,0,5,4,34,5,18,45,292,158,160,117,80,28,894,0,0,0,7,0,0,4,0,0,9,0,0,3,25,3,8,3,0,0,43,0,0,0,20,9,5,5,10,0,58,0,0,3,6,3,23,24,61,35,154,3,8,4,41,12,6,11,6,0,90,7,44,107,824,77,58,47,21,8,1194,4,4,10,27,7,6,3,0,0,62,0,9,8,80,25,8,6,4,0,137
SED50405,0,0,0,0,3,0,0,0,0,3,2472,3991,2118,4969,1474,932,609,298,51,16914,0,0,4,18,3,0,0,0,0,24,0,0,0,11,3,0,9,0,0,25,0,4,3,16,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,3,0,10,6,23,11,9,3,0,0,55,0,0,0,6,8,0,4,0,0,21,0,4,3,34,5,0,9,0,0,57,0,3,0,11,3,3,3,3,0,31,0,0,0,10,3,0,6,3,0,23,3,109,262,624,483,520,319,230,46,2600,0,0,5,27,6,8,0,0,0,49,0,0,0,4,4,10,0,0,0,25,0,0,5,17,15,16,22,3,4,85,0,0,0,0,0,0,4,0,0,5,0,0,3,8,5,0,0,0,0,20,8,47,58,539,62,30,27,12,3,784,0,3,6,23,8,0,0,0,0,56,0,0,0,19,5,6,0,0,0,27
SED50502,0,6,15,88,24,15,7,6,0,159,1280,2500,2009,3387,1473,1266,876,347,108,13236,0,0,0,14,0,0,3,4,0,22,0,0,0,28,14,21,13,8,0,86,0,0,0,13,3,0,0,0,0,14,0,0,0,8,13,6,3,0,0,34,0,3,0,3,13,4,3,0,0,25,0,0,0,0,0,3,0,0,0,13,0,4,19,71,34,31,19,5,0,184,0,0,0,15,9,16,18,12,0,68,0,0,5,9,4,4,3,4,0,33,5,9,29,200,176,293,184,132,44,1067,0,0,0,8,0,0,4,0,0,13,0,0,0,18,3,7,5,0,0,30,0,0,8,13,10,11,23,12,0,73,0,0,0,0,0,8,11,7,0,22,0,0,0,21,0,5,5,0,0,46,0,46,57,325,88,90,72,41,15,737,0,3,9,26,7,10,3,0,0,60,0,9,13,43,7,10,3,0,0,81
SED50605,0,0,0,4,0,0,0,0,0,6,961,2331,2105,2560,1345,1338,1087,571,230,12520,0,3,0,26,4,0,0,0,0,35,0,4,0,6,4,5,3,3,0,25,0,4,0,16,3,0,0,0,0,35,0,5,0,0,0,0,0,0,0,6,5,4,6,10,8,12,7,3,0,47,0,4,3,3,0,0,5,0,0,12,0,32,47,224,62,72,53,14,13,526,0,0,0,9,3,3,13,7,5,38,0,3,4,9,0,4,4,0,0,30,4,75,83,203,227,302,242,177,50,1369,0,0,0,0,4,0,4,0,0,12,0,7,3,22,6,8,4,0,0,44,0,5,4,17,7,10,17,13,0,72,0,0,0,0,0,4,9,7,3,16,0,16,17,59,33,18,37,16,0,196,0,23,48,176,74,60,69,35,12,499,0,12,38,191,78,62,91,50,11,531,0,14,8,66,50,26,18,13,3,202
SED50702,0,9,24,116,23,6,0,0,0,182,1313,1991,1742,3868,1533,1375,898,395,139,13245,4,13,20,72,25,0,0,0,0,131,0,0,4,13,3,0,0,0,0,29,0,3,0,46,4,0,0,0,0,53,0,0,0,5,0,0,7,0,0,11,0,0,0,16,5,0,6,0,0,29,0,0,0,0,3,0,0,4,0,17,0,23,62,242,61,67,38,8,4,496,0,0,0,5,4,9,9,8,5,36,0,0,11,10,8,3,7,0,0,39,0,20,53,252,179,314,205,131,45,1197,0,0,6,3,8,4,0,0,0,18,0,0,0,18,0,3,0,4,0,35,0,0,4,21,8,13,30,17,6,97,0,0,0,3,0,0,3,5,0,20,0,0,15,61,13,7,9,0,0,110,10,38,120,496,81,51,40,28,9,871,0,7,12,74,28,5,11,0,0,141,0,0,0,61,7,9,3,0,0,85
SED50805,0,0,0,0,0,0,0,0,0,0,992,2167,1899,2939,1776,1423,1093,534,283,13107,0,0,0,3,0,3,0,0,0,5,0,0,0,4,3,0,6,0,0,15,0,3,3,12,3,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,3,5,0,17,13,11,12,3,0,66,0,0,0,8,6,6,0,0,0,17,0,9,3,17,10,11,7,0,3,56,0,0,0,4,4,10,12,13,9,41,0,0,0,6,0,0,0,8,4,21,7,57,95,316,324,330,259,143,62,1589,0,0,0,0,0,0,0,0,0,4,0,3,0,26,8,7,10,0,0,47,0,0,0,15,17,11,16,15,0,77,0,0,0,3,3,0,0,7,3,18,0,4,0,3,0,3,0,0,0,16,0,4,0,37,25,18,4,9,6,107,0,5,5,16,3,0,6,9,0,52,0,0,0,16,8,6,6,0,0,36
SED50906,0,0,0,0,0,0,0,0,0,0,1149,2567,2068,3920,1974,1797,1501,747,207,15924,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,4,9,10,8,4,0,0,40,0,0,0,0,0,0,0,0,0,8,0,4,3,23,9,3,0,0,0,42,0,0,0,0,0,0,4,0,0,13,0,0,0,3,0,0,0,0,0,9,0,41,64,125,200,306,230,169,56,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,10,0,0,4,6,8,10,29,18,3,75,0,0,0,0,0,0,3,3,4,8,0,0,0,8,0,0,0,0,0,13,0,22,9,113,31,3,10,9,3,199,0,6,9,17,4,0,4,0,0,32,0,4,0,12,6,0,0,0,0,15
SED51004,0,0,0,27,12,13,4,0,0,57,1245,2638,1931,2702,1252,930,553,208,56,11517,0,0,0,9,0,0,0,0,0,9,0,0,0,9,5,0,0,0,0,17,0,0,0,22,4,0,0,0,0,24,0,0,0,9,5,4,0,0,0,19,0,4,7,17,3,9,3,0,0,48,0,0,0,10,3,8,0,0,4,28,0,9,9,42,5,12,12,0,0,97,0,0,0,4,5,0,3,6,0,20,0,0,5,21,10,15,4,5,0,53,13,215,556,874,925,929,426,226,68,4237,0,0,0,3,0,0,0,0,0,8,0,0,0,9,5,5,0,3,0,25,0,5,6,18,19,21,15,12,3,90,0,0,0,0,0,5,0,3,0,7,0,3,3,3,0,6,0,0,0,19,0,15,23,115,19,22,19,6,3,212,0,0,11,13,0,8,3,0,0,40,0,0,8,17,14,8,5,0,0,57
