SED_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED50106,712,620,1426,1721,2098,1835,505,61,5,8977,383,152,464,366,414,909,1924,1387,586,6585,50,40,100,91,122,126,132,105,71,844,1144,810,1990,2179,2635,2872,2565,1551,661,16411,358,752,1792,1894,2448,1878,415,38,3,9576,881,426,904,1222,1221,1382,629,105,14,6790,37,38,186,130,186,257,85,20,4,934,31,36,45,45,63,45,25,8,0,300,1308,1250,2931,3285,3922,3558,1155,170,18,17599,44,54,79,49,59,50,6,0,0,343,109,31,63,36,36,63,24,0,0,368,157,80,138,85,95,113,34,0,0,715,1463,1335,3071,3371,4016,3671,1188,171,21,18311,837,300,820,646,695,1479,3532,2520,1021,11854,109,88,255,218,263,286,271,193,117,1799,2404,1726,4150,4231,4976,5440,4990,2890,1164,31970
SED50202,746,1206,2611,2459,2059,1585,356,22,0,11051,623,359,1138,929,714,1072,1765,1016,362,7981,99,116,272,235,182,128,124,113,75,1336,1473,1676,4025,3629,2947,2778,2242,1155,441,20367,275,1183,3385,3355,2657,2005,350,12,0,13214,798,854,1435,1462,1097,993,380,52,0,7063,40,72,300,171,168,169,39,5,0,969,31,67,138,90,71,50,12,6,0,456,1137,2173,5258,5075,3995,3211,773,78,9,21707,110,182,318,221,230,136,22,0,0,1219,221,91,171,127,101,72,18,0,0,801,333,273,482,352,331,205,40,0,0,2011,1472,2452,5738,5423,4324,3420,820,77,9,23722,1297,584,1514,1259,1143,1691,3189,1904,617,13198,224,231,598,502,431,327,220,192,114,2840,2996,3272,7846,7185,5896,5439,4225,2173,736,39756
SED50304,511,1135,3832,2983,2109,1552,459,28,3,12622,337,180,567,551,447,783,1611,1269,633,6380,37,60,260,166,112,116,86,87,58,972,888,1379,4663,3697,2663,2447,2162,1386,694,19975,113,926,4819,4015,2821,1826,392,30,3,14943,673,994,2089,1729,1164,1027,487,58,4,8232,20,56,278,203,111,124,37,4,0,831,10,52,134,88,61,26,9,3,5,397,811,2031,7319,6034,4157,3003,932,99,8,24400,36,55,159,144,136,101,15,0,0,649,126,66,104,93,59,76,20,0,0,557,163,123,269,240,195,179,35,0,0,1200,978,2152,7586,6276,4355,3184,959,104,8,25601,755,328,805,823,733,1289,2703,2211,1054,10702,73,159,538,389,285,236,165,149,76,2062,1802,2638,8928,7486,5369,4706,3832,2460,1145,38364
SED50405,1086,1422,3810,3612,2714,1486,228,6,0,14368,621,299,1110,933,589,885,1397,754,150,6729,68,76,255,195,134,88,74,66,24,988,1777,1795,5177,4736,3446,2457,1697,833,174,22088,361,1424,4828,4966,3788,2032,256,15,0,17669,1284,977,1962,1919,1326,843,246,25,0,8578,41,91,473,302,231,181,36,4,0,1360,27,51,179,117,63,36,9,0,0,483,1711,2550,7439,7300,5405,3095,548,40,3,28091,104,125,189,160,121,91,7,0,0,791,318,101,153,122,66,46,19,3,0,827,431,221,337,284,183,136,22,3,0,1616,2139,2775,7772,7584,5590,3230,575,41,3,29710,1323,462,1343,1139,855,1276,2369,1429,280,10480,148,163,595,532,380,229,150,115,44,2354,3604,3402,9710,9255,6820,4738,3092,1589,328,42541
SED50502,629,970,2288,2369,2211,1722,410,23,0,10616,472,197,574,608,549,950,1633,966,439,6394,56,55,172,119,125,107,71,82,45,830,1157,1227,3032,3100,2881,2777,2113,1081,479,17846,179,893,3041,3126,2918,2199,418,15,0,12781,789,872,1233,1409,1189,1117,441,50,3,7102,36,62,214,176,131,129,52,0,0,798,19,39,99,66,58,33,6,4,0,336,1019,1866,4586,4772,4300,3479,913,70,3,21017,50,120,175,141,132,107,15,0,0,745,158,99,88,85,70,72,25,0,0,583,206,216,265,228,200,182,37,0,0,1332,1226,2088,4847,4996,4506,3663,952,71,3,22351,1037,407,842,894,844,1532,2921,1761,682,10921,104,148,387,307,282,229,174,147,65,1850,2367,2644,6080,6193,5627,5430,4042,1982,748,35119
SED50605,813,1120,1867,2425,2485,1920,594,61,4,11282,505,180,308,549,532,1031,2095,1337,682,7210,28,32,72,67,75,81,74,38,33,493,1343,1328,2239,3042,3091,3032,2765,1428,715,18983,142,844,2459,3095,3292,2389,530,47,0,12812,1157,1251,1014,1438,1348,1300,775,136,10,8430,43,62,149,153,124,159,58,8,0,761,15,29,71,52,35,25,19,6,4,251,1360,2182,3699,4742,4797,3874,1393,200,14,22253,21,55,108,99,116,84,19,3,0,497,217,91,76,61,74,64,26,0,0,603,235,151,180,155,185,151,45,6,0,1099,1594,2331,3877,4898,4980,4022,1436,204,14,23360,1124,401,503,702,688,1527,3619,2492,1097,12160,48,71,164,175,182,172,154,67,50,1085,2766,2805,4549,5775,5856,5717,5205,2766,1166,36602
SED50702,560,1292,3626,2730,2144,1591,422,32,0,12403,381,270,762,690,504,812,1511,982,510,6427,44,106,296,237,158,142,105,103,100,1295,992,1666,4683,3656,2810,2547,2030,1121,606,20122,170,1204,4996,3975,3120,2148,450,27,0,16091,727,1079,1915,1512,1031,1021,446,68,3,7807,30,75,313,226,146,158,52,5,0,1013,10,65,177,81,69,38,10,4,3,457,936,2425,7403,5792,4372,3364,954,101,7,25364,48,92,227,168,156,135,14,0,0,833,118,101,130,88,83,64,18,4,0,615,168,196,362,257,235,198,32,4,0,1443,1107,2621,7757,6051,4612,3561,994,104,7,26811,879,496,1091,997,842,1410,2674,1786,800,10970,105,250,668,548,394,327,224,182,154,2853,2096,3370,9515,7593,5853,5290,3881,2069,961,40633
SED50805,807,932,1903,2244,2483,1853,478,39,7,10743,481,110,238,391,416,682,1561,1229,791,5902,34,32,101,92,102,80,65,87,74,662,1317,1071,2236,2728,2998,2611,2105,1358,872,17303,162,652,2353,2643,3248,2170,399,20,3,11652,1065,976,913,1394,1346,1217,577,87,4,7583,45,50,200,178,129,173,62,3,0,851,9,10,42,29,41,22,9,3,0,171,1286,1691,3508,4249,4763,3579,1055,120,9,20250,19,43,57,67,80,69,15,4,0,350,203,56,46,46,50,54,25,5,0,483,219,98,107,112,131,125,37,8,0,836,1508,1789,3617,4357,4891,3704,1087,124,9,21085,956,220,342,485,593,1097,2735,2122,1267,9815,58,55,217,211,219,187,146,145,112,1350,2526,2060,4181,5057,5708,4988,3970,2385,1385,32259
SED50906,854,919,1954,2173,2402,1780,419,28,0,10534,451,214,639,562,530,985,1891,1226,568,7064,61,72,180,148,128,125,122,92,85,1004,1366,1206,2775,2884,3066,2883,2432,1342,650,18606,330,1057,2480,2603,2996,2164,387,19,0,12032,974,561,1087,1349,1308,1131,515,64,3,6982,69,68,208,179,195,255,66,13,3,1053,28,34,75,60,59,32,10,0,0,296,1405,1722,3845,4185,4552,3576,975,94,7,20355,69,86,134,112,109,96,16,0,0,624,144,68,93,66,68,48,10,3,0,508,218,154,226,183,184,148,24,3,0,1130,1622,1869,4070,4368,4733,3724,1000,96,7,21487,982,377,1015,969,912,1636,3427,2244,892,12457,119,150,390,343,339,270,245,155,124,2137,2721,2395,5480,5673,5984,5637,4671,2502,1024,36082
SED51004,1036,1315,2237,2488,3159,2055,319,14,0,12625,504,197,517,533,544,850,1282,747,249,5426,51,57,118,107,117,86,54,40,17,655,1592,1566,2875,3126,3821,2990,1652,812,271,18699,313,1202,2777,3152,4134,2674,335,12,0,14594,1285,1105,1270,1436,1669,1336,383,42,0,8536,53,76,273,194,212,205,57,0,0,1069,33,62,90,80,74,54,12,9,0,409,1683,2442,4410,4855,6091,4266,791,56,0,24604,64,133,163,112,124,101,11,0,0,704,287,85,89,69,70,63,24,0,0,684,346,219,255,177,188,164,31,0,0,1390,2037,2661,4659,5033,6281,4430,827,56,0,25994,1146,400,705,688,732,1318,2297,1357,419,9067,101,125,278,294,305,235,103,72,27,1539,3277,3194,5647,6015,7314,5981,3227,1489,447,36600
