SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED52604,478,450,931,157,78,237,3,0,8,0,0,0,39,21,57,6985,6281,13269,420,484,908,135,4,136,53,0,56,65,14,76,246,30,279,175,197,363,8752,7575,16327,182,140,320,0,0,0,0,0,0,155,130,283,38,35,72,27,3,29,397,303,699,0,0,0,0,0,0,10,3,11,3,10,14,13,4,13,32,13,43,82,43,125,508,365,869,53,62,111,5,3,5,7,0,13,69,62,131,873,1086,1964,1169,1527,2700,39,34,73,11407,10657,22065
SED52702,77,64,140,184,90,272,5,0,5,0,0,0,18,5,21,6457,5925,12377,330,343,672,200,9,207,60,3,68,51,6,60,184,36,223,158,134,297,7724,6619,14339,23,19,39,0,0,0,0,0,0,115,84,203,3,12,16,5,0,5,147,116,253,0,0,0,0,0,0,19,14,32,8,5,12,12,0,9,30,21,56,75,29,107,255,167,419,16,14,34,3,3,11,6,0,4,22,20,47,895,1148,2045,1066,1368,2439,56,25,83,10007,9356,19361
SED52803,4,0,9,491,127,615,13,4,15,0,0,0,43,49,101,6743,5410,12149,756,628,1376,149,14,160,58,9,71,76,28,100,303,77,377,343,404,744,8971,6751,15726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,0,0,63,22,83,7,3,17,23,5,23,103,24,124,133,67,196,226,98,326,3,0,3,16,0,19,7,0,3,24,3,27,139,308,443,941,795,1732,64,36,102,10361,7992,18354
SED52903,3,4,9,115,74,192,3,0,4,0,0,0,10,17,23,3834,4020,7854,431,541,974,76,4,86,107,43,151,165,122,291,194,69,265,778,988,1766,5722,5891,11615,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,6,0,10,4,3,3,4,0,3,10,8,14,68,42,109,78,53,132,0,0,0,0,0,0,4,0,4,0,3,4,272,384,652,569,707,1281,125,102,232,6768,7149,13914
SED53004,474,403,879,134,49,185,0,0,5,0,0,0,23,26,48,6822,6351,13173,346,392,736,112,0,112,49,5,54,78,10,82,193,39,230,83,63,147,8324,7336,15654,189,168,354,0,0,0,0,0,0,146,126,278,13,31,44,20,4,31,374,326,702,0,0,0,0,0,0,9,12,20,6,7,12,12,0,11,27,17,40,71,23,99,475,363,838,72,50,128,3,0,3,0,0,0,74,57,133,827,1037,1862,1091,1625,2721,31,20,50,10829,10435,21267
SED53105,374,416,791,243,107,345,3,3,4,0,0,0,31,25,53,8250,6937,15185,518,542,1062,153,4,158,39,3,40,31,8,35,289,77,362,99,110,209,10029,8219,18247,181,216,403,0,0,0,0,0,0,146,137,286,25,25,49,17,0,16,363,384,750,0,0,0,0,0,0,18,8,31,6,13,20,12,5,14,37,25,59,90,47,139,497,463,954,63,110,172,6,0,15,12,0,15,83,111,191,527,877,1401,1241,1578,2820,56,39,90,12429,11281,23712
SED53204,209,231,437,196,128,325,0,0,5,0,0,0,42,20,56,9398,8201,17594,505,688,1192,144,6,144,54,5,54,26,0,28,276,57,332,58,71,131,10913,9403,20316,132,120,253,0,0,0,0,0,0,212,189,403,22,32,51,0,3,3,365,348,709,0,0,0,0,0,0,23,17,39,11,16,25,4,4,10,43,32,77,110,45,153,518,423,938,53,83,135,0,3,6,5,0,5,59,83,147,698,1022,1719,1158,1566,2715,44,29,78,13384,12522,25905
SED53306,147,151,301,279,128,413,0,0,6,0,0,0,31,22,55,5575,5534,11107,461,483,942,102,0,104,28,5,31,34,15,49,364,85,451,151,140,294,7177,6569,13750,53,55,108,0,0,0,0,0,0,65,51,114,14,17,27,5,0,9,134,121,261,0,0,0,0,0,0,16,3,17,5,16,21,9,5,18,36,26,62,106,46,147,275,195,468,41,44,76,13,3,13,8,3,6,61,45,107,349,649,1000,1353,1402,2758,57,51,112,9268,8916,18179
SED53402,509,461,969,784,770,1555,0,0,0,0,0,0,78,70,154,7120,6370,13493,391,657,1046,72,0,71,65,7,70,323,86,407,209,73,274,164,148,309,9706,8649,18350,134,153,286,0,0,0,0,0,0,56,55,106,10,22,33,13,7,19,210,236,448,0,0,0,0,0,0,27,18,48,17,32,41,24,17,43,67,68,136,102,59,164,374,364,738,22,43,70,16,3,18,7,0,7,45,49,95,978,1138,2114,1125,1651,2778,54,27,76,12280,11871,24156
SED53502,192,241,438,251,124,377,0,0,0,0,0,0,31,36,69,7974,6865,14842,452,600,1047,144,9,158,67,10,75,85,25,108,279,66,349,173,178,350,9656,8151,17808,101,100,201,0,0,0,0,0,0,85,113,200,15,25,43,16,3,18,221,247,471,0,0,0,0,0,0,11,5,12,3,7,16,20,11,29,33,20,61,93,59,152,349,333,678,33,48,79,6,3,12,7,0,8,40,53,97,501,798,1299,1300,1591,2892,69,54,123,11915,10979,22896
