SED_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SED50106,665,669,1553,1600,1865,1786,656,114,22,8925,14,12,34,46,66,77,69,16,5,335,0,6,6,8,9,4,0,0,0,37,17,23,38,47,50,40,12,0,0,235,0,0,11,17,5,8,0,0,0,45,3,10,45,57,64,35,12,0,0,225,5,11,20,16,22,16,3,0,0,95,215,109,183,187,219,192,43,0,0,1156,236,83,127,115,117,96,30,6,0,810,6,4,13,23,40,32,6,0,0,136,7,11,11,7,6,7,0,0,0,53,3,18,30,31,28,28,0,0,0,138,0,12,31,24,41,24,8,5,0,138,10,11,83,94,86,67,24,0,0,381,0,11,29,52,61,59,18,0,0,243,8,11,57,106,151,100,25,3,0,451,8,43,139,244,377,298,70,5,0,1185,59,145,380,472,578,542,127,8,0,2310,14,7,31,16,25,24,5,0,0,118,21,39,67,76,61,62,21,0,0,340
SED50202,566,1102,2857,2812,2111,1727,433,54,3,11658,6,7,18,12,13,7,4,4,0,62,3,31,57,54,44,21,0,0,0,215,17,38,73,81,78,54,6,0,0,353,0,4,9,14,10,11,0,0,0,52,10,37,93,49,42,40,7,0,0,274,7,17,54,46,50,30,3,0,0,207,138,213,285,229,241,161,43,0,0,1314,235,132,146,97,63,51,8,0,0,725,5,35,94,93,65,70,15,0,0,379,7,7,12,10,13,7,0,0,0,55,0,9,56,53,33,22,0,0,0,178,0,13,32,26,16,17,4,0,0,107,5,34,115,99,64,51,11,0,0,385,11,54,107,89,105,65,14,0,0,452,10,30,122,147,112,90,25,0,0,532,18,79,252,275,298,231,63,3,0,1221,34,215,620,661,494,445,99,0,0,2567,16,20,37,28,18,7,4,0,0,139,21,56,127,92,65,37,16,5,0,417
SED50304,382,944,3619,3177,2134,1529,481,70,5,12339,0,5,15,6,6,8,0,0,0,40,3,27,131,116,53,25,4,0,0,356,5,16,75,65,62,43,22,3,0,289,0,0,32,43,21,15,5,0,0,107,8,38,132,95,62,48,8,3,0,396,0,8,37,41,43,16,7,0,0,152,180,234,308,206,176,165,41,3,0,1318,110,141,283,158,85,62,11,5,0,850,4,18,48,54,51,27,3,0,0,198,0,11,38,25,14,8,0,6,0,100,3,16,102,120,93,37,12,0,0,381,0,11,50,54,34,24,11,0,0,194,8,56,359,304,159,80,40,0,0,998,4,47,192,155,80,74,24,0,0,571,8,26,198,191,145,104,22,0,0,699,14,83,327,317,293,224,65,0,0,1330,23,249,1024,660,477,383,136,8,0,2945,16,26,77,43,34,17,3,0,0,216,25,45,164,105,74,66,26,4,0,508
SED50405,840,1235,3817,3870,2791,1668,329,27,3,14584,0,7,16,16,20,6,5,0,0,66,0,42,128,125,75,42,6,0,0,423,10,32,119,135,113,37,5,0,0,456,3,8,29,24,22,9,0,0,0,94,4,27,128,95,70,39,3,0,0,372,4,13,66,45,33,17,0,0,0,186,212,244,446,335,276,175,33,0,0,1723,421,188,189,136,95,26,3,0,0,1047,8,23,90,71,53,32,12,0,0,292,10,5,17,12,11,7,0,0,0,61,8,22,118,136,68,34,0,0,0,378,8,11,58,57,35,27,9,4,0,197,9,47,184,192,98,56,10,0,0,590,13,48,154,142,101,62,18,0,0,548,13,83,236,238,201,102,11,0,0,887,32,101,408,518,448,194,34,0,0,1727,46,279,873,876,703,462,59,0,0,3300,24,31,71,30,14,8,4,0,0,182,30,60,164,127,99,51,4,0,0,529
SED50502,496,991,2420,2522,2200,1846,515,42,3,11032,0,0,11,7,5,6,6,0,0,30,0,23,67,77,56,26,5,0,0,266,9,11,60,92,104,60,10,0,0,347,0,0,20,25,15,7,0,0,0,70,4,19,63,70,43,40,5,0,0,248,0,14,38,41,42,38,13,0,0,178,168,193,210,192,176,171,36,4,0,1157,189,132,134,111,89,71,11,0,0,737,4,13,61,58,71,59,9,3,0,266,3,3,16,19,15,16,3,0,0,76,0,17,61,85,60,37,14,4,0,278,0,7,26,24,36,19,7,4,0,122,3,49,170,186,119,70,16,0,0,615,7,16,73,92,65,66,16,0,0,337,7,31,144,143,187,130,24,0,0,671,32,69,216,285,319,252,60,3,0,1233,33,175,522,498,492,433,132,3,0,2296,24,35,44,33,31,27,8,3,0,199,18,34,133,110,88,55,13,4,0,455
SED50605,661,1115,1908,2406,2421,2012,811,140,13,11485,0,4,6,6,11,11,10,0,0,42,0,21,79,111,90,53,12,3,0,371,15,20,33,64,77,55,21,0,0,294,0,9,11,41,29,12,0,0,0,97,4,25,49,80,71,48,14,3,0,295,4,20,30,35,37,28,7,0,0,161,228,203,132,132,150,156,51,7,0,1049,249,126,90,75,67,59,19,0,0,691,4,14,34,33,56,39,7,0,0,184,4,13,15,9,13,5,3,0,0,62,0,20,44,97,79,52,12,0,0,316,4,15,29,43,70,42,22,8,0,244,14,95,225,283,230,129,45,8,0,1036,3,14,39,52,45,41,15,0,0,208,7,35,82,151,167,118,25,0,0,590,36,101,222,347,458,393,121,12,0,1683,52,230,479,568,532,488,149,15,0,2523,28,37,37,25,35,22,9,0,0,193,19,40,74,87,77,66,24,0,0,378
SED50702,453,1213,3954,3195,2345,1851,550,65,10,13638,0,0,14,7,4,4,4,5,0,40,5,36,198,154,111,52,7,0,0,574,15,14,104,74,71,57,16,0,0,343,0,0,21,25,9,9,5,0,0,66,8,28,136,102,64,44,6,0,0,390,4,14,52,62,44,31,10,5,0,220,150,223,272,158,147,130,34,0,0,1103,188,177,280,156,104,69,19,0,0,995,7,43,89,92,91,53,17,0,0,388,4,8,24,17,15,11,7,0,0,87,6,31,105,98,67,45,0,0,0,347,4,30,71,44,41,30,13,0,0,231,5,81,322,225,117,75,29,3,0,854,7,46,150,110,93,79,32,4,0,514,4,42,174,177,162,131,28,0,0,722,23,69,269,266,261,201,45,4,0,1144,25,223,779,558,430,359,114,8,0,2493,24,50,100,71,51,29,12,3,0,332,10,52,158,121,77,47,19,0,0,485
SED50805,587,799,1656,2064,2354,1788,581,81,6,9914,0,4,10,8,10,7,6,0,0,42,3,14,81,94,89,33,8,0,0,315,32,19,47,74,63,48,9,3,0,291,0,0,11,17,13,7,0,0,0,52,5,11,56,78,70,38,7,0,0,264,4,13,24,40,51,33,3,0,0,173,200,165,104,117,147,123,46,0,0,899,244,154,101,64,56,26,16,0,0,666,3,8,26,44,59,29,8,0,0,188,5,10,25,23,16,11,0,0,0,92,0,13,43,72,79,45,3,4,0,267,0,19,44,51,57,36,24,4,0,224,14,64,194,239,216,115,48,4,0,885,4,10,26,56,46,38,20,0,0,207,3,33,108,139,171,135,20,3,0,612,46,80,293,384,541,432,96,4,0,1874,47,170,513,484,554,512,121,4,0,2409,26,36,39,47,41,27,9,0,0,228,28,41,75,88,71,54,11,0,0,361
SED50906,666,866,1988,2107,2234,1868,560,64,3,10364,5,16,23,12,17,12,13,3,0,98,5,30,44,47,57,32,5,0,0,209,28,35,74,89,89,41,8,0,0,367,0,7,20,17,15,19,0,0,0,79,6,22,69,71,60,52,7,0,0,303,4,7,18,15,29,12,11,0,0,107,202,141,235,240,254,190,37,4,0,1309,291,124,138,148,137,66,19,0,0,923,6,13,26,27,33,40,11,0,0,157,13,8,22,9,5,5,0,0,0,73,0,10,42,44,42,30,5,0,0,168,7,16,33,32,30,29,7,0,0,148,7,18,61,103,81,54,22,0,0,345,6,20,50,79,94,58,16,3,0,328,8,28,92,130,156,104,20,0,0,546,28,47,177,289,445,310,75,3,0,1384,66,211,556,572,593,526,116,3,0,2640,18,17,37,20,22,17,4,0,0,142,18,50,89,76,110,61,15,0,0,419
SED51004,823,1227,2286,2475,3043,2297,487,41,0,12687,3,4,21,16,20,9,0,0,0,73,5,21,71,62,67,37,8,0,0,263,21,23,39,71,60,61,3,0,0,272,0,12,17,25,24,13,0,0,0,96,9,22,68,112,127,77,18,0,0,427,11,12,28,35,48,33,4,0,0,175,254,239,222,193,289,200,38,0,0,1440,325,190,135,85,73,51,7,0,0,868,3,9,35,40,48,31,13,0,0,178,11,6,12,11,11,10,0,0,0,61,0,26,70,96,119,64,5,0,0,400,0,16,31,29,58,39,6,0,0,182,9,71,156,183,189,98,21,0,0,721,8,42,86,93,123,75,15,0,0,446,7,34,115,137,196,136,19,0,0,638,36,94,264,387,521,298,34,0,0,1643,56,265,505,566,788,596,94,0,0,2872,33,31,30,29,42,18,3,0,0,191,39,72,143,122,116,71,7,3,0,574
