SED_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SED50106,7,75,0,86,1095,84,1260,37,36,0,78,758,84,913,598,57,10,666,1190,299,2155,1037,45,40,1122,690,236,2048,726,73,25,819,1337,186,2342,137,173,7,314,2078,181,2574,22,205,0,225,2042,158,2429,4,38,0,38,1212,94,1340,0,7,0,7,449,51,498,2564,702,96,3364,10838,1360,15562,4,115,3,122,951,72,1144,88,72,8,165,595,47,810,878,110,71,1049,830,107,1990,1341,82,108,1534,553,92,2179,691,227,43,953,1548,128,2635,58,479,3,546,2187,139,2872,13,342,0,356,2061,151,2565,4,47,0,50,1375,114,1551,0,5,0,5,581,81,661,3081,1471,237,4791,10686,931,16411,12,194,0,210,2045,153,2404,125,104,11,244,1356,125,1726,1480,163,83,1718,2015,405,4150,2380,129,153,2659,1243,327,4231,1417,297,64,1778,2886,315,4976,195,647,16,859,4261,312,5440,31,545,6,583,4101,309,4990,8,88,0,93,2589,213,2890,0,10,0,10
SED50202,0,100,0,103,1279,138,1521,114,66,4,184,1265,138,1592,1074,109,44,1229,2247,349,3825,1578,68,61,1707,1563,283,3555,663,94,22,775,1906,268,2946,120,171,3,304,2142,215,2659,27,197,0,226,1646,105,1981,4,41,0,47,894,77,1018,4,0,0,3,256,40,299,3588,858,132,4582,13199,1614,19398,21,164,4,188,1174,117,1473,236,110,15,359,1186,135,1676,1774,167,110,2049,1676,288,4025,1962,127,136,2231,1156,244,3629,579,311,40,924,1826,197,2947,77,555,7,636,2003,137,2778,22,355,4,377,1759,107,2242,5,56,0,64,984,101,1155,0,7,0,7,364,71,441,4679,1852,308,6842,12130,1399,20367,25,265,4,292,2450,254,2996,348,179,18,550,2453,267,3272,2853,281,151,3276,3929,642,7846,3543,200,194,3935,2716,525,7185,1243,401,61,1704,3733,464,5896,199,727,8,940,4147,353,5439,46,551,3,606,3407,211,4225,8,102,0,113,1882,182,2173,4,8,0,11
SED50304,5,38,0,48,823,44,910,8,33,4,45,1104,109,1262,674,97,20,786,3181,293,4261,1619,53,28,1705,1849,240,3791,785,25,13,828,1699,178,2706,149,145,8,301,1836,118,2256,24,229,0,253,1337,75,1672,4,76,0,78,932,60,1071,0,9,0,9,411,29,454,3279,704,74,4056,13173,1155,18380,4,55,5,56,779,56,888,42,77,3,122,1186,71,1379,1147,188,43,1374,3014,274,4663,1821,117,72,2019,1507,174,3697,689,117,30,835,1720,112,2663,58,417,5,483,1845,115,2447,26,521,6,547,1526,89,2162,4,95,0,99,1197,87,1386,0,12,0,12,621,58,694,3788,1598,163,5546,13396,1039,19975,4,95,5,106,1600,94,1802,55,108,4,165,2288,187,2638,1819,275,64,2158,6200,570,8928,3448,173,103,3717,3358,410,7486,1472,143,39,1654,3420,291,5369,205,569,10,787,3683,239,4706,50,746,6,803,2860,169,3832,6,171,0,180,2132,142,2460,0,21,0,20
SED50405,6,120,0,131,1605,100,1834,74,70,4,146,1358,96,1602,1556,116,52,1730,2436,365,4531,2513,75,98,2688,1466,366,4520,972,114,37,1119,2005,253,3379,140,239,4,385,1738,162,2287,19,174,0,193,1129,77,1395,0,34,0,33,674,50,755,0,0,0,3,129,18,148,5296,948,194,6431,12543,1475,20456,12,195,3,213,1477,85,1777,203,152,9,360,1340,97,1795,2560,227,167,2954,1950,271,5177,3036,137,175,3349,1189,198,4736,881,292,47,1222,2063,162,3446,55,630,8,698,1661,99,2457,19,320,7,341,1288,75,1697,3,52,0,57,710,63,833,0,6,0,6,144,28,174,6762,2008,417,9188,11825,1071,22088,21,316,3,340,3087,186,3604,278,216,6,504,2702,189,3402,4120,339,221,4682,4387,640,9710,5550,212,279,6039,2656,562,9255,1848,406,86,2336,4067,417,6820,203,872,12,1082,3402,254,4738,42,490,3,530,2408,147,3092,6,88,0,87,1383,114,1589,0,3,0,8
SED50502,4,67,0,69,1085,53,1208,24,50,0,81,1239,103,1420,609,86,19,711,2093,243,3046,1389,63,34,1479,1418,200,3098,782,59,27,870,1714,162,2749,177,179,6,363,2153,130,2647,28,244,3,269,1558,99,1930,3,61,0,62,773,65,900,3,4,0,0,243,28,273,3019,809,84,3912,12276,1083,17278,10,99,0,107,984,64,1157,53,84,4,146,1020,64,1227,1070,116,41,1234,1604,192,3032,1754,94,99,1947,1016,135,3100,736,195,51,988,1754,141,2881,82,516,7,604,2058,116,2777,11,418,0,424,1610,75,2113,4,70,0,75,924,80,1081,0,4,0,4,423,46,479,3722,1600,208,5535,11398,913,17846,12,167,0,183,2065,125,2367,79,140,8,223,2260,164,2644,1682,205,56,1943,3700,431,6080,3141,155,129,3428,2434,332,6193,1523,257,80,1857,3474,297,5627,259,691,17,972,4208,246,5430,38,653,3,700,3165,182,4042,9,128,0,139,1691,151,1982,3,5,0,8
SED50605,0,48,0,51,1352,30,1426,12,46,0,56,1364,55,1478,354,56,10,414,1776,111,2303,1610,42,42,1688,932,115,2737,1180,31,22,1232,1419,113,2762,227,212,6,437,2152,93,2686,61,589,3,652,1706,84,2439,8,158,5,174,1124,35,1335,0,10,0,15,420,17,449,3452,1181,80,4715,12241,659,17615,5,93,0,98,1199,40,1343,9,92,0,102,1192,32,1328,566,112,17,690,1468,83,2239,2065,70,90,2221,742,72,3042,1194,101,36,1330,1683,73,3091,109,580,3,692,2248,95,3032,41,897,5,941,1737,90,2765,9,184,0,193,1205,40,1428,4,13,0,16,663,40,715,3993,2137,152,6287,12126,572,18983,4,143,0,147,2549,71,2766,18,138,0,153,2552,96,2805,918,163,25,1104,3247,195,4549,3677,108,130,3911,1668,192,5775,2375,131,60,2565,3098,186,5856,333,791,14,1130,4398,186,5717,102,1482,5,1591,3441,173,5205,21,343,0,364,2327,75,2766,3,23,0,30
SED50702,7,38,0,48,981,70,1102,27,51,0,76,1464,168,1702,688,107,10,812,3608,420,4833,1556,74,33,1655,1947,335,3936,799,75,16,890,1886,269,3039,188,171,4,362,2190,196,2742,43,200,0,243,1486,123,1849,8,62,0,70,808,70,945,0,0,0,0,313,46,357,3307,777,62,4148,14675,1685,20519,9,72,4,84,846,59,992,66,96,8,174,1378,118,1666,1177,186,38,1405,2957,324,4683,1807,121,83,2006,1402,246,3656,696,163,27,886,1749,168,2810,69,458,6,528,1866,155,2547,20,409,8,433,1494,109,2030,6,65,0,71,959,99,1121,0,6,0,4,506,93,606,3855,1572,164,5591,13153,1379,20122,18,119,4,129,1833,129,2096,91,150,8,245,2837,286,3370,1867,296,50,2211,6558,742,9515,3358,191,112,3658,3355,579,7593,1493,239,44,1777,3636,435,5853,257,627,7,891,4051,350,5290,65,611,3,677,2977,232,3881,14,124,0,135,1766,165,2069,0,6,0,10
SED50805,0,43,0,47,1123,31,1204,4,26,6,34,928,25,993,327,53,10,390,1427,125,1939,1358,45,50,1456,742,127,2324,1148,45,32,1228,1347,129,2714,231,170,4,404,1856,117,2375,21,369,0,389,1392,83,1865,6,103,0,113,859,68,1031,0,4,0,6,455,51,516,3106,859,103,4072,10129,751,14951,0,93,0,95,1183,45,1317,14,58,0,72,964,38,1071,557,127,21,708,1418,117,2236,1730,93,140,1964,673,87,2728,1209,109,59,1371,1512,107,2998,113,459,3,579,1951,85,2611,16,641,9,662,1368,71,2105,7,143,0,147,1120,86,1358,0,10,0,7,775,88,872,3654,1726,231,5614,10970,725,17303,0,138,5,143,2307,74,2526,23,87,6,107,1893,61,2060,886,178,32,1100,2841,242,4181,3088,145,189,3421,1416,221,5057,2362,155,89,2603,2865,241,5708,339,634,10,983,3804,201,4988,42,1007,6,1059,2760,151,3970,11,242,3,257,1977,152,2385,3,14,0,14
SED50906,7,73,0,80,1188,81,1351,79,40,0,122,952,116,1190,671,73,29,770,1537,401,2705,1305,69,52,1432,985,380,2789,824,85,27,930,1680,305,2919,145,232,4,383,2169,198,2754,28,264,0,285,1787,165,2241,9,49,0,55,1027,73,1157,0,3,0,3,313,53,371,3067,878,116,4066,11639,1772,17473,7,113,0,126,1175,74,1366,148,85,8,241,885,77,1206,1146,119,89,1358,1229,190,2775,1658,108,122,1887,836,158,2884,800,229,51,1070,1844,148,3066,57,645,6,702,2050,126,2883,23,427,0,453,1851,127,2432,13,60,0,70,1179,92,1342,4,4,0,6,542,107,650,3857,1790,276,5921,11592,1091,18606,18,188,4,205,2359,153,2721,231,129,8,365,1843,191,2395,1818,186,119,2123,2759,590,5480,2959,175,180,3319,1824,535,5673,1622,310,76,2008,3526,451,5984,202,874,12,1092,4223,323,5637,46,690,3,743,3640,291,4671,19,107,0,123,2206,169,2502,4,7,0,14
SED51004,0,66,0,67,1558,62,1690,33,56,0,88,1459,80,1623,745,66,20,832,1766,178,2771,1588,60,62,1713,979,192,2882,1113,101,31,1242,2049,206,3495,188,275,7,468,2366,161,2997,23,241,0,264,1255,55,1574,3,49,0,51,593,35,675,0,3,0,3,154,18,179,3697,913,114,4724,12190,981,17897,0,101,0,105,1402,86,1592,71,93,5,175,1330,65,1566,1188,134,62,1387,1357,125,2875,2001,93,115,2212,797,122,3126,1131,265,38,1433,2265,126,3821,74,722,10,804,2086,92,2990,24,410,0,431,1164,54,1652,4,67,0,71,691,44,812,0,0,0,0,220,45,271,4491,1890,237,6616,11323,760,18699,5,162,0,170,2960,147,3277,103,149,9,255,2788,142,3194,1932,200,85,2222,3125,302,5647,3594,154,175,3924,1777,317,6015,2247,365,63,2675,4317,329,7314,259,999,17,1272,4459,253,5981,45,656,4,699,2422,112,3227,5,113,0,119,1282,86,1489,0,4,0,4
SED51104,8,105,0,116,1665,118,1906,71,63,6,131,1488,100,1724,1358,97,47,1509,2204,298,4008,2070,74,64,2208,1370,322,3899,1044,121,24,1191,2194,294,3674,168,216,3,384,1864,187,2441,22,225,4,246,1314,57,1623,6,47,0,49,842,62,962,0,6,0,6,278,30,309,4745,946,147,5838,13213,1485,20540,8,211,0,219,1491,100,1812,199,127,20,347,1294,102,1738,2218,187,168,2573,1728,250,4553,2722,128,155,3001,1135,194,4337,1001,338,44,1377,2316,184,3875,76,583,8,666,1874,115,2654,15,365,0,382,1433,92,1908,0,56,0,57,1029,85,1168,0,3,0,3,410,51,460,6243,2000,394,8633,12710,1162,22506,19,310,3,337,3156,219,3716,271,193,22,480,2780,200,3462,3576,290,216,4077,3928,550,8561,4793,204,214,5211,2505,516,8228,2045,461,69,2569,4503,475,7549,242,797,12,1052,3740,299,5095,38,590,0,633,2744,154,3526,7,103,0,107,1870,150,2133,0,9,0,9
SED51205,5,45,0,53,1178,88,1316,41,51,0,89,1941,169,2201,923,94,14,1032,3768,450,5247,1928,79,30,2041,2036,308,4383,851,60,17,933,1814,194,2942,148,162,4,314,1938,141,2393,42,292,0,332,1541,84,1957,4,84,0,90,850,71,1011,0,4,0,4,263,42,308,3941,867,76,4884,15330,1544,21756,5,81,0,90,991,73,1154,108,71,0,181,1651,145,1979,1608,165,52,1815,2895,350,5064,2126,120,93,2337,1408,223,3968,714,153,28,893,1771,144,2803,87,535,10,625,1914,102,2648,30,478,5,509,1612,89,2202,6,78,0,80,969,96,1149,0,5,0,8,403,69,476,4686,1680,179,6547,13618,1288,21454,9,132,3,149,2168,157,2470,145,124,0,269,3601,313,4181,2533,251,66,2849,6653,800,10309,4059,188,125,4374,3439,532,8351,1561,214,50,1824,3581,339,5744,228,697,11,943,3853,248,5042,71,769,6,847,3149,169,4161,10,160,0,173,1821,168,2159,0,7,0,11
SED51304,7,63,0,73,1286,27,1376,5,28,0,36,968,31,1028,321,38,0,358,1104,82,1543,1795,36,62,1888,665,107,2663,1453,39,36,1529,1348,129,3014,196,211,9,411,1956,88,2452,49,684,0,734,1844,80,2654,6,185,0,184,1180,54,1426,0,0,0,3,301,17,321,3818,1283,115,5209,10651,611,16475,0,86,0,81,1139,16,1235,11,35,0,47,867,24,932,578,74,29,679,899,70,1645,2190,81,161,2433,505,72,3008,1362,94,64,1524,1418,68,3005,70,635,10,717,1930,59,2706,37,1100,0,1138,1750,87,2980,3,175,7,181,1186,81,1444,0,4,0,4,495,32,532,4251,2290,265,6800,10183,498,17480,4,144,0,157,2420,41,2614,18,65,0,75,1830,49,1960,895,105,32,1034,1999,152,3186,3983,116,222,4326,1171,176,5672,2810,138,104,3056,2765,196,6014,264,846,15,1130,3886,146,5158,84,1779,3,1870,3596,164,5630,9,359,7,366,2369,136,2866,0,3,0,5
SED51401,4,48,0,54,778,124,952,49,30,0,72,662,135,871,567,49,13,630,990,384,2003,968,39,33,1044,686,364,2092,524,62,16,599,1518,380,2497,116,181,7,306,2356,395,3051,20,181,0,201,2324,293,2822,0,36,0,35,1167,174,1373,0,0,0,3,328,66,398,2257,622,72,2945,10809,2309,16062,10,85,0,95,638,103,839,81,49,6,133,463,98,696,809,76,60,943,655,194,1785,1132,73,80,1284,507,230,2022,498,162,29,694,1485,279,2459,46,492,3,547,2048,258,2855,9,309,0,325,1929,218,2467,3,43,0,46,1109,188,1341,0,0,0,0,436,89,531,2595,1298,178,4068,9265,1659,14989,11,135,0,146,1415,226,1789,134,77,5,212,1126,230,1568,1376,122,75,1573,1639,576,3784,2101,110,116,2328,1191,595,4114,1027,224,42,1293,3005,659,4958,170,670,11,853,4404,654,5907,33,490,0,524,4253,509,5284,6,78,0,82,2273,362,2719,0,0,0,5
SED51504,4,76,0,78,1506,34,1618,4,39,0,41,1141,29,1220,288,46,7,347,1899,135,2383,1749,55,51,1854,1104,139,3098,1557,40,43,1635,1342,89,3070,271,140,5,419,1938,72,2428,28,348,0,377,1312,70,1756,3,143,0,145,909,54,1114,0,10,0,10,456,36,499,3914,893,101,4911,11612,664,17186,0,91,0,91,1260,25,1380,9,55,4,68,1031,36,1138,591,107,14,714,1830,107,2652,2191,100,146,2435,773,81,3287,1562,89,69,1723,1544,83,3344,119,405,5,531,1902,62,2501,26,675,5,706,1234,79,2017,16,177,0,193,1094,67,1358,4,11,0,19,760,68,843,4507,1721,241,6467,11441,607,18517,6,162,0,170,2770,62,2997,11,95,4,108,2179,73,2354,883,159,24,1061,3726,242,5032,3942,152,192,4284,1877,223,6385,3115,126,109,3357,2885,169,6408,387,552,6,951,3841,137,4926,55,1021,3,1079,2547,148,3777,20,320,0,338,2010,121,2471,3,20,0,30
