SED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED50106,6798,4134,4150,4231,4976,5440,4990,2890,1164,38763
SED50202,11127,6266,7846,7185,5896,5439,4225,2173,736,50888
SED50304,6931,4441,8928,7486,5369,4706,3832,2460,1145,45295
SED50405,14804,7006,9710,9255,6820,4738,3092,1589,328,57344
SED50502,8105,5011,6080,6193,5627,5430,4042,1982,748,43217
SED50605,7589,5573,4549,5775,5856,5717,5205,2766,1166,44195
SED50702,7777,5467,9515,7593,5853,5290,3881,2069,961,48411
SED50805,6967,4584,4181,5057,5708,4988,3970,2385,1385,39223
SED50906,8165,5114,5480,5673,5984,5637,4671,2502,1024,44242
SED51004,8998,6468,5647,6015,7314,5981,3227,1489,447,45594
SED51104,13438,7177,8561,8228,7549,5095,3526,2133,769,56481
SED51205,9714,6651,10309,8351,5744,5042,4161,2159,791,52916
SED51304,8536,4574,3186,5672,6014,5158,5630,2866,853,42494
SED51401,6401,3357,3784,4114,4958,5907,5284,2719,929,37453
SED51504,8658,5356,5032,6385,6408,4926,3777,2471,1345,44359
SED51605,10084,6140,6997,7819,7014,5013,3183,1471,447,48164
SED51706,8724,4582,4907,5520,5783,6185,5282,2651,823,44451
SED51804,7251,5807,4564,4805,6153,5715,4944,3392,1506,44128
SED51902,10820,5576,6374,6734,6435,5619,3950,1795,464,47752
SED52006,6957,4252,3737,4435,5328,6082,6845,4001,1125,42755
SED52102,8587,4933,5774,6361,5415,4961,3758,1912,667,42371
SED52205,6389,4527,6608,6249,6049,5787,4598,2483,1186,43870
SED52301,7744,4527,4630,4792,5294,5085,3919,2122,832,38940
SED52404,8038,4737,4895,5923,5665,5461,4659,1927,564,41866
SED52505,13274,6499,8994,10577,6669,5528,3943,1363,354,57203
SED52604,6882,5524,4646,5130,5995,6213,4287,1790,666,41137
SED52702,7030,4467,2944,4464,5848,5613,5076,3019,1017,39482
SED52803,7684,4495,6151,5538,5079,4521,2347,852,230,36906
SED52903,8271,4463,6111,5310,4679,3798,1971,612,139,35352
SED53004,7792,4585,4081,5778,5483,5312,5276,2415,994,41711
SED53105,11529,5871,8063,8675,6149,4462,3026,1430,516,49705
SED53204,10984,6414,6445,7886,6825,5001,3118,1439,478,48598
SED53306,8557,5106,5351,5392,5464,5601,5432,3731,1567,46195
SED53402,6908,4438,7785,7319,5748,4792,3671,1873,910,43449
SED53502,8409,5555,6790,6372,6092,5743,4384,2510,1049,46900
SED53602,9449,6357,7441,6653,5775,5322,4201,2171,751,48121
SED53701,6368,3247,3488,4230,5274,6510,5759,2743,694,38315
SED53802,7581,5124,7398,6678,5425,5075,4414,2739,994,45426
SED53902,6168,4678,6818,6188,5372,4820,3918,2760,1649,42377
SED54006,8170,4641,4325,5194,5740,6091,5539,2876,825,43391
SED54104,7246,6912,6806,6082,5637,5152,4801,2891,1157,46676
SED54203,4387,2320,3910,3557,3189,2907,1772,691,139,22875
SED54304,6142,6122,14219,9480,6403,5383,3574,1590,733,53651
SED54403,11039,5006,9467,9168,6631,4492,1275,288,55,47427
SED54505,9193,6057,3536,6529,6544,5195,4999,2773,1084,45908
SED54605,6276,4531,4728,4608,5126,5975,5101,3201,1311,40861
SED54701,7292,3751,4262,4553,4935,5437,4267,2382,778,37662
SED54804,7474,4555,8535,7490,5697,4692,3673,2370,1256,45753
SED54905,6172,5893,6624,5690,5250,5140,4763,2494,1228,43240
SED55005,11638,6858,6493,8477,6941,5002,3601,1587,598,51193
SED55102,11171,6201,6695,7562,7062,5541,3624,1517,321,49692
SED55202,9640,5888,6624,7068,5940,5199,4513,2600,1027,48500
SED55306,8493,3926,4130,5820,6063,5844,5866,3104,1085,44333
SED55405,6839,7078,10916,7605,5281,4409,3299,1973,1221,48622
SED55504,11105,6176,6743,7490,6526,5058,3736,1979,643,49470
SED55605,11427,6834,6161,6774,7253,5613,3115,1572,478,49231
SED55706,7573,3656,3828,5249,6052,6861,6345,2963,924,43443
SED55802,11826,6723,9109,8117,6368,5439,3170,1629,591,52973
SED55905,6419,5026,5670,5229,5098,5089,4092,2638,1222,40484
SED59494,772,820,1512,1543,1313,1144,758,155,30,8055
SED59797,0,42,116,170,109,62,18,0,0,514
