SED_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED50106,..,106,74,25,37,67,30,18,0,355,..,70,132,125,273,506,609,546,284,2537,56,56,58,42,50,96,79,41,15,487,3138,1812,1852,2043,2431,2594,2231,1373,481,17958,..,98,1256,2036,2486,2732,2622,1452,363,13046,..,431,910,671,602,529,260,74,5,3488,..,38,208,428,471,218,91,68,57,1579,6318,..,..,..,..,..,..,..,..,6318,..,1329,..,..,..,..,..,..,..,1329,..,1096,445,146,116,72,19,0,0,1893,..,177,91,34,57,89,110,66,32,652,..,119,103,38,38,31,12,4,0,347,..,194,170,61,83,110,65,36,0,724,..,158,314,273,519,905,977,767,407,4318,123,126,116,92,110,163,152,68,21,968,6440,3780,3613,3765,4485,4860,4297,2542,894,34668
SED50202,..,109,106,62,89,100,47,22,3,533,..,100,255,215,310,523,566,414,176,2563,73,81,68,34,49,41,40,16,8,417,5017,2919,3740,3401,2747,2626,2120,1034,334,23934,..,159,2248,3474,2550,2514,2190,1019,193,14347,..,748,1861,943,655,423,161,45,14,4838,..,123,619,783,666,431,226,118,63,3027,10260,..,..,..,..,..,..,..,..,10260,..,2009,..,..,..,..,..,..,..,2009,..,1683,904,311,211,102,12,0,0,3226,..,338,279,121,141,208,206,85,36,1411,..,191,173,103,55,36,23,14,0,597,..,210,300,175,204,222,119,35,9,1270,..,185,634,599,802,1008,970,627,249,5077,174,158,161,97,102,76,59,29,11,869,10434,5795,7179,6603,5381,5017,3974,1974,568,46934
SED50304,..,210,339,77,59,49,31,14,0,770,..,89,577,470,475,608,748,554,319,3839,37,43,67,45,33,40,42,30,18,341,3320,2163,4353,3503,2533,2297,2065,1299,521,22052,..,126,2996,3948,2630,2246,1917,1244,329,15441,..,385,1885,909,386,240,131,37,8,3974,..,19,186,431,494,333,164,119,82,1835,6590,..,..,..,..,..,..,..,..,6590,..,1668,..,..,..,..,..,..,..,1668,..,943,707,265,195,128,19,0,0,2245,..,266,307,98,83,134,126,84,39,1128,..,143,221,52,29,21,5,0,0,473,..,388,788,217,149,104,68,19,5,1746,..,169,1052,998,981,1115,1133,754,423,6630,74,76,141,93,74,64,57,42,22,645,6667,4197,8278,7003,5012,4379,3622,2301,914,42372
SED50405,..,88,127,59,44,51,43,15,0,430,..,84,273,184,229,338,400,260,68,1843,95,99,83,39,30,42,25,14,3,432,6958,3395,4865,4522,3274,2322,1589,781,142,27844,..,131,3476,5453,4024,2712,1791,863,108,18551,..,800,2515,1167,689,324,110,50,4,5663,..,91,542,779,606,296,114,60,20,2510,14017,..,..,..,..,..,..,..,..,14017,..,2707,..,..,..,..,..,..,..,2707,..,1860,737,169,91,46,3,0,0,2912,..,299,249,98,98,178,155,68,29,1178,..,164,173,64,33,33,10,0,0,468,..,215,373,158,113,95,73,30,6,1063,..,188,639,495,496,569,575,370,97,3430,184,161,145,90,65,73,35,24,4,780,14195,6624,8844,8466,6216,4322,2867,1472,264,53277
SED50502,..,77,137,53,79,99,48,23,3,512,..,47,168,176,239,438,549,361,197,2170,49,55,49,32,29,37,17,21,6,300,3666,2281,2851,2959,2734,2645,2009,1002,382,20535,..,82,1749,3298,2876,2974,2145,963,184,14264,..,307,1330,848,581,406,175,35,5,3689,..,39,279,458,618,347,202,109,71,2121,7648,..,..,..,..,..,..,..,..,7648,..,2014,..,..,..,..,..,..,..,2014,..,1521,960,326,182,83,31,0,0,3104,..,280,204,98,116,184,191,117,78,1267,..,114,142,64,47,31,21,4,3,429,..,202,404,183,181,182,105,43,11,1311,..,102,411,465,575,842,897,532,257,4075,91,107,109,74,75,69,37,31,8,600,7746,4771,5587,5808,5248,5110,3805,1835,618,40531
SED50605,..,192,153,54,20,30,28,15,4,495,..,64,172,126,160,343,499,474,348,2182,27,56,45,24,19,35,28,12,7,239,3648,2602,2126,2962,2987,2866,2588,1362,601,21735,..,22,1305,3929,4111,3868,3609,1756,399,18993,..,191,795,474,307,295,136,48,7,2262,..,9,68,318,477,324,133,79,79,1484,7380,..,..,..,..,..,..,..,..,7380,..,2993,..,..,..,..,..,..,..,2993,..,1241,916,271,172,79,30,0,0,2705,..,245,169,47,39,95,114,77,58,856,..,115,166,38,24,19,11,4,0,384,..,370,442,130,70,58,48,26,8,1152,..,123,346,290,329,575,727,617,442,3440,77,111,90,47,37,60,44,21,9,492,7460,5427,4296,5553,5567,5360,4854,2629,1011,42149
SED50702,..,262,358,109,78,68,57,11,0,942,..,172,535,324,336,509,586,435,235,3133,41,73,77,39,30,44,33,24,19,384,3576,2488,4305,3377,2606,2345,1883,992,433,22004,..,98,2583,3763,2735,2318,1828,878,211,14406,..,580,2047,952,630,433,179,52,11,4884,..,45,229,456,533,329,162,105,90,1947,7274,..,..,..,..,..,..,..,..,7274,..,1658,..,..,..,..,..,..,..,1658,..,1056,689,206,155,131,26,0,0,2268,..,395,374,109,102,170,177,74,44,1446,..,181,317,94,62,33,13,4,5,707,..,611,1065,342,220,193,111,35,6,2585,..,329,1170,830,778,1094,1010,645,324,6179,88,116,160,100,61,87,60,37,21,743,7359,5075,8625,6859,5267,4794,3565,1835,713,44094
SED50805,..,147,181,37,29,38,31,13,7,476,..,87,271,215,275,473,639,544,362,2868,29,63,48,25,25,33,28,15,12,275,3344,2241,2081,2592,2860,2445,1933,1200,595,19293,..,12,1005,3036,3418,2781,2180,1120,349,13887,..,192,1171,638,568,437,204,69,14,3291,..,8,61,293,560,287,82,79,76,1448,6615,..,..,..,..,..,..,..,..,6615,..,2405,..,..,..,..,..,..,..,2405,..,1060,509,140,85,85,24,0,0,1905,..,147,96,16,30,48,53,58,45,491,..,46,62,26,20,16,3,4,0,175,..,237,348,88,62,81,63,31,5,906,..,137,469,412,554,795,925,742,486,4527,63,123,84,70,55,66,45,20,19,543,6677,4357,3809,4706,5341,4595,3592,2119,990,36184
SED50906,..,141,169,50,65,73,53,21,6,579,..,103,220,196,341,590,664,502,269,2875,57,88,73,40,43,61,48,24,14,453,3761,2390,2566,2711,2890,2613,2191,1203,445,20769,..,82,1390,2664,2942,2783,2415,1219,255,13742,..,613,1274,702,594,438,199,52,3,3870,..,85,356,641,636,249,130,95,65,2256,7621,..,..,..,..,..,..,..,..,7621,..,1623,..,..,..,..,..,..,..,1623,..,1337,455,165,126,86,22,0,0,2191,..,187,133,61,70,105,103,63,35,768,..,136,137,67,39,20,13,4,0,426,..,267,371,145,143,146,109,42,9,1232,..,219,539,504,728,1057,1043,708,364,5164,134,157,151,103,88,112,82,44,22,884,7755,4708,4813,5046,5365,5002,4109,2225,741,39768
SED51004,..,76,80,29,32,38,30,3,0,301,..,53,137,112,169,307,309,223,73,1392,43,94,56,23,22,35,25,13,4,320,4164,3031,2732,3002,3682,2836,1574,749,181,21947,..,62,1652,3522,4774,3897,2093,857,132,16990,..,412,1439,790,640,388,109,32,14,3814,..,41,262,508,680,386,129,51,22,2074,8585,..,..,..,..,..,..,..,..,8585,..,2777,..,..,..,..,..,..,..,2777,..,2156,983,212,84,40,9,0,0,3473,..,210,157,44,61,106,123,97,41,838,..,137,115,44,39,26,9,7,0,383,..,157,204,63,74,85,62,16,4,665,..,112,315,360,419,576,470,296,115,2664,106,150,120,62,64,64,43,15,7,631,8688,6195,5257,5615,6842,5558,3044,1366,328,42899
