SED_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SED50106,355,1824,1606,11454,172,15410,4,66,34,1133,24,1258,221,5,33,45,0,300,35,14,14,68,0,135,636,193,108,482,9,1428,4617,1863,1537,10034,197,18256,655,8,49,16,3,730,106,24,16,48,0,193,434,121,127,771,13,1459,25,12,3,42,0,91,43,7,8,11,0,71,159,6,8,27,4,207,715,262,215,2127,27,3349,382,157,69,741,9,1358,16,0,8,4,0,19,5,0,0,3,0,6,6,8,0,10,0,25,22,5,4,11,0,37,123,22,28,11,0,187,150,95,47,46,0,335,211,52,28,143,3,434,33,0,3,12,0,49,3,0,0,0,0,3,1037,353,313,2189,19,3913,25,4,0,16,0,45,264,34,21,15,0,328,59,3,5,21,0,92,24,6,4,0,0,32,36,0,0,3,0,43,204,37,51,116,0,408,1343,233,229,379,18,2202,88,26,18,194,2129,2452,9510,3186,2609,20911,2537,38763
SED50202,881,2535,1961,10184,202,15770,20,127,118,1889,72,2215,695,21,52,50,5,820,74,26,16,79,4,188,886,253,171,508,14,1834,7069,2375,1894,8179,259,19776,1479,14,81,31,11,1615,133,22,16,56,4,230,479,132,104,605,11,1342,33,25,13,39,0,115,68,11,3,22,0,105,1498,50,19,27,0,1595,1142,313,216,1761,27,3464,415,206,104,611,9,1352,64,0,0,0,0,66,59,8,6,10,0,85,10,3,6,16,0,28,42,17,5,35,0,97,785,74,85,28,16,990,389,149,82,44,12,673,184,38,15,71,5,312,49,7,11,17,0,91,127,11,3,10,0,146,1449,458,333,1802,34,4081,36,13,0,7,0,51,335,67,27,13,0,445,169,15,15,45,0,245,114,0,3,11,0,127,99,4,8,0,0,117,221,47,35,88,3,397,6595,490,395,523,55,8062,301,45,20,193,3200,3753,21097,4351,3300,18354,3781,50888
SED50304,762,1544,1137,5429,83,8953,15,58,18,403,5,504,2503,60,102,58,17,2732,586,110,54,281,4,1038,258,89,62,134,0,553,3902,1333,960,4673,94,10955,581,6,42,8,3,641,187,16,12,46,3,258,380,93,55,400,4,939,506,105,41,259,9,917,81,17,3,19,0,120,2409,53,22,30,0,2511,1400,289,180,1464,15,3344,3600,781,324,2050,35,6788,124,0,14,0,0,137,52,6,11,9,0,77,1084,109,97,284,4,1574,34,15,14,18,0,82,184,42,18,4,0,243,177,60,36,26,4,300,316,34,36,86,3,476,114,3,15,10,0,143,22,7,0,0,0,32,973,265,194,1156,16,2601,344,20,10,28,0,400,300,28,22,11,0,359,247,15,3,37,0,300,111,7,7,4,0,130,791,19,23,17,4,855,155,39,18,68,0,273,7504,396,410,386,45,8746,343,21,11,65,2084,2523,25645,3338,2279,11668,2366,45295
SED50405,847,2955,2366,11728,79,17977,13,121,68,1213,11,1416,750,31,35,71,4,891,100,43,24,130,8,303,597,170,105,354,3,1234,10191,2642,2173,9013,133,24150,2080,29,110,27,0,2248,190,17,22,44,0,270,592,162,102,722,5,1581,62,16,22,70,5,178,44,14,11,25,0,89,1590,50,20,38,6,1702,1816,320,287,1854,25,4305,447,236,114,951,15,1762,107,4,4,7,0,120,38,15,10,8,0,77,20,3,0,18,0,47,45,24,9,40,0,124,1596,190,119,38,11,1952,635,196,118,57,4,1000,172,38,31,89,0,336,96,3,13,12,0,127,199,19,11,4,0,233,2337,515,410,1855,17,5139,147,19,5,17,0,191,952,79,56,14,4,1108,253,31,6,52,0,347,73,3,3,11,0,94,104,10,22,9,0,135,349,58,43,107,3,554,5879,502,486,529,46,7440,354,49,40,206,2719,3366,25664,4864,3859,19940,3015,57344
SED50502,828,1922,1494,7469,97,11812,7,86,54,1120,22,1291,1946,47,92,48,7,2134,253,67,24,167,5,508,333,101,52,181,0,673,4730,1764,1289,6163,105,14046,870,15,83,22,6,989,199,24,16,47,0,291,387,92,82,493,3,1055,105,32,16,100,0,264,64,19,7,26,3,118,1569,68,34,47,8,1726,1251,349,218,1705,24,3554,1027,354,173,1018,15,2582,83,0,17,3,0,108,44,16,0,10,0,76,105,26,13,32,0,167,104,25,11,43,0,188,383,59,40,18,0,505,233,113,54,21,3,427,325,40,33,120,6,525,72,10,8,4,0,102,38,8,0,0,0,49,1164,371,265,1512,29,3348,322,29,10,18,0,372,189,33,24,10,0,258,132,9,6,33,0,180,105,19,11,3,0,135,1481,9,38,24,4,1557,142,29,28,66,3,272,6125,452,385,482,51,7490,388,26,22,111,1914,2464,20527,3568,2621,14278,2228,43217
SED50605,431,1801,1583,7178,42,11037,6,14,11,251,8,294,7254,129,270,110,34,7797,242,76,42,270,0,631,378,103,76,175,3,736,5004,1672,1356,6408,64,14513,305,6,61,3,0,384,249,21,14,36,0,324,495,119,88,527,6,1229,124,46,22,115,0,302,86,15,3,12,0,113,1306,72,59,51,3,1490,1169,283,258,1985,19,3711,1041,313,150,1066,10,2575,412,3,23,6,0,441,76,24,17,16,0,130,37,9,10,26,0,79,48,10,4,29,0,92,90,14,11,5,0,117,156,61,54,22,0,296,222,41,36,79,0,377,114,6,18,15,0,153,24,8,0,0,0,33,1416,368,310,1729,11,3836,117,10,17,11,0,155,517,45,54,4,7,632,132,14,16,49,0,211,265,14,10,14,0,303,244,19,23,3,0,287,228,37,23,98,0,393,5152,375,412,469,37,6451,156,16,18,51,1123,1358,22740,3296,2851,13986,1328,44195
SED50702,768,1812,1372,7535,137,11620,16,81,47,1006,27,1169,3542,40,108,67,15,3771,195,41,25,93,0,359,364,106,63,215,3,755,4996,1627,1235,6417,137,14413,1329,28,86,13,4,1456,219,26,15,35,0,293,476,105,82,574,3,1247,102,27,17,88,0,238,93,13,4,15,0,129,1741,49,32,44,0,1864,1380,357,239,1876,29,3879,953,284,114,884,18,2254,364,0,18,4,0,386,105,24,17,23,0,166,56,11,4,43,0,114,35,20,8,36,0,106,553,40,35,24,9,653,314,103,69,28,3,518,307,57,43,121,5,527,121,4,3,21,0,157,99,6,9,9,0,119,1289,304,268,1597,15,3472,73,8,4,15,0,97,275,28,20,10,0,336,207,7,11,25,0,253,211,22,7,7,0,248,495,5,25,13,0,542,176,29,22,92,0,324,8452,423,426,472,64,9839,399,15,22,120,2999,3553,24668,3282,2520,14561,3380,48411
SED50805,348,2227,1754,8738,79,13150,4,38,24,250,8,321,711,46,78,75,8,921,249,116,64,302,3,732,353,121,98,222,0,795,5381,2108,1531,8016,95,17130,144,7,22,7,0,177,201,46,40,94,0,379,483,122,128,660,8,1397,81,27,26,129,0,267,46,7,14,35,4,93,346,65,28,49,0,488,1451,454,317,2881,32,5133,1362,497,210,1462,19,3552,78,4,8,6,0,93,35,5,8,13,0,65,26,4,3,29,0,66,46,21,6,47,0,122,89,14,22,7,0,134,189,88,54,28,0,359,206,55,42,94,4,391,85,9,14,10,0,119,4,0,0,0,0,6,1439,524,366,2317,27,4672,52,3,16,14,0,86,294,49,58,19,0,420,162,4,17,58,4,249,48,16,9,8,0,78,55,5,3,0,0,59,300,54,37,124,0,517,2226,410,386,509,18,3556,82,10,9,82,1507,1688,12820,4071,3008,17577,1750,39223
SED50906,376,1983,1453,11939,136,15887,8,91,42,1396,32,1572,457,17,35,38,0,544,47,29,17,76,0,168,442,136,88,221,8,899,4733,1990,1509,11022,172,19434,794,0,55,19,6,880,112,19,12,86,3,233,427,98,78,781,9,1399,68,31,9,108,6,222,28,6,0,20,0,64,416,12,12,16,0,460,1030,309,247,2645,21,4245,742,322,128,1416,12,2624,70,0,5,3,0,81,58,11,4,3,0,73,4,7,9,21,0,45,21,9,8,14,0,52,437,69,59,31,5,605,232,124,62,44,0,468,212,46,53,122,5,438,108,7,11,7,0,132,26,4,8,0,0,42,1145,372,335,2485,32,4376,29,3,6,7,0,38,502,32,22,20,0,578,98,12,6,53,0,161,35,0,4,3,0,43,72,5,14,3,3,94,170,45,28,135,0,381,2075,244,246,452,34,3053,122,24,20,193,2774,3133,11898,3528,2649,23004,3162,44242
SED51004,677,2110,1838,6853,61,11540,11,59,40,541,10,661,832,16,52,59,7,959,131,38,13,87,0,267,646,101,65,183,0,998,12910,1807,1588,5074,107,21497,465,19,61,16,4,563,242,14,23,52,0,334,798,108,100,415,0,1417,95,27,17,78,0,226,90,3,7,14,0,116,702,33,31,34,0,797,2969,275,290,1295,28,4847,579,205,123,585,10,1504,49,0,3,0,0,53,21,6,0,15,0,43,58,25,7,37,0,133,57,9,18,31,0,110,468,53,48,16,6,592,386,131,74,33,0,620,357,30,35,62,0,485,115,3,15,14,4,150,54,5,6,0,0,60,2974,338,294,1204,23,4827,90,8,0,9,0,106,1557,68,53,11,0,1687,172,14,11,29,5,229,42,9,0,5,0,56,181,8,13,0,0,203,572,67,47,57,4,742,4243,345,349,320,24,5283,305,30,12,102,1710,2152,25593,3386,2921,11747,1948,45594
