SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED50106,5212,177,12,138,7,5545,4667,89,12,6,9,4780,1331,238,15,3,0,1582,422,168,7,0,3,596,94,155,10,0,0,263,988,84,9,5,0,1089,144,36,6,51,4,235,11,16,0,0,0,28,2999,690,42,58,10,3798,267,94,4,7,0,383,181,43,0,9,0,230,13322,1090,67,219,34,14733
SED50202,3524,401,17,152,9,4097,8069,480,24,7,0,8579,2052,855,54,3,8,2968,270,293,32,0,0,597,24,95,25,0,0,147,1084,229,14,4,0,1332,112,53,3,50,0,218,19,17,0,0,0,36,3566,1538,134,56,11,5297,151,117,25,8,4,296,227,67,11,9,4,317,15529,2606,204,225,18,18585
SED50304,3778,1396,95,0,0,5268,3630,2468,259,0,0,6357,1296,2238,712,0,0,4257,141,557,20,0,5,722,19,101,15,0,0,136,626,920,176,0,0,1720,72,113,27,0,0,222,17,27,4,0,0,48,2172,3956,955,0,7,7098,101,142,3,0,0,258,100,119,12,0,7,233,9788,8084,1331,0,14,19217
SED50405,2885,101,4,55,0,3044,10870,155,14,4,9,11051,2810,179,83,0,0,3073,141,36,45,0,0,224,13,9,16,0,0,33,887,40,6,3,0,932,240,10,5,19,0,276,18,0,0,0,0,14,4106,267,152,23,9,4556,110,100,0,0,0,212,221,18,4,0,0,242,18201,636,173,89,15,19110
SED50502,4296,350,86,0,3,4732,6249,540,107,0,6,6898,1456,342,96,0,3,1893,311,280,67,0,0,658,61,57,0,0,0,122,897,168,27,0,4,1098,87,17,0,0,0,99,18,10,0,0,0,26,2827,870,194,8,6,3902,124,63,11,0,0,200,170,49,3,0,4,219,13662,1874,398,5,17,15952
SED50605,5915,907,262,0,6,7092,4309,679,199,0,0,5189,1355,654,367,4,0,2380,52,96,10,0,0,157,11,18,0,0,0,26,578,220,89,0,5,890,33,11,12,0,0,58,4,9,3,0,0,16,2034,1003,485,4,7,3529,148,73,5,0,0,232,100,27,12,0,3,142,12514,2700,953,3,15,16187
SED50702,3554,476,377,9,7,4424,4791,867,683,0,11,6342,2348,1208,1520,0,6,5082,504,461,64,0,0,1028,73,67,7,0,0,148,974,336,294,0,5,1604,127,48,20,6,4,196,31,11,5,0,0,50,4053,2128,1921,5,13,8125,158,36,30,0,0,225,153,60,60,6,7,292,12713,3573,3058,21,37,19404
SED50805,4343,1270,188,4,18,5821,4250,1170,276,0,5,5705,855,838,355,4,5,2057,53,238,27,0,0,326,11,24,4,0,0,36,422,360,114,4,5,904,17,16,0,0,0,38,7,6,4,0,0,15,1367,1481,507,11,8,3369,124,78,45,0,0,246,76,48,8,0,4,136,10163,4050,1027,15,31,15279
SED50906,4245,504,67,76,3,4901,5729,341,51,5,8,6136,1960,672,246,3,4,2886,291,445,30,0,0,765,45,150,71,0,0,269,1081,263,47,0,0,1395,92,50,9,13,0,165,20,15,3,0,0,36,3482,1598,401,18,10,5516,121,132,19,5,4,279,154,96,16,11,8,284,13740,2667,553,116,33,17111
SED51004,3226,291,33,0,0,3543,8117,241,77,0,9,8446,1693,275,144,0,0,2106,150,92,0,0,0,236,18,26,0,0,0,47,877,99,28,3,0,1003,54,7,0,0,0,63,10,0,0,0,0,5,2793,500,176,3,0,3471,90,35,5,0,0,121,121,13,4,0,0,140,14347,1075,287,9,3,15728
SED51104,2667,103,6,0,0,2774,10659,143,10,0,9,10822,3310,89,38,0,0,3439,191,76,0,0,0,265,53,51,0,0,0,101,1113,26,10,0,0,1145,84,12,0,0,0,100,21,8,0,0,0,29,4773,258,48,0,3,5077,254,360,3,0,0,617,202,35,0,0,3,247,18553,902,67,4,15,19534
SED51205,4457,479,98,8,6,5044,5810,866,173,7,9,6854,2483,1179,468,13,14,4159,221,266,18,0,0,502,56,50,5,0,0,111,1174,343,82,0,5,1598,199,68,26,8,3,298,23,9,0,0,0,37,4155,1917,594,18,22,6703,166,125,9,3,0,302,203,59,10,4,4,283,14784,3444,881,34,41,19183
SED51304,5825,626,112,0,0,6552,5544,478,49,0,0,6067,820,245,80,0,4,1152,19,37,10,0,0,66,3,26,8,0,0,36,394,172,53,0,0,617,19,9,8,0,0,31,3,9,0,0,0,9,1255,501,163,0,5,1915,87,77,58,0,0,225,79,26,40,0,6,143,12791,1697,418,0,5,14907
SED51401,5875,41,6,60,42,6030,3784,15,4,12,18,3829,626,60,14,6,4,704,407,166,0,0,4,581,114,54,11,6,0,193,1005,25,4,6,5,1043,395,31,0,5,9,439,22,5,0,0,0,27,2571,334,37,29,17,2985,633,5,0,12,9,668,255,17,4,8,4,294,13125,420,53,117,88,13803
SED51504,4700,763,439,0,0,5902,4286,888,503,0,3,5687,927,618,1230,0,0,2778,53,200,60,0,0,314,4,14,27,0,0,46,399,212,396,0,0,1009,22,16,78,3,0,114,4,3,7,0,0,14,1414,1069,1792,0,4,4281,107,121,63,0,0,288,64,33,26,0,0,123,10565,2880,2823,5,8,16280
SED51605,3565,170,74,159,0,3973,8051,250,262,5,7,8565,1764,287,716,0,0,2774,174,113,64,0,0,358,13,16,11,0,0,44,627,82,97,0,0,805,65,11,5,29,0,111,8,0,0,0,0,10,2657,509,904,36,4,4105,96,70,14,3,0,182,122,13,11,3,0,161,14493,1012,1270,200,12,16987
SED51706,5360,166,46,89,8,5663,6864,83,6,15,11,6977,1199,124,42,4,0,1376,156,104,37,0,0,294,31,25,3,0,0,60,923,61,15,7,0,1008,98,5,3,45,0,153,13,0,4,0,0,16,2423,324,108,56,8,2917,270,114,5,4,3,395,228,15,8,17,4,265,15139,704,172,178,33,16223
