SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED50106,560,384,504,470,479,483,396,219,114,3603,6798,4134,4150,4231,4976,5440,4990,2890,1164,38763
SED50202,1201,691,820,700,612,466,274,165,80,5006,11127,6266,7846,7185,5896,5439,4225,2173,736,50888
SED50304,451,356,695,520,438,382,235,166,85,3340,6931,4441,8928,7486,5369,4706,3832,2460,1145,45295
SED50405,1095,547,795,772,587,386,182,134,46,4547,14804,7006,9710,9255,6820,4738,3092,1589,328,57344
SED50502,703,436,533,485,470,410,267,142,60,3506,8105,5011,6080,6193,5627,5430,4042,1982,748,43217
SED50605,330,278,249,311,359,300,277,135,59,2300,7589,5573,4549,5775,5856,5717,5205,2766,1166,44195
SED50702,632,507,877,722,565,472,294,187,135,4388,7777,5467,9515,7593,5853,5290,3881,2069,961,48411
SED50805,423,283,316,330,402,339,243,196,150,2679,6967,4584,4181,5057,5708,4988,3970,2385,1385,39223
SED50906,703,524,700,639,620,487,345,194,112,4319,8165,5114,5480,5673,5984,5637,4671,2502,1024,44242
SED51004,630,482,427,482,538,423,189,89,35,3295,8998,6468,5647,6015,7314,5981,3227,1489,447,45594
SED51104,1074,616,733,737,709,406,206,151,70,4695,13438,7177,8561,8228,7549,5095,3526,2133,769,56481
SED51205,724,540,818,633,459,348,233,158,97,4017,9714,6651,10309,8351,5744,5042,4161,2159,791,52916
SED51304,433,239,217,305,401,278,294,148,52,2370,8536,4574,3186,5672,6014,5158,5630,2866,853,42494
SED51401,863,522,652,666,759,778,591,380,143,5355,6401,3357,3784,4114,4958,5907,5284,2719,929,37453
SED51504,385,263,311,304,304,275,215,131,78,2261,8658,5356,5032,6385,6408,4926,3777,2471,1345,44359
SED51605,632,450,461,532,510,337,204,115,52,3294,10084,6140,6997,7819,7014,5013,3183,1471,447,48164
SED51706,777,432,443,477,548,559,451,263,132,4090,8724,4582,4907,5520,5783,6185,5282,2651,823,44451
SED51804,391,401,395,344,407,390,345,266,207,3144,7251,5807,4564,4805,6153,5715,4944,3392,1506,44128
SED51902,771,395,540,636,596,451,247,128,44,3810,10820,5576,6374,6734,6435,5619,3950,1795,464,47752
SED52006,529,350,324,413,504,432,415,298,153,3414,6957,4252,3737,4435,5328,6082,6845,4001,1125,42755
SED52102,657,411,492,496,434,384,223,112,57,3268,8587,4933,5774,6361,5415,4961,3758,1912,667,42371
SED52205,496,443,676,559,600,473,333,219,189,3990,6389,4527,6608,6249,6049,5787,4598,2483,1186,43870
SED52301,1036,617,670,689,678,558,391,224,111,4976,7744,4527,4630,4792,5294,5085,3919,2122,832,38940
SED52404,452,279,340,407,361,318,214,90,51,2519,8038,4737,4895,5923,5665,5461,4659,1927,564,41866
SED52505,549,476,892,853,505,362,194,63,19,3917,13274,6499,8994,10577,6669,5528,3943,1363,354,57203
SED52604,374,358,352,335,429,448,243,138,71,2755,6882,5524,4646,5130,5995,6213,4287,1790,666,41137
SED52702,386,268,222,321,416,375,264,210,109,2571,7030,4467,2944,4464,5848,5613,5076,3019,1017,39482
SED52803,1087,811,1180,1031,921,754,344,125,34,6287,7684,4495,6151,5538,5079,4521,2347,852,230,36906
SED52903,1685,800,1118,949,936,681,353,121,43,6699,8271,4463,6111,5310,4679,3798,1971,612,139,35352
SED53004,402,276,243,332,369,282,226,133,98,2355,7792,4585,4081,5778,5483,5312,5276,2415,994,41711
SED53105,862,643,1076,955,630,353,218,93,31,4860,11529,5871,8063,8675,6149,4462,3026,1430,516,49705
SED53204,580,372,392,404,390,269,165,84,36,2692,10984,6414,6445,7886,6825,5001,3118,1439,478,48598
SED53306,829,528,534,569,582,511,375,349,255,4532,8557,5106,5351,5392,5464,5601,5432,3731,1567,46195
SED53402,414,330,533,499,425,312,218,123,87,2940,6908,4438,7785,7319,5748,4792,3671,1873,910,43449
SED53502,651,502,597,516,558,472,318,211,175,4005,8409,5555,6790,6372,6092,5743,4384,2510,1049,46900
