SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED50106,19033,19732,38763,982,949,1932,2489,2374,4864,1260,1144,2404,913,810,1726,2155,1990,4150,2048,2179,4231,2342,2635,4976,2574,2872,5440,2429,2565,4990,1340,1551,2890,498,661,1164,17374,18399,35772,1657,1336,2991,786,654,1433,9,13,21,16,7,18,811,667,1476,14488,14762,29248,3434,4005,7440,16542,17495,34040,1106,1274,2387,16635,17645,34276,263,233,497,2312,2209,4528,839,825,1667,124,155,276,319,762,1080,6281,7880,14165,1770,1969,3740,4701,4101,8805,964,827,1792,643,501,1147,79,73,150,16656,17906,34559,1919,1573,3488
SED50202,25162,25722,50888,1948,1859,3809,3820,3498,7314,1521,1473,2996,1592,1676,3272,3825,4025,7846,3555,3629,7185,2946,2947,5896,2659,2778,5439,1981,2242,4225,1018,1155,2173,299,441,736,23849,24874,48725,1310,845,2161,1076,1105,2182,25,21,41,22,29,52,1122,1157,2278,15777,15755,31529,7547,8324,15869,18926,19245,38175,4309,4767,9078,20724,21122,41850,478,437,922,3464,3185,6649,981,1031,2007,350,480,826,617,1146,1759,8289,9591,17878,2300,2436,4740,5160,4963,10114,1162,1091,2255,629,630,1260,168,185,353,23008,23936,46938,1513,1574,3089
SED50304,21855,23438,45295,1414,1340,2756,2058,2113,4174,910,888,1802,1262,1379,2638,4261,4663,8928,3791,3697,7486,2706,2663,5369,2256,2447,4706,1672,2162,3832,1071,1386,2460,454,694,1145,20895,22636,43531,959,801,1764,210,286,492,6,0,9,6,0,6,220,285,509,11623,12447,24065,9062,9906,18968,12913,13712,26621,7713,8577,16284,17026,18413,35437,351,358,708,1945,1986,3923,714,725,1440,490,629,1121,986,1476,2459,11572,12496,24063,1354,1337,2700,2684,2977,5664,591,672,1264,756,1017,1765,195,298,492,20360,22052,42405,1011,1075,2090
SED50405,28004,29342,57344,2625,2473,5100,4922,4785,9705,1834,1777,3604,1602,1795,3402,4531,5177,9710,4520,4736,9255,3379,3446,6820,2287,2457,4738,1395,1697,3092,755,833,1589,148,174,328,25905,28330,54240,2097,1014,3102,671,703,1373,14,11,26,35,29,68,720,746,1469,16914,17891,34804,9468,10232,19699,22126,23259,45389,4169,4787,8955,22752,24027,46774,726,661,1382,4635,4501,9133,1306,1360,2663,402,537,943,706,1527,2232,10491,12444,22936,2592,2533,5124,4590,4631,9224,924,944,1872,336,358,698,60,74,136,25487,27834,53327,948,1061,2013
SED50502,21551,21674,43217,1374,1269,2648,2899,2562,5459,1208,1157,2367,1420,1227,2644,3046,3032,6080,3098,3100,6193,2749,2881,5627,2647,2777,5430,1930,2113,4042,900,1081,1982,273,479,748,20404,20951,41359,1141,721,1863,622,644,1263,8,20,36,22,31,56,658,693,1355,13236,13038,26268,7171,7704,14873,15087,14921,30017,5239,5712,10953,18359,18503,36861,404,329,731,2704,2359,5062,896,900,1803,455,459,915,640,1018,1662,9212,10006,19213,1671,1573,3253,3661,3481,7144,785,811,1598,640,769,1412,200,279,475,20070,20583,40652,812,811,1621
SED50605,21497,22696,44195,1023,981,1997,2856,2734,5592,1426,1343,2766,1478,1328,2805,2303,2239,4549,2737,3042,5775,2762,3091,5856,2686,3032,5717,2439,2765,5205,1335,1428,2766,449,715,1166,20504,21955,42458,993,743,1739,131,150,280,10,10,12,4,7,7,144,161,306,12520,12805,25327,8334,9323,17654,15585,15967,31552,5207,6108,11311,18349,19302,37648,349,329,677,2771,2657,5420,1242,1187,2429,801,756,1555,723,953,1676,12964,13502,26467,1120,1188,2308,2026,2610,4639,477,572,1048,265,386,655,55,88,149,20406,21806,42214,438,584,1022
SED50702,24501,23909,48411,1440,1428,2865,2547,2362,4914,1102,992,2096,1702,1666,3370,4833,4683,9515,3936,3656,7593,3039,2810,5853,2742,2547,5290,1849,2030,3881,945,1121,2069,357,606,961,22971,22886,45857,1529,1025,2553,595,603,1193,21,15,34,11,8,26,624,625,1254,13245,12749,25990,9549,9732,19284,15829,15114,30948,6883,7234,14118,18473,17965,36435,344,321,669,2364,2186,4555,787,766,1550,638,642,1283,1065,1533,2596,11991,12288,24277,1813,1623,3439,3485,3217,6696,767,690,1450,559,658,1218,199,196,397,22124,22046,44170,2350,2075,4426
SED50805,18427,20794,39223,1045,1015,2059,2434,2479,4907,1204,1317,2526,993,1071,2060,1939,2236,4181,2324,2728,5057,2714,2998,5708,2375,2611,4988,1865,2105,3970,1031,1358,2385,516,872,1385,17182,19918,37094,1249,880,2125,165,161,322,5,6,9,3,12,17,174,178,348,13107,14782,27889,4515,5242,9756,16016,17856,33867,1600,2165,3769,16604,18740,35344,306,323,631,2324,2382,4711,999,1160,2160,511,605,1112,524,868,1395,9860,11666,21525,1199,1239,2445,2252,2543,4794,503,545,1052,271,366,633,39,48,91,16917,19315,36235,695,1099,1794
SED50906,21678,22567,44242,1225,1199,2426,2973,2761,5737,1351,1366,2721,1190,1206,2395,2705,2775,5480,2789,2884,5673,2919,3066,5984,2754,2883,5637,2241,2432,4671,1157,1342,2502,371,650,1024,19993,21338,41333,1683,1227,2907,827,852,1676,5,4,16,19,27,45,853,885,1736,15924,16487,32406,4474,4933,9404,17905,19141,37050,1946,2278,4224,18257,19599,37864,338,303,635,2755,2580,5333,911,947,1857,188,293,482,390,894,1285,7086,8707,15792,2052,2189,4243,5282,4916,10202,1078,971,2050,543,591,1138,91,65,154,18984,20721,39705,2086,1485,3570
SED51004,22594,23003,45594,1340,1299,2641,3357,3003,6357,1690,1592,3277,1623,1566,3194,2771,2875,5647,2882,3126,6015,3495,3821,7314,2997,2990,5981,1574,1652,3227,675,812,1489,179,271,447,21185,22243,43426,1405,763,2172,329,348,678,13,8,20,15,7,21,360,370,726,11517,11557,23075,10049,10695,20752,18667,18881,37548,2854,3293,6142,18930,19407,38342,413,401,813,3185,2864,6046,1253,1216,2465,536,615,1153,516,1028,1547,10396,11782,22182,1917,1922,3844,3620,3226,6842,683,624,1312,248,304,556,45,80,122,20911,21891,42799,637,685,1326
