SED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED50106,2215,3027,2726,2475,1845,1636,1203,2223,251,17599
SED50202,1583,2579,3767,3017,2689,1858,2893,2869,444,21707
SED50304,2749,6213,3278,2853,3195,2052,1406,2270,387,24400
SED50405,2663,4380,5219,4045,3396,2298,2779,2840,465,28091
SED50502,2101,4085,3371,2635,2784,1757,1737,2173,366,21017
SED50605,3547,7853,2066,1979,2831,1851,656,1157,310,22253
SED50702,2824,5492,3916,2958,3327,1875,2230,2273,472,25364
SED50805,3461,6708,2074,2066,2551,1551,583,1026,227,20250
SED50906,1829,3655,3504,2498,2256,1775,1851,2681,314,20355
SED51004,2905,4707,4175,3233,3415,2188,1455,2116,404,24604
SED51104,2520,3872,5004,3928,3382,2421,2362,2866,482,26826
SED51205,1963,5129,4140,3637,3019,1943,2565,3217,528,26148
SED51304,3567,6864,2346,2051,2722,1676,579,1038,283,21117
SED51401,3866,1671,2228,1574,1614,1029,1796,2053,299,16128
SED51504,3962,8734,1735,2297,2411,1640,612,1526,291,23208
SED51605,3014,5420,4514,2976,3625,2148,1806,2429,421,26353
SED51706,2168,2746,4005,2264,2186,1621,2478,2592,360,20419
SED51804,4326,9148,1110,2131,2052,1415,352,785,348,21658
SED51902,2795,3589,4725,2720,3307,1866,2450,2153,451,24059
SED52006,1766,2626,3289,2330,1892,1659,1828,1704,311,17412
SED52102,1985,3063,3850,2327,3061,1705,2454,2059,428,20930
SED52205,3091,7153,3048,2711,2164,1410,995,1604,355,22527
SED52301,1798,3009,3002,2399,2011,1609,1627,2013,280,17751
SED52404,3054,5617,3548,2492,2911,1657,928,1468,309,21983
SED52505,3497,8090,4162,3405,4135,2322,1950,2091,471,30135
SED52604,2844,4990,3491,2713,3054,1887,1036,1687,361,22065
SED52702,2907,4830,3018,2032,2523,1348,1097,1302,301,19361
SED52803,1624,2531,4023,1667,1940,1110,3416,1712,324,18354
SED52903,1933,3099,1693,2234,1654,819,743,1378,370,13914
SED53004,2606,5487,3249,2374,3170,1709,968,1453,258,21267
SED53105,2211,4116,4215,2870,3055,1922,2398,2522,398,23712
SED53204,3011,4936,4100,3078,3792,2428,1779,2401,382,25905
SED53306,1644,2507,3337,2666,1812,1743,2031,2126,312,18179
SED53402,3292,7714,2754,2672,3025,1607,1113,1629,342,24156
SED53502,2339,4009,3823,2836,3065,1945,2150,2284,448,22896
SED53602,1487,2657,3277,3227,2161,1828,2207,3455,494,20790
SED53701,3844,1847,2625,1479,1818,947,1987,2328,316,17184
SED53802,2355,4821,3436,2863,3115,1952,1563,2266,407,22769
SED53902,3129,7192,2480,2537,2859,1689,905,1513,323,22627
SED54006,1952,2135,3863,2110,1889,1423,2513,2636,373,18889
SED54104,3754,11248,1305,2358,2399,1485,413,1020,336,24311
SED54203,1369,1261,1935,1035,952,545,1613,1406,269,10389
SED54304,4908,12373,3090,3368,3502,1858,976,1850,457,32392
SED54403,2222,3161,6157,1976,2422,1182,3617,2463,534,23732
SED54505,2654,7360,2341,2267,2696,1587,924,1436,322,21593
SED54605,1587,2393,3317,2649,1980,1339,1657,1985,309,17216
SED54701,4389,1991,2380,1449,1706,1096,1787,2622,350,17768
SED54804,3861,8434,3067,2675,2973,1793,848,1383,404,25435
SED54905,3487,8598,1969,2354,2699,1655,721,1200,348,23038
SED55005,2389,4892,3970,2929,3337,2186,2333,2554,429,25028
SED55102,2814,3430,4339,3041,3285,2057,2419,2258,468,24114
SED55202,1437,2881,3765,2815,2640,1757,2574,2874,417,21163
SED55306,2854,3499,3703,2502,2069,1940,1377,2541,338,20820
SED55405,2888,7762,3207,3430,2972,1844,1609,2430,457,26592
SED55504,2733,4207,4622,3229,3449,2204,1901,2577,460,25381
SED55605,2305,3363,4776,3362,2655,2206,2217,2541,455,23889
SED55706,3771,2954,3003,2100,1709,1427,1529,2975,330,19794
SED55802,2602,3973,4645,3848,3657,2467,2810,2768,457,27227
SED55905,2139,4646,3261,2342,2633,1642,1319,1766,355,20095
SED59494,107,257,272,223,150,77,213,292,33,1614
SED59797,9,33,83,9,10,0,31,98,6,277
