SED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED51605,4,5,8,61,6,12,3,0,0,100,0,0,0,0,10,5,0,0,0,10,10,138,277,525,307,107,40,9,0,1409,0,0,0,49,19,27,31,5,3,146,0,0,0,0,0,6,0,0,0,5,5,16,27,143,79,112,87,37,11,521,9,9,30,137,55,77,38,12,0,366,3,43,100,298,217,123,51,25,6,870,0,7,14,50,23,20,16,10,0,134,0,3,0,49,4,5,3,3,0,63,3,27,31,79,34,18,3,0,0,190,0,0,0,3,5,4,0,0,0,11,8,19,12,61,21,19,13,6,0,159,0,3,8,32,30,12,3,0,0,89,0,0,5,18,27,12,13,3,3,84,0,11,28,78,44,29,13,4,3,203,3,72,128,674,339,360,262,126,24,1978,92,179,191,608,260,187,141,109,44,1815,3290,6795,6140,14814,7014,5013,3183,1471,447,48164
SED51706,0,3,6,13,0,0,0,0,0,20,0,0,0,7,6,9,0,0,0,23,4,25,28,123,47,21,15,0,0,265,0,0,0,10,0,0,7,9,5,37,0,0,0,5,0,0,0,0,0,3,0,0,9,26,29,67,62,40,6,235,0,3,7,14,9,11,10,0,0,56,0,31,62,165,157,74,41,12,6,559,0,0,0,4,3,3,0,0,0,14,0,0,4,72,0,0,0,0,0,77,0,9,4,26,14,5,6,5,3,70,0,0,0,4,0,0,0,0,0,0,0,4,4,27,16,21,19,9,0,99,0,9,3,34,0,6,3,0,0,55,0,0,0,12,7,22,15,11,0,79,0,5,18,51,40,40,25,3,0,185,3,16,18,118,68,85,73,38,11,426,93,268,232,615,378,416,351,230,137,2726,2624,6101,4582,10424,5783,6185,5282,2651,823,44451
SED51804,0,0,3,7,5,5,0,0,0,19,0,0,0,5,20,7,0,0,0,32,0,7,13,42,17,7,6,0,0,96,0,5,3,30,16,24,36,7,5,130,0,0,0,0,0,0,0,0,0,9,4,14,29,54,93,84,68,46,31,414,4,54,61,71,56,53,53,22,6,388,5,38,116,272,205,169,114,57,21,992,0,4,7,27,22,25,17,12,7,120,0,4,0,13,4,0,0,0,0,26,3,14,12,26,19,0,5,0,0,76,0,0,0,6,5,3,0,0,0,16,16,73,71,133,80,66,73,28,7,544,0,8,4,11,21,8,0,3,0,55,0,4,7,25,17,30,27,11,0,114,0,0,11,41,39,56,40,5,0,195,11,122,116,501,242,218,153,101,33,1493,46,157,199,502,232,247,248,225,194,2054,1856,5390,5807,9374,6153,5715,4944,3392,1506,44128
SED51902,0,13,3,42,12,0,0,0,0,72,0,3,13,20,17,0,0,0,0,58,0,31,59,148,72,30,9,0,0,351,0,0,0,23,8,8,12,0,0,49,0,0,0,7,0,0,0,0,0,14,0,12,26,95,85,111,78,48,5,451,0,5,18,43,42,23,14,3,0,154,5,50,118,274,213,112,55,14,4,838,0,0,0,30,14,6,6,0,0,51,0,0,0,12,0,0,0,0,0,11,0,9,5,34,16,8,4,0,0,86,0,0,0,0,0,0,0,0,0,7,0,7,16,40,21,31,25,11,0,161,0,5,0,23,5,8,5,0,0,54,0,4,4,23,26,38,22,12,4,130,0,6,48,123,64,26,12,9,0,289,0,40,80,349,154,153,106,65,14,964,75,234,191,614,324,255,152,102,37,1982,3517,7304,5576,13106,6435,5619,3950,1795,464,47752
SED52006,0,6,0,0,0,0,0,0,0,10,0,0,5,4,14,6,0,0,0,26,3,43,49,129,48,41,17,5,0,339,0,0,0,8,7,5,11,4,0,41,0,0,0,3,0,0,0,0,0,12,3,17,36,60,67,122,136,92,15,547,0,0,0,9,12,18,13,8,0,60,0,53,104,193,189,121,62,31,10,763,0,6,0,3,7,4,3,7,0,35,0,0,0,3,0,0,3,0,0,9,0,21,21,61,35,11,7,0,0,154,0,0,0,0,0,0,0,0,0,4,0,10,15,29,18,25,30,11,6,136,0,12,6,25,11,4,0,0,0,56,0,16,19,50,38,39,42,31,12,251,0,7,5,37,25,36,23,13,0,140,7,31,42,149,106,123,128,74,19,687,42,156,169,491,307,298,302,241,122,2128,1999,4953,4252,8172,5328,6082,6845,4001,1125,42755
SED52102,0,27,17,56,17,5,4,0,0,118,0,3,15,15,14,4,0,0,0,48,5,71,158,328,194,74,56,5,0,882,0,0,0,15,7,10,17,5,0,62,0,0,0,3,0,0,0,0,0,8,0,4,10,37,45,62,69,49,8,290,0,9,4,64,32,42,41,6,0,202,0,27,35,147,85,38,34,7,0,387,0,6,20,84,29,9,20,10,0,182,0,5,4,43,5,0,6,0,0,61,0,12,20,83,28,13,11,0,0,173,0,0,5,13,14,5,3,0,0,38,0,8,10,22,14,12,18,3,0,88,0,5,7,43,18,11,5,0,0,89,0,0,0,16,10,18,15,10,5,70,0,13,38,64,46,42,15,5,0,220,7,38,95,331,154,161,99,71,27,982,83,223,210,648,272,251,151,103,50,1994,2824,5754,4933,12138,5415,4961,3758,1912,667,42371
SED52205,0,0,4,14,0,0,5,0,0,25,0,0,0,3,10,12,0,0,0,29,5,60,87,170,95,39,17,6,4,479,0,0,0,35,17,16,28,3,3,104,0,0,0,4,0,0,0,0,0,3,0,8,21,125,79,109,92,56,14,492,0,3,9,37,15,23,19,0,0,107,0,12,45,175,80,77,44,15,5,460,0,0,0,16,9,6,6,0,0,39,0,0,5,27,0,0,4,0,0,29,0,4,12,46,20,12,7,0,0,104,0,0,0,6,7,5,0,0,0,24,8,20,31,151,46,39,42,12,4,354,3,0,0,18,22,8,10,0,0,72,0,0,0,35,16,36,19,10,6,135,0,4,8,49,25,22,12,0,0,117,15,54,94,633,290,335,305,228,76,2032,87,171,246,871,374,323,243,196,164,2672,2363,4017,4527,12852,6049,5787,4598,2483,1186,43870
SED52301,0,0,0,33,3,7,0,0,0,39,0,0,0,8,6,3,4,0,0,10,8,39,60,181,94,51,29,4,0,462,0,0,0,4,3,0,4,4,0,16,0,0,0,5,0,0,0,0,0,11,0,7,0,20,32,56,39,27,10,176,0,3,0,12,6,10,0,8,0,39,0,40,56,159,119,59,28,13,0,478,0,6,10,12,12,3,0,0,0,40,0,0,4,26,0,0,0,0,0,35,4,18,12,38,28,23,4,0,0,131,0,0,0,0,0,0,0,0,0,3,0,3,6,35,12,21,13,6,0,98,0,3,3,47,23,18,20,3,0,107,0,0,7,8,13,13,10,0,0,49,0,8,14,30,24,19,10,3,0,105,0,16,23,107,74,67,41,44,14,409,192,477,390,970,471,414,313,206,103,3541,2318,5422,4527,9424,5294,5085,3919,2122,832,38940
SED52404,0,0,0,12,0,4,5,0,0,27,0,0,0,3,12,0,0,0,0,20,0,10,8,61,30,24,26,4,0,164,0,3,5,34,23,37,52,15,0,176,0,0,0,0,0,0,0,0,0,0,0,31,46,154,122,157,139,60,18,727,0,12,8,12,32,22,32,15,3,138,5,76,164,357,279,195,104,31,8,1220,0,4,5,12,5,11,7,3,0,46,0,0,4,16,4,0,0,0,0,22,4,8,3,47,18,15,4,0,0,102,0,0,0,0,0,0,4,0,0,8,6,21,21,61,28,26,26,7,0,192,0,0,3,22,35,15,14,0,0,94,0,19,22,56,53,31,41,23,0,245,0,0,23,82,76,71,42,9,3,306,10,57,87,392,232,249,204,84,22,1335,51,93,115,382,168,163,140,74,45,1217,2542,5495,4737,10815,5665,5461,4659,1927,564,41866
SED52505,3,45,35,202,34,9,10,0,0,347,0,0,3,13,13,8,0,0,0,44,7,120,187,456,192,74,19,0,0,1061,0,0,3,33,7,9,24,7,4,86,0,0,4,3,6,3,0,0,0,18,0,18,29,103,85,111,89,33,13,486,4,97,186,481,158,207,152,36,6,1332,8,79,217,491,285,248,90,29,6,1460,3,72,89,330,166,85,47,18,5,807,0,9,0,127,11,10,5,0,0,161,0,11,30,79,40,12,13,0,0,172,0,0,4,5,9,5,0,0,0,25,8,36,17,56,27,22,15,4,0,185,3,9,14,84,22,40,16,5,0,193,0,0,0,29,18,14,15,17,0,92,0,22,75,182,101,36,20,0,0,435,15,186,246,794,333,244,151,70,16,2051,46,147,123,512,182,157,88,42,14,1320,4601,8675,6499,19569,6669,5528,3943,1363,354,57203
SED52604,0,4,6,45,0,0,4,0,0,62,0,0,3,4,11,3,3,0,0,29,0,7,20,81,46,41,22,7,0,225,0,0,3,28,29,30,63,6,4,169,0,0,0,0,0,0,0,0,0,7,0,45,80,167,168,231,177,74,20,958,0,5,20,57,41,61,50,15,11,254,13,112,289,490,440,293,126,40,17,1823,0,6,13,45,3,0,12,3,0,90,0,0,0,29,9,0,6,0,0,44,0,12,24,42,26,9,5,0,0,124,0,0,0,10,0,3,3,0,0,16,4,21,31,49,37,26,13,9,0,190,0,9,10,34,27,22,12,3,0,124,0,11,13,45,57,57,61,11,7,263,0,3,34,79,92,116,51,6,3,396,0,63,129,384,239,260,189,109,28,1405,38,114,168,413,235,233,154,106,57,1516,1962,4921,5524,9777,5995,6213,4287,1790,666,41137
SED52702,0,0,0,0,0,0,3,0,0,11,0,0,0,9,17,11,3,0,0,46,0,3,3,23,16,18,13,5,0,90,0,0,0,15,13,9,17,7,7,65,0,0,0,3,0,0,0,0,0,5,0,4,9,51,68,100,98,72,32,439,0,3,11,12,21,17,20,10,0,104,3,34,62,135,152,90,66,39,8,583,0,0,0,6,9,9,11,0,4,40,0,0,0,5,0,0,0,0,0,10,0,21,12,34,20,17,8,0,0,110,0,0,0,4,0,0,0,0,0,12,11,21,24,49,21,46,37,18,5,222,0,6,4,17,5,3,3,0,0,35,0,0,7,14,19,34,32,27,0,133,0,4,14,36,50,50,42,6,9,206,0,30,35,134,159,183,173,112,49,883,32,107,117,314,207,222,153,151,87,1385,1719,5312,4467,7405,5848,5613,5076,3019,1017,39482
SED52803,0,6,10,37,4,3,3,0,0,62,6,25,33,54,44,7,0,0,0,176,3,84,113,356,152,92,30,7,3,843,0,0,0,6,0,4,3,0,0,17,0,0,3,6,5,10,4,0,0,26,0,0,5,31,20,39,22,12,3,139,0,0,5,13,10,6,0,0,0,28,4,59,87,219,134,67,19,7,0,591,0,0,5,25,13,0,6,0,0,43,0,0,0,14,0,0,0,0,0,14,3,23,18,87,47,22,6,0,0,217,0,0,0,5,0,0,0,0,0,10,0,4,7,20,8,6,6,3,0,60,0,4,3,32,4,0,4,0,0,50,0,0,0,11,9,7,4,0,0,32,0,24,32,139,64,51,11,0,3,331,16,60,41,301,117,81,41,25,12,698,250,548,593,1718,714,630,309,118,36,4911,2657,5031,4495,11691,5079,4521,2347,852,230,36906
SED52903,0,0,0,6,3,0,0,0,0,10,0,0,0,10,8,5,5,0,0,19,3,25,52,142,53,28,11,0,0,319,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,5,30,18,32,14,4,3,98,0,0,0,11,4,10,4,0,0,31,0,10,12,65,36,24,8,0,0,156,0,6,0,26,5,0,0,0,0,45,0,5,0,41,0,0,0,0,0,43,0,5,4,47,21,14,0,0,0,102,0,0,0,4,5,0,0,0,0,5,0,0,3,40,15,19,14,0,3,86,0,5,6,28,3,4,0,0,0,47,0,0,0,6,0,9,4,0,0,26,0,0,0,30,12,9,9,0,0,68,0,17,39,319,53,53,30,8,0,525,287,726,585,1634,747,616,315,115,36,5060,2660,5608,4463,11422,4679,3798,1971,612,139,35352
SED53004,0,0,4,11,0,7,0,0,0,27,0,0,0,6,13,4,4,0,0,25,0,13,17,46,16,29,22,4,0,150,0,5,0,28,21,23,23,5,3,112,0,0,0,0,0,3,0,0,0,10,0,21,43,112,108,143,136,78,30,668,0,8,7,36,17,33,39,9,3,157,0,60,135,321,221,119,64,28,10,962,0,0,5,16,7,17,16,8,3,64,0,0,0,16,4,5,8,0,0,35,0,11,7,47,33,9,0,0,0,107,0,0,0,3,8,0,0,0,0,15,0,16,16,54,20,11,25,10,0,154,0,5,17,53,37,24,27,5,0,176,0,3,13,38,36,21,26,22,12,172,0,4,17,69,65,50,23,9,0,243,5,49,62,315,164,178,160,73,37,1050,28,89,90,311,166,139,129,104,62,1116,2324,5464,4585,9854,5483,5312,5276,2415,994,41711
SED53105,5,11,18,81,12,13,7,0,0,140,0,0,0,7,10,0,0,0,0,21,5,242,378,688,386,124,49,14,0,1883,0,0,0,9,17,13,16,0,0,58,0,0,3,8,4,6,0,3,0,27,0,21,27,110,88,95,71,58,20,498,4,18,42,91,52,37,27,9,4,292,0,57,101,362,187,112,58,16,8,890,0,14,20,66,41,13,8,8,0,166,0,3,3,55,0,3,0,0,0,70,0,14,17,69,40,14,6,0,0,168,0,0,0,0,5,0,0,0,0,8,0,17,12,52,20,22,9,4,0,139,0,3,8,54,24,15,3,0,0,117,0,0,3,26,17,28,19,17,9,118,3,12,45,150,54,29,3,0,0,300,6,81,144,650,261,206,153,66,24,1586,138,279,252,809,269,210,145,68,38,2212,3957,7570,5871,16736,6149,4462,3026,1430,516,49705
SED53204,3,32,36,53,24,7,5,6,0,160,0,0,3,4,12,5,0,0,0,21,0,46,125,266,155,67,30,6,0,703,0,0,5,37,23,33,36,7,3,147,0,0,0,0,4,7,0,0,0,16,0,4,14,80,50,84,59,31,11,334,0,16,25,86,46,54,19,8,0,258,5,106,212,410,324,150,71,20,4,1300,0,0,7,24,19,25,18,4,0,108,4,0,0,48,4,0,0,0,0,59,0,20,42,90,24,13,8,0,0,202,0,0,5,16,5,4,0,0,0,27,0,5,27,45,24,22,6,8,4,135,3,30,61,526,378,301,138,33,18,1476,0,0,9,26,19,20,16,3,4,98,0,9,61,106,82,63,24,3,0,349,7,125,276,926,502,347,180,66,28,2458,72,127,147,412,180,142,103,49,32,1259,3484,7497,6414,14331,6825,5001,3118,1439,478,48598
SED53306,4,7,0,23,0,3,0,0,4,44,0,4,18,15,15,4,0,0,0,50,7,90,136,294,149,73,31,6,0,802,0,5,0,6,0,4,9,0,0,40,0,0,4,5,0,0,0,0,0,11,0,28,31,83,80,123,98,93,30,569,0,0,12,8,16,12,12,7,5,77,4,41,110,196,176,120,64,21,6,746,0,14,12,20,13,3,9,4,0,71,0,0,0,20,3,0,0,0,0,31,7,26,30,79,31,28,5,0,0,201,0,0,0,3,0,0,4,0,0,7,0,9,12,38,12,21,22,5,4,122,6,5,5,40,12,11,8,0,0,77,0,3,19,33,31,28,31,23,11,172,0,11,29,73,47,31,16,9,0,220,4,32,62,216,131,124,140,92,20,827,139,306,303,750,411,356,297,323,252,3135,2738,5819,5106,10742,5464,5601,5432,3731,1567,46195
SED53402,6,7,30,80,8,9,0,0,0,137,0,0,0,6,12,3,7,0,0,34,0,28,56,186,69,43,24,3,0,413,0,0,0,60,31,41,58,16,22,230,0,0,0,0,0,0,0,0,0,5,0,3,12,129,70,63,61,29,23,389,0,7,7,86,50,40,38,12,5,252,4,14,33,193,63,52,34,9,0,399,3,14,13,116,19,15,20,23,5,235,0,11,3,80,10,0,0,0,0,107,4,14,19,88,37,27,10,5,0,200,0,0,0,24,0,3,0,0,0,32,11,8,23,96,33,25,22,0,3,214,0,20,43,218,148,150,103,39,24,742,0,3,0,39,19,15,10,7,0,103,0,0,11,51,19,10,13,3,0,104,3,83,133,810,261,194,152,97,46,1790,67,156,179,710,241,205,152,124,86,1931,2569,4341,4438,15096,5748,4792,3671,1873,910,43449
SED53502,0,3,5,34,7,6,4,5,0,63,0,3,8,12,5,4,3,0,0,36,11,126,273,537,272,113,46,21,3,1381,0,0,0,26,15,17,23,4,17,100,0,3,0,5,0,7,0,0,0,15,0,0,9,52,48,92,96,47,10,355,0,7,3,45,23,21,13,3,0,118,4,13,40,133,83,58,26,9,4,368,0,8,14,61,23,14,14,12,0,147,0,3,0,25,0,0,0,0,0,31,3,12,18,67,33,13,5,0,0,152,0,0,0,0,6,5,0,0,0,8,3,12,11,56,23,26,16,5,3,149,0,7,13,68,34,24,15,0,0,163,0,0,0,14,11,24,17,8,3,82,3,8,29,95,51,44,12,4,4,246,6,39,90,396,141,154,119,95,36,1058,83,243,271,747,349,311,239,202,182,2625,2893,5507,5555,13163,6092,5743,4384,2510,1049,46900
SED53602,0,31,76,203,17,8,10,3,0,346,0,0,0,3,0,0,0,0,0,11,0,62,133,274,197,85,50,17,4,822,0,0,7,29,17,37,62,19,12,182,0,0,0,6,0,0,0,0,0,7,0,3,3,31,30,56,56,55,13,253,0,5,9,46,25,38,43,11,6,182,0,6,39,90,47,52,50,15,0,302,0,8,29,61,25,22,22,11,0,176,0,0,3,55,4,0,0,0,0,57,3,110,178,137,51,17,14,0,0,506,0,8,9,25,13,8,6,0,0,63,6,6,9,28,17,9,4,4,0,79,13,93,187,978,663,635,375,106,44,3091,0,0,0,5,7,10,9,7,0,40,0,3,11,43,11,13,10,5,0,84,35,305,522,1595,599,398,265,140,43,3901,204,396,371,919,357,257,222,175,100,3000,3201,6249,6357,14097,5775,5322,4201,2171,751,48121
SED53701,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,8,4,0,0,13,3,45,41,123,43,23,11,7,0,290,0,0,0,9,3,5,11,4,4,20,0,0,0,5,4,0,0,0,0,8,0,0,4,33,33,70,70,45,3,271,0,0,0,7,14,3,7,0,0,32,5,11,35,85,65,50,35,12,0,296,0,0,0,5,0,0,0,3,0,14,0,0,0,63,4,0,0,0,0,71,0,9,4,32,22,9,0,0,0,81,0,0,0,0,0,0,0,0,0,5,0,0,8,15,16,24,19,10,3,91,0,4,0,21,12,7,5,0,0,56,0,0,0,20,19,11,18,4,0,68,0,6,4,24,31,24,9,5,0,101,6,6,34,198,60,95,96,50,16,567,157,499,398,955,677,783,656,379,103,4620,1831,4537,3247,7720,5274,6510,5759,2743,694,38315
SED53802,3,20,78,226,20,12,5,5,0,365,0,0,0,5,4,3,5,0,0,15,0,64,96,230,139,78,38,10,0,666,0,8,5,58,27,31,45,20,15,202,0,0,3,4,0,0,0,0,0,5,0,0,8,39,36,51,57,48,12,254,0,6,7,81,37,53,50,26,0,267,0,19,69,204,118,122,133,38,8,705,0,7,23,72,24,29,26,24,7,215,6,4,4,102,4,0,6,0,0,122,3,22,26,102,51,20,14,0,0,236,0,5,4,38,14,11,0,0,0,77,0,12,9,56,19,22,7,6,0,124,6,42,94,466,331,367,213,68,34,1614,0,0,3,12,0,10,12,14,4,55,0,0,14,53,21,22,12,6,0,131,20,163,248,1097,323,263,227,128,45,2516,113,189,207,713,217,203,148,111,69,1984,2769,4804,5124,14068,5425,5075,4414,2739,994,45426
SED53902,6,21,32,128,12,3,0,3,3,206,0,0,0,3,4,4,5,0,0,22,0,19,28,153,50,35,19,3,0,309,0,5,8,40,22,30,34,19,28,188,0,0,0,0,0,0,0,0,0,0,0,4,20,88,66,70,60,47,24,384,3,18,14,104,36,34,35,16,6,271,0,13,73,291,195,163,138,81,42,996,0,10,18,108,25,18,15,9,3,205,0,0,0,78,3,0,0,0,0,91,8,24,20,60,24,15,7,0,0,155,0,0,5,28,5,6,0,0,0,60,5,13,19,55,23,34,16,11,4,171,3,28,56,192,203,131,81,35,16,736,0,0,3,17,11,13,11,14,0,65,0,0,4,57,26,26,9,4,0,127,14,91,154,858,297,203,176,101,67,1967,62,132,138,578,217,184,167,198,145,1825,2119,4049,4678,13012,5372,4820,3918,2760,1649,42377
SED54006,0,3,3,3,0,0,0,0,0,8,0,0,0,11,3,3,0,0,0,26,7,93,75,281,90,55,9,5,0,612,0,0,0,5,4,3,3,0,0,23,0,0,0,0,0,0,0,0,0,4,0,7,9,37,51,73,85,43,17,322,0,0,0,11,13,4,9,3,0,47,0,34,67,122,113,83,46,23,0,491,0,0,0,0,0,0,4,0,0,11,0,0,0,38,0,0,0,0,0,40,5,13,4,30,22,10,3,0,0,86,0,0,0,0,0,0,0,0,0,4,0,4,3,10,21,26,32,13,3,105,0,9,6,12,7,0,5,3,0,34,0,0,0,4,16,17,11,12,3,68,0,3,18,25,25,36,23,0,0,141,0,14,25,147,61,99,77,46,10,471,96,269,279,641,442,422,357,223,65,2795,2277,5891,4641,9517,5740,6091,5539,2876,825,43391
SED54104,7,14,12,74,11,3,0,0,0,123,0,0,5,3,12,9,4,0,0,32,0,11,37,130,37,15,16,0,4,252,0,3,0,48,23,18,18,10,11,127,0,0,0,0,0,0,0,0,0,3,0,28,48,104,88,100,84,52,13,535,9,56,145,217,82,71,78,40,6,702,5,27,134,270,150,132,93,38,10,859,0,27,22,73,37,33,20,20,16,240,0,9,9,60,34,6,26,8,0,144,6,14,33,61,22,14,11,4,0,164,0,0,7,14,4,0,0,0,0,24,21,88,82,170,47,50,32,32,3,537,3,23,31,115,50,20,26,6,0,268,0,0,4,27,16,22,12,22,8,112,0,0,22,59,28,26,16,14,0,159,29,152,186,789,280,238,171,100,36,1987,58,125,241,618,204,177,215,128,69,1849,1978,5271,6912,12886,5637,5152,4801,2891,1157,46676
SED54203,0,0,0,8,0,0,0,0,0,11,0,0,0,0,4,6,3,0,0,11,0,19,27,112,44,29,3,3,0,229,0,0,0,8,7,3,6,0,0,21,0,0,0,4,0,0,0,0,0,3,0,0,3,20,19,31,22,7,5,97,0,0,0,10,3,0,0,0,0,20,0,0,5,61,33,22,8,5,0,133,0,0,3,18,0,0,0,0,0,29,0,0,0,36,0,0,0,0,0,34,0,12,8,32,29,11,0,0,0,91,0,0,0,0,0,0,0,0,0,0,5,13,0,36,17,10,8,0,0,87,0,0,3,49,47,21,6,0,0,134,0,0,0,7,6,7,7,0,0,32,0,0,0,24,17,13,8,0,0,66,0,12,19,236,68,57,44,21,0,464,215,418,467,1478,604,507,280,118,27,4122,1567,2822,2320,7466,3189,2907,1772,691,139,22875
SED54304,5,3,23,87,12,6,0,5,5,138,0,0,5,15,13,10,0,0,0,36,7,11,67,309,88,40,22,0,0,543,5,4,4,85,19,23,36,12,10,196,0,0,0,0,3,0,0,0,0,8,0,3,22,205,112,85,65,23,3,519,5,22,65,320,82,55,38,10,5,611,0,11,75,331,106,74,44,8,0,648,0,4,17,81,18,9,10,4,3,136,0,0,10,221,7,3,10,0,0,241,4,9,45,200,55,12,11,3,0,333,0,0,0,29,5,12,5,0,3,51,21,39,54,218,52,45,34,4,0,459,3,17,92,230,135,116,122,32,19,761,0,0,10,37,14,19,12,0,4,98,0,0,23,107,27,15,15,0,0,186,16,90,217,1674,265,201,139,84,31,2722,95,135,496,1919,471,359,244,127,52,3891,2414,3732,6122,23697,6403,5383,3574,1590,733,53651
SED54403,0,4,4,47,3,0,3,0,0,65,0,5,12,25,17,8,4,0,0,72,6,100,133,519,245,116,27,4,0,1140,0,0,0,14,11,3,0,0,0,30,0,0,0,7,8,3,3,0,0,17,0,4,11,70,35,56,11,0,0,191,0,9,5,32,17,7,9,4,0,90,8,32,58,220,142,72,15,4,0,547,0,12,4,63,12,9,5,0,0,106,0,0,0,37,0,0,0,0,0,40,4,30,35,153,63,22,0,0,0,305,0,0,0,11,5,5,0,0,0,18,0,5,3,56,10,9,0,0,0,91,0,9,9,60,9,4,0,0,0,86,0,0,0,11,10,5,0,4,0,35,0,6,30,95,71,43,0,0,0,243,6,40,51,424,146,109,41,12,5,820,381,952,826,3571,1280,898,222,49,14,8192,3834,7212,5006,18636,6631,4492,1275,288,55,47427
