SED_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SED50106,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,22,14,3,4,0,0,52,0,0,0,4,0,0,0,0,0,4,0,4,0,14,11,6,44,35,12,129,0,11,20,81,68,83,44,23,8,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,36,45,134,80,34,30,7,0,367,0,0,0,4,10,0,4,0,0,24,0,0,0,0,0,4,0,0,0,4,0,8,4,17,17,42,22,28,16,142,0,0,0,9,4,6,0,0,0,23,0,18,30,62,54,48,19,11,0,232,0,0,0,4,0,0,3,5,0,20,0,0,0,9,0,0,0,0,0,13,0,22,17,28,15,8,5,0,0,93,0,0,0,0,0,0,0,0,0,0,0,4,6,16,12,15,21,4,0,86
SED50202,0,0,0,0,0,0,9,0,0,11,0,0,4,27,8,0,5,3,0,52,0,0,11,105,32,45,22,7,5,233,0,0,0,20,0,0,0,0,0,19,0,0,9,10,25,12,58,58,29,214,3,67,96,327,153,166,82,15,4,914,0,0,0,0,3,0,0,0,0,0,0,14,3,41,3,7,3,0,0,66,0,10,4,17,6,5,3,0,0,42,3,66,124,283,137,73,50,12,0,743,0,5,0,12,0,8,5,3,6,32,0,0,0,9,0,4,0,0,0,15,0,0,4,38,22,45,42,30,14,196,0,5,12,35,19,13,20,7,0,106,0,7,27,87,56,29,24,12,0,237,0,12,15,80,21,9,8,0,0,143,0,0,0,29,4,5,0,0,0,36,3,29,61,97,34,20,10,0,0,253,0,0,0,6,4,0,3,0,0,14,0,4,4,16,10,9,12,4,0,68
SED50304,0,0,0,0,0,0,0,3,0,4,0,3,10,28,7,9,14,7,0,90,0,0,3,21,8,12,20,0,6,71,0,3,14,57,3,0,3,0,0,88,0,0,0,7,0,6,5,7,4,36,4,14,27,143,64,66,28,11,3,370,0,3,5,39,28,67,67,52,24,284,0,9,6,50,3,5,5,0,0,79,0,0,0,4,3,0,4,0,0,9,0,20,49,139,46,29,23,10,0,315,0,0,3,28,17,21,29,4,9,112,0,0,0,0,0,0,0,0,0,0,0,3,3,35,19,24,26,23,10,134,0,0,8,55,25,18,15,8,4,125,0,3,35,118,46,36,24,9,3,283,0,5,3,47,9,9,7,5,0,89,3,0,0,70,15,9,0,0,0,93,0,5,16,82,27,12,8,0,0,145,0,0,5,8,4,0,0,0,0,20,0,3,17,47,12,10,3,0,0,86
SED50405,0,0,0,0,0,0,4,0,0,6,0,0,4,24,10,3,4,0,0,45,0,0,0,12,7,7,10,5,0,38,0,4,3,29,3,0,0,0,0,38,0,0,4,9,12,9,24,22,5,87,19,173,191,665,250,175,97,31,4,1608,0,0,0,0,0,5,0,0,0,5,0,4,0,21,3,0,3,0,0,26,0,0,0,9,4,0,0,0,0,17,5,94,204,411,203,77,33,3,0,1033,0,0,3,13,5,7,3,0,0,29,0,0,0,4,0,5,0,0,0,10,0,17,21,100,65,62,41,21,5,339,0,9,8,50,18,20,10,0,0,112,8,46,95,259,174,73,35,8,4,704,0,5,0,33,0,3,3,0,0,39,0,0,0,23,0,0,0,0,0,29,3,9,7,78,20,10,4,0,0,143,0,0,0,0,0,0,0,0,0,0,0,13,15,31,7,10,6,0,0,84
SED50502,0,0,0,3,0,3,3,9,3,26,0,0,8,31,7,12,16,13,5,99,0,9,13,82,42,44,52,16,7,268,0,0,3,31,4,0,0,0,0,40,0,0,0,8,6,10,11,9,9,52,0,18,44,192,93,120,45,29,4,541,0,0,5,7,3,8,6,3,0,37,0,6,4,26,3,4,3,0,0,48,0,0,12,7,7,7,0,0,0,24,4,25,51,171,77,59,41,10,0,448,0,0,0,18,14,19,20,11,13,92,0,0,0,0,0,0,0,0,0,0,0,0,3,25,20,36,44,23,9,160,0,4,9,22,16,23,12,21,4,107,0,4,12,68,34,21,12,12,0,176,0,4,3,32,8,10,13,0,0,77,0,3,3,27,11,5,0,0,0,50,0,13,26,60,30,29,9,0,0,165,0,0,0,8,0,0,0,0,0,10,0,0,8,20,5,5,3,6,0,40
SED50605,0,0,0,0,0,0,0,3,0,6,0,0,0,12,0,6,9,3,0,29,0,0,0,4,8,8,14,5,0,38,0,3,3,14,0,0,0,0,0,20,0,0,7,5,4,7,15,9,5,62,4,20,38,67,59,64,52,22,6,325,0,0,0,0,3,4,0,0,0,7,0,5,0,14,3,3,0,0,0,25,0,0,0,0,4,6,0,0,0,14,0,17,25,73,25,21,19,3,4,189,0,0,3,13,8,8,8,3,9,52,0,0,0,0,0,0,0,0,0,0,0,5,13,36,34,56,56,29,14,241,0,37,51,143,77,99,93,43,14,552,0,27,56,89,101,68,52,22,4,422,0,0,7,46,32,27,33,8,3,162,3,5,5,49,13,12,10,0,0,95,0,11,12,41,27,20,7,0,0,124,0,0,0,7,0,0,0,0,0,14,0,24,14,38,16,12,16,3,0,123
SED50702,0,0,0,0,0,0,5,0,0,6,0,4,9,51,4,8,11,3,0,95,0,0,0,38,20,34,26,17,15,158,0,0,16,102,8,0,0,0,0,137,0,0,5,5,4,5,14,16,3,56,3,35,78,268,129,141,65,14,6,738,0,0,0,3,0,0,3,0,0,7,3,46,11,120,16,3,7,0,0,206,0,3,0,15,4,4,0,0,0,29,5,66,119,321,113,64,33,17,5,731,0,0,0,20,8,12,14,12,16,85,0,0,3,0,4,3,0,0,0,11,0,0,8,38,21,36,31,20,11,169,0,10,11,104,33,37,46,12,5,252,0,5,27,89,36,38,19,6,0,219,0,0,12,95,12,16,11,3,0,153,0,3,0,119,9,5,0,0,0,132,0,8,17,106,46,19,12,0,0,216,0,0,0,12,4,9,0,0,0,29,0,13,6,36,8,11,0,4,0,77
SED50805,0,0,0,0,5,0,7,5,0,12,0,0,0,3,0,0,3,0,0,14,0,0,0,0,0,4,4,0,0,12,0,0,0,3,0,0,0,0,0,4,0,0,0,6,11,3,22,11,6,65,6,10,23,82,90,99,40,15,4,369,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,10,8,0,0,0,21,0,6,13,37,12,14,12,0,0,96,0,0,0,18,5,9,11,0,5,50,0,0,0,0,0,0,0,0,0,0,0,4,14,34,35,61,42,21,15,230,0,4,11,27,15,13,16,15,0,98,0,3,27,87,57,32,29,10,13,255,0,0,0,4,8,3,0,0,0,22,0,0,0,9,0,0,0,0,0,12,0,6,9,28,21,4,3,0,0,82,0,4,0,0,0,0,0,0,0,8,3,10,3,43,9,19,9,5,0,113
SED50906,0,0,0,0,0,0,0,4,0,3,0,0,3,4,0,4,10,0,0,22,0,0,0,7,0,0,6,0,0,11,0,3,0,19,0,0,0,0,0,28,0,0,0,4,9,9,16,12,11,72,5,29,49,181,115,102,68,12,7,570,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,27,0,3,5,0,8,3,5,0,0,18,6,31,55,191,87,35,29,4,0,439,0,0,0,6,5,6,11,4,6,41,0,0,0,3,0,0,0,0,0,3,0,3,6,15,27,40,29,16,10,150,0,0,3,19,9,5,0,0,0,37,0,34,59,145,105,63,38,15,6,463,0,0,0,16,3,0,4,0,0,31,0,0,7,54,0,0,0,0,0,54,0,5,0,28,27,13,6,0,0,78,0,0,0,0,0,0,0,0,0,0,0,8,0,13,10,7,12,6,0,50
SED51004,0,0,0,0,0,6,0,0,0,9,0,0,0,9,5,15,7,7,4,51,0,0,0,0,0,5,3,0,0,21,0,0,3,5,0,0,0,0,0,7,0,0,0,10,9,8,22,9,0,48,3,34,71,233,138,133,59,20,4,701,0,0,0,0,3,3,3,5,0,10,0,5,3,20,3,3,0,0,0,29,0,0,0,0,4,4,0,0,0,15,0,15,29,92,54,34,32,0,0,257,0,3,3,29,24,25,22,5,0,109,0,0,0,0,0,3,0,0,0,3,5,32,78,149,136,137,79,31,9,639,0,4,3,32,23,28,24,4,0,119,9,95,203,375,313,150,60,27,4,1229,0,0,5,9,5,0,3,0,0,22,0,0,0,19,0,3,0,0,0,29,0,3,9,48,27,21,5,0,0,112,0,0,0,0,6,0,0,0,0,0,6,15,11,29,19,14,10,0,4,95
