SED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SED50106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,18,14,17,19,18,11,0,0,10,13,0,3,128,0,0,0,0,3,5,25,18,0,0,8,11,0,0,6,83,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,17,47,38,19,14,20,15,35,4,3,6,3,0,0,0,12,220,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,3,0,4,0,0,0,0,0,0,5,25,0,0,16,5,4,10,41,38,5,0,4,3,4,0,4,136,0,0,0,0,5,4,14,13,0,6,7,7,0,0,4,73,0,0,0,0,12,0,0,0
SED50202,0,0,0,0,3,3,71,77,3,12,6,0,4,0,7,191,0,0,0,0,0,0,18,10,0,0,0,0,0,0,0,36,0,0,7,0,10,12,18,23,0,0,3,0,0,7,0,86,0,0,0,5,12,10,55,33,0,4,10,8,0,0,0,134,0,6,8,0,0,8,3,0,0,0,0,0,0,0,0,25,3,4,0,0,0,4,6,0,0,0,0,0,0,0,0,21,0,0,0,3,5,0,10,3,0,0,0,0,0,0,0,21,28,29,26,23,50,23,21,10,0,0,0,0,0,0,9,213,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,4,15,12,0,0,0,0,0,0,0,38,3,7,36,48,34,35,608,515,46,48,30,59,29,8,4,1510,0,0,0,9,11,35,76,60,3,11,8,8,5,0,3,241,0,0,0,0,12,7,18,25
SED50304,0,0,0,0,9,13,21,14,0,0,7,0,0,0,0,70,0,0,0,4,0,0,8,11,0,0,0,3,3,0,0,35,0,0,5,11,13,15,28,21,0,4,3,5,0,0,0,103,0,0,4,7,59,97,270,144,23,26,21,31,23,0,9,720,9,44,99,35,18,47,15,5,0,0,0,4,0,0,16,296,0,5,16,5,7,8,6,14,0,0,0,0,0,0,9,68,0,0,0,0,7,7,0,3,0,0,0,0,0,0,0,18,20,14,9,13,9,12,24,20,0,7,0,6,0,0,4,139,21,101,131,33,6,7,0,11,0,3,0,0,0,0,9,323,0,0,3,19,39,42,38,22,10,3,6,4,11,4,6,194,3,3,63,26,44,76,607,611,176,130,199,215,78,13,28,2274,0,0,0,4,3,53,50,33,15,13,6,5,15,0,7,192,0,0,0,0,25,39,50,117
SED50405,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,26,10,0,0,0,0,0,0,0,45,0,0,3,9,11,14,38,21,4,9,3,0,0,0,0,102,0,0,0,0,0,5,72,51,9,9,3,3,0,0,3,168,0,3,13,0,0,21,15,3,0,0,0,0,0,0,3,53,0,4,0,0,3,0,7,18,0,0,0,0,0,0,0,35,0,0,0,0,9,9,30,22,0,0,6,11,0,0,0,99,12,25,20,11,26,12,47,16,6,0,6,4,0,0,0,173,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,4,17,9,4,0,0,0,0,0,0,40,5,5,19,20,13,37,629,460,62,51,77,73,32,15,22,1524,0,4,0,0,11,28,59,36,10,4,6,4,3,0,6,166,0,0,0,0,3,3,4,35
SED50502,0,0,0,0,0,45,129,67,4,7,5,13,9,3,0,287,0,0,0,10,11,0,13,9,0,0,0,0,0,0,4,41,0,0,3,10,18,12,10,9,0,0,0,3,0,0,0,56,0,0,0,10,50,43,193,93,12,10,9,13,8,0,10,452,0,13,36,15,9,39,26,0,0,0,0,0,0,0,3,142,6,3,12,0,4,3,16,5,0,0,0,0,0,0,0,50,0,0,0,0,14,0,9,0,0,0,0,0,0,0,0,28,30,18,13,11,12,21,29,15,0,0,6,0,0,0,0,158,0,4,14,9,0,0,0,0,0,0,0,6,0,0,0,35,0,0,0,17,18,30,20,13,0,0,0,4,3,0,0,107,12,0,103,105,106,136,490,247,58,26,49,54,28,9,25,1448,0,0,6,0,29,31,44,26,4,0,5,5,7,6,4,156,0,0,0,0,5,24,54,38
SED50605,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,8,5,4,7,10,11,11,0,0,58,0,0,3,20,17,21,22,8,7,5,4,4,3,0,0,121,3,5,0,26,114,173,419,256,70,50,40,54,27,0,12,1249,8,7,28,7,8,14,0,0,0,0,0,0,0,0,0,75,3,3,15,3,4,3,6,15,0,0,0,5,0,0,0,59,0,0,3,3,10,8,4,0,0,0,0,0,0,0,0,30,12,18,5,6,34,24,39,6,0,3,5,4,4,0,0,168,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4,11,48,117,78,65,26,17,12,12,12,9,6,6,418,15,11,66,60,94,166,250,118,27,27,39,48,21,5,16,970,0,3,13,19,281,432,241,82,14,17,31,34,62,0,31,1251,0,0,0,7,69,57,87,123
SED50702,0,0,0,0,3,19,73,112,16,3,11,7,10,3,3,263,0,0,0,0,0,11,109,82,15,8,16,11,4,0,0,259,0,0,3,8,9,9,6,22,0,4,3,7,4,0,0,86,0,0,6,9,57,96,476,225,64,53,51,77,15,5,29,1161,3,10,25,3,3,11,0,8,0,0,0,0,0,0,6,73,5,0,9,4,0,8,18,13,3,3,0,5,0,0,4,70,0,0,0,4,7,0,11,3,0,0,3,0,0,0,4,40,42,22,18,17,19,15,27,18,0,0,0,5,3,0,0,191,0,7,11,3,4,0,0,0,0,0,0,0,0,0,0,27,0,0,6,9,34,31,71,53,5,9,11,13,10,0,4,252,8,7,84,71,59,72,401,334,95,82,135,140,47,7,22,1568,0,0,0,7,24,93,113,69,9,21,20,22,29,0,17,406,0,0,0,0,10,15,25,68
SED50805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,12,25,22,19,37,14,0,3,0,13,3,8,0,145,0,0,0,3,16,21,45,47,7,4,4,10,6,5,0,165,3,18,26,7,4,3,3,0,0,0,0,0,0,0,4,80,3,10,8,4,0,0,4,6,0,0,4,0,0,0,0,43,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,21,14,18,14,28,16,39,23,0,0,0,6,3,0,0,191,0,3,10,3,6,0,0,6,4,0,0,0,0,0,0,37,0,0,9,8,3,8,4,7,3,0,0,5,0,0,0,54,9,5,37,15,13,17,57,33,10,16,10,8,7,0,4,245,3,3,4,7,23,31,30,19,4,10,3,5,9,0,3,154,0,0,0,0,16,5,26,24
SED50906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,6,6,0,0,0,0,32,0,0,5,10,8,14,20,14,0,0,7,0,0,0,3,90,0,0,0,0,0,6,39,26,6,12,10,9,0,0,0,116,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,23,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,41,23,16,12,22,9,25,3,0,0,0,4,0,0,6,166,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,22,0,0,0,0,4,0,5,9,3,3,0,3,5,0,0,33,11,0,11,8,7,9,89,129,13,22,25,25,13,4,8,366,0,0,3,0,5,13,28,20,13,5,3,3,0,0,3,95,0,0,0,0,3,0,0,11
SED51004,0,0,0,0,9,59,25,7,7,6,0,0,5,0,3,120,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,18,0,0,3,12,11,13,42,25,6,4,3,0,0,0,0,116,0,0,0,0,16,28,88,56,4,12,4,19,5,0,0,235,0,0,9,3,3,13,3,5,0,0,0,0,0,0,0,42,0,0,5,8,12,26,27,28,0,0,0,3,0,0,0,104,0,0,0,0,3,0,6,4,0,0,0,3,0,0,0,15,15,10,16,17,32,20,53,25,0,0,3,0,4,0,0,202,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,13,10,23,3,3,0,0,3,0,0,0,60,3,6,23,20,10,21,152,93,27,14,12,17,10,0,10,422,0,0,0,4,9,38,24,18,10,7,14,5,9,0,0,137,0,0,0,0,17,25,30,25
