SED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SED50106,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,5,4,0,30,0,0,0,8,9,9,19,19,11,79,0,0,0,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,12,4,0,0,44,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,7,0,0,4,24,9,5,3,0,0,52,0,0,0,3,0,0,0,0,0,3,0,0,0,7,12,16,46,34,5,120,0,6,22,88,75,74,53,20,0,341,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,27,45,102,47,9,0,0,0,239,0,0,0,8,3,0,0,8,3,17,0,0,0,0,0,0,0,0,0,3,0,0,6,11,8,35,31,30,7,122
SED50202,0,0,0,26,5,6,3,0,0,38,0,0,0,17,8,3,12,15,0,68,0,0,0,8,10,14,19,17,6,76,0,4,0,3,3,0,0,0,0,18,0,0,5,6,0,0,0,0,0,17,0,0,0,0,4,3,5,5,0,21,0,4,9,37,12,16,24,4,0,102,0,0,0,0,0,0,0,3,0,9,0,5,3,22,5,3,7,0,0,47,0,5,13,112,27,36,25,4,4,226,0,0,4,15,0,0,0,0,0,18,0,0,5,20,20,22,53,36,16,174,7,78,96,337,163,170,97,21,6,981,0,0,0,0,0,0,0,0,0,0,0,10,7,40,6,3,4,5,0,79,0,4,8,8,5,0,0,0,0,25,4,93,133,194,120,33,3,0,0,583,0,0,0,8,3,3,6,0,0,22,0,4,3,6,9,0,8,4,0,31,0,0,0,27,18,40,48,32,15,182
SED50304,0,3,7,40,20,10,3,0,0,84,0,3,10,236,15,7,10,8,4,299,0,4,8,125,44,72,183,197,123,766,0,0,4,12,15,8,0,0,0,38,0,0,0,36,0,0,0,0,0,40,0,5,0,9,4,8,0,0,0,16,0,9,32,103,46,35,29,14,3,264,0,0,0,0,0,0,5,3,5,7,0,0,7,26,4,11,11,8,0,66,0,0,4,13,16,7,6,3,4,62,0,0,12,76,4,3,5,0,0,104,0,0,0,7,4,0,11,10,0,41,6,5,26,174,81,61,40,11,0,414,0,4,9,42,21,49,73,41,32,262,3,6,17,104,7,5,0,0,0,142,0,0,0,5,0,0,0,0,0,10,0,23,42,71,39,14,4,3,0,201,0,0,0,22,15,15,18,8,0,77,0,0,0,3,0,0,0,0,0,4,0,0,8,46,18,25,29,19,0,144
SED50405,0,0,0,3,0,0,0,0,0,5,0,15,15,91,25,12,7,3,0,169,0,0,3,15,4,15,7,3,4,51,0,0,0,6,5,0,0,0,0,12,0,3,0,19,7,0,0,0,0,34,0,0,0,0,0,3,0,0,0,3,0,9,19,40,18,9,6,0,0,107,0,0,0,0,0,0,5,0,0,5,0,0,13,21,6,3,0,6,0,43,0,0,0,6,4,3,3,3,0,26,0,0,0,26,0,0,0,0,0,30,0,0,3,15,7,7,28,6,4,81,19,202,220,633,252,198,79,22,0,1629,0,0,0,0,0,0,0,0,0,0,0,4,5,28,4,0,0,0,0,43,0,0,3,10,8,0,0,0,0,22,0,106,183,271,197,40,6,0,0,803,0,0,0,14,7,0,10,0,0,30,0,0,0,14,0,3,0,0,0,18,0,17,28,82,67,73,38,34,4,349
SED50502,0,12,7,47,29,22,5,0,0,117,0,0,4,102,20,10,14,7,0,168,0,6,8,31,13,26,52,46,25,203,0,0,0,8,7,0,0,0,0,19,0,0,3,15,0,0,0,0,0,24,0,0,0,5,0,0,0,3,0,10,0,13,14,68,34,45,56,21,3,246,0,0,0,0,0,4,9,11,3,24,0,0,4,26,10,14,11,3,0,71,0,6,13,77,37,44,50,21,3,247,0,0,0,26,4,0,0,0,0,36,0,0,4,6,3,7,16,19,11,66,10,27,56,189,116,135,66,17,3,613,0,0,4,10,7,4,13,6,0,49,0,9,12,54,5,3,3,0,0,94,0,3,6,5,8,0,0,0,0,20,0,38,54,113,59,35,8,0,0,305,0,0,4,13,6,15,18,4,5,69,0,0,0,0,0,0,0,0,0,0,0,5,0,34,21,49,32,15,6,158
SED50605,0,3,7,8,8,5,0,0,0,31,0,8,8,33,14,25,22,9,6,117,0,8,3,30,13,22,52,27,14,169,3,4,9,0,3,8,5,0,0,33,3,12,16,70,22,13,8,0,0,145,0,0,0,4,0,5,3,0,0,12,5,38,86,272,152,107,156,112,27,949,0,0,0,0,0,0,9,3,0,11,0,0,0,13,0,8,6,3,0,33,0,0,0,4,9,5,6,3,0,30,0,0,6,12,0,0,0,0,0,25,0,6,0,3,10,7,21,14,6,67,3,9,32,87,68,83,41,23,3,342,0,0,0,0,0,0,0,0,0,0,0,3,7,20,9,0,3,3,0,44,0,0,0,6,0,0,0,0,0,8,0,26,19,44,18,12,0,5,0,125,0,0,0,10,3,7,14,0,0,39,0,0,0,0,0,0,0,0,0,0,0,13,24,26,38,63,52,33,11,256
SED50702,0,3,9,14,14,6,7,0,0,51,0,4,14,144,19,17,17,11,4,227,0,3,5,48,16,11,35,54,26,196,4,3,7,10,4,0,0,4,0,28,0,3,4,112,27,0,7,0,0,155,0,0,0,11,8,0,9,3,0,41,0,15,39,220,48,40,40,12,3,421,0,0,0,0,0,0,5,0,0,13,0,0,15,61,11,14,5,4,4,107,0,0,4,34,24,36,20,11,6,137,0,0,28,129,8,3,0,0,0,169,0,0,4,10,13,4,10,20,3,61,7,40,65,324,148,162,89,16,3,862,0,0,0,4,0,4,4,0,0,15,8,41,57,188,23,7,5,4,0,331,0,3,4,7,6,0,0,0,0,26,4,42,90,216,92,29,5,4,0,471,0,0,0,12,3,12,18,5,6,62,0,0,0,5,4,0,0,0,0,17,0,0,3,23,28,46,30,36,11,176
SED50805,0,0,0,0,0,0,0,0,0,5,0,10,4,45,21,26,14,9,7,135,0,0,5,34,14,24,40,55,25,193,0,0,3,4,0,5,7,0,0,22,0,0,3,12,8,0,0,0,0,23,0,0,0,0,0,0,5,3,0,8,0,0,3,22,19,11,14,7,0,78,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,9,3,0,0,20,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,4,0,0,0,11,12,7,16,10,4,52,4,8,14,99,62,89,60,24,4,368,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,5,7,12,5,4,0,0,0,36,0,0,0,0,8,6,8,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,11,51,36,52,47,32,3,242
SED50906,0,0,0,4,5,0,0,0,0,13,0,8,4,38,13,13,15,7,0,105,0,0,0,8,8,7,33,32,31,120,0,5,0,11,5,0,0,0,0,19,0,3,7,25,0,0,0,0,0,34,0,0,0,3,0,7,3,0,0,22,0,3,0,20,7,3,6,7,0,54,0,0,0,0,0,3,0,0,0,7,0,0,0,8,4,8,0,3,0,21,0,0,0,3,3,0,0,0,0,13,0,0,0,20,0,0,0,0,0,24,0,4,0,8,9,9,23,11,5,71,3,31,58,166,111,127,80,26,0,603,0,0,0,0,0,0,0,0,0,0,0,15,0,21,0,0,0,0,0,45,0,0,0,8,5,0,0,0,0,15,3,43,59,126,66,15,0,0,0,313,0,0,0,0,4,6,13,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,8,26,25,41,30,18,3,146
SED51004,0,4,3,3,0,4,0,0,0,15,0,27,31,125,48,42,30,10,3,320,0,0,3,3,10,9,14,11,5,68,0,4,3,0,0,0,0,0,0,6,0,0,0,6,3,0,0,0,0,19,0,0,0,0,4,0,0,0,0,3,0,7,6,35,19,18,15,6,0,113,0,0,0,3,0,5,0,4,5,10,0,0,0,14,4,11,14,0,0,43,0,0,0,0,4,0,0,4,0,16,0,0,3,7,0,0,0,0,0,9,0,0,4,9,8,6,11,16,0,53,5,53,78,247,151,129,69,18,3,762,0,0,0,4,0,8,5,0,0,11,0,5,4,19,4,0,0,0,0,31,0,0,0,4,0,0,0,0,0,6,0,10,37,49,34,14,0,0,0,155,0,3,3,20,17,16,22,8,0,84,0,0,0,0,0,0,0,0,0,0,0,35,85,146,125,138,64,30,3,623
