SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED50106,109,196,300,1991,2599,4594,0,0,0,591,603,1195,51,53,100,1864,2185,4048,87,101,190,38,35,73,74,117,194,30,32,62,43,76,121,0,0,4,100,128,229,129,158,284,440,505,943,31,48,79,75,80,158,427,599,1032,841,1001,1844,12,17,26,6831,8340,15174,67,50,121,53,50,95,12,8,19,6,0,6,18,15,28,61,119,187,84,136,218,9938,9486,19430,63,39,102,33,63,94,10032,9590,19624,1845,1364,3207,19033,19732,38763
SED50202,319,465,783,2088,2606,4692,0,0,0,655,692,1345,40,32,74,3265,3701,6968,39,56,96,61,57,116,114,143,258,55,76,131,52,54,105,46,50,97,138,157,300,419,533,949,663,739,1402,32,42,71,167,174,341,200,286,490,1209,1374,2585,40,56,98,9280,10840,20122,605,574,1173,721,691,1414,10,7,18,5,3,12,223,171,394,103,184,284,337,348,687,11385,10643,22025,91,63,152,39,50,89,11516,10752,22266,2376,2050,4419,25162,25722,50888
SED50304,902,1235,2138,972,1365,2338,0,0,0,211,278,492,0,0,0,6022,6845,12865,37,52,89,999,1078,2081,118,165,281,17,19,40,26,40,70,48,50,101,112,151,266,179,232,415,151,190,338,7,12,26,28,40,72,149,236,383,649,767,1416,9,15,30,9751,11546,21292,1204,1085,2293,788,758,1548,45,46,86,0,0,0,262,239,505,122,150,271,383,389,774,7108,6861,13968,65,49,111,38,51,97,7212,6958,14176,1574,1411,2985,21855,23438,45295
SED50405,200,358,565,2343,2943,5291,0,0,0,424,469,886,0,0,0,4267,4863,9126,60,74,127,127,127,252,185,229,412,153,161,314,43,71,117,36,45,78,204,225,427,390,443,829,397,416,813,25,49,73,77,73,152,300,400,699,1260,1503,2762,56,78,139,10336,12168,22508,570,584,1153,322,310,630,9,6,19,3,0,7,413,364,778,68,117,187,487,484,973,13809,13591,27404,76,70,147,27,66,101,13918,13730,27650,2159,1700,3860,28004,29342,57344
SED50502,726,1022,1748,1567,1959,3533,0,0,0,317,349,669,0,0,0,4414,4915,9322,76,99,177,319,289,609,81,89,172,23,44,68,27,53,85,33,40,79,151,138,289,212,240,453,173,182,357,38,56,98,29,43,71,211,294,504,703,776,1484,27,32,56,8411,9606,18019,521,503,1022,1082,964,2043,30,23,51,0,0,4,163,141,307,90,129,218,256,271,524,8845,7891,16736,83,57,137,25,42,66,8950,7988,16940,1572,1290,2865,21551,21674,43217
SED50605,648,942,1593,1995,2547,4545,0,0,0,478,540,1022,34,36,75,4862,5518,10382,36,59,97,201,219,419,31,43,80,20,24,47,45,62,113,15,17,35,137,139,276,275,320,593,506,591,1093,7,10,20,24,37,61,483,665,1151,737,894,1633,12,19,33,9906,11750,21656,439,425,858,372,383,751,31,24,60,0,0,4,83,87,168,133,149,281,223,233,455,8748,7880,16631,61,33,102,32,51,82,8838,7972,16809,1044,972,2019,21497,22696,44195
SED50702,790,1019,1813,1700,2001,3708,0,0,0,237,267,499,0,0,0,4659,5161,9819,38,37,73,166,159,325,75,91,159,59,65,120,33,45,82,23,23,53,127,171,297,204,273,481,232,252,482,22,44,66,61,77,133,267,335,602,706,874,1576,25,30,52,8633,9901,18529,765,603,1367,1835,1605,3443,14,14,27,0,0,0,233,150,378,83,123,208,318,266,587,9797,8511,18313,93,66,159,35,34,65,9926,8611,18538,2228,1884,4106,24501,23909,48411
SED50805,122,262,383,1900,2495,4399,0,0,0,180,240,421,15,15,27,4617,5816,10437,20,23,46,122,163,283,59,56,117,4,7,13,39,52,83,11,9,13,64,71,133,91,120,211,203,274,472,3,10,17,11,15,21,328,433,764,287,399,682,3,10,20,7943,10214,18159,76,82,159,86,87,176,10,13,20,0,0,0,20,17,36,59,96,160,82,116,196,8874,8852,17719,81,62,145,25,41,64,8983,8953,17930,1132,1072,2203,18427,20794,39223
SED50906,131,251,380,2373,3141,5506,0,0,0,421,433,848,0,0,0,3570,4232,7808,40,67,101,83,98,189,95,153,252,98,131,230,49,64,113,11,10,25,86,103,196,151,181,330,232,258,491,37,60,100,58,73,131,338,483,827,653,800,1453,40,48,88,8351,10341,18694,143,135,278,193,186,384,4,10,17,3,0,5,48,42,92,72,110,181,121,156,276,10385,9901,20280,73,41,116,28,50,82,10486,9990,20478,2247,1492,3742,21678,22567,44242
SED51004,203,318,524,2730,3274,6007,0,0,0,513,515,1026,0,0,0,3787,4335,8119,21,32,57,158,157,314,73,106,178,74,80,148,29,36,66,61,56,117,149,183,334,309,350,660,358,401,759,12,25,38,11,27,42,228,306,537,769,878,1652,29,16,43,9317,10778,20096,229,224,453,361,391,746,11,26,42,0,0,0,95,93,194,80,120,199,181,213,393,10743,9837,20581,66,37,100,22,45,69,10832,9914,20745,1465,1135,2598,22594,23003,45594
