SED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
SED50106,0,0,0,0,6,0,0,4,0,13,0,19,30,56,53,26,19,11,7,225,0,0,6,6,0,0,8,0,0,21,0,0,0,0,0,0,0,0,0,9,0,17,27,9,0,0,0,0,0,53,0,0,0,7,0,0,0,0,0,8,0,0,9,3,4,16,14,11,3,63,0,0,4,8,6,3,0,0,0,25,0,0,0,0,0,9,11,3,3,33,0,0,4,13,14,12,17,3,0,49,0,15,28,68,34,35,36,27,12,250,30,99,107,277,140,173,152,85,50,1114,982,2489,2175,4205,2342,2574,2429,1340,498,19033,0,0,0,0,0,0,0,0,0,0,911,2148,1664,3146,1905,1947,1701,929,411,14762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,6,18,6,11,3,0,0,71
SED50202,0,4,16,36,16,20,17,4,0,110,6,9,31,95,49,35,13,5,4,247,0,13,15,75,24,12,5,4,0,151,0,0,0,3,0,0,0,0,0,9,3,46,62,21,3,0,0,0,0,135,0,0,0,0,0,0,0,0,0,7,0,0,0,15,14,12,12,5,0,57,0,0,0,8,6,11,0,0,0,23,0,0,0,4,11,11,8,10,0,46,0,5,28,44,39,11,9,0,0,140,0,51,87,312,97,89,63,34,11,754,101,259,226,580,238,206,104,84,44,1839,1948,3820,3110,7379,2946,2659,1981,1018,299,25162,0,4,17,50,10,4,0,0,0,83,1708,2880,2256,4369,1598,1289,1084,432,142,15755,0,0,0,10,0,0,0,0,0,10,0,0,4,5,0,0,0,0,0,5,0,0,0,4,0,6,0,0,0,14,0,0,0,11,0,4,4,0,0,19,3,6,8,18,3,3,4,0,0,50
SED50304,7,0,5,44,23,17,23,0,4,116,0,3,25,117,52,22,20,8,0,257,0,7,12,48,7,6,5,4,0,86,0,0,0,36,9,3,0,4,0,48,4,14,10,15,4,4,0,0,0,51,0,0,0,13,0,6,0,0,0,24,0,4,9,29,13,8,7,0,0,71,0,8,15,83,70,57,40,9,3,291,0,0,0,10,0,5,0,3,0,26,0,0,4,48,13,10,7,0,0,86,12,108,127,823,179,123,78,44,14,1520,50,75,122,460,169,121,82,60,39,1178,1414,2058,2175,8051,2706,2256,1672,1071,454,21855,0,0,3,19,7,3,0,0,0,39,1250,1687,1459,3697,1409,1218,932,562,236,12447,0,3,0,7,3,0,3,0,0,13,0,0,0,25,9,35,12,3,5,94,5,5,0,130,5,0,3,0,0,148,0,0,0,7,0,5,0,0,0,14,0,0,6,30,8,3,3,0,0,60
SED50405,0,9,16,32,20,12,6,0,0,88,4,52,119,230,164,76,28,12,3,685,0,5,0,27,0,0,5,4,0,44,0,0,0,3,0,0,0,0,0,3,0,7,4,7,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,5,12,14,34,7,10,5,0,0,91,0,3,10,19,4,4,0,0,0,40,0,7,14,21,23,18,10,3,6,100,0,24,59,101,64,24,6,0,0,279,3,64,75,279,149,75,45,28,3,721,104,195,153,633,237,148,74,49,22,1622,2625,4922,3439,9055,3379,2287,1395,755,148,28004,0,0,0,0,0,0,0,0,0,0,2338,3893,2312,5477,1589,1053,832,341,67,17891,0,6,0,13,0,0,0,0,0,20,0,0,0,15,5,5,0,0,0,18,0,4,4,17,0,4,0,0,0,33,0,0,0,7,0,0,0,0,0,7,0,4,0,29,3,3,0,0,0,45
SED50502,0,0,0,20,14,23,16,14,3,95,0,0,22,64,38,27,9,4,3,167,0,3,6,39,12,4,17,8,0,92,0,0,5,13,0,0,0,0,0,20,0,9,12,22,8,3,0,0,0,59,0,0,0,10,0,0,0,0,0,8,4,3,7,23,11,9,9,0,0,64,5,25,33,161,127,115,63,17,6,554,0,0,0,7,6,3,5,0,0,26,0,5,7,19,13,8,5,0,0,55,8,30,62,253,117,111,84,57,9,734,62,124,119,375,147,124,110,65,18,1146,1374,2899,2625,6145,2749,2647,1930,900,273,21551,0,0,17,74,26,3,4,4,0,130,1197,2241,1786,3246,1568,1355,982,455,210,13038,0,0,0,4,3,4,8,0,0,21,0,0,0,24,16,31,16,5,3,100,0,0,0,17,0,0,0,0,0,22,0,0,0,15,14,7,9,0,0,44,0,0,0,16,9,7,5,0,0,29
SED50605,0,30,52,134,66,55,66,33,14,450,0,24,59,88,101,70,47,21,7,408,0,3,9,34,24,12,36,14,0,138,4,5,0,23,9,7,4,0,0,55,5,4,16,12,3,0,3,3,0,56,0,0,0,6,0,0,0,0,0,9,7,18,24,32,11,10,10,8,0,124,0,3,9,17,20,20,6,0,0,86,0,3,3,12,7,11,12,7,0,58,0,0,15,22,23,20,14,7,0,101,5,58,72,196,98,104,99,55,24,708,20,39,61,186,108,92,83,41,21,642,1023,2856,2904,5040,2762,2686,2439,1335,449,21497,0,0,0,3,0,0,0,0,0,3,917,2252,1947,2494,1451,1413,1242,707,385,12805,0,0,5,14,3,0,4,0,0,24,0,0,0,8,3,4,0,0,0,13,0,0,7,25,4,0,0,0,0,34,3,0,0,9,0,0,0,0,0,12,0,12,3,17,19,12,11,0,0,70
SED50702,0,3,15,85,26,38,34,12,7,216,0,9,18,87,47,34,17,3,0,216,0,4,14,117,19,13,18,4,0,196,0,0,3,67,5,3,0,0,0,76,0,8,10,40,12,3,7,0,0,76,0,0,0,20,7,5,0,0,0,38,0,9,5,31,3,13,10,3,0,74,0,0,19,74,31,22,23,7,0,169,0,0,0,9,9,11,6,3,5,39,0,7,9,59,12,12,3,0,0,114,15,111,114,571,137,100,54,48,17,1155,54,134,188,656,250,189,122,74,49,1704,1440,2547,2806,8773,3039,2742,1849,945,357,24501,0,6,13,44,15,5,4,0,0,82,1288,1819,1756,3503,1374,1217,1009,517,261,12749,0,19,12,83,5,3,0,0,0,124,0,0,0,13,0,0,3,0,0,19,0,0,5,56,9,8,0,0,0,80,0,0,3,8,3,4,0,0,0,16,3,4,0,33,3,3,4,0,0,52
SED50805,0,11,6,20,12,13,13,0,0,71,0,3,27,68,53,42,21,12,0,231,0,3,0,8,10,4,0,3,0,21,0,0,0,10,0,0,0,0,0,10,0,11,3,3,3,0,0,0,0,25,0,0,0,0,6,0,0,0,0,10,0,17,14,25,14,11,14,9,4,107,0,0,0,7,3,0,0,0,0,16,0,0,0,13,16,12,10,9,6,67,0,0,3,23,18,17,8,4,0,76,0,32,20,117,60,77,62,44,21,439,17,66,38,228,124,112,86,64,65,805,1045,2434,2192,4261,2714,2375,1865,1031,516,18427,0,0,0,0,0,0,0,0,0,0,965,2215,2023,3376,2014,1625,1286,774,506,14782,0,0,0,5,0,0,0,0,0,5,0,0,0,8,0,6,4,0,0,19,0,6,3,39,4,5,0,0,0,62,0,0,0,3,0,0,0,0,0,4,3,4,8,29,13,14,8,5,0,83
SED50906,0,0,0,8,3,10,3,0,0,25,3,33,75,115,88,85,25,12,3,443,0,0,0,18,4,7,0,0,0,27,0,0,0,34,0,0,0,0,0,34,0,4,5,8,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,6,14,10,12,18,4,0,63,0,0,0,12,10,3,0,0,0,29,0,0,0,8,11,11,11,4,0,40,0,9,11,34,32,24,18,0,0,132,8,26,18,100,52,59,36,20,6,326,47,135,114,386,206,165,128,59,33,1276,1225,2973,2542,5493,2919,2754,2241,1157,371,21678,0,0,0,0,0,0,0,0,0,0,1112,2427,2090,3831,2103,1970,1664,887,405,16487,0,0,0,10,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8,0,0,4,20,10,11,3,0,3,57
SED51004,0,9,9,27,19,14,20,0,0,113,9,103,216,331,307,169,47,18,6,1198,6,0,3,8,8,0,6,0,0,29,0,0,0,8,0,0,0,0,0,7,0,9,12,9,4,3,0,0,0,34,0,0,0,7,0,0,0,0,0,11,3,8,14,27,16,13,8,5,0,93,0,4,3,22,16,4,9,0,0,55,3,11,26,35,43,31,18,9,0,176,0,5,17,57,42,50,19,0,0,184,7,37,67,202,129,161,78,33,11,718,44,120,105,331,185,147,52,26,10,1024,1340,3357,3312,5661,3495,2997,1574,675,179,22594,0,0,3,28,17,13,5,0,0,65,1215,2420,1898,2760,1358,927,592,294,98,11557,0,0,0,5,0,0,0,0,0,11,0,0,0,10,5,0,0,0,0,15,0,4,3,23,5,5,0,0,0,43,0,0,0,11,9,3,0,0,0,29,0,9,10,22,15,11,0,4,0,74
