SED_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SED54505,10,69,85,351,62,448,57,295,8,1375,68,428,215,371,184,339,72,194,26,1902,224,1244,324,276,304,168,97,171,48,2854,714,2211,579,427,662,171,218,206,87,5280,888,1929,602,505,686,220,237,268,69,5408,584,1069,377,262,567,170,183,192,49,3458,148,371,131,77,213,72,61,90,12,1171,21,43,16,6,18,6,7,7,6,136,0,0,0,0,0,0,0,0,0,9,2654,7360,2341,2267,2696,1587,924,1436,322,21593
SED54605,10,11,131,174,19,313,42,228,22,944,69,109,396,364,131,211,122,233,21,1657,236,506,799,520,347,168,252,343,65,3228,400,576,648,472,367,158,291,345,48,3299,403,521,665,547,465,212,402,370,69,3659,358,524,576,478,514,211,448,357,57,3523,92,123,105,86,131,61,99,110,23,819,13,18,5,5,12,5,7,9,6,77,0,0,0,0,0,0,0,3,6,8,1587,2393,3317,2649,1980,1339,1657,1985,309,17216
SED54701,27,16,154,107,47,203,56,225,26,858,93,123,279,144,120,104,147,254,35,1300,495,482,551,277,281,178,300,523,54,3141,886,440,448,275,386,187,294,472,55,3447,1097,401,457,302,374,194,379,457,66,3728,1037,395,385,261,343,166,448,514,83,3629,563,118,98,67,145,50,149,138,26,1361,166,11,10,7,16,7,11,33,12,280,21,3,0,0,0,0,0,4,5,32,4389,1991,2380,1449,1706,1096,1787,2622,350,17768
SED54804,10,23,80,269,38,342,32,246,9,1048,81,381,237,484,191,311,59,155,26,1931,832,2786,1077,731,743,336,273,311,132,7216,1224,2332,748,491,657,273,178,224,100,6230,975,1596,472,361,655,241,122,194,56,4678,569,1014,363,264,500,199,134,175,42,3263,143,262,75,61,169,82,40,56,23,915,19,40,15,9,19,8,3,11,17,141,0,4,0,0,0,0,0,0,3,5,3861,8434,3067,2675,2973,1793,848,1383,404,25435
SED54905,19,50,65,291,48,362,46,199,6,1090,102,590,261,637,284,355,113,223,40,2607,523,2481,538,523,545,266,180,280,88,5428,887,2108,413,297,496,177,108,145,65,4687,981,1590,328,298,544,191,113,134,57,4229,715,1218,265,236,546,174,111,136,51,3451,229,493,92,68,212,121,53,58,24,1343,42,71,13,9,32,13,0,17,7,199,0,3,0,0,0,0,0,0,5,10,3487,8598,1969,2354,2699,1655,721,1200,348,23038
SED55005,16,31,148,203,57,540,103,323,25,1460,95,311,361,414,246,409,177,316,62,2389,336,1067,839,566,634,327,470,459,92,4790,778,1681,1130,720,891,314,560,472,98,6634,701,1107,874,615,806,313,491,514,80,5512,384,545,499,340,549,227,426,349,54,3360,74,137,119,65,141,57,102,116,14,821,7,14,0,0,13,6,3,7,3,57,0,0,0,0,0,0,0,0,0,5,2389,4892,3970,2929,3337,2186,2333,2554,429,25028
SED55102,30,24,237,274,47,501,93,411,36,1656,78,183,421,341,181,287,174,283,48,1988,386,715,1049,605,603,329,462,409,83,4628,714,928,1036,640,865,313,615,360,102,5586,848,848,867,652,849,331,514,386,112,5410,556,545,582,440,572,230,425,305,65,3710,173,164,130,77,156,56,129,89,20,990,37,24,16,4,10,5,11,11,5,128,8,0,0,0,0,0,0,3,0,14,2814,3430,4339,3041,3285,2057,2419,2258,468,24114
SED55202,17,17,123,156,39,381,77,285,23,1125,54,153,387,353,202,313,221,343,51,2074,279,739,869,637,505,337,521,563,102,4554,402,906,911,675,636,258,621,565,88,5050,369,545,831,529,601,214,534,565,88,4267,243,382,526,365,505,184,484,412,46,3150,61,123,117,79,151,68,120,128,12,871,8,12,6,10,8,0,0,14,3,66,0,0,0,0,0,0,0,0,0,6,1437,2881,3765,2815,2640,1757,2574,2874,417,21163
SED55306,7,9,210,374,25,502,30,321,32,1515,51,77,334,194,63,141,58,228,18,1163,338,560,784,423,242,185,176,405,48,3160,669,976,939,518,479,282,281,456,76,4679,773,992,778,515,585,358,381,507,63,4964,635,666,515,395,504,323,329,463,57,3879,301,191,132,86,153,126,121,135,28,1270,66,17,9,3,18,12,8,18,11,170,12,0,0,0,0,0,0,3,3,21,2854,3499,3703,2502,2069,1940,1377,2541,338,20820
SED55405,16,30,78,253,51,317,36,219,14,1027,122,525,435,878,339,476,241,406,55,3487,726,2934,1118,1074,779,489,538,770,150,8588,855,2147,722,536,645,203,297,443,115,5968,680,1173,445,364,569,161,233,280,55,3967,382,729,314,243,450,138,198,227,43,2727,99,195,82,71,119,50,53,65,11,755,3,18,4,7,6,5,3,8,5,65,0,0,0,0,0,0,0,0,3,6,2888,7762,3207,3430,2972,1844,1609,2430,457,26592
SED55504,17,30,224,275,58,537,71,359,19,1594,91,189,467,460,228,374,142,327,53,2324,477,986,1139,693,719,367,384,470,109,5351,799,1293,1173,680,871,318,440,468,118,6156,719,1006,903,627,847,329,410,481,96,5424,479,566,573,409,579,214,346,341,46,3555,133,120,129,81,143,65,83,111,15,880,13,13,8,6,12,6,6,11,5,78,0,0,0,0,0,0,0,0,0,10,2733,4207,4622,3229,3449,2204,1901,2577,460,25381
SED55605,22,29,255,312,49,628,96,438,40,1867,88,183,525,424,147,355,150,350,54,2263,377,648,1111,613,486,308,397,460,92,4494,583,902,1095,686,594,298,462,414,104,5140,769,947,1031,773,749,348,569,454,111,5753,402,542,671,483,533,225,470,362,45,3733,62,95,82,72,91,42,75,65,9,594,6,9,3,0,3,0,4,11,0,37,0,0,0,0,0,0,0,0,0,0,2305,3363,4776,3362,2655,2206,2217,2541,455,23889
SED55706,14,12,166,220,22,278,24,351,17,1108,65,49,233,151,47,101,67,250,16,973,397,404,577,340,196,169,194,526,46,2848,682,805,663,395,344,213,319,506,59,3981,938,771,639,475,445,276,371,535,67,4519,854,655,561,416,476,273,426,573,75,4309,632,235,159,100,153,104,119,189,34,1709,178,19,9,10,34,9,12,48,19,324,15,0,0,0,0,0,0,0,0,26,3771,2954,3003,2100,1709,1427,1529,2975,330,19794
SED55802,19,22,164,240,60,514,73,378,24,1493,98,260,471,504,281,401,202,338,65,2623,554,1225,1359,991,894,511,751,568,141,6996,748,1099,1138,877,891,365,715,530,95,6461,638,748,826,684,753,358,529,478,65,5075,432,485,564,475,657,255,436,382,48,3729,99,117,116,68,123,61,98,83,13,775,12,18,7,4,3,5,6,15,0,70,0,0,0,0,0,0,0,0,0,4,2602,3973,4645,3848,3657,2467,2810,2768,457,27227
SED55905,12,28,135,219,50,375,46,235,19,1118,85,241,332,427,200,340,115,228,28,1992,398,1376,810,481,516,237,257,291,78,4445,563,1210,713,361,499,182,238,262,74,4105,522,928,649,422,602,206,265,300,74,3971,443,663,495,351,607,224,292,341,61,3471,107,184,117,72,152,74,89,92,10,897,7,12,12,5,19,3,9,16,7,87,0,0,0,0,0,0,0,4,7,5,2139,4646,3261,2342,2633,1642,1319,1766,355,20095
SED59494,0,0,5,13,7,8,5,13,5,53,4,20,20,39,15,13,16,51,5,185,33,85,82,76,31,20,49,118,6,501,40,67,69,41,32,15,46,40,4,355,15,36,58,17,30,6,57,24,4,248,12,27,27,30,24,9,35,41,5,216,0,9,6,4,10,0,12,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,257,272,223,150,77,213,292,33,1614
SED59797,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,8,0,17,0,3,15,0,0,0,11,25,0,62,0,8,30,0,4,0,8,36,4,95,4,8,13,0,0,0,5,21,6,59,0,9,13,0,0,0,3,6,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,83,9,10,0,31,98,6,277
