SED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SED50106,313,287,599,974,902,1882,127,135,267,322,367,689,1432,1412,2843,910,823,1734,129,150,277,356,399,757,1397,1374,2766,79,73,157,31,92,126,174,73,246,121,256,373,3,6,7,410,498,907,52,88,135,38,80,116,20,38,54,87,246,334,0,0,0,188,457,648,599,957,1555,27,36,62,106,128,228,0,0,3,129,163,297,1475,1033,2514,5344,5221,10571
SED50202,486,438,926,1682,1543,3229,286,279,567,458,413,866,2436,2245,4675,1186,1084,2270,139,165,309,344,358,701,1677,1612,3286,128,142,268,91,157,251,163,143,300,189,330,524,0,7,8,566,785,1355,228,353,576,108,208,315,40,81,120,129,247,377,5,4,7,514,888,1402,1081,1678,2756,86,100,188,123,216,341,0,6,4,209,323,532,1905,1692,3596,7796,7982,15777
SED50304,357,365,715,818,837,1658,464,485,950,124,146,274,1415,1470,2882,445,470,911,404,380,785,133,141,273,985,988,1976,91,115,205,145,217,355,80,59,143,205,300,502,0,3,4,523,689,1216,402,540,941,283,353,639,84,96,179,210,343,560,3,3,9,991,1348,2339,1518,2032,3557,90,108,198,124,207,331,6,0,5,220,324,538,1183,1141,2319,5671,6318,11988
SED50405,713,641,1359,2494,2369,4865,410,398,804,430,465,894,3333,3229,6569,1407,1422,2824,338,390,730,419,391,813,2173,2211,4381,130,140,267,85,179,265,193,145,341,207,432,639,5,3,3,620,900,1521,316,441,760,120,292,419,46,99,149,205,405,611,0,0,5,698,1241,1934,1317,2143,3461,109,93,204,137,270,406,3,0,4,244,362,605,1670,1271,2935,9443,9866,19309
SED50502,412,332,747,1319,1063,2387,337,327,664,263,216,476,1920,1621,3542,836,790,1621,301,302,603,254,239,492,1390,1334,2733,99,87,188,84,134,214,125,62,190,148,270,420,5,4,5,459,553,1016,347,471,813,137,175,308,76,82,155,167,273,441,3,3,6,730,999,1726,1188,1562,2745,68,64,130,121,174,297,0,0,0,189,240,431,1192,1030,2223,6305,6116,12422
SED50605,396,347,740,1358,1286,2642,291,323,608,167,184,346,1815,1782,3599,981,939,1911,411,384,796,343,314,655,1737,1641,3377,67,54,122,69,92,159,117,51,170,102,191,292,0,0,0,354,386,741,852,890,1743,250,244,497,132,118,244,239,296,538,0,4,7,1473,1555,3023,1821,1944,3772,35,49,79,88,125,210,0,0,0,120,171,289,692,575,1263,6580,6460,13040
SED50702,390,330,723,937,821,1756,463,462,923,265,278,544,1664,1566,3226,584,569,1150,364,321,682,249,195,447,1194,1081,2279,153,123,275,149,249,393,106,63,173,221,367,586,8,3,11,624,808,1432,441,566,1005,289,351,633,86,114,201,237,329,570,4,0,7,1056,1361,2417,1688,2175,3865,121,112,229,152,186,336,5,4,11,271,301,573,1756,1487,3247,6972,6941,13913
SED50805,331,334,664,1109,1091,2203,356,387,745,89,86,176,1563,1562,3124,552,529,1077,597,788,1385,261,259,518,1404,1577,2980,50,66,116,51,54,104,104,59,162,94,177,264,6,0,9,300,356,656,509,685,1187,156,185,335,120,117,234,185,366,552,0,7,6,965,1356,2319,1270,1712,2983,23,39,62,80,118,196,0,3,3,107,162,263,801,734,1530,5471,6074,11547
SED50906,369,355,721,1244,1123,2362,280,304,588,300,256,557,1828,1686,3517,966,964,1925,307,329,639,284,286,575,1560,1580,3137,80,87,166,61,120,183,177,113,289,121,269,390,4,0,4,446,587,1035,65,160,227,64,133,197,22,47,72,94,265,358,0,0,0,242,605,852,688,1200,1890,40,51,91,95,145,241,4,0,4,135,200,334,1877,1232,3107,6462,6243,12708
SED51004,404,364,765,1485,1315,2802,315,320,632,372,358,728,2178,1992,4172,951,828,1783,348,387,735,597,495,1096,1900,1716,3614,137,117,256,53,109,158,170,110,277,127,234,360,0,0,0,485,569,1055,422,590,1010,130,223,350,80,111,192,147,311,456,0,3,0,780,1234,2014,1265,1807,3072,66,77,139,98,172,272,0,0,0,162,246,407,1056,813,1862,6965,6936,13897
