SED_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SED50106,..,35,546,923,1159,1338,1330,828,251,6404,..,183,435,319,293,253,171,35,4,1698,..,4,19,81,117,70,27,16,10,349,3233,..,..,..,..,..,..,..,..,3233,..,657,..,..,..,..,..,..,..,657,..,701,295,107,76,38,3,0,0,1226,..,102,61,24,18,39,47,14,11,322,..,54,62,25,26,19,7,0,0,197,..,90,98,38,49,50,29,17,0,370,..,88,183,152,246,401,372,221,121,1783,65,67,59,47,66,68,71,27,9,484,3298,1973,1763,1724,2052,2267,2068,1166,409,16708,..,65,712,1107,1325,1395,1284,624,119,6643,..,254,476,346,310,275,89,38,4,1793,..,33,189,348,351,151,66,56,40,1232,3083,..,..,..,..,..,..,..,..,3083,..,677,..,..,..,..,..,..,..,677,..,401,148,39,37,32,8,0,0,668,..,79,25,6,33,55,62,50,19,333,..,64,40,10,14,16,4,0,0,152
SED50202,..,53,907,1659,1241,1270,1143,602,129,6997,..,299,897,473,336,216,82,29,10,2345,..,9,60,127,143,100,55,23,12,535,5318,..,..,..,..,..,..,..,..,5318,..,975,..,..,..,..,..,..,..,975,..,991,605,227,138,55,3,0,0,2023,..,180,177,74,69,90,60,30,5,692,..,107,123,78,39,23,18,8,0,398,..,102,189,110,116,124,71,17,3,740,..,86,384,382,492,482,409,209,70,2516,103,72,93,66,55,32,23,11,3,459,5416,2881,3437,3203,2631,2393,1854,940,244,22993,..,109,1344,1809,1307,1249,1046,417,60,7348,..,450,958,470,315,206,79,19,0,2495,..,113,556,651,523,327,177,95,47,2490,4945,..,..,..,..,..,..,..,..,4945,..,1029,..,..,..,..,..,..,..,1029,..,697,296,82,75,43,10,0,0,1201,..,156,98,42,75,122,144,56,32,721,..,87,52,30,17,13,7,0,0,198
SED50304,..,35,1277,1956,1337,1126,942,719,245,7639,..,144,898,475,201,126,79,22,7,1955,..,0,18,77,116,93,44,16,16,379,3307,..,..,..,..,..,..,..,..,3307,..,817,..,..,..,..,..,..,..,817,..,531,434,179,124,92,8,0,0,1364,..,133,164,60,49,48,33,22,8,523,..,72,132,32,21,19,3,0,0,285,..,181,450,139,95,60,41,7,3,973,..,83,477,530,505,503,383,203,101,2787,37,36,77,48,40,25,20,9,6,301,3345,2035,3931,3500,2480,2090,1559,1003,394,20320,..,94,1716,1991,1289,1120,974,529,84,7794,..,241,988,432,181,109,53,19,5,2024,..,21,167,358,379,238,117,101,69,1453,3287,..,..,..,..,..,..,..,..,3287,..,855,..,..,..,..,..,..,..,855,..,414,271,89,68,32,8,0,0,885,..,136,143,34,37,87,89,60,27,608,..,69,84,20,11,9,3,0,0,190
SED50405,..,27,1386,2565,1964,1367,930,494,69,8814,..,307,1148,599,343,167,56,31,5,2652,..,9,58,116,130,73,31,7,6,432,7143,..,..,..,..,..,..,..,..,7143,..,1326,..,..,..,..,..,..,..,1326,..,1031,457,115,64,19,0,0,0,1683,..,151,149,64,53,48,26,25,8,533,..,77,107,46,28,17,3,0,0,280,..,128,244,99,70,44,28,12,0,633,..,100,363,303,268,230,176,108,32,1591,88,65,59,46,32,31,16,12,0,353,7234,3226,3978,3947,2942,2001,1277,694,125,25427,..,95,2091,2891,2056,1345,856,368,36,9740,..,497,1372,569,347,158,49,23,0,3011,..,81,484,669,479,224,78,51,12,2078,6869,..,..,..,..,..,..,..,..,6869,..,1384,..,..,..,..,..,..,..,1384,..,836,279,53,31,30,3,0,0,1229,..,150,98,30,47,130,126,43,20,648,..,85,59,15,4,10,3,3,0,188
SED50502,..,25,691,1544,1399,1491,1155,562,127,7007,..,124,611,421,286,218,101,17,0,1777,..,8,25,73,135,85,49,25,17,405,4028,..,..,..,..,..,..,..,..,4028,..,985,..,..,..,..,..,..,..,985,..,904,624,234,117,48,10,0,0,1938,..,166,131,66,57,75,41,30,18,592,..,57,86,46,31,17,12,0,0,255,..,126,269,131,108,88,61,23,8,796,..,55,244,292,338,401,344,170,62,1909,48,57,55,46,43,32,25,9,0,300,4076,2492,2741,2849,2516,2460,1790,837,233,19999,..,57,1056,1755,1472,1482,986,405,55,7264,..,185,720,430,300,191,73,17,0,1912,..,37,255,384,484,263,154,86,52,1709,3617,..,..,..,..,..,..,..,..,3617,..,1033,..,..,..,..,..,..,..,1033,..,616,336,96,68,32,22,0,0,1165,..,115,68,32,55,106,150,89,63,675,..,56,59,17,17,10,12,3,3,175
SED50605,..,14,525,1808,1971,1899,1844,1036,273,9364,..,70,379,233,150,158,73,32,8,1100,..,3,6,65,94,72,31,20,15,311,3763,..,..,..,..,..,..,..,..,3763,..,1526,..,..,..,..,..,..,..,1526,..,729,568,176,102,39,12,0,0,1629,..,123,91,14,16,30,22,15,19,329,..,65,93,21,12,13,9,4,0,216,..,186,289,72,50,26,23,12,0,661,..,60,169,166,164,230,225,147,93,1259,50,55,48,30,18,23,14,9,6,250,3816,2824,2169,2586,2576,2491,2265,1268,415,20409,..,17,777,2120,2141,1965,1764,725,122,9629,..,120,418,247,158,134,60,15,4,1159,..,3,64,255,388,244,97,61,65,1176,3619,..,..,..,..,..,..,..,..,3619,..,1466,..,..,..,..,..,..,..,1466,..,513,351,91,67,39,17,0,0,1080,..,125,75,35,23,68,93,62,46,524,..,53,75,22,8,3,4,0,0,168
SED50702,..,28,1043,1822,1377,1205,948,526,141,7086,..,218,969,496,325,238,105,34,5,2390,..,8,31,79,121,94,47,20,24,418,3738,..,..,..,..,..,..,..,..,3738,..,842,..,..,..,..,..,..,..,842,..,630,451,138,116,74,16,0,0,1420,..,215,206,69,58,66,46,18,13,683,..,106,208,66,45,17,13,4,5,466,..,352,704,237,138,128,53,26,3,1641,..,159,630,508,442,583,425,210,91,3050,49,46,82,58,33,44,27,8,6,359,3782,2589,4322,3480,2663,2448,1684,841,283,22090,..,70,1539,1937,1360,1112,879,357,72,7317,..,365,1072,455,302,201,71,21,6,2495,..,36,199,373,408,233,120,83,70,1524,3542,..,..,..,..,..,..,..,..,3542,..,819,..,..,..,..,..,..,..,819,..,427,240,63,40,54,10,0,0,846,..,184,166,43,42,110,126,61,32,760,..,76,104,31,17,14,0,0,0,245
SED50805,..,0,396,1374,1658,1375,1146,622,227,6801,..,79,550,300,280,228,117,36,10,1598,..,0,7,55,120,63,19,12,19,298,3299,..,..,..,..,..,..,..,..,3299,..,1136,..,..,..,..,..,..,..,1136,..,624,277,83,59,52,18,0,0,1110,..,59,49,12,7,19,14,16,8,190,..,21,42,13,11,13,5,4,0,101,..,89,167,48,33,43,36,10,0,432,..,52,201,196,282,325,287,198,121,1659,34,59,35,46,25,41,16,9,3,270,3337,2116,1725,2115,2477,2147,1659,920,401,16897,..,9,611,1658,1758,1412,1029,496,118,7090,..,112,618,335,290,211,86,28,4,1694,..,3,56,239,439,217,68,59,62,1145,3309,..,..,..,..,..,..,..,..,3309,..,1265,..,..,..,..,..,..,..,1265,..,438,230,60,27,31,10,0,0,794,..,95,44,7,17,32,37,44,38,305,..,22,21,12,7,4,4,0,0,69
SED50906,..,31,538,1228,1387,1391,1239,711,169,6691,..,258,617,323,280,228,119,27,3,1852,..,4,24,125,145,69,42,14,19,449,3917,..,..,..,..,..,..,..,..,3917,..,762,..,..,..,..,..,..,..,762,..,778,298,116,85,50,5,0,0,1333,..,111,83,45,36,34,28,12,10,365,..,69,81,42,30,15,10,4,0,252,..,123,206,89,79,76,52,16,5,651,..,113,322,307,386,472,382,212,96,2291,79,64,74,59,42,52,37,15,5,435,3992,2321,2243,2336,2478,2388,1922,1021,299,19000,..,53,853,1437,1552,1390,1172,502,86,7046,..,353,658,378,313,205,76,23,0,2013,..,83,335,511,487,181,84,78,50,1813,3704,..,..,..,..,..,..,..,..,3704,..,860,..,..,..,..,..,..,..,860,..,559,156,52,43,39,13,0,0,858,..,79,50,19,33,69,80,46,23,394,..,65,60,29,13,5,6,0,0,169
SED51004,..,18,662,1613,2237,2001,1137,496,88,8253,..,154,661,388,316,215,61,20,6,1818,..,3,29,89,160,86,34,7,4,413,4466,..,..,..,..,..,..,..,..,4466,..,1382,..,..,..,..,..,..,..,1382,..,1235,633,142,53,21,4,0,0,2092,..,114,111,24,35,27,29,17,9,369,..,61,66,31,28,16,8,4,0,210,..,80,121,41,39,50,31,10,4,365,..,56,177,248,252,270,158,71,40,1273,60,55,62,41,42,30,17,6,0,311,4524,3168,2523,2611,3155,2716,1472,620,148,20951,..,38,991,1913,2537,1890,960,363,42,8737,..,259,771,402,323,172,52,14,8,2000,..,35,237,423,520,294,97,42,20,1663,4116,..,..,..,..,..,..,..,..,4116,..,1396,..,..,..,..,..,..,..,1396,..,914,349,63,27,17,4,0,0,1382,..,96,53,20,28,75,95,86,32,473,..,72,51,17,11,9,0,3,0,172
