SED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED50106,9,12,41,44,54,111,231,364,229,1092,0,5,18,27,36,19,18,10,17,150,102,93,287,241,287,321,326,297,190,2148,1099,1719,4150,4228,4974,5441,4990,2890,1160,30655
SED50202,30,23,74,115,123,185,281,244,122,1209,0,10,48,64,59,58,54,40,15,353,228,248,611,526,470,379,293,252,146,3147,1517,3267,7836,7176,5894,5429,4215,2172,736,38247
SED50304,3,10,35,61,83,123,395,629,384,1728,3,0,34,54,48,61,91,104,93,492,74,159,554,404,321,282,230,208,159,2386,805,2636,8921,7484,5357,4699,3826,2449,1133,37313
SED50405,16,15,31,58,58,95,154,150,50,619,0,3,14,28,35,23,17,13,0,136,154,167,586,550,388,265,212,161,63,2548,1609,3394,9702,9252,6821,4735,3092,1589,328,40522
SED50502,12,9,78,120,143,229,278,313,195,1375,3,5,43,64,96,100,88,57,30,475,96,150,393,311,287,265,238,197,78,2013,1097,2631,6070,6182,5623,5422,4043,1978,748,33802
SED50605,4,4,8,16,14,53,133,186,182,603,0,0,5,10,13,20,31,27,36,149,53,70,185,183,207,202,227,135,90,1342,1109,2801,4549,5775,5847,5714,5198,2761,1161,34912
SED50702,10,11,55,88,112,113,220,345,219,1184,4,5,68,58,74,66,49,35,26,388,111,253,712,568,441,364,298,222,182,3151,1019,3357,9507,7590,5845,5285,3881,2069,961,39516
SED50805,5,3,0,10,15,18,102,218,194,575,0,0,5,12,0,15,18,12,23,87,56,57,218,221,221,201,217,239,273,1714,994,2058,4178,5057,5708,4988,3967,2386,1385,30718
SED50906,10,13,35,41,65,98,257,340,213,1081,4,3,17,9,22,34,27,22,21,154,120,146,420,369,392,324,327,215,173,2493,1201,2395,5477,5671,5980,5637,4667,2499,1024,34548
SED51004,9,10,23,56,50,66,113,102,63,485,5,7,5,20,22,23,19,13,9,124,92,128,277,298,317,267,149,128,85,1738,1489,3185,5647,6017,7313,5981,3229,1484,447,34791
SED51104,19,14,34,57,71,86,129,184,85,674,0,5,24,29,45,27,30,11,11,179,171,179,514,499,464,305,203,248,162,2742,1766,3457,8555,8223,7544,5089,3525,2128,770,41064
SED51205,9,23,95,125,169,211,324,333,139,1425,7,16,76,100,97,113,96,75,45,622,133,276,726,499,343,263,209,194,126,2768,1172,4167,10287,8327,5740,5032,4156,2159,791,41837
SED51304,5,0,5,5,12,19,87,165,124,432,0,0,10,7,5,13,11,16,10,64,26,42,143,162,203,157,215,206,121,1268,952,1957,3184,5668,6015,5158,5628,2867,853,32287
SED51401,12,13,34,34,72,127,336,390,221,1236,5,3,3,13,8,18,10,11,12,84,200,228,572,591,686,710,586,465,196,4230,925,1570,3784,4110,4954,5908,5282,2719,929,30176
