SED_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
SED50106,39,63,19,9,3,0,10,12,0,157,14,27,39,10,5,16,15,33,0,165,224,127,861,73,32,47,209,154,31,1745,115,35,444,26,13,21,62,55,7,770,122,78,81,29,16,30,72,81,6,507,27,240,10,51,8,0,6,14,0,357,49,203,15,23,0,5,15,19,0,325,160,130,33,44,55,71,39,39,3,583,28,107,26,137,13,20,21,21,7,387,7,34,24,14,4,12,3,24,0,130,33,12,129,22,3,17,34,42,4,297,0,0,0,0,0,0,0,4,0,5,10,5,18,15,3,0,7,12,7,84,30,10,57,13,3,12,20,38,17,199,858,1070,1764,474,165,255,510,550,81,5714,23,60,15,13,19,12,0,8,0,160,5,9,3,3,7,3,3,12,0,36,12,11,21,12,14,5,5,14,0,86,0,16,13,0,5,7,0,3,0,51,38,44,24,23,30,16,5,37,0,219
SED50202,19,64,33,15,10,8,19,8,4,180,36,114,55,24,32,19,27,24,5,331,196,221,1428,55,84,61,411,200,45,2704,38,23,363,18,18,8,100,99,14,680,13,14,42,8,4,7,26,40,0,162,11,121,18,64,6,7,22,20,0,274,25,93,14,23,11,6,18,6,0,200,157,141,80,76,129,79,154,98,13,922,41,96,46,161,34,24,55,51,8,524,16,37,39,14,15,19,27,18,0,174,36,9,135,34,16,14,79,55,3,366,0,0,0,0,0,3,0,3,3,17,9,12,28,16,10,0,31,23,6,137,18,9,56,11,15,14,63,46,58,293,615,941,2349,524,386,276,1039,692,153,6960,6,54,48,32,22,9,3,6,0,178,4,21,10,10,11,0,7,17,3,93,12,22,33,16,20,9,26,24,0,156,6,5,8,4,13,7,3,0,0,45,4,18,32,4,11,10,0,15,0,108
SED50304,59,182,54,21,13,22,18,24,0,392,74,251,75,21,33,27,52,49,14,592,303,687,870,80,91,74,212,187,29,2531,133,71,444,26,35,14,51,91,12,875,7,14,31,12,10,3,15,43,0,137,45,303,31,63,19,17,21,22,5,518,35,189,10,24,12,11,16,14,0,313,423,545,136,128,235,184,152,173,30,1998,67,230,44,136,56,34,55,53,10,683,32,121,60,25,38,35,22,20,0,352,48,4,230,36,15,26,57,41,4,453,0,0,0,0,0,0,5,4,0,15,21,12,21,16,5,12,29,15,15,137,21,23,55,21,10,10,20,24,40,234,1264,2628,2059,606,569,456,718,760,159,9231,48,168,59,42,50,18,3,14,3,408,18,66,17,31,34,18,5,15,4,201,21,124,41,18,19,23,7,34,0,295,14,58,19,3,24,8,0,7,0,137,8,26,8,14,17,11,0,7,0,99
SED50405,31,65,41,20,9,8,10,7,0,195,69,167,89,27,28,26,41,38,3,480,391,438,2252,111,140,70,420,236,56,4117,80,33,495,29,25,13,141,114,11,936,21,15,50,8,7,7,23,37,0,166,55,204,28,88,20,12,25,17,0,447,30,149,9,30,9,3,24,7,4,259,321,252,119,104,174,78,146,61,17,1270,57,103,40,231,46,25,53,75,4,634,9,47,35,20,12,16,27,20,0,196,57,7,223,39,19,24,97,51,7,517,0,0,5,0,0,0,3,0,0,13,11,20,56,20,5,9,40,19,6,188,26,13,72,25,10,15,62,51,52,326,1164,1506,3509,758,509,301,1110,721,164,9748,22,84,44,31,32,21,4,11,0,251,19,45,12,23,33,19,3,18,0,167,24,46,63,22,31,14,27,25,0,252,0,13,17,11,15,13,0,3,0,68,13,15,27,19,11,10,5,3,0,100
SED50502,32,124,42,14,16,13,19,17,0,280,54,159,53,25,23,10,21,18,3,357,214,396,1132,58,124,83,252,174,25,2448,92,35,373,12,22,14,54,83,7,695,13,23,48,10,7,5,7,17,3,148,23,169,26,67,12,9,16,17,4,342,23,138,14,22,11,4,13,4,5,228,258,306,50,70,167,94,89,61,18,1119,60,160,46,154,42,23,47,54,4,588,15,94,28,27,24,22,24,35,4,271,29,11,159,31,13,17,45,32,4,343,0,0,4,0,0,0,0,4,0,4,8,29,29,13,6,10,16,13,4,135,23,10,60,11,13,9,48,36,34,254,848,1662,2068,506,477,324,656,569,116,7218,21,94,50,32,32,22,3,13,0,271,9,42,4,9,19,6,0,0,0,91,24,49,31,15,21,9,9,20,4,173,12,34,14,10,10,15,5,0,0,92,8,32,12,13,8,3,0,5,4,88
SED50605,129,265,39,14,17,8,16,17,6,514,115,299,48,6,24,19,14,26,4,559,563,941,636,31,135,58,101,89,26,2587,136,66,223,9,35,14,15,34,10,546,30,31,28,6,9,7,7,17,6,144,57,606,19,55,11,18,7,8,10,795,62,160,13,22,5,6,3,4,0,280,698,768,89,63,236,181,61,66,24,2189,113,303,35,106,52,34,28,30,7,698,33,87,46,25,21,24,10,14,0,266,30,7,88,12,8,5,6,13,0,166,0,0,0,0,0,0,0,0,0,5,20,18,26,11,7,8,12,9,3,109,25,22,33,11,10,18,8,14,43,171,2002,3588,1314,379,580,402,287,334,134,9032,59,205,29,32,55,29,0,4,3,417,27,55,10,8,27,10,0,9,0,140,37,183,31,17,35,16,0,7,0,321,15,52,8,10,10,10,0,0,0,110,18,37,11,8,11,3,0,6,0,101
SED50702,55,179,47,21,19,16,17,19,9,374,94,267,84,26,30,21,41,36,11,613,340,726,1334,73,117,72,287,194,37,3171,97,56,360,14,27,13,54,72,11,702,12,32,28,4,8,8,25,16,0,140,39,265,20,68,17,4,23,20,7,468,31,158,12,17,11,4,19,3,0,261,429,438,140,115,223,167,191,136,16,1852,60,161,55,159,57,28,62,46,10,644,35,84,36,34,20,23,34,23,5,290,49,20,286,66,29,20,67,58,3,613,3,0,3,0,0,0,6,3,0,18,17,23,48,19,12,3,24,15,3,158,37,23,79,18,23,11,49,42,69,343,1291,2434,2534,635,592,384,908,682,176,9640,33,169,60,27,43,20,3,16,0,371,17,49,11,18,14,13,6,21,3,153,27,143,42,24,40,22,20,29,0,345,13,38,14,9,15,10,3,8,0,112,18,25,8,10,15,7,6,12,0,102
SED50805,108,222,21,16,15,9,10,18,9,425,52,101,29,4,4,11,7,10,0,220,502,604,653,42,83,43,87,94,18,2121,156,77,315,18,23,9,27,48,5,672,56,53,30,6,8,8,7,18,0,189,63,433,17,61,14,8,6,18,4,621,76,248,6,24,9,7,0,16,0,395,615,508,67,54,165,147,41,43,12,1660,116,269,31,94,50,25,20,22,8,633,26,96,39,24,13,16,8,20,3,248,40,3,70,18,12,9,20,13,0,184,0,0,0,0,0,0,0,0,0,0,16,19,17,14,13,3,7,12,5,103,21,20,40,10,13,12,5,15,16,144,1844,2662,1335,386,421,317,231,350,77,7633,52,190,27,26,38,17,6,0,0,352,10,22,0,0,13,0,0,0,0,56,33,67,16,11,15,9,4,5,3,164,10,72,18,6,20,16,4,3,0,143,21,44,10,5,22,13,0,5,0,114
SED50906,31,53,30,8,7,0,13,15,0,159,22,43,45,8,11,19,19,22,0,204,266,284,1402,46,84,59,304,199,35,2674,73,39,447,25,17,18,108,129,12,863,37,40,41,4,8,7,33,40,3,207,26,326,27,44,5,3,20,14,0,466,43,200,25,19,0,11,22,13,0,336,196,168,89,37,82,67,68,63,9,777,32,107,20,119,23,20,40,41,3,410,15,27,18,19,8,9,9,17,5,120,35,12,111,17,9,11,48,38,5,278,3,0,0,0,0,0,3,4,0,10,12,19,26,8,7,3,29,14,6,117,21,12,72,10,3,14,54,35,35,249,808,1331,2351,369,263,243,769,637,116,6878,13,56,45,11,16,5,4,13,0,162,3,8,7,13,13,7,0,5,0,51,19,32,31,13,22,7,15,19,4,161,4,16,11,7,17,15,0,6,0,86,14,26,21,10,13,10,4,27,0,124
SED51004,40,107,26,18,14,11,9,7,3,234,57,190,54,14,24,15,15,15,5,389,425,453,1451,81,143,68,233,192,43,3099,149,58,749,27,33,26,103,143,19,1300,27,18,48,0,4,4,17,27,3,153,35,187,28,89,20,8,22,9,5,402,45,152,16,24,4,5,12,10,4,269,400,325,96,67,170,102,71,62,11,1305,66,130,47,207,53,31,28,37,11,612,30,61,39,24,11,24,18,29,0,248,53,5,126,31,12,19,36,30,4,322,5,0,0,0,0,4,0,0,0,9,14,18,27,13,14,6,22,14,3,124,40,9,73,13,15,7,28,32,54,266,1389,1714,2782,612,529,342,606,615,153,8744,22,97,38,20,31,18,3,0,5,232,7,39,7,6,23,0,3,5,0,95,20,45,28,17,17,7,8,13,0,159,7,27,14,6,19,10,0,5,0,95,19,14,13,6,7,10,0,8,0,78
