SED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED50106,1028,127,1164,5643,2176,333,8152,21527,2294,31970
SED50202,618,115,736,8271,2717,442,11419,25323,3013,39756
SED50304,1036,90,1145,7065,2304,234,9595,26570,2190,38364
SED50405,270,46,328,12056,2953,615,15621,24367,2549,42541
SED50502,668,74,748,6746,2408,286,9447,23670,1999,35119
SED50605,1084,53,1166,7447,3318,232,10998,24372,1234,36602
SED50702,821,137,961,7162,2354,225,9740,27831,3063,40633
SED50805,1231,140,1385,6759,2589,335,9683,21091,1474,32259
SED50906,852,161,1024,6919,2673,393,9984,23233,2866,36082
SED51004,380,62,447,8189,2808,350,11344,23506,1746,36600
SED51104,686,75,769,10989,2943,536,14471,25927,2651,43040
SED51205,669,109,791,8627,2546,256,11432,28949,2831,43207
SED51304,792,47,853,8069,3566,378,12012,20831,1112,33955
SED51401,763,163,929,4851,1919,243,7013,20072,3970,31051
SED51504,1216,103,1345,8421,2615,349,11379,23052,1270,35703
SED51605,382,53,447,9427,2694,369,12492,23831,1757,38083
SED51706,649,168,823,7179,2753,431,10363,22892,2472,35729
SED51804,1286,204,1506,6961,3144,309,10414,24535,1934,36885
SED51902,409,46,464,8925,3218,497,12636,22102,2197,36933
SED52006,984,129,1125,5915,2792,277,8987,24826,1988,35800
SED52102,595,71,667,7471,2484,316,10270,21530,1983,33786
SED52205,966,198,1186,6385,2640,366,9381,25419,2686,37487
SED52301,677,146,832,5736,2172,341,8245,19728,3218,31196
SED52404,514,47,564,7803,3049,354,11207,21420,1199,33828
SED52505,310,27,354,12524,3122,396,16041,25282,2609,43929
SED52604,565,91,666,6613,2958,253,9825,22806,1627,34252
SED52702,900,101,1017,6442,3114,340,9899,21142,1405,32447
SED52803,197,36,230,5772,1482,281,7532,17111,4574,29218
SED52903,101,38,139,4757,2320,642,7720,14643,4722,27084
SED53004,917,64,994,7318,3277,384,10971,21838,1110,33920
SED53105,473,38,516,9781,2480,452,12709,22222,3245,38180
SED53204,438,30,478,9940,2721,350,13010,23244,1362,37611
SED53306,1269,288,1567,6783,2677,376,9841,24863,2937,37639
SED53402,807,92,910,7110,2121,276,9504,25120,1915,36534
SED53502,778,264,1049,7452,2798,316,10566,25236,2684,38492
SED53602,577,164,751,6941,2455,257,9651,26166,2848,38672
SED53701,580,107,694,4888,2042,253,7188,20952,3802,31942
SED53802,917,64,994,7056,2506,204,9761,26146,1940,37844
SED53902,1464,158,1649,6307,2256,210,8773,25619,1816,36209
SED54006,692,119,825,6568,2554,367,9492,23158,2571,35229
SED54104,1010,124,1157,7273,2896,262,10440,27073,1925,39432
SED54203,101,29,139,3230,1010,308,4552,10368,3574,18488
SED54304,655,69,733,6700,2177,251,9129,34336,4041,47500
SED54403,41,11,55,8320,1819,582,10718,18353,7312,36385
SED54505,980,96,1084,8803,3115,244,12157,23407,1153,36719
SED54605,1031,269,1311,5401,2725,264,8395,23262,2931,34583
SED54701,648,129,778,5512,1869,283,7660,19364,3346,30370
SED54804,1029,224,1256,7668,2536,258,10460,25408,2404,38276
SED54905,971,243,1228,6127,2726,254,9104,25884,2080,37069
SED55005,506,83,598,10082,2780,356,13222,24535,1797,39552
SED55102,297,21,321,9185,2622,425,12234,22273,4020,38522
SED55202,834,182,1027,7672,2771,297,10741,25517,2595,38857
SED55306,971,110,1085,7295,2409,402,10104,23235,2504,35843
SED55405,866,348,1221,6831,2010,245,9086,29326,3365,41774
SED55504,538,99,643,9581,2898,429,12913,23633,1815,38364
SED55605,404,60,478,9210,2934,529,12675,22993,2129,37802
SED55706,789,129,924,6341,2143,392,8880,23685,3308,35874
SED55802,545,37,591,10151,2859,348,13357,25685,2096,41149
SED55905,910,300,1222,6130,2615,280,9023,22885,2161,34066
SED59494,12,23,30,613,205,45,861,3063,3361,7285
SED59797,0,0,0,40,5,3,45,248,221,516
