SED_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SED50106,35,104,84,64,151,160,42,86,7,734,41,115,68,38,61,84,24,79,116,617,934,2942,2246,1597,2984,3081,1178,2336,300,17599
SED50202,37,141,104,86,216,191,67,104,14,961,44,113,83,59,245,284,85,173,228,1314,969,2806,2467,1786,4688,4172,1434,2923,456,21707
SED50304,23,166,143,79,238,184,68,96,15,1006,25,135,120,63,216,207,50,92,167,1083,831,3271,3061,1898,5338,5200,1503,2893,397,24400
SED50405,38,166,154,77,207,203,81,151,20,1083,43,104,90,58,225,269,71,186,202,1253,1360,3583,3020,1980,5498,5588,1755,4838,483,28091
SED50502,20,149,136,63,183,169,46,100,12,881,28,133,101,57,235,240,58,135,175,1159,798,2881,2619,1598,4589,4162,1293,2737,336,21017
SED50605,18,132,108,64,116,118,34,90,5,684,24,151,94,60,126,222,48,114,132,971,761,4002,2794,1635,3615,4650,1412,3134,251,22253
SED50702,24,133,131,101,211,212,65,106,10,1006,29,107,89,67,222,273,71,163,214,1235,1013,3147,2878,1787,5117,5465,1694,3813,457,25364
SED50805,23,134,104,47,90,117,38,84,4,635,29,115,90,30,119,155,41,129,62,771,851,3515,2497,1566,3054,3951,1443,3210,171,20250
SED50906,23,121,91,57,187,156,66,119,5,829,33,94,52,44,102,116,45,114,132,734,1053,2947,2363,1669,3635,3656,1358,3382,296,20355
SED51004,39,167,142,95,226,193,64,124,6,1050,35,123,91,55,182,243,54,140,170,1097,1069,3576,3008,1949,4691,4990,1510,3404,409,24604
SED51104,42,204,165,95,267,254,63,134,13,1224,33,116,71,80,204,221,52,147,207,1134,1349,3705,3067,2112,5306,5100,1520,4143,514,26826
SED51205,29,168,191,85,229,225,51,109,24,1121,28,194,181,89,260,275,71,141,316,1568,880,3720,3715,2019,5883,5032,1387,2899,609,26148
SED51304,18,145,100,67,97,136,29,83,3,676,24,120,90,43,98,202,43,110,90,825,881,3712,2806,1630,2952,4358,1439,3142,190,21117
SED51401,22,85,50,33,84,129,46,101,3,556,36,78,46,26,79,74,31,106,145,623,874,2118,1697,1094,2036,2770,1131,4069,349,16128
SED51504,11,110,87,45,119,95,23,62,11,573,41,149,92,58,100,166,45,137,111,892,824,3993,3097,1814,3399,4719,1549,3567,243,23208
SED51605,45,217,148,106,204,213,62,130,22,1140,28,131,91,62,253,300,77,174,145,1268,1109,3672,3003,1943,5077,5545,1752,3912,348,26353
SED51706,35,168,97,65,130,129,70,142,10,842,55,106,51,40,96,131,41,134,164,825,1207,2997,2392,1535,2930,3759,1407,3817,371,20419
SED51804,14,172,77,47,87,76,23,71,0,565,28,155,98,53,81,178,67,149,103,917,843,4151,2689,1675,2447,4203,1459,3969,224,21658
SED51902,33,204,127,79,207,208,84,190,8,1145,54,145,98,57,196,253,54,169,199,1232,1194,3300,2670,1768,4147,4738,1615,4220,398,24059
SED52006,20,138,111,47,116,133,35,80,4,690,43,100,72,40,78,102,31,109,138,716,1058,2907,2167,1308,2815,2640,987,3197,322,17412
SED52102,33,155,119,68,209,205,76,146,10,1031,27,116,84,75,197,225,63,121,205,1107,888,2767,2293,1517,4264,4133,1399,3246,419,20930
SED52205,24,131,131,79,145,129,41,98,7,785,37,153,104,82,138,231,52,159,141,1089,1043,3471,2812,1900,3692,4421,1475,3422,296,22527
SED52301,31,97,79,52,133,180,46,146,6,777,29,93,67,45,80,106,38,109,106,664,927,2553,1999,1489,2977,3164,1202,3147,286,17751
SED52404,31,166,122,61,135,169,60,93,8,846,37,126,74,53,141,205,55,129,95,914,1006,3450,2721,1695,3696,4465,1478,3252,225,21983
SED52505,29,149,139,93,207,225,62,129,12,1050,34,203,130,75,272,308,91,163,185,1464,1179,4058,3416,2238,6516,6629,1944,3750,409,30135
SED52604,27,153,125,80,156,190,62,124,4,927,28,126,82,53,171,199,55,110,113,928,946,3500,2756,1671,4015,4501,1359,3066,245,22065
SED52702,27,161,111,81,149,150,43,106,9,831,26,126,75,53,105,171,43,101,88,795,942,3258,2371,1506,2966,3580,1268,3251,221,19361
SED52803,37,64,51,32,98,130,60,285,11,769,38,61,53,37,85,134,39,171,149,758,866,1623,1384,877,2326,3002,1576,6317,389,18354
SED52903,18,57,42,31,97,110,40,119,5,524,39,61,38,27,106,85,27,101,203,691,726,1254,1069,994,2941,2726,939,2878,390,13914
SED53004,33,157,119,76,142,172,55,91,3,846,39,102,84,36,130,173,43,97,91,804,972,3359,2741,1686,3725,4361,1424,2806,201,21267
SED53105,28,149,125,75,203,201,68,102,3,952,51,134,103,66,211,298,86,166,193,1300,1067,3107,2653,1763,4786,4918,1535,3457,428,23712
