SED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SED55102,0,5,4,35,5,8,3,0,0,62,0,0,3,15,6,17,9,3,0,58,0,8,26,74,30,36,10,3,0,187,4,35,121,346,156,116,63,28,10,872,52,144,117,319,153,115,95,39,12,1044,1563,3781,2875,6934,3404,2774,1795,726,163,24016,0,3,9,46,11,3,0,0,0,76,3220,6933,4624,9100,4073,2813,1870,692,139,33471,0,3,6,8,3,0,0,0,0,21,0,0,0,16,0,3,0,0,0,27,0,4,4,16,9,0,0,0,0,24,0,4,0,8,4,0,4,0,0,19,0,8,9,20,10,12,13,3,0,82,0,0,0,5,3,3,0,3,0,18,0,3,3,40,14,13,6,0,0,79,0,0,0,8,5,3,21,15,5,63,0,0,14,11,5,0,3,0,0,32,4,70,255,645,777,995,609,367,75,3807,0,0,0,14,4,5,0,5,0,35,0,0,0,10,6,11,3,0,0,40
SED55202,0,4,4,60,28,23,14,6,0,142,0,0,0,7,3,10,11,5,0,50,0,0,8,30,5,9,3,0,0,65,6,58,101,338,139,86,87,56,9,887,83,180,135,360,130,110,121,114,109,1339,1596,3149,2883,6819,2890,2675,2378,1426,649,24456,6,69,159,581,115,64,19,9,0,1026,2959,4912,3572,5824,2600,2250,1991,991,374,25465,0,30,14,148,31,6,5,0,0,230,0,0,0,7,3,11,3,0,0,31,0,0,0,17,0,0,0,0,0,20,0,3,0,32,13,9,12,5,0,80,0,0,0,12,9,10,7,0,0,45,0,0,0,9,11,15,10,0,0,41,4,24,77,326,172,92,42,14,4,770,0,0,0,7,10,9,7,10,3,42,0,10,12,13,0,4,7,5,0,49,5,29,39,277,350,683,647,604,219,2865,0,0,4,21,5,7,6,4,0,46,0,0,0,13,8,9,3,0,3,37
SED55306,0,0,10,24,10,3,0,0,0,39,0,0,0,10,8,9,11,4,3,47,0,0,0,18,17,17,9,0,0,61,3,15,8,116,54,64,43,23,15,347,44,178,95,336,153,166,179,129,46,1325,1150,3010,1859,5259,3134,3098,3005,1570,670,22745,0,4,9,38,7,9,0,0,0,64,2147,5574,3382,7026,4337,3980,3930,1914,695,32981,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,33,12,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,8,0,10,55,37,17,12,3,0,135,0,0,0,3,6,0,0,0,0,12,0,0,0,18,13,9,0,4,0,49,0,0,0,5,0,5,3,0,0,10,0,0,0,0,0,0,7,0,0,11,5,69,92,491,479,722,822,585,174,3434,0,0,0,5,3,0,0,4,0,13,0,0,6,54,14,14,11,0,4,102
SED55405,9,16,41,126,38,15,14,0,5,258,0,0,0,14,7,10,8,9,6,49,0,0,21,29,16,6,8,0,0,82,10,76,154,776,136,94,63,27,23,1365,49,80,160,469,129,111,84,119,161,1369,1345,2015,3432,8824,2557,2145,1693,1108,804,23917,0,8,8,60,15,14,9,4,0,124,2420,3230,4172,7860,2721,2232,1633,843,495,25601,5,12,4,101,4,6,4,0,0,127,0,0,0,15,4,8,3,3,0,30,0,9,9,117,8,8,4,0,0,162,0,5,10,13,13,9,11,0,0,62,0,4,8,77,19,12,10,3,3,134,0,0,0,19,14,11,9,3,0,50,0,32,169,654,132,93,48,19,12,1166,0,0,0,8,3,7,13,10,4,45,0,20,3,32,11,0,4,0,0,72,8,40,116,559,348,472,356,254,118,2265,0,0,3,8,3,5,0,3,0,26,0,0,10,71,7,7,3,0,0,100
SED55504,0,7,9,98,37,30,18,0,6,199,0,0,20,25,30,25,7,9,3,130,0,5,28,84,57,28,17,6,0,226,0,41,139,372,155,117,73,37,13,951,29,108,86,211,99,72,70,58,20,749,1721,3784,3000,7359,3309,2559,1938,1082,399,25149,0,0,0,26,8,8,5,0,0,53,3341,6476,3762,7455,2541,1928,1542,721,235,27997,0,0,0,12,0,0,0,0,0,13,0,0,0,13,6,9,0,0,0,26,0,0,5,33,7,4,6,0,0,54,0,0,0,14,3,6,0,0,0,14,0,10,10,26,11,8,10,4,0,84,0,0,3,0,5,8,0,4,0,19,0,4,11,98,29,28,6,3,0,191,0,0,0,11,3,9,10,13,4,54,0,14,25,30,8,12,5,0,0,93,9,275,736,1636,1388,1276,923,641,211,7094,0,5,4,9,5,7,3,0,0,30,0,0,0,13,8,8,5,4,0,40
SED55605,0,0,3,23,6,5,0,0,0,40,0,5,9,20,16,32,10,14,0,109,0,0,7,33,23,19,0,3,0,87,0,20,30,137,100,88,49,30,0,456,55,146,110,263,129,73,57,44,30,911,1567,3951,3296,6714,3788,2766,1617,813,272,24788,0,0,0,0,0,0,0,0,0,3,3211,6875,5049,8605,3849,2660,1560,672,191,32671,0,0,0,3,0,0,4,0,0,14,0,0,0,9,7,10,3,0,0,26,0,3,0,26,3,3,0,0,0,39,0,0,0,3,0,0,0,0,0,3,5,11,7,42,30,17,4,4,0,115,0,4,0,5,7,4,0,0,0,21,0,11,3,28,15,14,5,0,0,69,0,0,0,5,4,13,14,6,0,38,0,0,0,5,6,0,6,4,0,22,9,325,709,1164,1494,1510,711,472,146,6543,0,0,0,11,8,3,5,0,0,22,0,0,0,12,6,4,4,3,0,38
SED55706,0,3,0,16,4,4,0,0,0,30,0,0,0,4,0,13,9,10,3,39,0,0,3,12,8,14,21,4,0,63,3,13,13,142,57,67,66,27,9,401,49,234,148,405,285,291,258,148,65,1883,1017,2635,1714,4740,3015,3502,3124,1447,515,21705,0,8,25,58,22,12,4,0,0,121,1947,4754,3071,6158,4033,4392,3988,1656,519,30528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,26,10,3,0,0,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,52,24,28,18,3,0,130,0,0,0,22,0,0,3,0,0,23,0,4,4,28,12,0,0,0,0,52,0,0,0,0,3,0,8,3,4,18,0,0,0,3,0,0,4,5,0,8,7,37,56,390,488,899,856,577,150,3452,0,0,0,0,4,6,3,0,0,17,0,5,5,77,16,13,8,8,3,129
SED55802,0,9,29,266,155,92,65,19,14,643,0,0,3,13,3,9,5,0,0,39,0,16,35,114,41,16,3,0,0,232,9,72,154,571,168,135,80,37,16,1235,60,106,92,278,90,70,64,38,18,822,2127,3599,3328,8818,3324,2762,1629,885,352,26826,0,27,64,201,39,27,3,7,0,360,4193,6130,4650,8199,3025,2526,1349,683,256,31017,0,6,0,28,5,8,5,0,0,52,0,0,0,49,23,21,14,8,4,117,0,9,3,46,5,0,3,0,0,64,0,4,0,24,14,19,11,0,0,82,0,8,3,23,10,10,7,4,0,53,0,0,0,12,8,5,3,0,0,33,0,3,20,119,49,31,23,4,3,249,0,0,4,16,12,28,18,18,3,99,0,6,17,15,5,3,3,3,0,51,8,56,147,523,469,674,390,332,112,2700,0,0,0,4,8,0,0,0,0,13,0,0,3,23,5,11,4,0,0,50
SED55905,0,4,4,37,15,15,5,0,0,81,0,0,8,9,7,13,4,3,0,41,0,0,11,24,7,18,9,4,0,74,0,19,50,239,130,187,164,74,30,900,33,83,105,262,95,93,102,79,91,936,1025,2053,2585,5535,2622,2671,2216,1438,766,20925,0,0,0,9,0,0,3,0,0,12,2077,3661,3862,6675,3073,2806,1997,1243,539,25928,5,9,4,35,5,3,0,0,0,60,0,0,6,25,24,24,17,3,0,104,0,4,0,54,7,4,0,0,0,71,0,0,0,0,0,0,0,0,0,5,0,3,10,54,15,20,4,5,3,112,0,0,3,17,14,16,14,0,0,62,0,11,35,149,69,54,27,13,0,357,0,0,0,39,21,71,138,64,34,368,0,0,0,8,0,7,11,13,4,43,5,50,136,464,417,515,426,365,149,2526,0,0,3,7,5,3,0,0,0,29,0,5,6,61,20,13,5,5,0,105
SED59494,0,0,0,7,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,15,55,4,4,0,0,0,81,25,30,89,251,105,109,72,6,9,692,153,230,410,1309,468,477,316,38,16,3416,5,0,0,12,0,0,0,0,0,25,226,379,525,1747,782,622,413,62,12,4775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,3,8,3,0,0,0,0,24,0,0,4,9,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,18,103,47,91,75,19,5,366,0,0,0,0,0,0,0,0,0,0,0,0,6,28,0,0,0,0,0,40
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,8,0,0,0,0,19,0,0,13,28,9,3,4,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,15,91,31,16,5,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
