SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED50106,15562,16411,31970,6093,3483,9576,2192,4592,6790,636,599,1237,413,296,715,9335,8977,18311,5268,6585,11854,4.4,3.3,3.9,60,54.7,57.3,57.4,52.9,55.1,338,425,765,194,453,646,1257,2301,3556,1144,1836,2979,4258,2456,6717,300,441,735,222,403,625,4775,3302,8074,14801,15711,30518,2597,2796,5392,9860,10291,20155,6652,7398,14052
SED50202,19398,20367,39756,8657,4559,13214,2329,4739,7063,673,747,1425,1015,1000,2011,12675,11051,23722,5215,7981,13198,8,9.1,8.5,65.4,54.2,59.7,60.1,49.3,54.6,372,474,849,156,315,471,1290,2104,3398,1373,1965,3337,5107,3473,8585,393,546,934,245,450,690,5743,4466,10209,20028,20603,40629,2903,3156,6059,12634,12762,25400,8666,9444,18106
SED50304,18380,19975,38364,8940,6002,14943,2852,5373,8232,550,679,1227,632,561,1200,12977,12622,25601,4321,6380,10702,4.9,4.5,4.7,70.6,63.2,66.7,67.1,60.4,63.6,1389,1409,2798,354,658,1010,3603,4428,8030,1818,2052,3862,3419,1919,5333,203,277,479,205,384,592,3826,2583,6406,17268,18671,35944,3105,3402,6514,10362,11477,21842,8849,9506,18353
SED50405,20456,22088,42541,11361,6309,17669,2296,6287,8578,920,916,1844,758,855,1616,15347,14368,29710,3743,6729,10480,5,6,5.4,75,65,69.8,71.3,61.2,66,544,645,1189,206,537,747,1817,3161,4976,1795,2545,4333,6252,4015,10263,364,558,916,290,517,805,6902,5087,11986,22058,23357,45416,3890,4321,8214,13059,13571,26631,10680,12032,22710
SED50502,17278,17846,35119,7987,4795,12781,2505,4595,7102,538,596,1138,701,632,1332,11735,10616,22351,4527,6394,10921,6,6,6,67.9,59.5,63.6,63.9,56,59.9,641,744,1390,246,510,755,2118,2879,4994,1387,1703,3091,4094,2194,6287,265,318,583,212,421,632,4565,2931,7496,17765,18093,35861,2388,2385,4776,12512,12760,25272,6466,6667,13136
SED50605,17615,18983,36602,8137,4673,12812,2895,5536,8430,450,562,1014,589,514,1099,12079,11282,23360,4948,7210,12160,4.9,4.5,4.7,68.6,59.4,63.8,65.2,56.7,60.8,2091,1736,3833,537,866,1405,4986,5572,10562,1658,2012,3668,2343,1191,3530,156,196,352,213,427,639,2714,1804,4518,17739,18786,36529,2982,3170,6147,11602,12451,24054,8201,8683,16881
SED50702,20519,20122,40633,9926,6167,16091,2964,4841,7807,747,718,1465,775,672,1443,14411,12403,26811,4547,6427,10970,5.4,5.4,5.4,70.2,61.6,66,66.5,58.3,62.4,1214,1166,2384,296,542,835,3281,4069,7346,1973,2121,4085,4288,2199,6485,293,333,629,256,402,665,4837,2942,7777,18500,18112,36618,3932,3976,7910,10754,10608,21362,10495,10358,20855
SED50805,14951,17303,32259,7170,4488,11652,2301,5284,7583,445,572,1018,436,400,836,10345,10743,21085,3919,5902,9815,4.2,3.7,4,69.2,62.1,65.4,66.3,59.8,62.8,1253,1311,2561,477,914,1388,3504,4659,8161,1423,1832,3252,2715,1346,4060,158,208,371,220,412,640,3092,1967,5062,14957,16882,31842,2454,2946,5402,9959,11121,21084,6570,7794,14366
SED50906,17473,18606,36082,7682,4348,12032,1992,4990,6982,694,656,1351,589,541,1130,10953,10534,21487,5393,7064,12457,5.4,5.1,5.3,62.7,56.6,59.6,59.3,53.7,56.4,463,460,922,212,478,687,1528,2568,4095,1193,1714,2905,4979,3128,8109,320,490,818,222,457,676,5520,4081,9602,16327,17523,33850,3282,3598,6880,10760,11411,22172,7759,8709,16465
SED51004,17897,18699,36600,9383,5211,14594,2567,5963,8536,740,740,1475,682,703,1390,13374,12625,25994,3638,5426,9067,5.1,5.6,5.3,74.7,67.5,71,70.9,63.7,67.2,651,666,1309,256,479,735,2104,3284,5392,1736,2421,4162,5113,2602,7707,265,396,664,269,460,727,5650,3458,9105,18416,18902,37325,2890,3099,5983,12375,12563,24939,7803,8330,16132
SED51104,20540,22506,43040,10254,5822,16074,2510,6379,8889,948,912,1864,894,961,1851,14611,14069,28680,4524,7339,11860,6.1,6.8,6.5,71.1,62.5,66.6,66.8,58.2,62.3,461,490,948,202,516,716,1569,2884,4453,1748,2807,4563,6293,3704,9992,342,522,861,286,557,847,6922,4782,11702,21447,22820,44261,3947,4515,8464,12465,12809,25273,10999,12664,23666
SED51205,21756,21454,43207,9780,5421,15203,3789,5662,9449,762,732,1496,868,829,1704,15202,12641,27847,5149,7643,12791,5.7,6.6,6.1,69.9,58.9,64.5,65.9,55.1,60.5,1442,1630,3076,292,523,814,3737,4569,8306,2175,2121,4298,4106,2226,6332,284,320,601,263,397,661,4649,2941,7598,20993,20882,41880,3894,3652,7549,12418,12580,25001,10818,10473,21293
SED51304,16475,17480,33955,7833,4063,11893,2494,5665,8153,453,618,1068,479,383,861,11263,10718,21975,4663,6316,10979,4.3,3.5,3.9,68.4,61.3,64.7,65.4,59.1,62.2,1381,1169,2551,494,875,1375,3946,4579,8522,1769,1988,3753,3178,1411,4583,143,209,353,195,492,684,3515,2113,5626,17892,18806,36700,2090,2165,4259,12860,13480,26342,6140,6528,12668
SED51401,16062,14989,31051,6661,3338,9994,1472,3435,4901,624,599,1221,469,338,809,9224,7709,16932,4912,5670,10586,5.1,4.4,4.8,57.4,51.5,54.5,54.5,49.2,51.9,170,221,388,91,289,381,743,1558,2307,713,1249,1962,3651,1795,5446,216,378,599,220,310,535,4092,2488,6579,14314,13871,28183,2170,2129,4304,10451,9866,20312,5202,5335,10536
SED51504,17186,18517,35703,8327,4907,13236,3041,5867,8909,485,580,1064,457,429,889,12312,11781,24096,4293,6177,10467,3.7,3.6,3.7,71.7,63.6,67.5,69,61.3,65,2480,2161,4645,572,1027,1600,5222,5806,11026,1573,1905,3474,1875,1002,2878,114,162,279,194,376,565,2182,1536,3719,18003,18783,36787,2914,2985,5899,11596,12199,23794,8332,8630,16962
SED51605,18663,19417,38083,10510,5782,16286,2429,6187,8620,690,755,1451,641,622,1267,14269,13346,27620,3504,5346,8854,4.5,4.7,4.6,76.5,68.7,72.5,73,65.5,69.2,845,890,1731,256,596,852,2506,3730,6236,1640,2168,3810,5100,2673,7771,282,380,660,250,425,678,5629,3476,9105,19456,20044,39505,3021,3171,6187,13023,13351,26380,8070,8589,16656
SED51706,17522,18206,35729,8067,3845,11914,1812,5115,6926,840,737,1576,524,479,1009,11253,10172,21428,4984,6984,11971,4.7,4.7,4.7,64.2,55.9,60,61.2,53.2,57.1,219,285,507,147,392,546,1072,2104,3181,1114,1690,2803,5724,3270,8994,279,516,794,245,439,687,6253,4224,10475,17606,18028,35631,2708,2913,5618,12428,12485,24913,6729,7374,14101
SED51804,17532,19345,36885,7593,4483,12074,3114,5406,8519,443,619,1065,471,440,916,11630,10945,22571,5002,7513,12519,4.1,4,4,66.3,56.6,61.2,63.6,54.3,58.7,2717,2291,5010,502,1030,1531,5736,6309,12045,1336,1892,3230,1363,751,2116,79,128,208,138,366,503,1585,1242,2828,16626,17944,34571,3365,3754,7116,10317,11205,21521,8854,9707,18561
SED51902,18295,18637,36933,9644,5079,14724,2142,5599,7737,810,790,1599,488,536,1017,13079,11995,25080,4265,5913,10179,3.7,4.5,4.1,71.5,64.4,67.9,68.8,61.5,65.1,411,492,906,202,497,699,1539,2538,4083,1418,2261,3682,6008,3165,9167,263,405,671,269,480,752,6538,4055,10594,19476,19965,39444,2591,2772,5364,13631,13541,27172,6941,7737,14675
SED52006,17193,18606,35800,6254,3393,9643,1874,4506,6379,798,595,1386,623,580,1201,9541,9073,18613,6593,8744,15334,6.5,6.4,6.5,55.5,48.8,52,51.9,45.6,48.6,352,337,690,173,419,597,1257,2130,3385,1474,2043,3519,5262,2744,8007,247,371,612,251,524,775,5763,3638,9395,16371,17705,34076,2921,3238,6160,10659,11302,21958,7729,8722,16449
SED52102,16757,17026,33786,8481,4570,13050,2107,4465,6579,632,672,1302,605,578,1188,11830,10282,22118,3953,5916,9867,5.1,5.6,5.4,70.6,60.4,65.5,67,57,62,470,532,1004,160,331,492,1469,2309,3780,1290,1704,2993,4836,2538,7367,254,369,622,237,404,637,5321,3309,8629,17428,17462,34886,2360,2466,4830,12241,12334,24576,6302,6510,12812
SED52205,18188,19299,37487,7873,5133,13007,2740,5433,8178,643,699,1337,685,553,1243,11945,11820,23763,4852,6332,11189,5.7,4.7,5.2,65.7,61.3,63.4,61.9,58.4,60.1,1426,1636,3061,425,884,1306,3245,4663,7908,1579,1878,3456,3663,1745,5406,208,253,458,271,385,657,4144,2378,6522,16365,17215,33578,3331,3749,7079,9880,10425,20305,8761,9590,18349
SED52301,15281,15919,31196,6565,3927,10490,1819,4226,6042,636,574,1212,545,416,962,9562,9150,18708,4173,5420,9592,5.7,4.6,5.1,62.6,57.5,60,59,54.8,56.9,257,298,552,130,393,518,886,1870,2754,937,1498,2434,4403,2379,6779,301,493,796,189,324,505,4897,3190,8089,14410,14991,29402,2523,2789,5309,9691,9935,19629,6266,6890,13159
SED52404,16575,17253,33828,8393,4495,12891,2311,5559,7871,548,680,1225,553,459,1015,11802,11200,23002,4142,5602,9749,4.7,4.1,4.4,71.2,64.9,68,67.9,62.2,65,852,804,1654,328,707,1032,2656,3819,6475,1670,2117,3784,4604,1955,6562,156,243,394,232,457,689,4995,2654,7645,17514,17930,35441,2261,2438,4698,12382,12646,25025,6299,6685,12984
SED52505,21896,22035,43929,11995,6842,18836,2989,6727,9718,714,873,1585,639,710,1355,16336,15149,31489,4799,6439,11236,3.9,4.7,4.3,74.6,68.8,71.7,71.7,65.5,68.6,1796,1683,3476,399,745,1151,4433,5699,10129,2263,2495,4760,4304,2300,6600,232,320,550,257,426,680,4791,3040,7836,22919,23679,46596,3479,3701,7182,13847,14337,28184,10570,11190,21758
SED52604,17005,17248,34252,8393,4543,12943,2459,5476,7933,551,636,1185,621,463,1081,12026,11126,23145,4125,5506,9631,5.1,4.2,4.7,70.7,64.5,67.6,67.1,61.8,64.4,899,774,1671,312,589,900,2514,3350,5863,1732,2110,3840,4515,2082,6596,203,294,497,274,470,749,4988,2846,7837,16689,16912,33608,2788,2796,5589,11676,11948,23623,6928,6960,13883
SED52702,15881,16572,32447,7156,3911,11062,2257,4877,7134,595,564,1163,429,359,781,10437,9713,20147,4717,6286,10999,4.1,3.7,3.9,65.7,58.6,62.1,63,56.5,59.7,790,780,1567,372,668,1039,2337,3391,5731,1620,2085,3707,4226,1886,6108,190,280,470,229,443,670,4641,2612,7252,16707,17157,33864,1817,1985,3799,12733,13025,25759,5023,5401,10427
