SED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
SED50106,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,3,12,6,9,5,0,0,0,0,0,0,3,67,10,51,35,12,0,6,3,11,4,4,0,4,0,0,7,147,0,0,0,0,4,7,7,5,0,0,0,4,0,0,3,28,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,5,4,0,17,11,4,0,0,0,0,0,17,75,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,4,121,28,14,37,6,16,7,0,0,0,0,4,0,11,254,0,8,60,102,149,105,130,56,4,7,8,12,3,9,42,676,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED50202,0,0,0,4,0,0,0,69,0,0,4,0,0,19,29,8,6,0,0,0,0,0,0,62,0,5,22,30,34,11,10,18,0,3,5,0,0,0,0,129,3,33,44,16,7,0,9,16,0,0,0,0,0,0,5,137,0,0,5,0,6,3,16,14,0,0,0,9,0,0,3,58,0,0,0,0,0,8,12,11,8,0,0,5,0,0,0,45,0,0,0,6,10,0,3,0,0,3,0,0,0,0,3,36,0,0,12,30,55,23,84,34,12,5,6,7,0,0,9,280,0,0,0,0,0,0,20,7,5,0,5,5,0,0,0,40,9,158,54,37,52,10,31,22,6,0,0,0,0,0,8,389,0,5,41,139,318,281,487,396,34,26,43,37,12,10,64,1890,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,5,38,61,15,10,6,3,3,0,0,144
SED50304,14,3,12,11,0,0,0,272,0,0,0,0,0,29,37,57,12,3,7,8,4,0,3,166,0,0,22,15,41,20,75,234,15,23,31,34,11,0,4,532,58,535,477,117,37,18,55,142,26,21,10,5,11,0,84,1594,0,0,0,3,17,40,54,32,9,0,4,10,0,0,7,163,0,0,0,3,5,4,41,31,3,6,6,8,0,0,0,108,0,0,3,7,4,9,3,7,0,0,0,0,4,0,0,32,0,8,17,54,136,73,153,62,18,22,12,15,16,0,10,596,0,0,0,0,0,6,39,58,13,22,25,14,13,0,0,188,3,30,5,0,0,11,9,11,0,0,0,0,0,0,0,80,0,3,26,69,149,114,194,157,9,3,18,13,7,3,12,786,15,47,121,115,101,54,38,26,0,0,4,3,0,0,23,551,0,0,0,0,0,14,41,76,20,17,13,15,12,3,0,216
SED50405,0,0,0,0,0,0,0,51,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,14,0,0,15,6,28,12,110,124,3,4,3,0,0,0,3,319,0,19,27,4,0,4,12,11,0,0,0,0,5,0,0,89,0,0,0,0,0,3,40,9,4,0,0,0,0,0,0,64,0,0,0,0,0,0,41,22,0,0,0,0,0,0,0,75,0,0,0,3,0,0,3,3,0,0,5,0,0,0,0,13,0,0,3,12,27,24,78,53,25,0,6,8,7,0,0,243,0,0,0,0,0,3,29,16,8,0,4,0,3,0,0,72,5,62,9,16,18,4,36,10,6,0,0,0,0,0,4,164,0,0,32,133,278,331,983,1017,71,69,89,72,36,31,81,3231,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,24,29,4,0,0,0,0,0,0,77
SED50502,7,8,4,0,3,7,0,151,0,0,9,0,0,89,61,42,0,8,3,0,0,0,12,230,0,3,16,17,40,29,97,85,3,3,5,0,3,0,6,302,9,132,115,23,10,20,26,32,11,0,0,0,0,0,9,380,0,0,0,5,4,12,32,4,0,0,0,0,3,0,0,65,0,0,0,0,13,10,25,15,0,0,0,3,0,0,0,65,0,0,4,4,5,10,8,0,0,0,0,0,0,0,0,18,0,9,25,63,185,52,89,51,12,14,11,9,3,0,5,531,0,0,0,0,0,0,36,22,0,5,4,0,0,0,0,75,4,49,22,17,14,8,6,5,0,0,0,0,0,0,7,119,0,6,43,106,234,214,255,183,13,18,27,17,6,3,25,1159,0,6,12,15,17,16,10,8,0,0,4,0,0,0,8,83,0,0,0,3,10,7,29,37,10,8,17,16,3,0,0,146
SED50605,10,17,3,15,0,4,0,405,0,0,0,0,0,16,16,33,3,0,0,0,0,0,0,64,6,7,27,28,53,25,31,41,9,0,5,3,0,0,0,232,16,115,76,17,12,11,14,35,10,3,0,9,0,0,10,323,0,0,0,5,12,34,31,10,0,6,0,5,3,0,4,117,0,0,0,5,29,32,118,61,8,22,3,11,5,6,6,312,0,0,10,6,4,7,4,0,0,0,0,0,0,0,0,30,0,9,65,207,695,250,414,211,46,45,32,31,27,4,22,2056,0,0,0,0,0,0,5,6,4,5,12,15,3,0,0,47,6,60,11,5,12,10,18,12,0,0,0,0,0,0,0,127,0,13,52,73,179,81,135,78,3,3,0,10,0,3,18,663,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,6,5,11,29,0,3,5,5,0,0,0,73
SED50702,4,6,9,14,6,0,6,152,0,4,0,0,0,17,36,41,0,0,0,3,0,0,4,102,0,10,27,19,49,21,65,163,7,13,4,22,9,0,3,406,12,130,97,14,7,12,18,50,0,9,6,4,0,0,13,373,0,0,0,0,9,21,36,19,6,3,12,8,0,0,6,122,0,0,0,7,15,20,121,83,16,16,11,16,5,0,8,325,0,0,6,18,12,7,8,13,0,0,0,5,0,0,0,69,0,7,26,46,127,97,247,170,42,54,28,31,7,6,21,909,0,0,0,0,6,10,73,67,22,28,43,44,15,0,4,306,7,49,6,5,15,9,15,4,0,0,3,0,0,0,4,109,3,0,38,135,265,212,365,386,31,26,44,25,12,24,40,1599,0,0,0,0,3,0,3,0,0,0,4,0,0,3,0,26,0,0,3,5,14,5,92,182,55,51,33,60,29,3,9,537
SED50805,3,0,0,0,0,0,0,74,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,4,22,24,74,46,66,56,0,0,4,4,4,0,5,303,25,155,107,10,7,10,28,38,3,0,3,0,0,0,31,432,0,0,0,3,5,8,19,7,0,0,4,0,0,0,0,59,0,0,3,0,3,8,24,13,0,6,0,7,3,0,4,60,0,0,5,7,5,5,0,0,0,0,0,0,0,0,0,17,0,3,18,31,47,23,42,18,0,3,9,0,8,0,3,206,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,8,45,17,7,9,4,18,5,0,0,4,4,0,0,5,122,0,7,49,114,204,119,111,69,4,0,9,7,8,0,17,738,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,6,0,0,6,0,0,0,0,0,20
SED50906,4,0,0,0,0,0,3,23,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,20,0,5,12,19,51,10,32,62,0,3,4,7,0,0,6,201,20,133,47,5,0,5,7,13,0,0,0,0,0,0,16,243,0,0,0,0,0,7,9,3,0,4,0,3,5,3,0,43,0,0,0,0,0,0,18,14,3,0,5,10,6,0,0,66,0,0,0,4,5,11,11,4,0,0,0,0,3,0,0,40,0,8,10,11,15,14,23,23,0,3,13,0,0,0,6,130,0,0,0,0,0,0,15,11,6,10,5,3,5,0,0,51,0,61,18,11,11,11,16,8,0,0,0,0,0,0,0,141,3,5,41,133,228,146,298,185,9,28,17,16,12,8,61,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,29,9,5,6,7,5,0,0,75
SED51004,4,5,3,10,0,0,0,111,0,0,0,0,0,9,9,4,9,0,3,0,0,0,0,33,0,0,16,33,131,41,169,228,5,5,13,0,4,0,4,654,7,18,23,3,8,9,23,26,0,0,0,0,4,0,3,129,0,0,0,0,4,12,18,14,0,0,5,0,5,0,0,50,0,0,0,0,9,6,20,3,0,0,0,0,0,0,0,38,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,15,0,4,11,15,49,24,61,28,8,18,20,4,14,0,5,256,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,17,7,27,13,10,8,6,24,5,0,0,0,0,0,0,3,106,0,3,20,115,274,232,390,263,22,24,19,40,11,11,35,1462,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3,0,0,11,19,16,0,0,0,4,0,0,0,67
