SED_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED50106,3,5,0,0,0,5,10,9,23,438,455,49,942,25,27,49,988,563,21,1578
SED50202,9,11,4,0,6,15,14,32,62,776,602,96,1480,116,126,244,1722,1258,47,3030
SED50304,7,7,0,0,0,7,4,8,23,604,408,62,1074,44,50,95,1172,637,16,1831
SED50405,10,14,0,0,0,14,9,18,36,844,623,99,1568,55,76,128,1701,782,24,2510
SED50502,3,10,0,0,0,15,6,10,24,682,469,61,1209,53,60,115,1321,771,27,2124
SED50605,3,5,0,0,3,6,3,3,17,537,374,36,953,25,36,59,1010,468,10,1487
SED50702,5,6,0,0,0,3,19,7,29,604,384,46,1031,66,72,138,1167,757,16,1946
SED50805,0,9,0,0,0,9,4,4,15,584,387,40,1010,21,19,44,1052,386,12,1445
SED50906,3,7,0,0,0,5,11,8,26,665,564,91,1319,46,57,105,1425,816,18,2258
SED51004,0,10,0,0,0,8,3,7,20,786,524,66,1381,50,46,96,1474,586,14,2074
SED51104,0,14,0,0,0,14,7,11,33,947,795,100,1844,96,96,195,2032,923,19,2973
SED51205,4,8,0,4,4,7,4,25,34,615,429,66,1110,58,55,111,1224,801,33,2062
SED51304,0,0,0,0,0,0,4,3,7,500,327,29,854,15,17,34,888,320,13,1218
SED51401,0,12,0,0,0,9,21,23,44,324,270,47,644,33,35,76,712,540,30,1283
SED51504,0,0,0,0,0,0,0,3,7,501,337,25,865,15,24,35,906,400,11,1312
SED51605,0,0,0,0,0,0,7,8,16,728,516,61,1311,33,55,86,1398,518,13,1935
SED51706,4,9,0,0,0,13,8,6,26,482,468,61,1014,43,40,88,1096,590,18,1708
SED51804,0,0,0,0,0,0,0,3,9,468,372,28,870,26,23,48,922,368,7,1305
SED51902,0,8,0,0,0,8,14,5,26,602,426,65,1090,38,34,69,1163,509,12,1677
SED52006,0,13,0,0,0,9,6,9,33,505,484,66,1055,56,64,125,1179,646,21,1842
SED52102,5,5,0,5,5,10,6,9,29,706,455,60,1225,47,61,109,1331,615,20,1968
SED52205,3,5,0,0,0,7,13,16,29,601,528,55,1185,36,51,91,1273,742,28,2037
SED52301,0,3,0,0,0,3,10,20,32,543,416,62,1022,47,52,96,1116,677,40,1827
SED52404,4,9,0,0,0,9,7,3,16,637,430,49,1111,32,33,69,1178,453,11,1642
SED52505,5,3,0,0,0,9,0,5,17,677,415,60,1144,21,33,54,1201,441,11,1653
SED52604,6,4,0,0,0,4,0,0,15,579,396,63,1043,28,39,64,1111,398,10,1516
SED52702,0,6,0,0,0,6,7,0,18,446,318,41,809,27,18,42,848,391,11,1251
SED52803,6,14,0,0,0,14,0,31,50,546,206,46,799,25,27,49,852,390,39,1283
SED52903,6,11,0,0,4,9,44,49,108,427,247,59,739,32,40,76,813,956,73,1838
SED53004,5,5,0,0,0,5,4,0,16,641,430,42,1120,26,18,50,1167,455,13,1635
SED53105,5,6,0,0,0,8,11,12,32,742,555,81,1383,62,66,137,1520,831,19,2363
SED53204,4,5,0,5,5,9,0,7,17,719,472,69,1260,32,52,84,1339,480,9,1832
SED53306,3,6,0,0,0,7,8,16,29,580,580,79,1238,83,82,169,1402,984,27,2408
SED53402,3,4,0,0,0,4,9,8,21,568,338,53,966,50,38,86,1052,530,12,1592
SED53502,3,13,0,0,0,13,11,15,32,778,551,85,1417,61,68,132,1551,828,25,2405
SED53602,4,9,0,0,0,5,14,26,43,654,593,82,1320,71,94,164,1491,1223,37,2751
SED53701,7,6,3,0,3,8,9,14,34,305,255,45,609,31,28,60,667,394,22,1086
SED53802,3,9,0,0,0,6,4,7,16,651,465,55,1171,44,51,99,1269,794,16,2073
SED53902,0,3,0,0,0,6,6,11,19,512,403,31,952,29,28,61,1005,488,25,1520
SED54006,5,8,0,0,0,8,10,9,24,495,431,59,991,41,56,102,1091,677,23,1789
SED54104,6,8,0,0,0,8,0,0,11,531,326,35,895,34,24,51,949,321,3,1280
SED54203,0,0,0,0,0,0,15,9,26,182,113,21,322,16,20,39,361,297,12,666
SED54304,0,3,0,0,0,3,5,4,11,554,289,31,873,16,24,42,917,389,8,1309
SED54403,4,3,0,0,0,3,10,15,34,541,161,58,753,21,26,52,808,335,22,1171
SED54505,0,0,0,0,0,0,7,0,4,573,389,41,1001,26,25,45,1049,462,4,1517
SED54605,3,8,0,0,0,8,22,12,42,544,408,67,1021,51,52,108,1128,850,22,2003
SED54701,0,3,0,0,0,6,8,23,36,345,267,38,649,37,40,73,722,462,35,1215
SED54804,3,11,0,0,0,11,3,7,16,627,453,45,1130,29,26,51,1183,482,13,1681
SED54905,0,0,0,0,0,0,10,13,20,477,319,35,824,23,27,48,875,431,12,1321
SED55005,0,3,0,0,0,3,7,10,24,673,501,64,1240,40,58,102,1342,663,18,2023
SED55102,4,7,0,0,0,7,10,11,23,786,506,83,1375,44,41,85,1464,601,18,2083
SED55202,0,9,0,0,3,13,9,19,42,662,474,58,1189,80,77,155,1350,931,38,2316
SED55306,0,6,0,0,0,11,3,10,19,476,558,58,1092,21,21,41,1132,444,11,1592
SED55405,0,0,0,0,0,0,10,12,20,512,344,33,891,37,33,65,955,536,18,1509
SED55504,11,15,0,0,0,17,9,11,33,795,584,65,1444,40,48,92,1535,625,18,2179
SED55605,6,15,0,0,0,15,8,25,40,808,644,99,1552,77,61,140,1691,791,29,2514
SED55706,0,0,0,0,0,0,8,8,20,393,497,48,935,30,21,51,980,460,16,1463
SED55802,7,12,0,0,0,12,9,10,27,834,555,84,1474,50,47,93,1571,659,17,2251
SED55905,0,9,0,0,0,9,7,13,22,565,458,59,1084,33,52,87,1171,693,23,1883
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
