SED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED50106,55,84,147,140,125,131,52,5,0,734,63,53,99,104,126,104,45,13,6,617,1308,1250,2931,3285,3922,3558,1155,170,18,17599
SED50202,50,117,266,209,163,112,39,0,0,961,59,138,341,304,251,166,42,5,0,1314,1137,2173,5258,5075,3995,3211,773,78,9,21707
SED50304,48,84,285,221,167,136,60,7,0,1006,30,104,314,275,189,121,40,6,7,1083,811,2031,7319,6034,4157,3003,932,99,8,24400
SED50405,69,111,330,255,182,111,18,7,0,1083,58,121,345,320,221,148,30,3,0,1253,1711,2550,7439,7300,5405,3095,548,40,3,28091
SED50502,36,86,233,202,169,113,40,3,0,881,46,102,274,282,234,175,37,6,0,1159,1019,1866,4586,4772,4300,3479,913,70,3,21017
SED50605,32,76,120,138,139,109,53,4,0,684,46,93,184,214,183,159,55,24,3,971,1360,2182,3699,4742,4797,3874,1393,200,14,22253
SED50702,34,107,285,246,155,124,45,3,0,1006,31,114,382,289,223,139,41,3,7,1235,936,2425,7403,5792,4372,3364,954,101,7,25364
SED50805,48,66,124,135,131,101,36,0,0,635,41,52,115,182,194,140,35,9,4,771,1286,1691,3508,4249,4763,3579,1055,120,9,20250
SED50906,39,103,169,153,192,135,35,3,0,829,49,65,151,163,139,109,47,9,0,734,1405,1722,3845,4185,4552,3576,975,94,7,20355
SED51004,73,136,233,209,217,164,27,8,0,1050,75,113,202,212,271,177,39,9,0,1097,1683,2442,4410,4855,6091,4266,791,56,0,24604
SED51104,68,117,386,261,245,130,13,3,0,1224,57,131,277,285,228,125,24,11,0,1134,1633,2520,6389,6386,5901,3313,628,52,0,26826
SED51205,41,146,327,253,189,126,35,8,0,1121,54,201,504,342,256,150,55,9,0,1568,1005,2953,7687,6290,4195,3072,858,77,3,26148
SED51304,41,73,95,148,149,99,58,3,0,676,46,58,112,205,197,138,57,12,0,825,1396,1640,2643,4915,5223,3749,1387,160,7,21117
SED51401,38,57,89,119,98,109,44,4,0,556,46,44,101,79,112,131,70,36,11,623,778,1048,2523,2856,3454,3670,1462,299,43,16128
SED51504,34,66,100,114,105,95,49,4,3,573,47,77,166,202,215,119,52,20,0,892,1361,1930,4270,5394,5403,3567,1086,174,24,23208
SED51605,75,128,280,238,235,155,26,0,0,1140,60,132,284,302,277,148,46,5,0,1268,1613,2390,5737,6439,5775,3557,775,56,0,26353
SED51706,55,87,193,179,180,112,34,3,0,842,46,82,158,174,154,141,42,21,8,825,1355,1467,3667,4401,4557,3818,990,153,12,20419
