SED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED50106,148,150,150,135,47,13,765,11,72,104,154,155,115,23,9,646,105,555,709,740,647,545,215,41,3556,88,324,474,577,671,525,260,56,2979,686,1323,1165,1227,1139,752,320,104,6717,318,119,86,79,75,44,14,3,735,38,46,56,123,154,134,47,14,625,1043,1485,1314,1425,1370,927,379,130,8074,8,17,29,33,27,57,36,11,221,254,306,272,331,412,437,384,236,2633,1519,2882,3049,3406,3428,2744,1346,498,18875
SED50202,328,164,87,49,22,3,849,14,113,132,89,70,36,20,0,471,191,927,1002,587,356,215,92,24,3398,206,755,868,564,504,296,120,30,3337,1019,2126,1722,1337,1209,811,295,64,8585,388,241,108,80,60,35,20,4,934,62,105,124,133,117,108,38,8,690,1465,2469,1954,1553,1389,947,358,75,10209,31,43,52,42,49,37,34,12,292,548,724,621,537,470,383,329,164,3766,2459,5213,4963,3529,2921,1971,970,297,22322
SED50304,938,372,190,94,29,9,2798,20,298,285,177,138,70,20,8,1010,538,2969,2218,1102,638,395,130,41,8030,242,943,924,679,517,380,153,24,3862,523,1263,1038,894,776,492,271,84,5333,150,88,72,56,58,40,10,0,479,32,74,106,128,118,74,37,15,592,709,1427,1216,1079,947,608,322,94,6406,16,80,62,56,40,37,32,15,338,283,654,507,367,339,271,258,185,2869,1876,7473,6153,3825,2814,1860,942,382,25322
SED50405,504,226,104,37,18,0,1189,23,191,232,176,76,36,15,0,747,289,1411,1705,894,388,207,86,6,4976,264,1015,1215,948,544,234,96,20,4333,1117,3017,2337,1778,1132,574,262,38,10263,381,230,144,83,51,23,9,0,916,79,127,170,179,127,81,38,3,805,1579,3373,2650,2047,1312,678,306,42,11986,27,42,69,48,39,24,29,6,294,389,698,666,475,323,255,207,69,3081,2579,7013,7036,4819,2782,1472,750,149,26603
SED50502,462,251,161,84,26,3,1390,16,152,187,183,142,63,18,0,755,353,1449,1304,838,574,340,123,23,4994,177,574,693,627,525,342,127,32,3091,626,1244,1267,1092,1053,698,241,60,6287,213,120,86,73,52,29,7,0,583,58,48,108,134,139,99,43,8,632,899,1417,1464,1298,1238,824,287,74,7496,23,26,39,41,55,44,35,6,276,315,490,386,356,329,284,233,102,2483,1815,4474,4533,3587,3021,1977,849,233,20486
SED50605,1016,871,606,445,142,29,3833,11,190,283,313,315,202,77,11,1405,762,1975,2476,2022,1480,1193,519,131,10562,178,304,536,684,786,726,336,123,3668,432,494,497,609,675,479,247,95,3530,143,36,41,36,34,45,10,3,352,33,32,56,109,133,147,84,32,639,603,567,601,755,844,674,348,128,4518,19,31,43,42,58,65,61,16,340,167,224,227,250,260,285,171,101,1685,1797,3943,5178,4937,4343,3597,1658,554,26006
SED50702,824,348,165,109,42,0,2384,32,215,215,166,122,70,16,0,835,523,2721,1939,1010,621,378,123,40,7346,322,1053,890,702,601,359,127,33,4085,754,1559,1234,1043,941,605,272,87,6485,260,132,80,54,55,32,16,0,629,50,93,110,119,150,89,32,15,665,1058,1784,1423,1214,1144,730,324,105,7777,26,76,75,58,45,46,41,19,389,433,835,672,517,452,340,274,179,3705,2434,7538,6035,4017,3150,2027,938,383,26525
SED50805,632,622,455,293,119,24,2561,9,192,294,349,301,188,44,10,1388,461,1681,1909,1744,1164,765,324,103,8161,124,346,552,739,655,486,258,91,3252,424,632,639,771,730,490,248,118,4060,136,34,47,52,46,33,21,3,371,29,38,71,144,159,115,55,36,640,588,703,768,967,931,633,320,162,5062,13,20,42,43,49,44,45,22,283,142,253,268,299,267,277,290,319,2118,1370,3597,4455,4768,3823,2689,1399,728,22829
SED50906,234,212,165,102,37,11,922,10,103,138,179,141,92,23,5,687,157,836,967,876,638,412,169,46,4095,92,420,558,578,588,433,185,53,2905,1003,1595,1522,1490,1280,830,319,71,8109,323,189,91,90,55,44,20,3,818,53,62,105,137,160,98,51,12,676,1379,1852,1718,1721,1493,971,387,84,9602,7,28,53,35,43,53,25,12,249,313,447,436,437,399,411,292,202,2939,1981,3836,4101,4038,3458,2458,1111,407,21405
SED51004,346,379,235,73,30,4,1309,17,139,164,189,153,51,20,0,735,443,1192,1335,1293,715,290,106,22,5392,225,595,863,1135,860,363,102,26,4162,805,1458,1411,1682,1467,637,201,50,7707,293,114,84,72,49,40,12,0,664,56,70,114,198,153,81,50,10,727,1145,1650,1607,1948,1671,756,262,60,9105,22,28,55,80,64,41,27,10,322,288,325,384,408,333,190,155,99,2178,2158,4157,4756,5437,4028,1764,698,211,23201
