SED_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SED50106,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,5,0,11,0,15,0,0,0,3,0,0,0,3,0,3,0,11,3,0,0,6,0,8,0,9,0,18,3,42,0,8,0,10,0,11,0,18,0,18,0,65,0,18,0,25,0,37,0,19,0,26,0,136,12,32,0,76,5,83,3,21,0,27,0,260,16,16,5,80,9,81,3,16,10,23,0,257,21,14,4,107,9,59,4,10,4,9,0,249,110,43,10,264,30,103,13,24,4,16,3,608,139,23,3,237,20,41,15,7,7,9,0,494,125,19,0,181,20,29,3,12,0,4,0,397,88,11,6,80,12,9,6,0,4,4,0,211,171,13,9,148,19,53,6,7
SED50202,4,0,0,0,0,0,0,3,0,19,0,24,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,4,0,6,0,11,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,23,0,32,0,0,0,0,0,3,0,9,0,26,0,40,0,0,0,0,0,21,0,16,3,56,0,106,4,4,0,0,0,59,0,32,4,43,0,155,0,17,0,18,3,133,3,36,17,63,0,295,11,24,0,90,17,198,7,46,11,65,4,476,23,27,0,133,8,196,7,41,12,33,0,479,29,22,6,149,20,153,5,27,7,24,0,437,168,44,7,318,50,219,16,47,23,35,6,935,177,32,8,263,31,99,16,8,9,16,0,658,146,21,5,139,23,94,9,9,4,5,0,454,88,3,3,79,18,25,3,4,3,0,0,230,168,11,3,100,26,86,5,8
SED50304,0,0,0,0,0,0,0,0,0,19,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,8,0,13,0,0,0,0,0,4,0,0,0,5,0,11,0,4,0,0,0,0,0,4,0,13,0,21,0,4,0,0,0,6,0,14,0,16,3,32,4,7,0,6,0,13,0,15,0,29,0,71,5,9,0,11,0,42,0,14,5,27,0,117,0,20,0,35,0,65,3,37,0,46,0,198,14,38,3,61,6,79,4,28,9,35,0,268,22,21,0,99,3,88,5,23,5,27,0,294,24,32,0,117,7,60,5,24,3,23,4,294,115,46,4,261,16,152,10,30,5,39,4,687,89,31,3,250,30,46,6,10,5,19,3,480,134,20,3,212,41,60,8,10,6,15,0,508,117,12,0,125,18,28,6,10,3,13,0,324,370,41,13,389,63,161,11,16
SED50405,0,0,0,0,0,0,0,0,0,12,0,14,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,6,0,4,0,7,0,22,0,0,0,0,0,3,0,9,0,11,0,29,0,6,0,0,0,11,0,21,6,12,0,55,0,4,0,5,0,28,0,23,4,30,0,99,6,12,0,20,0,79,4,26,10,34,0,192,12,24,0,69,9,140,0,29,13,32,6,332,13,14,9,127,12,187,5,36,10,23,0,428,38,30,4,167,29,186,5,21,13,22,8,508,214,46,11,455,61,353,22,42,33,30,8,1276,258,36,14,468,41,109,29,18,6,18,0,1011,285,20,12,323,57,137,11,20,20,12,0,899,262,12,12,216,35,37,9,4,4,0,0,599,529,21,13,347,66,142,14,19
SED50502,0,0,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,3,0,0,0,22,0,25,0,4,0,0,0,5,0,5,0,13,0,32,0,8,0,8,0,21,0,18,0,29,5,80,0,9,0,7,4,41,0,36,4,30,0,128,3,26,0,29,0,80,8,26,4,56,0,223,17,34,0,71,7,111,3,40,6,46,4,337,19,19,4,83,5,98,3,33,5,40,0,319,31,15,3,89,7,101,4,33,9,26,0,315,135,35,3,273,25,186,10,46,9,55,0,773,164,38,9,270,30,70,14,26,3,24,0,644,151,26,0,213,27,77,9,11,6,16,0,538,139,12,6,121,33,34,5,3,0,8,0,361,314,29,6,264,46,77,10,11
SED50605,0,0,0,0,0,0,0,0,0,16,0,23,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,7,0,6,0,10,0,0,0,0,0,0,0,8,0,9,0,20,0,0,0,0,0,0,0,3,0,8,0,22,4,3,0,0,0,0,0,15,0,22,0,52,5,5,0,6,0,13,0,16,0,27,0,70,7,11,0,14,0,28,0,22,0,32,0,108,3,8,0,27,4,51,0,27,4,35,0,170,3,17,0,28,0,57,0,14,8,30,0,165,14,19,0,54,7,57,4,15,0,23,0,189,63,37,0,133,20,134,14,32,7,71,0,504,84,27,0,229,13,58,9,20,10,35,0,479,125,23,0,243,17,95,0,30,7,38,0,582,141,21,3,194,14,33,0,11,3,13,0,439,826,70,11,973,94,429,34,73
SED50702,0,0,0,0,0,3,0,0,0,25,0,29,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,6,0,15,0,0,0,3,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,5,0,13,0,19,0,0,0,0,0,6,0,15,0,15,0,46,0,6,0,0,0,13,0,17,5,28,0,72,0,11,0,5,0,40,0,28,7,36,0,136,6,18,0,20,0,78,0,39,3,41,0,210,7,25,0,55,7,99,5,35,5,28,0,267,11,19,0,68,3,90,4,14,3,34,0,249,23,12,5,79,7,77,0,25,4,17,0,249,106,34,3,216,32,202,14,31,15,34,0,693,128,30,4,234,39,68,10,13,4,16,0,543,140,14,3,188,34,74,5,4,0,13,0,475,149,9,4,115,34,21,8,0,3,4,0,354,343,21,8,273,46,122,8,15
SED50805,0,0,0,3,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,5,0,0,0,3,0,11,0,0,0,0,0,0,0,5,0,7,0,12,0,0,0,0,0,5,0,4,0,0,0,15,0,0,0,3,0,3,0,13,0,6,0,33,4,6,0,8,0,8,0,12,0,22,0,63,3,12,0,19,0,32,0,10,0,19,0,91,3,13,0,24,3,17,0,13,0,14,0,87,10,10,0,41,0,39,0,16,5,16,4,126,39,23,0,132,7,117,3,14,5,29,0,381,64,32,0,244,21,36,9,10,5,19,0,445,77,25,5,265,23,64,14,13,4,16,0,498,104,23,0,195,20,27,3,13,0,7,0,382,709,64,12,866,97,325,25,39
SED50906,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,6,0,3,0,10,0,20,0,3,0,0,0,10,0,11,3,26,0,55,0,4,0,6,0,18,0,10,3,30,0,71,9,7,0,16,0,46,4,23,4,23,0,136,12,25,3,47,4,72,6,28,3,32,0,226,11,9,4,72,7,86,7,17,9,15,0,234,22,9,0,93,11,83,4,6,11,20,0,265,75,29,9,249,26,163,9,23,15,17,0,620,123,22,0,297,22,61,11,15,3,5,0,566,138,19,8,221,20,58,10,8,9,10,0,503,116,6,0,133,12,18,13,4,3,0,0,311,256,19,8,233,32,108,22,13
SED51004,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,3,0,5,0,7,0,0,0,0,0,0,0,12,0,8,0,19,0,4,0,0,0,14,0,11,4,21,0,59,0,10,0,7,0,16,0,13,5,21,0,73,3,21,0,16,3,47,0,24,6,27,0,143,7,16,0,57,0,71,0,35,6,32,0,241,10,18,3,69,5,100,0,26,10,28,0,265,17,23,0,109,4,83,5,14,8,18,0,288,121,46,3,334,34,183,16,31,14,38,3,820,179,29,9,373,32,73,23,17,4,22,0,765,203,22,12,317,43,107,14,12,5,7,0,742,182,24,7,215,35,24,12,3,0,7,0,506,617,31,15,536,68,214,24,19
