SED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED52102,3755,5098,1816,182,10858,3051,417,14327,135,59,76,7,281,326,19,627,12,10,8,0,23,16,3,44,144,72,83,7,303,344,22,667,3,3,0,0,6,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11,10,0,20,8,4,0,0,20,23,0,45,32,7,7,0,37,85,0,126,23,0,6,0,26,70,0,94,0,0,0,0,3,7,0,10,12,8,3,3,27,12,0,34,64,14,10,3,88,166,7,265,0,4,0,0,5,6,0,13,3979,5183,1917,195,11273,3588,451,15311
SED52205,3276,3494,1446,123,8337,2661,612,11610,519,317,292,33,1158,1223,143,2518,374,170,125,21,687,536,100,1323,895,489,418,51,1842,1760,234,3842,69,23,29,5,126,299,28,456,137,42,47,10,233,404,38,668,336,64,44,3,448,629,55,1132,72,10,11,0,87,89,9,184,12,11,10,0,30,25,0,55,632,147,139,16,924,1441,128,2498,3,0,0,0,3,7,0,11,42,5,8,0,48,73,4,132,0,0,0,0,0,0,0,0,3,4,4,0,9,6,3,23,51,9,6,4,69,92,6,160,8,4,4,0,15,26,5,42,4858,4135,2007,184,11192,5979,989,18157
SED52301,3661,3671,1575,125,9039,2835,334,12206,215,77,126,26,443,744,34,1225,97,52,28,0,182,105,5,295,312,126,159,31,626,848,45,1516,35,7,20,7,60,130,8,198,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,12,30,7,20,7,70,147,10,227,25,0,6,0,32,55,0,85,8,0,0,0,9,24,0,28,8,0,0,0,6,8,0,19,0,4,0,0,7,6,3,14,43,3,8,3,53,94,3,152,9,4,3,0,23,42,0,65,4060,3820,1766,156,9810,3962,387,14158
SED52404,4266,5551,1454,130,11401,2295,319,14009,259,143,131,7,541,475,31,1049,65,30,18,3,108,96,5,205,323,172,147,11,648,569,31,1251,16,9,7,0,31,48,0,84,0,0,0,0,7,9,0,11,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,8,5,3,0,16,14,0,30,27,10,10,0,56,79,0,130,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,3,0,0,0,5,9,0,6,4620,5741,1610,139,12110,2951,353,15406
SED52505,4247,9045,1511,173,14973,1960,288,17221,201,177,58,8,443,177,10,627,26,19,10,3,59,23,5,88,224,193,73,7,500,195,18,718,4,3,5,5,18,20,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,12,8,0,20,12,3,8,5,26,30,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,6,3,0,0,14,0,0,8,4487,9256,1596,183,15522,2182,305,18011
SED52604,3970,5164,1233,85,10453,1892,274,12615,143,67,65,9,289,316,22,629,180,86,91,3,356,220,72,652,323,150,157,12,647,542,93,1277,29,5,7,0,41,27,6,68,83,13,26,4,135,171,32,335,109,39,49,12,204,222,42,469,0,0,0,0,0,0,0,0,10,6,0,0,16,11,0,22,230,55,89,16,395,431,75,895,5,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,11,3,5,16,10,8,0,0,12,3,5,20,3,0,0,0,0,11,0,8,4529,5377,1482,111,11501,2871,442,14822
SED52702,4585,5123,1167,85,10959,2278,177,13414,84,19,30,0,129,336,7,474,16,0,3,0,24,19,0,41,99,18,30,0,152,361,7,515,14,4,3,0,19,24,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,15,14,0,32,21,5,4,0,33,37,0,69,4,0,0,0,6,6,0,10,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,4,9,12,5,0,28,3,0,38,13,18,8,0,37,15,0,59,8,5,0,0,17,3,0,20,4729,5174,1207,84,11202,2693,180,14078
SED52803,2587,3413,1074,122,7198,2296,307,9798,258,230,123,17,627,763,75,1462,64,48,18,3,131,75,18,229,321,277,138,22,755,841,92,1688,28,23,11,3,55,100,9,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,27,23,11,3,60,106,9,170,23,0,0,0,28,48,0,76,25,3,5,0,39,66,0,106,0,0,0,0,0,0,0,0,8,3,0,0,10,13,0,28,59,9,6,0,78,128,0,210,18,3,8,0,29,36,3,73,3010,3725,1234,147,8117,3404,412,11942
SED52903,1731,2662,1377,195,5961,1569,294,7820,157,118,131,24,430,408,35,876,73,33,21,0,129,119,23,273,232,157,152,24,558,529,59,1147,51,42,38,0,128,94,22,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,51,44,36,0,133,99,22,253,157,32,15,0,215,249,16,477,5,0,0,0,5,8,0,16,11,11,0,3,25,26,3,50,34,15,8,6,59,17,5,84,211,57,28,6,298,300,23,623,73,32,16,5,121,112,6,242,2293,2946,1603,230,7075,2613,403,10089
SED53004,4202,5494,1416,101,11215,2282,223,13720,341,159,152,15,669,657,30,1356,24,7,18,0,56,79,0,134,372,166,172,17,730,735,30,1488,0,0,0,0,5,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,6,8,0,17,0,3,9,0,15,22,4,36,18,3,3,0,26,54,0,83,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,4,21,3,3,0,29,63,0,89,3,0,0,0,3,0,0,5,4601,5670,1596,114,11987,3102,258,15344
SED53105,3463,6242,2102,176,11980,2952,461,15394,189,121,97,8,419,343,22,788,47,36,53,4,142,101,18,267,242,155,152,13,562,444,47,1051,23,9,26,4,74,209,17,298,24,13,18,0,50,73,4,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,6,6,0,16,52,26,47,9,135,283,26,444,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,4,0,0,0,7,8,0,9,0,0,0,0,4,3,0,10,3759,6427,2299,197,12689,3692,523,16908
SED53204,3346,7418,1564,144,12478,1859,210,14546,222,171,177,9,573,402,26,997,30,29,23,0,83,28,3,114,251,200,195,9,657,425,26,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,6,0,0,0,6,4,0,9,0,0,0,0,0,0,0,0,13,6,0,0,13,12,0,33,0,0,0,0,0,0,0,0,17,6,0,0,23,20,0,40,0,4,0,0,3,5,0,13,3620,7626,1766,155,13163,2312,236,15710
SED53306,3883,4245,2054,159,10341,3409,384,14136,685,110,170,19,986,1465,54,2505,159,49,74,3,287,339,20,646,845,157,249,21,1272,1807,74,3153,66,17,22,3,111,265,13,387,57,15,10,0,86,44,5,134,70,9,12,0,84,56,5,145,53,9,3,4,74,25,0,94,3,4,3,0,14,15,0,26,251,58,50,7,364,401,23,791,6,0,0,0,8,9,0,18,14,0,3,0,15,41,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,15,6,5,3,22,64,0,86,5,0,7,0,11,17,0,28,5010,4466,2350,191,12018,5692,480,18190
SED53402,3194,3874,1055,153,8274,2428,506,11206,425,296,196,16,928,1000,87,2013,496,295,159,32,973,877,173,2029,915,590,353,49,1905,1874,264,4044,326,121,95,19,557,928,90,1579,164,40,33,12,249,477,56,782,71,25,13,9,115,334,17,469,73,25,7,0,108,146,19,269,0,0,0,0,3,4,0,9,633,215,157,37,1032,1889,184,3106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,10,0,4,0,0,13,10,0,23,4741,4680,1567,239,11228,6207,956,18385
SED53502,3933,4792,1887,187,10800,3265,413,14481,343,196,291,29,864,1203,111,2179,79,42,67,6,196,232,31,458,424,238,358,37,1060,1437,139,2638,41,10,19,6,81,152,10,241,38,8,25,4,75,137,13,223,24,8,9,0,44,56,4,100,14,0,7,0,20,37,3,53,0,4,0,0,5,10,0,12,118,34,65,11,229,379,25,634,19,3,0,0,21,28,0,48,27,3,3,0,33,83,0,119,0,0,0,0,0,0,0,0,7,0,0,3,10,14,0,22,53,4,8,3,73,118,0,198,0,8,3,0,22,17,0,30,4531,5080,2316,245,12170,5217,586,17976
SED53602,2891,4757,2096,273,10021,2854,530,13405,423,435,427,41,1314,1276,138,2733,70,59,70,13,202,187,27,414,486,490,489,45,1516,1463,163,3145,47,12,24,0,89,169,8,261,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,17,0,0,0,0,0,0,0,0,6,8,0,0,12,12,0,20,53,19,29,0,103,186,10,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,13,3435,5276,2617,326,11652,4504,691,16851
SED53701,4876,3440,1005,88,9405,3260,266,12933,52,16,29,3,100,200,8,310,32,13,3,0,47,23,5,78,78,28,29,3,151,226,14,388,21,3,3,3,25,66,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3,3,3,31,66,3,95,43,5,4,0,50,67,4,117,19,5,3,0,21,39,3,69,15,3,3,0,20,28,5,47,12,5,0,0,20,13,0,32,79,16,5,0,110,150,3,258,41,13,0,0,53,56,0,113,5099,3500,1049,101,9749,3751,294,13791
SED53802,3638,4299,1470,205,9607,2850,474,12931,894,842,473,62,2265,1620,208,4098,128,85,75,9,300,241,25,566,1021,924,546,69,2565,1860,231,4659,10,3,6,0,21,62,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,14,3,6,0,27,63,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,7,0,0,6,5,0,16,4679,5228,2025,273,12207,4782,707,17698
SED53902,2667,3341,832,105,6951,2109,389,9445,905,584,363,71,1931,1799,182,3916,425,320,126,25,899,448,94,1444,1336,907,489,98,2828,2246,273,5356,390,139,134,21,694,1165,96,1954,112,17,17,8,153,312,25,491,113,9,11,0,137,265,19,424,17,6,3,0,21,65,7,94,4,0,0,0,4,5,0,6,629,180,176,34,1014,1806,149,2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,12,0,0,0,0,4,5,3,16,0,0,0,0,3,11,0,9,4632,4427,1501,239,10799,6174,822,17793
SED54006,4942,4699,1657,122,11416,3016,308,14743,116,36,51,3,207,332,16,548,9,12,5,0,21,21,0,40,120,39,56,3,224,350,16,586,0,0,0,0,3,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,8,3,5,5,0,9,16,0,19,53,12,12,4,79,172,3,260,18,0,4,0,21,15,0,41,9,0,0,0,11,6,0,20,4,3,0,0,6,6,0,18,86,16,18,4,123,205,6,332,7,10,0,0,13,17,0,35,5161,4761,1730,133,11784,3600,331,15716
SED54104,2640,3941,711,80,7364,1531,306,9203,207,172,78,9,459,404,47,919,470,355,182,33,1039,671,160,1869,679,526,256,39,1504,1080,206,2785,323,140,85,21,572,703,127,1403,441,125,79,14,660,1023,102,1791,649,211,101,21,982,1208,139,2335,208,70,36,7,324,323,43,694,0,5,0,0,4,0,0,9,1617,554,300,72,2550,3259,421,6231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,12,0,0,0,0,4,8,0,12,9,0,3,0,10,11,0,25,4947,5023,1274,195,11430,5884,938,18247
SED54203,1525,1603,528,67,3729,1247,175,5146,77,33,38,4,153,235,17,399,16,3,5,0,26,32,5,65,95,34,46,6,179,270,18,469,26,3,4,0,43,111,4,154,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,4,0,45,112,4,162,156,37,16,5,221,192,20,428,9,4,0,0,16,20,3,36,4,5,0,0,14,11,0,30,6,7,3,0,19,3,6,24,180,58,20,6,266,231,26,514,35,28,8,4,74,83,7,156,1866,1726,611,81,4282,1937,229,6449
SED54304,1810,2430,538,71,4852,1371,482,6705,319,258,72,20,667,580,99,1343,714,367,167,39,1281,680,221,2181,1033,628,238,53,1947,1261,322,3526,267,54,51,16,386,569,103,1054,722,167,119,35,1037,1307,271,2614,1321,353,176,52,1900,2167,398,4464,1643,492,177,68,2380,2037,418,4822,0,0,0,0,5,3,3,8,3956,1069,518,169,5707,6076,1187,12967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,29,17,3,51,18,6,0,0,29,17,3,51,4,0,5,0,10,35,0,51,6819,4127,1305,296,12544,8760,1993,23301
SED54403,2345,4504,884,98,7832,1707,282,9821,316,315,136,24,794,570,59,1421,106,100,27,0,242,152,23,416,417,413,169,29,1033,722,82,1837,89,26,18,0,136,242,23,400,57,11,7,4,72,90,6,168,32,17,4,0,53,58,6,114,32,10,5,0,40,85,6,137,0,0,0,0,0,0,0,0,208,63,29,3,303,478,40,817,46,12,11,0,66,50,5,121,9,3,0,0,15,23,0,36,8,4,0,0,8,7,0,15,9,8,0,0,15,6,10,23,72,23,12,0,106,78,10,201,20,13,3,0,36,53,10,98,3064,5015,1091,140,9305,3047,418,12771
SED54505,3326,6521,1277,87,11215,1851,228,13290,244,350,150,8,755,489,24,1270,25,44,9,3,86,13,7,105,265,401,165,15,842,505,30,1377,77,150,48,0,274,285,7,569,0,0,0,0,0,0,0,0,95,0,0,0,95,116,0,207,0,0,0,0,0,0,0,0,3,5,0,0,15,11,0,20,175,160,48,0,384,412,5,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,8,3773,7077,1487,107,12448,2771,260,15478
SED54605,4162,3539,1683,125,9517,3466,354,13337,204,46,112,15,380,848,26,1255,85,39,36,4,167,249,15,429,290,83,150,21,544,1100,37,1685,152,46,73,6,283,694,31,1014,22,12,16,0,52,93,10,148,94,16,9,5,122,147,5,275,17,0,3,0,17,11,0,27,0,7,0,0,10,3,0,15,288,82,104,13,482,947,47,1481,28,3,8,0,34,70,3,111,16,0,4,0,19,46,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5,10,0,53,120,4,180,3,0,0,0,3,10,0,16,4790,3709,1949,163,10605,5639,455,16698
SED54701,4081,3530,1109,110,8830,3453,321,12604,108,42,69,7,225,516,25,762,12,5,0,0,19,21,3,41,118,52,66,7,241,537,26,803,10,0,4,0,18,100,0,117,0,5,0,0,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,4,4,0,27,101,0,130,19,6,0,0,28,60,3,98,0,0,3,0,7,11,0,20,7,3,0,0,13,6,0,18,9,8,0,0,18,7,4,27,44,10,3,6,65,85,7,156,32,34,9,0,72,46,3,122,4286,3629,1190,120,9228,4219,359,13811
SED54804,2573,3659,893,94,7216,1906,430,9544,1106,650,450,44,2253,1969,301,4519,800,555,238,24,1618,800,223,2642,1912,1203,692,73,3874,2771,522,7167,190,30,35,9,266,514,64,840,59,9,19,3,86,214,30,331,146,36,26,8,213,248,29,487,62,19,7,0,87,60,17,159,0,0,0,0,3,4,0,3,457,93,82,22,655,1039,132,1823,12,5,0,0,15,20,3,40,4,0,0,0,7,0,0,7,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,19,5,0,0,24,25,3,52,3,0,0,0,7,8,0,16,4963,4959,1663,189,11771,5744,1084,18603
SED54905,2481,3347,727,158,6708,1562,370,8646,684,346,205,45,1280,1284,153,2725,1053,520,242,94,1909,1292,257,3461,1732,868,450,143,3191,2579,415,6183,181,107,43,19,349,472,59,879,188,44,23,17,276,464,45,781,188,49,27,20,282,265,39,582,161,46,22,5,227,270,28,529,0,0,0,0,0,3,0,9,718,241,118,65,1133,1470,172,2777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,0,0,3,0,0,3,3,4,3,0,11,12,0,20,4939,4456,1299,364,11052,5624,957,17632
SED55005,3358,7482,1848,178,12862,2376,344,15578,149,165,81,8,403,278,10,686,5,6,5,5,24,16,0,36,156,167,93,9,428,288,11,729,8,8,3,0,19,11,3,40,5,0,0,0,6,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,9,8,0,16,18,7,7,0,36,28,3,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,5,4,0,8,0,0,0,0,6,7,0,8,3536,7661,1947,195,13334,2696,358,16389
SED55102,4076,6366,1933,124,12505,2398,290,15200,65,96,54,3,219,130,7,351,29,13,12,4,56,32,0,89,97,109,62,9,270,160,6,442,9,3,4,0,22,14,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,15,17,0,32,19,11,5,0,33,33,0,69,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,4,0,0,4,0,7,0,0,9,3,0,15,10,0,0,0,12,8,0,19,4202,6491,2009,131,12839,2604,297,15736
SED55202,3547,5359,1934,215,11063,3127,516,14701,404,241,206,23,869,1040,69,1974,43,23,25,3,98,110,11,226,447,266,228,30,963,1148,83,2196,63,53,52,4,169,189,14,379,10,14,9,0,38,50,5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,11,12,0,24,81,73,62,5,222,254,15,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,12,0,22,8,0,0,0,10,16,0,20,3,5,0,0,5,9,0,13,4087,5697,2225,249,12257,4557,618,17430
SED55306,4893,4554,1429,80,10963,3015,378,14357,312,94,92,3,504,653,32,1193,70,43,11,0,130,71,8,205,378,142,105,3,630,726,39,1394,14,0,0,0,18,13,0,31,0,0,0,0,0,0,0,0,9,0,0,0,9,5,0,18,0,0,0,0,0,0,0,0,4,5,0,0,17,14,0,26,30,9,5,0,44,30,3,79,17,8,5,0,29,59,4,91,52,5,4,0,60,110,0,170,0,3,0,0,10,9,0,20,8,6,0,0,12,3,0,14,82,27,11,0,118,173,4,298,12,11,0,0,25,18,4,44,5395,4742,1550,84,11779,3968,427,16174
SED55405,3067,3158,986,244,7454,2836,1053,11348,814,630,265,94,1799,1528,427,3759,413,248,108,51,820,587,216,1618,1226,877,377,148,2619,2117,639,5375,216,119,56,10,402,553,59,1011,169,67,19,9,264,386,59,709,224,83,30,14,352,562,52,966,26,11,6,0,54,53,17,116,0,0,0,0,3,0,0,4,641,275,113,41,1079,1549,182,2811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,3,4,0,11,21,0,27,4936,4313,1479,431,11159,6525,1887,19568
SED55504,3912,6891,1964,144,12909,2556,330,15796,195,71,113,8,386,499,30,920,12,6,14,0,33,18,5,50,214,73,128,8,420,517,29,966,0,0,0,0,0,0,0,0,5,0,5,0,11,26,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,14,17,0,33,10,12,7,0,32,37,0,67,8,0,0,0,16,92,0,100,4,0,0,0,3,13,0,18,0,0,0,0,0,0,0,0,4,4,0,0,8,0,0,13,14,7,6,0,25,103,0,132,0,0,0,0,4,3,0,5,4149,6988,2100,150,13390,3219,357,16967
SED55605,4007,6468,2367,150,12999,2516,346,15860,124,23,60,4,216,266,8,488,15,3,5,0,25,24,0,52,135,33,63,4,237,292,14,537,3,0,4,0,6,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,11,3,0,15,5,5,9,0,19,5,0,22,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,4,0,19,9,0,28,4153,6517,2440,157,13271,2830,353,16452
SED55706,5352,3974,1371,93,10791,4023,414,15226,106,79,38,0,221,386,18,622,25,11,10,0,50,58,6,105,133,84,50,0,266,443,21,729,14,9,4,0,25,57,5,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,9,0,8,16,9,4,0,33,63,5,100,34,7,4,0,39,42,4,76,9,4,0,0,18,20,17,54,4,0,0,0,3,3,0,15,9,3,4,0,9,4,0,12,51,13,4,0,70,67,18,157,22,12,7,0,47,40,3,86,5579,4091,1443,101,11211,4634,456,16300
SED55802,3924,7210,2020,192,13347,2484,407,16235,250,163,87,13,512,426,16,956,48,39,41,4,126,92,9,227,295,199,133,13,637,517,27,1183,0,0,0,0,6,11,0,12,14,11,14,3,43,53,8,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,13,10,0,20,24,16,21,4,64,66,10,142,0,0,0,0,0,7,0,7,9,0,0,0,9,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,20,0,26,3,9,0,0,8,10,3,22,4252,7429,2171,215,14065,3096,443,17602
SED55905,3660,4206,1566,174,9606,2717,491,12812,362,173,188,22,740,1081,66,1882,59,26,16,3,103,88,6,202,416,197,203,23,837,1169,71,2088,67,30,40,13,145,227,18,390,60,21,26,3,99,201,26,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,22,11,0,34,137,54,61,12,273,438,43,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,21,4216,4461,1835,211,10720,4341,607,15669
