SED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED51104,4400,7300,2809,190,14703,3486,363,18553,265,29,49,5,345,412,8,760,21,9,29,4,53,71,6,136,286,37,78,3,400,489,10,902,9,6,5,0,21,23,0,50,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,8,0,11,13,4,5,0,29,33,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,8,0,15,4702,7346,2893,195,15135,4022,373,19534
SED51205,3657,5300,1603,276,10842,3169,776,14784,591,672,261,70,1604,1116,188,2904,130,112,58,13,315,182,46,539,721,791,321,88,1916,1295,232,3444,127,74,25,11,234,157,46,436,52,17,8,8,91,78,24,191,51,11,4,7,66,31,21,122,33,5,0,6,47,47,8,102,3,11,6,0,15,12,0,32,270,111,44,29,457,328,93,881,0,0,0,0,8,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,4,3,15,7,8,0,0,17,13,3,34,5,6,8,0,20,18,4,41,4654,6219,1982,391,13253,4828,1108,19183
SED51304,3943,5867,1014,94,10917,1693,180,12791,301,189,123,0,617,526,42,1187,198,115,35,6,356,135,19,507,503,307,156,8,969,667,63,1697,46,4,11,0,63,191,8,257,13,0,7,0,14,11,3,32,56,0,4,0,64,48,3,110,0,0,0,0,0,0,0,0,6,0,0,0,6,12,0,14,118,6,16,0,139,266,12,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,4560,6182,1189,98,12033,2624,256,14907
SED51401,4431,3233,1217,111,8990,3846,288,13125,65,15,30,3,119,270,8,401,6,3,3,0,9,10,0,21,67,19,34,3,131,282,8,420,4,3,4,0,12,36,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,8,6,3,4,0,16,36,0,53,15,0,7,0,22,36,0,57,7,0,0,0,8,19,4,26,5,0,0,0,5,6,0,8,3,4,0,0,11,18,0,27,36,5,3,0,44,73,4,117,21,24,0,3,47,37,3,88,4562,3283,1259,119,9223,4273,301,13803
SED51504,2729,5109,822,85,8742,1576,247,10565,353,343,170,16,878,668,71,1623,331,291,153,22,798,390,70,1255,685,630,323,37,1680,1062,137,2880,242,204,68,19,529,579,44,1152,323,190,61,8,582,512,66,1152,82,23,15,0,124,193,16,334,42,20,7,8,72,77,21,171,3,3,0,0,8,6,0,18,692,435,151,37,1313,1373,142,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,4,0,0,3,0,0,5,0,0,0,0,3,6,0,8,4106,6178,1294,159,11738,4017,522,16280
SED51605,3658,6604,1649,143,12060,2105,330,14493,187,103,96,14,400,426,29,854,32,27,26,0,86,70,11,165,217,134,125,14,488,493,39,1012,67,14,23,4,109,162,12,282,66,25,45,5,150,184,12,351,126,31,32,8,190,236,30,461,39,9,10,0,52,103,5,160,3,3,0,0,8,6,0,11,298,78,112,27,510,695,62,1270,0,0,0,0,0,0,0,4,60,3,6,0,73,122,4,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,3,6,0,76,125,3,200,4,7,0,0,11,0,0,12,4235,6823,1893,187,13135,3423,428,16987
SED51706,5070,4881,1566,109,11625,3191,324,15139,188,41,60,0,295,392,7,693,4,3,4,0,5,0,0,9,194,46,63,0,304,388,9,704,28,9,8,5,50,111,3,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,13,8,5,55,110,3,172,28,3,0,0,34,50,0,89,17,3,0,0,23,47,0,70,0,0,0,0,7,12,0,20,0,3,0,0,5,3,3,7,45,14,9,5,65,107,5,178,4,9,0,0,15,16,0,33,5344,4957,1651,117,12062,3820,342,16223
SED51804,2927,4441,796,71,8240,1530,251,10019,290,252,146,16,703,544,52,1300,397,296,146,18,858,625,65,1546,689,546,296,36,1562,1164,118,2846,184,47,38,7,270,411,27,716,217,48,36,6,308,683,55,1046,535,152,104,4,806,801,83,1688,67,18,18,7,109,164,19,291,0,0,0,0,7,5,0,6,1001,267,198,27,1496,2063,183,3743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,7,0,0,0,0,0,7,0,12,4621,5256,1294,137,11303,4771,556,16627
SED51902,4549,6499,1569,129,12745,2261,283,15285,18,21,21,0,67,97,3,165,0,0,0,0,0,0,0,0,18,21,25,0,65,97,3,163,4,0,0,0,4,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,14,14,0,28,11,6,0,0,19,29,0,47,6,0,0,0,6,3,0,7,46,3,7,0,53,38,0,91,0,4,0,0,4,0,0,3,7,0,3,0,8,8,0,15,51,5,3,0,70,47,0,116,7,6,0,0,17,10,0,26,4639,6538,1610,129,12909,2446,287,15639
SED52006,5556,4120,1667,90,11434,3176,310,14918,247,44,62,5,353,579,14,944,154,37,35,5,239,161,12,412,404,81,96,6,589,740,22,1353,8,0,0,0,16,14,0,34,27,8,7,0,41,17,0,57,12,5,7,0,33,21,8,57,26,8,0,0,37,21,0,63,0,0,0,0,0,4,0,10,84,22,23,5,131,76,10,215,10,0,0,0,18,29,0,43,12,5,0,0,16,55,0,67,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,27,4,0,0,32,91,0,126,0,0,0,0,0,0,0,0,6071,4222,1792,105,12189,4086,343,16613
