SED_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SED50106,71,75,139,878,842,1724,30,32,65,982,949,1932,81,56,138,1035,1000,2029,50,49,105,1164,1109,2276,62,93,150,1207,1122,2330,50,54,104,1316,1271,2585,80,67,150,1127,1026,2154,57,51,104,1260,1144,2404,73,44,114,802,735,1539,40,30,74,913,810,1726,96,37,132,868,875,1745,64,38,99,1029,946,1979,67,33,101,989,951,1939,73,55,129,1125,1040,2172,61,38,98,914,997,1909,61,38,98,1035,1072,2109,42,26,67,906,1033,1940,61,50,111,1013,1109,2125,39,46,79,1035,1163,2196,62,62,115,1133,1264,2395,35,45,85,1101,1265,2364,74,58,128,1214,1370,2576,39,40,75,1150,1276,2421,78,65,145,1265,1383,2643,29,23,50,1205,1413,2618,66,59,125,1305,1487,2789,30,55,86,4020,4485,8504,221,234,459,4266,4775,9047,811,667,1476,17231,18189,35424,992,874,1865,19033,19732,38763
SED50202,169,147,312,1682,1594,3278,102,118,223,1948,1859,3809,149,167,318,1716,1591,3298,127,123,247,1985,1877,3860,128,123,251,1579,1405,2988,125,99,220,1832,1627,3460,105,97,205,1307,1277,2583,106,97,203,1521,1473,2996,90,105,196,1392,1466,2854,106,108,213,1592,1676,3272,96,91,182,1653,1757,3405,143,117,265,1894,1958,3850,87,85,169,1697,1841,3547,151,133,279,1932,2061,3994,62,60,125,1726,1822,3541,146,117,263,1932,2003,3933,37,47,82,1485,1492,2978,103,87,186,1622,1625,3247,44,40,80,1323,1329,2657,109,94,204,1480,1464,2944,50,55,110,1302,1346,2650,114,81,204,1467,1491,2955,32,47,81,1258,1313,2571,108,63,174,1403,1425,2826,30,34,60,1135,1270,2410,85,53,135,1253,1356,2609,42,62,101,3113,3592,6701,144,179,328,3297,3835,7131,1122,1157,2278,22364,23098,45466,1671,1473,3139,25162,25722,50888
SED50304,30,21,50,1342,1285,2628,48,35,79,1414,1340,2756,23,27,50,1079,1130,2214,39,60,99,1140,1220,2362,15,21,34,865,847,1714,35,32,66,916,897,1812,16,14,30,863,834,1699,34,39,73,910,888,1802,18,36,51,1160,1295,2454,85,53,138,1262,1379,2638,30,40,60,1818,2043,3858,105,135,237,1951,2210,4157,19,24,41,2158,2326,4485,132,102,232,2315,2451,4767,17,22,37,2066,2032,4095,127,84,208,2207,2131,4341,4,19,31,1496,1475,2973,82,65,148,1588,1563,3149,14,16,29,1300,1281,2583,90,64,157,1408,1360,2769,8,16,19,1223,1258,2472,69,36,104,1294,1306,2601,6,22,25,1070,1181,2245,72,60,135,1146,1260,2398,10,13,26,1054,1128,2188,45,50,95,1114,1192,2307,8,15,23,3050,4057,7106,137,161,302,3193,4235,7430,220,285,509,20549,22163,42711,1085,988,2073,21855,23438,45295
SED50405,101,106,202,2412,2281,4700,114,82,198,2625,2473,5100,123,88,212,2400,2328,4736,101,98,199,2625,2517,5144,77,95,172,2118,2062,4178,100,105,203,2297,2264,4563,60,46,111,1698,1659,3355,76,65,139,1834,1777,3604,61,70,131,1463,1657,3124,76,72,148,1602,1795,3402,58,82,145,1871,2115,3982,128,108,237,2062,2306,4369,64,49,109,2231,2705,4934,182,117,296,2475,2871,5341,43,54,97,2289,2539,4830,182,107,293,2513,2703,5215,33,32,73,1829,1934,3761,140,64,201,2006,2033,4039,27,33,55,1587,1723,3309,128,65,196,1745,1823,3564,18,25,45,1510,1537,3052,106,55,164,1637,1623,3261,15,19,35,1192,1299,2492,77,42,124,1287,1361,2647,16,8,29,920,1050,1974,59,30,94,999,1091,2088,16,30,47,2188,2581,4764,93,100,191,2302,2710,5005,720,746,1469,25710,27472,53185,1576,1119,2696,28004,29342,57344
SED50502,76,71,145,1240,1153,2394,63,48,108,1374,1269,2648,96,67,169,1350,1171,2524,65,72,127,1506,1311,2821,110,108,213,1223,1107,2331,55,35,93,1391,1248,2639,69,70,139,1098,1037,2143,41,48,88,1208,1157,2367,71,50,118,1278,1129,2408,71,41,116,1420,1227,2644,49,50,94,1301,1309,2611,96,71,163,1446,1426,2875,30,55,86,1468,1491,2959,105,65,165,1601,1603,3210,27,46,75,1517,1590,3104,87,66,157,1640,1700,3339,25,24,53,1360,1333,2690,78,45,117,1460,1398,2860,22,40,64,1256,1368,2630,81,54,139,1366,1460,2822,21,35,55,1299,1334,2633,65,52,117,1383,1418,2801,29,15,47,1345,1347,2691,60,37,97,1433,1402,2833,19,25,48,1150,1291,2439,51,57,105,1217,1375,2592,20,44,60,2931,3478,6408,153,149,307,3104,3668,6772,658,693,1355,19828,20139,39961,1062,842,1904,21551,21674,43217
SED50605,18,13,30,986,944,1929,22,20,39,1023,981,1997,9,15,21,1304,1262,2565,20,14,39,1331,1295,2632,6,19,22,1499,1402,2898,22,18,43,1525,1437,2962,24,16,42,1379,1304,2681,19,23,44,1426,1343,2766,16,14,27,1428,1288,2712,34,24,57,1478,1328,2805,15,17,33,1133,1017,2151,35,28,67,1189,1060,2250,5,4,12,1076,1135,2216,38,38,68,1118,1176,2295,8,9,16,1247,1443,2684,45,18,62,1295,1471,2764,11,10,22,1382,1517,2901,54,38,90,1444,1568,3008,5,8,14,1300,1443,2746,58,37,98,1366,1488,2854,6,7,11,1349,1569,2916,43,34,74,1395,1603,2999,10,6,14,1274,1497,2770,35,44,81,1322,1546,2860,4,8,13,1315,1447,2754,47,35,86,1365,1487,2857,5,10,15,4091,4776,8865,126,127,256,4223,4917,9137,144,161,306,20754,22035,42794,602,499,1101,21497,22696,44195
SED50702,64,49,115,1314,1309,2627,57,75,128,1440,1428,2865,63,51,119,1261,1163,2421,72,71,138,1386,1289,2679,57,55,105,1043,967,2012,63,50,118,1162,1073,2236,72,50,126,976,889,1861,59,53,109,1102,992,2096,63,55,119,1523,1510,3035,122,93,214,1702,1666,3370,46,59,108,2174,2028,4208,163,157,320,2385,2252,4633,49,51,103,2233,2259,4496,166,122,288,2448,2436,4881,29,40,65,2026,1879,3903,161,134,295,2206,2059,4267,38,30,66,1560,1496,3052,130,76,206,1727,1599,3326,40,33,66,1361,1356,2712,99,73,175,1498,1460,2958,35,31,72,1381,1237,2615,126,75,201,1542,1347,2888,36,37,66,1285,1189,2468,104,69,177,1426,1294,2716,14,29,47,1235,1169,2404,71,63,128,1322,1257,2575,25,50,82,2970,3557,6527,153,157,313,3151,3764,6919,624,625,1254,22331,22017,44349,1545,1267,2810,24501,23909,48411
SED50805,14,13,26,1004,980,1985,22,22,44,1045,1015,2059,12,19,30,1160,1112,2269,38,31,66,1209,1156,2364,25,24,48,1165,1260,2427,31,38,74,1226,1323,2547,21,12,32,1159,1279,2442,18,30,51,1204,1317,2526,9,20,30,957,1019,1981,26,28,56,993,1071,2060,19,16,34,840,994,1831,50,50,100,906,1058,1961,12,10,19,966,1119,2086,58,50,106,1033,1178,2217,9,13,25,1081,1256,2340,62,51,110,1154,1320,2472,4,8,17,1110,1364,2472,56,34,92,1174,1410,2583,13,5,19,1245,1431,2681,61,47,110,1320,1486,2804,16,3,25,1313,1460,2772,59,47,107,1392,1508,2901,12,6,18,1149,1317,2468,60,34,91,1220,1360,2577,5,7,12,1107,1204,2311,49,38,89,1159,1251,2414,7,13,26,3239,4128,7361,165,200,362,3412,4335,7744,174,178,348,17499,19921,37424,752,704,1450,18427,20794,39223
SED50906,99,90,192,1078,1046,2129,44,56,104,1225,1199,2426,88,80,171,1291,1197,2487,73,47,119,1450,1325,2776,91,88,181,1372,1283,2654,60,64,132,1525,1437,2961,77,108,184,1228,1208,2430,48,54,105,1351,1366,2721,75,91,168,1044,1051,2091,69,69,138,1190,1206,2395,78,74,152,1129,1177,2300,89,83,178,1292,1335,2628,72,46,121,1237,1320,2561,98,73,171,1412,1443,2852,50,54,102,1258,1323,2577,92,68,157,1394,1445,2845,42,32,77,1261,1338,2602,89,65,153,1393,1440,2831,38,55,98,1333,1380,2712,91,59,152,1465,1495,2964,42,44,88,1312,1463,2777,100,64,164,1455,1574,3022,30,38,69,1269,1316,2588,80,58,138,1383,1410,2790,26,27,55,1283,1386,2663,68,55,125,1371,1470,2840,44,53,94,3525,4145,7675,198,227,426,3762,4425,8194,853,885,1736,19619,20631,40244,1206,1053,2260,21678,22567,44242
SED51004,40,44,77,1253,1220,2471,43,46,87,1340,1299,2641,58,56,111,1461,1376,2838,46,48,94,1561,1481,3045,52,50,101,1672,1434,3102,64,44,104,1789,1526,3312,37,34,76,1603,1516,3119,49,41,90,1690,1592,3277,26,24,50,1536,1487,3022,63,56,113,1623,1566,3194,26,25,47,1308,1274,2586,72,53,126,1407,1355,2755,22,23,43,1268,1447,2717,75,54,133,1367,1521,2886,16,24,42,1355,1464,2819,80,58,139,1456,1542,3006,18,22,38,1329,1518,2846,85,39,124,1429,1582,3012,11,24,42,1537,1771,3316,82,59,146,1630,1861,3494,15,19,34,1751,1897,3649,102,43,141,1864,1960,3822,10,12,20,1613,1674,3288,81,48,132,1701,1734,3430,13,9,18,1217,1215,2431,65,32,101,1293,1256,2547,14,10,23,2345,2624,4969,81,99,173,2433,2732,5169,360,370,726,21243,21922,43166,985,716,1703,22594,23003,45594
