SED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED50106,45,1517,710,300,1757,0.7,1350,2.4
SED50202,35,1517,691,290,1676,0.7,1396,2.6
SED50304,37,1733,878,325,2111,0.8,1607,2.2
SED50405,32,1833,909,350,2222,0.8,2018,2.9
SED50502,38,1733,761,330,1997,0.7,1629,2.6
SED50605,42,2457,931,448,2720,0.7,2232,2.6
SED50702,36,1793,907,350,2135,0.8,1698,2.3
SED50805,42,2233,1008,380,2888,0.8,2066,2.4
SED50906,40,1517,758,300,1914,0.7,1464,2.4
SED51004,37,1950,892,380,2376,0.7,2134,2.8
SED51104,34,1850,811,350,2053,0.8,1770,2.8
SED51205,34,1647,757,340,1880,0.8,1610,2.6
SED51304,43,2383,985,450,2905,0.7,2421,2.7
SED51401,47,1200,701,209,1701,0.7,1290,2.3
SED51504,39,2600,1059,350,3215,0.8,2373,2.6
SED51605,36,1950,949,385,2420,0.8,2134,2.7
SED51706,42,1628,733,310,1990,0.7,1591,2.5
SED51804,44,3100,1199,450,3816,0.8,2556,2.4
SED51902,36,1993,889,370,2277,0.8,2103,2.9
SED52006,48,1733,644,340,1716,0.7,1360,2.4
SED52102,37,1733,823,350,2087,0.7,1756,2.6
SED52205,41,2000,895,350,2301,0.8,1697,2.2
SED52301,40,1525,778,260,2003,0.7,1541,2.4
SED52404,40,2012,928,400,2478,0.7,2123,2.6
SED52505,34,2000,1007,430,2516,0.8,2398,3.1
SED52604,41,2000,883,380,2458,0.7,2097,2.6
SED52702,46,2100,832,370,2405,0.7,2036,2.7
SED52803,35,1517,1195,300,2727,0.8,2229,2.5
SED52903,33,2167,853,200,1928,1,1757,2.8
SED53004,42,2000,858,400,2396,0.7,2020,2.6
SED53105,34,1733,856,330,2137,0.8,1842,2.7
SED53204,35,2000,882,410,2354,0.8,2199,3
SED53306,42,1647,619,300,1594,0.7,1198,2.3
SED53402,38,2000,991,315,2547,0.8,1844,2.2
SED53502,39,1777,804,300,2068,0.7,1591,2.4
SED53602,36,1512,619,300,1551,0.8,1345,2.7
SED53701,48,1600,726,250,1817,0.7,1401,2.4
SED53802,38,1733,772,350,1978,0.7,1608,2.5
SED53902,40,2000,938,340,2467,0.8,1768,2.2
SED54006,43,1733,679,300,1867,0.7,1500,2.6
SED54104,38,2658,1106,420,3337,0.9,2268,2.3
SED54203,37,1677,997,130,2136,0.9,1805,2.5
SED54304,35,2167,1177,400,2873,0.9,2108,2
SED54403,33,1800,1587,231,3327,0.9,3002,2.8
SED54505,41,2167,781,410,2426,0.8,2109,2.9
SED54605,45,1517,682,300,1709,0.7,1273,2.2
SED54701,42,1291,800,225,1909,0.7,1445,2.4
SED54804,37,2167,1134,400,2831,0.8,2127,2.3
SED54905,39,2200,1010,360,2756,0.8,2006,2.2
SED55005,35,1820,792,375,2163,0.8,1985,3
SED55102,35,1959,890,360,2220,0.8,2030,2.9
SED55202,37,1555,659,300,1701,0.8,1414,2.6
SED55306,44,1779,757,365,1882,0.7,1478,2.5
SED55405,34,1950,889,340,2316,0.8,1751,2.3
SED55504,35,1941,857,380,2236,0.8,1975,2.8
SED55605,35,1743,810,350,2203,0.7,1990,2.9
SED55706,47,1500,683,280,1639,0.8,1266,2.3
SED55802,33,1879,868,360,2140,0.8,1970,2.9
SED55905,40,1800,781,340,2153,0.7,1668,2.4
SED59494,0,0,0,0,0,0,0,0
SED59797,40,1733,2123,0,1375,0.7,2250,1.7
