SED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED50106,3,18,0,253,0,0,0,4,0,4,0,4,0,16,250,282,0,4,0,0,0,0,0,0,0,40,25,76,716,314,50,677,81,365,61,397,68,1735,312,4786
SED50202,0,7,0,163,4,0,0,0,6,4,0,0,0,24,287,326,3,0,3,0,0,0,0,0,0,36,42,88,918,162,38,633,85,528,38,306,40,1382,343,4477
SED50304,5,18,0,512,6,0,5,4,4,5,0,3,0,9,307,342,5,0,3,0,0,3,0,0,7,26,24,72,1371,296,37,868,91,379,46,335,32,1290,361,5104
SED50405,10,8,0,354,0,0,0,4,4,3,0,4,4,10,472,511,6,0,0,0,0,0,0,0,0,21,20,52,1172,150,34,708,110,526,59,253,74,1172,511,4777
SED50502,0,8,0,311,3,0,3,3,3,6,0,0,0,8,261,290,5,0,0,0,0,4,0,0,0,17,18,48,929,151,22,586,73,460,38,277,39,1213,298,4086
SED50605,3,69,3,901,0,0,0,3,3,6,0,4,0,9,194,233,5,0,0,0,0,0,0,3,0,26,22,59,782,219,33,573,52,437,30,455,52,1994,227,4858
SED50702,0,14,0,546,4,3,0,0,0,9,0,0,6,4,416,434,9,0,0,0,0,0,0,0,0,9,27,55,1448,279,42,829,93,543,53,318,63,1109,460,5229
SED50805,7,64,0,726,0,0,4,5,0,0,4,6,0,10,212,241,4,0,0,0,0,0,0,0,0,21,13,34,809,199,20,590,61,299,38,340,43,1349,235,3974
SED50906,11,24,0,388,0,5,0,0,0,5,0,0,0,22,295,329,0,0,0,4,0,0,0,4,0,18,20,44,848,191,32,721,85,448,32,363,60,1614,341,4734
SED51004,7,15,4,481,0,4,0,6,0,0,0,0,4,17,299,328,7,0,3,8,3,0,0,3,6,18,25,70,963,218,32,712,99,445,44,264,60,1180,340,4365
SED51104,0,12,0,292,0,0,3,0,4,3,0,5,4,11,456,490,0,0,0,5,0,0,0,0,0,21,30,65,1065,181,32,710,108,475,50,262,62,1462,509,4931
SED51205,7,7,0,273,5,5,0,5,4,6,0,6,3,12,287,326,0,0,0,0,0,0,0,0,0,17,38,62,984,305,42,787,88,527,41,370,63,1384,349,4924
SED51304,3,67,0,680,6,0,4,0,3,0,0,3,0,14,189,214,3,3,4,6,0,0,0,4,0,23,10,52,670,249,26,483,48,390,34,455,53,2090,215,4722
SED51401,6,19,0,330,0,0,0,6,0,6,0,9,0,13,342,379,11,7,11,6,0,5,0,0,4,28,41,103,840,227,55,655,82,466,38,346,79,1452,419,4657
SED51504,4,67,0,924,7,0,3,7,3,0,0,4,0,14,194,222,0,0,3,0,0,0,0,0,0,18,13,40,841,311,29,631,55,357,35,342,43,1368,217,4229
SED51605,0,7,0,437,4,0,0,0,6,4,0,0,0,8,299,324,8,0,0,0,0,0,0,0,0,7,21,34,1195,151,28,730,91,468,47,270,35,1085,334,4437
SED51706,9,12,0,365,8,0,0,4,0,5,4,0,0,10,372,401,8,4,0,0,0,4,0,0,0,29,38,90,903,209,48,758,94,536,62,378,87,1963,435,5482
SED51804,12,244,0,1493,6,4,0,5,0,4,0,3,0,18,262,304,0,0,0,0,0,3,0,5,0,18,19,48,744,278,18,608,65,435,32,543,37,1658,287,4718
SED51902,3,23,0,462,5,0,4,0,0,5,3,0,0,17,335,373,7,0,8,3,0,0,0,3,0,24,18,57,1083,208,50,785,91,498,49,350,58,1440,371,4979
SED52006,12,46,0,449,0,0,3,0,0,5,0,8,4,27,451,501,3,0,4,0,0,0,0,0,0,52,35,98,619,188,38,618,66,497,42,386,101,3151,517,6217
SED52102,6,13,0,303,3,0,0,3,0,3,3,0,6,16,284,323,0,0,4,4,0,4,0,0,0,21,31,73,900,150,29,614,81,450,27,266,45,1250,342,4161
SED52205,6,38,0,795,4,0,0,0,4,3,0,3,0,6,335,364,0,0,0,5,0,0,0,0,0,18,19,54,1135,262,34,800,100,467,54,348,46,1372,369,4985
SED52301,0,22,0,338,0,0,0,4,0,0,0,0,0,11,350,381,3,4,0,6,0,0,0,4,0,24,30,72,812,184,38,620,80,395,51,302,50,1248,405,4184
SED52404,8,36,0,548,0,0,0,6,3,0,0,0,0,10,298,329,0,4,5,0,0,0,0,3,0,24,10,49,910,242,25,661,78,410,30,369,57,1651,329,4765
SED52505,6,11,0,536,10,0,3,6,0,4,3,0,0,4,261,289,9,0,0,4,0,0,0,0,0,20,11,44,1291,209,42,750,105,461,40,341,50,1298,285,4872
SED52604,7,27,0,562,3,0,5,3,0,3,0,0,0,6,275,302,4,0,3,0,0,3,0,0,0,19,17,56,917,230,42,679,102,511,50,359,55,1470,306,4715
SED52702,7,40,0,555,5,0,0,3,0,3,0,4,4,16,259,301,0,0,0,4,0,0,0,3,4,24,15,66,729,245,37,583,65,454,47,427,65,1987,295,4935
