SED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED50106,81,26,240,118,73,67,37,79,10,731,0,0,0,3,0,3,0,5,0,22,20,19,22,29,15,4,7,17,8,138,38,22,64,45,29,25,22,53,27,327,1423,2864,2103,1822,1128,681,562,917,131,11635
SED50202,66,20,275,166,120,87,96,126,7,968,5,0,0,0,6,4,6,10,3,25,17,27,40,32,19,10,34,28,6,202,33,19,70,45,46,34,76,64,92,489,1023,2360,2809,2318,1588,751,1237,1138,246,13473
SED50304,100,26,403,178,106,90,69,96,15,1077,0,0,3,3,0,3,5,6,0,26,36,34,22,43,19,23,29,26,12,245,43,44,69,54,46,22,28,35,66,405,2137,5859,2615,2194,2073,1041,803,1234,275,18230
SED50405,135,37,438,263,140,115,119,116,15,1376,0,3,5,0,8,3,3,4,0,24,21,30,64,46,21,20,46,29,9,291,45,31,84,72,49,31,70,67,85,539,1931,4025,4162,3070,2134,957,1284,1213,279,19047
SED50502,80,26,275,151,93,71,55,63,6,825,4,0,4,3,5,3,0,4,0,18,19,44,37,26,24,15,22,19,9,228,24,24,72,50,36,30,50,51,64,407,1518,3789,2488,1890,1666,793,742,836,216,13938
SED50605,66,21,163,92,75,54,6,24,4,505,0,0,0,0,0,0,4,4,0,8,39,51,26,27,21,17,16,12,11,208,30,48,38,18,36,28,14,19,65,297,2979,7489,1645,1317,2008,872,334,491,221,17374
SED50702,123,40,456,226,113,92,81,108,15,1257,5,6,3,3,0,6,6,7,0,24,24,43,52,36,23,13,30,18,11,250,54,50,99,62,74,28,58,58,107,579,2173,5136,3099,2215,2115,949,1085,1083,301,18152
SED50805,80,19,144,85,72,48,24,23,5,508,0,0,0,5,4,0,0,0,0,10,47,63,15,32,31,15,5,19,4,231,25,35,48,23,30,23,9,14,31,246,2885,6412,1639,1338,1719,731,284,463,160,15622
SED50906,66,20,264,124,83,77,67,100,9,799,3,5,0,9,0,0,8,6,0,29,14,44,38,27,19,4,35,18,7,205,26,24,84,37,19,24,56,62,68,393,1343,3470,2797,1846,1373,714,885,1092,191,13713
SED51004,116,53,289,184,133,104,49,94,16,1036,5,0,0,0,0,7,3,3,0,16,26,40,26,36,34,18,21,15,5,221,49,29,83,36,62,22,26,43,80,431,2197,4299,3239,2303,2144,907,685,898,244,16927
SED51104,119,40,443,247,183,121,116,123,19,1412,3,4,0,3,3,5,0,5,0,22,24,34,42,60,41,12,41,22,17,289,42,36,120,69,61,40,52,65,104,588,1779,3548,3860,2941,2023,953,1107,1213,295,17719
SED51205,115,14,565,195,114,85,154,176,13,1428,0,0,9,3,6,5,5,3,0,30,18,26,47,45,39,21,57,44,16,321,28,39,90,62,42,34,61,90,103,554,1533,4869,3169,2809,2078,999,1410,1641,335,18838
SED51304,70,29,118,71,84,59,23,26,0,483,0,3,0,0,0,0,0,0,0,9,36,59,20,20,25,17,5,6,6,185,38,52,36,28,40,21,9,15,57,294,2976,6516,1886,1367,1764,706,322,399,210,16148
SED51401,60,7,117,77,55,46,47,57,9,470,0,0,0,3,0,0,0,5,0,9,16,6,16,19,7,9,20,13,0,106,83,13,50,39,32,28,54,43,58,398,1854,1539,1550,1040,852,392,671,726,145,8783
SED51504,65,17,155,95,58,42,21,56,6,510,0,0,0,8,0,0,0,15,0,33,45,65,11,17,36,18,11,16,8,233,44,45,31,31,32,17,11,34,37,282,3476,8401,1399,1521,1712,796,368,909,203,18781
SED51605,127,40,351,175,149,111,60,102,16,1127,4,4,0,5,0,0,0,0,0,18,30,30,58,29,30,12,29,18,5,244,39,39,96,56,45,22,40,54,78,465,2278,5044,3562,2149,2250,873,867,994,269,18293
SED51706,84,14,198,108,87,99,91,106,3,791,0,3,0,4,0,0,0,0,4,11,17,21,37,18,22,4,53,21,4,187,41,36,84,47,33,31,54,69,60,454,1380,2589,3239,1687,1358,637,1097,1022,222,13230
SED51804,63,10,112,65,36,21,4,25,3,334,0,5,0,0,0,0,0,0,0,12,48,85,10,25,19,16,5,0,10,221,40,66,18,29,27,19,5,13,43,248,3714,8730,870,1161,1508,725,173,334,276,17502
SED51902,90,32,280,152,127,73,92,90,11,958,0,5,0,3,0,4,5,0,0,18,16,29,40,30,18,12,43,15,11,209,47,28,99,49,58,24,50,40,99,496,1931,3288,3693,2009,1952,740,1091,868,285,15861
SED52006,96,14,232,149,82,101,72,65,4,812,0,0,0,5,0,5,0,0,0,16,12,25,34,26,13,4,24,12,3,147,29,28,70,34,35,32,41,38,48,356,1259,2438,2540,1660,1139,646,846,710,192,11437
SED52102,75,21,240,152,135,84,73,85,11,871,0,0,0,0,3,3,4,3,0,15,24,24,33,27,20,10,30,16,7,191,33,23,93,32,41,37,68,34,77,441,1392,2780,2945,1729,1729,661,1011,822,245,13307
SED52205,108,29,293,123,56,50,31,55,9,745,0,0,7,4,3,0,4,5,0,20,47,93,32,37,34,15,18,25,8,319,24,49,62,57,25,16,24,39,64,360,2526,6799,2457,1865,1462,636,494,750,247,17237
SED52301,67,12,198,123,76,67,43,71,4,660,0,0,6,0,0,3,0,7,0,17,28,18,19,29,15,8,9,15,3,142,35,33,58,37,30,20,31,43,45,330,1221,2810,2313,1654,1193,615,662,803,163,11435
SED52404,100,19,229,117,123,81,29,53,4,757,0,0,0,0,0,0,0,0,0,16,33,48,32,31,22,14,13,12,5,208,39,31,77,39,39,17,20,36,47,352,2442,5248,2847,1727,1860,697,437,628,195,16072
SED52505,127,36,371,168,156,88,112,73,15,1142,0,6,0,3,0,4,0,4,0,22,34,48,47,57,39,22,36,18,13,312,47,50,74,51,59,33,43,25,79,455,2761,7689,3369,2584,2765,1087,1107,956,307,22617
