SED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SED50106,0,0,0,0,0,0,0,0,0,0,0,0,3,29,8,15,5,0,0,50,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,11,31,131,184,364,342,303,126,1499,0,0,0,0,5,0,0,0,0,3,0,0,0,9,3,0,0,0,0,14,0,0,4,27,19,13,46,23,10,133,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,4,0,0,0,9,0,0,0,32,7,4,10,3,0,65,0,0,4,26,9,3,13,0,0,54,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,4,10,3,35,0,0,0,5,5,3,11,21,10,64,0,0,0,7,3,9,0,0,0,18,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,3,4,5,0,33
SED50202,0,0,0,10,0,9,6,0,0,23,0,3,0,31,22,12,8,0,0,84,0,0,0,0,0,0,0,3,3,7,0,0,4,4,0,0,0,0,0,12,0,14,48,231,252,574,440,322,119,2008,0,0,3,6,0,3,0,0,0,14,0,0,0,8,3,3,0,0,0,18,0,0,4,25,12,13,24,28,9,120,0,0,0,0,0,0,0,0,0,7,0,0,0,8,5,0,0,0,0,16,0,52,42,465,61,35,41,26,6,731,0,5,18,67,31,17,4,0,0,156,0,10,3,14,5,4,0,0,0,28,0,0,0,13,0,0,0,3,0,26,0,0,0,17,5,12,16,9,4,67,0,0,0,12,0,11,16,17,6,59,0,6,4,16,5,5,5,4,0,40,0,8,0,14,3,0,0,0,0,31,0,0,0,4,3,3,0,0,0,14,0,0,13,47,38,35,36,11,0,181
SED50304,0,0,4,14,6,0,3,7,0,36,0,10,27,205,64,63,34,14,3,425,0,0,5,12,11,20,48,35,25,159,0,3,0,0,0,8,9,7,0,35,0,17,45,242,114,159,118,90,40,824,0,0,0,4,0,4,3,0,0,10,0,0,7,22,5,11,0,0,0,49,0,0,0,32,5,11,21,11,3,82,0,0,0,5,0,13,44,57,43,170,0,7,8,47,15,13,15,4,4,103,13,62,116,689,69,59,45,26,12,1079,0,4,10,76,19,12,9,0,0,131,0,7,4,83,15,21,8,3,0,138,0,3,10,37,14,7,8,0,0,80,0,6,9,166,8,14,9,13,3,236,0,3,5,82,30,54,249,238,163,826,0,0,7,43,40,11,5,0,0,120,0,0,3,47,14,3,0,0,0,65,0,0,0,5,3,3,0,0,0,14,0,3,17,138,52,47,47,17,0,329
SED50405,0,0,0,6,0,6,0,0,0,10,0,0,8,56,23,12,8,0,0,106,0,0,0,7,6,4,0,3,0,24,0,5,0,8,0,3,0,0,0,17,4,151,274,638,496,556,332,261,54,2763,0,5,4,17,11,9,0,0,0,45,0,0,0,3,10,5,5,3,0,22,0,0,3,32,12,11,15,8,0,87,0,0,0,5,0,0,0,4,0,6,0,0,0,17,6,0,3,0,0,25,0,45,54,505,43,50,30,10,0,741,0,4,8,68,25,4,3,0,0,114,0,0,5,16,0,6,0,0,0,25,0,0,5,0,0,0,0,0,0,9,0,10,17,74,19,13,4,3,0,150,0,0,0,8,5,9,6,3,0,33,0,3,5,27,12,0,0,0,0,52,0,0,0,26,11,0,0,0,0,36,0,0,0,4,0,3,0,0,0,10,0,10,13,58,29,20,12,7,0,141
SED50502,0,0,0,0,0,0,0,0,0,4,0,4,20,114,48,51,20,5,4,270,0,0,0,13,10,17,16,12,7,73,0,0,3,0,3,0,6,4,0,18,0,17,25,210,160,256,218,135,61,1084,0,0,0,6,6,4,3,0,0,16,0,0,0,16,7,4,0,0,0,31,0,0,4,27,8,12,16,13,0,86,0,0,0,0,0,0,7,0,0,18,0,0,8,26,13,16,9,4,0,63,6,25,36,289,72,94,86,72,19,710,4,4,3,42,19,12,9,0,0,99,0,3,15,33,8,9,0,4,0,68,0,6,7,59,20,9,3,0,0,110,0,0,3,80,20,10,14,0,0,135,0,0,7,15,11,27,54,37,33,183,0,0,0,22,20,3,0,0,0,46,0,0,0,31,14,0,0,0,0,43,0,0,0,3,3,4,0,0,0,9,0,11,14,75,38,67,60,18,3,282
SED50605,0,4,0,8,3,6,3,0,0,25,0,27,40,322,117,111,59,26,22,726,0,0,0,5,0,10,10,11,0,39,0,4,0,0,0,4,4,9,6,26,3,61,79,180,216,280,227,177,67,1293,0,0,0,7,5,4,5,0,3,18,0,3,3,19,9,7,3,0,4,47,0,4,3,27,21,8,14,11,9,92,0,0,0,0,0,0,8,0,4,15,4,15,15,64,33,37,43,8,4,217,0,21,33,158,61,88,75,30,13,472,3,16,43,256,123,111,114,36,9,716,0,8,14,100,32,20,24,9,5,206,0,3,0,15,8,0,0,0,0,36,0,7,6,31,15,18,12,15,4,107,0,3,5,15,17,23,52,25,19,158,0,3,4,26,30,12,5,0,0,91,0,14,10,80,35,13,8,3,0,164,0,0,0,0,4,6,0,5,0,15,0,32,75,305,197,147,237,92,24,1102
SED50702,0,0,0,4,3,3,6,3,0,22,7,17,42,308,136,107,43,17,4,665,0,0,3,3,3,9,7,5,6,36,0,7,3,11,3,0,4,3,0,29,0,15,41,183,137,252,203,140,81,1042,0,0,0,10,8,3,4,0,0,21,0,0,0,26,4,0,0,5,0,38,0,0,3,26,7,9,21,14,5,95,0,0,0,0,0,0,0,7,0,15,0,0,8,84,16,7,11,6,0,136,12,32,48,389,58,53,53,37,18,693,5,4,21,128,51,20,23,4,5,266,0,5,8,43,5,6,3,0,0,63,0,4,9,31,5,8,0,0,0,50,3,0,8,107,12,14,11,11,6,178,0,0,5,15,10,12,51,53,25,175,0,0,6,45,27,9,0,0,0,94,0,6,9,126,16,6,10,3,0,168,0,0,4,8,3,0,6,3,0,24,0,15,43,230,75,68,33,16,6,491
SED50805,0,0,0,9,4,3,0,0,6,18,0,7,6,42,19,17,9,5,7,107,0,0,0,7,4,8,15,8,0,38,0,0,0,9,0,0,7,3,3,18,5,51,93,297,268,318,237,186,92,1549,0,0,0,0,5,0,0,0,0,3,0,0,3,23,7,10,5,4,0,51,0,0,8,36,12,22,22,15,3,112,0,0,0,0,3,0,4,0,3,16,0,4,3,6,6,5,8,0,0,33,4,11,12,43,24,16,17,14,7,136,0,7,4,48,15,11,8,10,0,100,0,0,4,19,4,3,3,0,3,39,0,0,0,3,0,0,0,0,0,4,0,11,8,44,27,40,17,19,3,170,0,4,5,24,11,24,61,59,47,241,0,0,0,13,12,6,3,0,0,39,0,0,3,27,3,0,0,0,0,38,0,0,0,0,0,3,5,0,0,12,0,7,5,32,16,24,24,13,8,127
SED50906,0,0,0,4,4,0,0,0,0,12,0,0,7,38,17,12,0,0,0,78,0,0,0,0,0,0,3,0,0,11,0,0,0,9,0,0,0,0,0,13,5,23,66,168,187,304,233,182,83,1253,0,0,0,4,0,0,0,0,0,3,0,0,0,9,6,5,0,9,0,22,0,0,4,17,9,15,25,16,9,86,0,0,0,0,0,0,4,4,0,11,0,3,0,12,0,0,0,0,0,20,4,16,8,114,12,8,7,4,4,173,0,3,3,31,16,5,6,0,0,61,0,0,0,12,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,7,0,3,13,29,12,13,19,5,6,92,0,0,0,6,4,10,42,30,31,124,0,0,0,12,7,3,0,0,0,22,0,0,5,21,3,0,0,0,0,31,0,0,0,8,0,3,3,4,0,20,0,5,0,32,12,10,6,0,0,73
SED51004,0,0,3,0,0,6,4,4,0,20,0,4,3,67,29,21,12,4,0,136,0,0,0,3,3,7,6,0,0,20,0,4,4,16,14,6,4,0,0,46,11,158,506,898,996,904,427,260,86,4249,0,0,0,0,0,4,0,0,0,9,0,0,0,11,4,4,0,8,0,24,0,0,5,32,18,22,23,11,3,111,0,0,0,5,0,0,0,0,0,10,0,3,5,10,6,9,6,0,0,43,0,7,13,108,23,19,18,4,5,206,4,8,3,42,25,12,0,3,0,97,0,0,0,24,16,11,4,0,0,53,0,0,5,4,0,0,0,0,0,20,0,22,30,121,58,49,28,19,3,328,0,3,6,13,8,9,18,7,8,61,0,3,3,17,14,0,4,0,0,41,0,0,4,9,7,0,0,0,0,20,0,0,0,0,0,5,0,0,0,7,0,7,7,50,24,29,19,6,0,144
