SED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED50106,..,4318,4318,5217,281,5502,1880,57,1936,1774,13,1779,783,4,791,402,0,402,10060,4673,14733
SED50202,..,5079,5079,5405,522,5928,2971,69,3039,2508,13,2526,1182,7,1188,827,10,831,12892,5696,18585
SED50304,..,6629,6629,5767,600,6366,2737,137,2871,2294,49,2339,715,8,724,286,6,294,11795,7423,19217
SED50405,..,3430,3430,5277,400,5681,3476,87,3561,3828,20,3848,1751,6,1754,832,0,833,15167,3945,19110
SED50502,..,4079,4079,4678,402,5079,2679,115,2787,2425,31,2453,941,22,963,583,8,592,11305,4648,15952
SED50605,..,3442,3442,5255,248,5497,2587,127,2714,2936,46,2988,1123,20,1147,390,14,401,12299,3890,16187
SED50702,..,6183,6183,5858,765,6624,2754,247,2997,2197,87,2284,834,37,869,438,5,448,12085,7322,19404
SED50805,..,4529,4529,4635,313,4953,2139,82,2216,2493,22,2513,852,4,866,205,0,205,10334,4951,15279
SED50906,..,5160,5160,5559,454,6011,2304,83,2385,2238,19,2255,895,5,899,382,9,392,11380,5728,17111
SED51004,..,2659,2659,4865,261,5127,3024,51,3079,3152,7,3160,1222,0,1225,478,3,478,12736,2988,15728
SED51104,..,4022,4022,5731,319,6046,3477,47,3526,3602,11,3610,1605,4,1608,727,0,727,15135,4398,19534
SED51205,..,4828,4828,5234,655,5887,3220,296,3515,2845,113,2956,1206,35,1238,746,18,765,13253,5933,19183
SED51304,..,2624,2624,4987,185,5171,2251,46,2297,3349,17,3363,1156,3,1164,285,4,291,12033,2878,14907
SED51401,..,4273,4273,5066,271,5339,1575,29,1600,1444,9,1447,764,0,766,378,0,378,9223,4578,13803
