SED_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SED50106,64,24,22,11,8,0,133,14,10,6,0,4,0,32,62,13,16,8,7,6,106,24,17,5,5,5,0,57,51,36,15,6,15,3,126,87,65,24,11,14,0,204,105,116,42,29,17,0,308,146,171,52,45,31,4,440,137,222,35,29,18,3,444,134,209,70,26,19,7,458,64,166,42,18,3,0,289,135,202,66,18,11,0,434,37,87,26,6,0,0,157,28,44,14,4,6,0,95,57,101,31,9,0,0,197,67,95,30,11,4,0,208,17,29,17,6,4,0,67,13,16,9,5,0,0,48,79,66,30,8,24,0,201,1324,1682,553,251,186,20,4009
SED50202,68,28,30,4,20,6,161,14,5,5,5,8,0,34,49,21,19,6,15,6,113,40,17,17,11,16,0,92,93,53,20,17,49,10,243,137,115,61,46,42,0,398,154,203,63,42,61,8,538,216,354,88,88,76,19,838,232,421,86,72,69,20,894,220,440,101,72,59,12,908,146,303,79,39,19,6,594,196,341,96,58,30,10,733,91,152,38,17,12,4,308,42,86,22,3,7,0,165,76,119,51,16,9,3,274,71,89,47,11,9,3,229,32,34,13,3,4,0,94,23,24,7,4,0,0,59,109,116,57,32,31,10,349,2003,2902,916,548,546,105,7027
SED50304,62,47,22,5,9,0,152,3,10,9,4,4,0,34,19,16,16,3,10,0,57,24,18,16,3,3,0,61,38,24,16,4,9,0,90,55,44,22,4,15,0,140,90,75,15,12,14,3,219,113,112,34,27,24,7,314,144,144,31,25,27,5,368,158,182,45,32,20,0,430,98,133,27,17,18,0,294,178,218,79,29,22,9,532,70,97,20,16,9,0,213,60,103,26,5,0,5,190,90,148,34,10,10,4,302,119,282,82,20,23,0,528,65,112,34,0,8,0,220,41,76,39,4,5,0,159,76,102,37,13,17,3,250,1482,1935,595,239,252,47,4554
SED50405,47,43,27,15,13,0,137,21,6,11,0,3,0,32,28,11,9,9,0,5,67,24,22,15,5,3,0,67,47,45,20,10,22,0,140,71,66,23,20,19,5,198,119,148,46,31,35,9,390,186,325,83,53,40,5,698,264,498,92,73,48,10,989,306,725,127,101,58,11,1322,222,639,121,72,39,5,1098,327,777,202,89,36,9,1441,167,343,82,37,12,4,647,88,223,53,34,3,5,401,167,349,112,33,16,0,682,156,245,101,26,13,0,534,55,88,27,10,12,0,190,43,66,26,7,10,0,148,123,214,65,35,32,5,475,2455,4829,1222,651,417,77,9648
SED50502,80,58,56,9,20,7,225,11,6,19,4,0,0,45,37,15,22,6,16,0,100,19,17,16,6,10,0,73,55,29,31,12,18,3,146,68,68,54,28,34,3,248,99,110,59,17,33,8,325,138,174,64,33,44,6,467,157,221,58,27,41,9,517,183,279,84,35,57,3,641,136,234,60,29,33,8,494,198,363,95,31,39,7,728,74,135,32,15,22,0,274,40,98,21,10,6,4,177,88,178,52,17,18,0,353,98,161,76,11,17,0,369,34,60,15,5,4,0,116,15,51,9,0,4,0,76,71,118,64,16,20,10,298,1595,2376,897,315,434,70,5684
SED50605,88,70,57,13,12,0,244,6,5,15,0,0,0,32,14,14,16,0,9,0,57,23,22,18,0,5,0,64,21,19,23,3,7,0,70,31,24,22,10,12,0,95,31,52,49,5,21,0,161,34,58,37,7,13,0,146,50,53,33,12,16,0,167,55,85,34,11,9,0,195,48,89,28,4,7,0,169,97,190,73,15,26,6,403,47,75,31,6,3,0,170,42,126,32,8,3,4,229,98,203,55,5,15,0,379,160,514,149,20,29,3,880,76,227,93,11,7,0,422,95,251,109,12,14,5,489,79,120,60,6,21,4,287,1109,2183,931,170,228,38,4652
SED50702,48,40,35,8,18,6,148,9,4,5,0,0,0,24,23,13,12,0,9,6,66,16,11,8,3,4,0,42,41,16,6,4,18,3,98,59,42,25,10,15,5,152,77,80,34,15,21,9,234,133,102,44,26,21,10,334,164,170,35,15,22,7,420,203,216,36,32,17,4,510,138,154,50,25,22,7,387,196,288,71,36,26,5,616,94,120,20,11,5,0,257,64,96,24,10,4,5,205,101,173,39,17,12,0,354,131,222,77,10,15,4,463,57,58,23,3,9,4,151,41,47,12,5,5,0,112,90,81,35,12,18,3,244,1707,1924,587,242,261,90,4800
SED50805,60,34,32,7,12,4,147,12,0,9,4,9,0,43,21,9,14,4,7,0,60,13,16,12,0,9,0,52,36,19,20,5,12,5,91,31,25,17,16,8,0,105,55,40,22,10,13,5,144,66,56,37,14,20,0,179,74,68,13,20,23,0,199,70,92,35,19,18,3,235,69,92,22,12,9,0,206,110,201,62,29,16,3,425,74,113,28,12,4,0,233,38,136,30,14,7,0,222,78,251,44,21,13,0,418,135,485,128,28,17,3,793,74,281,79,10,12,3,466,76,218,101,10,14,0,416,54,113,58,15,24,4,273,1142,2262,773,241,243,32,4698
SED50906,61,25,17,9,12,0,129,21,11,10,0,3,0,42,38,12,7,4,8,0,80,20,22,6,4,13,3,75,54,36,23,16,24,0,156,81,84,27,35,22,0,243,130,131,44,45,34,6,391,156,210,66,68,44,8,546,144,260,71,50,38,6,574,158,267,69,43,30,3,568,98,157,57,24,13,0,351,136,252,98,30,24,3,548,49,85,30,8,4,0,176,35,50,12,8,3,0,107,78,120,59,11,13,0,279,90,121,54,12,6,0,277,34,43,32,6,0,0,116,19,31,7,4,4,0,67,78,89,40,17,10,6,233,1479,1998,730,395,304,41,4953
SED51004,86,33,47,15,18,3,202,25,7,10,0,0,0,44,29,22,24,10,7,0,85,34,8,18,0,5,3,75,47,15,46,5,18,0,130,64,56,53,21,23,4,219,95,104,55,24,49,0,328,153,157,69,24,32,8,456,153,204,100,35,39,8,543,229,302,109,50,49,4,740,151,290,112,30,33,4,613,257,383,169,46,49,3,912,117,243,89,13,14,3,474,75,152,60,15,10,0,312,142,301,159,24,21,3,650,194,367,215,21,31,3,822,72,117,96,4,12,0,302,52,91,51,11,6,0,208,110,140,116,11,21,6,405,2077,2976,1605,367,438,57,7523
