SED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED50106,0,6,0,437,33,13,6,56,5,25,4,17,4,28,330,517,0,0,3,0,0,0,0,0,0,5,11,22,725,199,39,1279,129,551,64,175,41,211,352,3757
SED50202,5,13,0,427,36,4,8,46,8,31,5,10,10,30,488,679,3,4,3,0,0,0,0,0,0,0,16,25,857,212,43,1345,202,1321,77,313,110,467,520,5479
SED50304,4,16,4,1083,37,10,0,40,3,20,6,9,7,26,233,389,0,0,3,8,0,3,0,0,0,7,15,36,934,283,35,1610,192,807,51,250,56,373,267,4857
SED50405,31,7,0,1188,94,11,12,66,12,56,4,10,15,26,1090,1386,4,0,0,3,7,3,0,0,6,5,25,49,1721,233,83,2273,325,1487,108,274,167,286,1128,8096
SED50502,12,8,0,766,44,10,3,43,9,38,5,11,3,35,340,542,5,0,3,0,0,0,0,0,4,8,27,49,1023,268,34,1476,193,924,70,308,61,440,380,5179
SED50605,10,55,3,2579,66,9,5,54,5,33,0,16,0,37,336,570,3,0,0,3,0,0,5,0,0,0,10,24,1350,244,27,1971,177,1006,69,312,45,461,359,6029
SED50702,14,22,5,873,38,5,4,29,13,27,6,15,0,27,327,490,0,0,4,0,0,0,0,0,0,0,14,33,966,206,42,1300,210,923,71,252,63,383,359,4770
SED50805,17,28,0,2186,46,11,0,68,8,28,3,7,0,13,326,516,6,0,4,0,0,3,0,0,0,0,3,12,1060,210,30,1860,187,715,58,157,42,209,334,4870
SED50906,7,7,0,693,74,8,0,76,3,33,7,10,3,25,419,664,0,0,6,4,0,0,0,0,0,0,12,27,843,160,40,1454,135,750,93,183,67,247,443,4417
SED51004,11,9,5,1553,93,13,12,107,17,39,5,13,4,28,572,900,9,0,6,7,0,0,0,0,0,0,20,58,1458,257,68,2147,244,979,104,233,74,287,605,6460
SED51104,14,8,0,1026,93,10,14,90,20,33,9,30,12,29,992,1331,6,0,10,6,0,3,0,0,0,0,35,62,1361,268,86,2120,326,1276,136,315,139,334,1041,7403
SED51205,7,22,0,667,39,5,4,39,9,31,9,20,7,30,388,582,0,0,0,0,0,0,0,0,0,0,25,39,1167,373,46,1539,205,1352,79,450,81,557,441,6289
SED51304,18,38,0,2686,59,10,0,92,13,37,4,17,5,24,386,647,4,0,7,5,0,0,0,0,6,4,19,43,1369,232,44,2433,266,827,63,208,62,289,416,6209
SED51401,9,4,0,354,151,13,9,133,7,39,9,4,3,30,280,670,3,0,0,4,3,3,0,0,0,0,19,36,702,106,42,1016,137,538,44,132,46,235,303,3307
SED51504,8,35,4,3252,44,10,5,84,4,44,6,16,3,12,298,520,6,0,3,9,3,3,0,0,0,0,11,33,1412,313,46,2321,172,1004,68,237,41,264,317,6188
SED51605,6,17,0,1546,77,8,7,77,10,41,15,11,0,16,512,780,0,0,4,7,0,0,0,0,3,4,12,33,1513,245,59,2334,318,1172,104,242,72,261,539,6871
SED51706,13,10,0,750,67,14,13,80,12,46,4,9,8,33,522,808,3,0,4,7,0,0,0,0,0,3,21,37,897,170,72,1651,202,806,99,185,84,269,558,4997
SED51804,27,74,4,3269,57,15,3,92,3,38,6,22,0,22,283,543,0,0,0,0,0,0,0,3,0,0,9,20,1165,243,31,1759,179,966,58,265,49,254,304,5265
SED51902,9,16,0,1254,92,11,11,86,6,45,5,13,9,25,692,994,0,0,4,4,4,0,6,0,3,5,25,49,1392,204,78,2073,246,1168,105,215,108,278,726,6598
SED52006,11,19,6,803,63,12,10,59,6,39,10,12,7,28,645,888,3,0,0,4,0,0,0,0,0,0,11,25,777,159,51,1141,141,630,86,197,90,301,666,4241
SED52102,4,10,0,722,64,7,0,46,11,37,12,14,8,31,434,651,0,0,3,0,0,0,0,0,3,3,26,36,1132,187,41,1494,213,969,81,249,79,324,469,5238
SED52205,6,15,0,1213,34,6,3,47,4,23,5,12,3,27,283,444,0,0,0,3,0,0,3,0,0,0,11,24,789,267,40,1337,200,614,80,223,43,262,302,4160
SED52301,8,3,4,582,51,4,5,47,13,26,5,8,6,24,492,672,0,0,0,5,0,0,0,0,4,0,11,22,841,163,40,1132,133,524,90,162,58,223,503,3859
SED52404,3,13,0,1755,61,16,5,79,8,37,7,19,5,24,434,679,3,0,0,9,0,0,0,0,0,5,15,33,1216,244,53,2083,256,827,99,214,38,283,455,5763
SED52505,7,22,3,1996,109,12,12,67,18,52,0,17,7,31,695,1026,11,0,3,3,5,0,0,0,0,0,19,48,2303,345,73,2910,348,1668,122,358,100,374,735,9337
SED52604,16,14,0,1617,86,9,5,87,8,32,3,10,11,23,457,743,7,0,3,4,3,0,0,0,4,6,16,36,1254,221,39,1832,192,776,61,216,71,265,476,5418
SED52702,10,20,0,1544,68,17,11,84,13,35,10,17,3,27,444,724,4,0,7,8,0,0,0,0,0,4,9,32,1108,211,48,1762,194,795,98,180,55,294,458,5194
SED52803,9,3,3,1036,66,3,5,29,11,26,5,9,4,16,323,506,0,0,6,0,0,0,0,0,3,0,25,40,1001,97,45,1014,154,719,60,101,68,150,360,3759
SED52903,3,3,4,453,61,11,3,35,9,22,4,8,6,58,251,471,4,3,5,3,0,0,0,0,3,18,40,77,713,105,37,611,123,312,47,133,55,643,311,3097
SED53004,12,18,0,1484,57,19,3,69,7,34,5,11,7,38,391,646,3,0,0,4,4,0,0,0,5,0,10,29,1264,245,47,2051,248,755,85,197,50,333,406,5695
SED53105,7,14,0,970,52,3,8,60,14,49,7,15,10,20,593,823,6,0,0,3,0,0,0,0,3,7,20,37,1339,209,55,2015,275,1160,110,272,105,333,627,6506
SED53204,7,12,0,1404,98,16,16,66,17,36,4,14,8,31,493,791,0,0,5,0,0,3,0,0,0,7,28,49,1840,314,78,2539,297,1167,110,360,88,376,543,7715
SED53306,8,4,6,674,33,12,6,51,4,34,5,12,5,24,636,827,4,0,3,4,4,0,0,0,0,6,22,41,709,186,50,1198,160,771,82,221,97,358,669,4505
SED53402,3,10,0,1482,48,10,4,26,10,16,0,15,4,15,250,397,5,0,5,4,0,0,0,0,0,0,12,26,1048,212,36,1638,232,723,53,204,46,241,266,4693
SED53502,15,12,0,922,54,13,4,56,7,22,9,15,9,28,453,674,3,0,5,3,0,3,0,0,0,0,19,31,1103,177,46,1597,222,844,82,208,88,294,479,5139
SED53602,0,9,5,406,41,18,6,47,8,37,4,23,15,56,283,545,6,0,3,0,0,0,0,0,0,10,31,56,840,278,46,1253,128,1087,61,480,96,768,339,5376
SED53701,3,10,0,468,121,17,4,125,16,33,14,17,4,30,423,797,6,0,0,3,0,5,0,0,0,4,14,35,749,122,36,1052,126,549,68,119,72,201,449,3548
SED53802,5,23,4,862,45,4,8,43,5,24,0,13,6,37,285,483,0,0,0,6,0,0,0,0,0,3,17,35,1056,264,44,1489,197,918,67,330,61,527,314,5266
SED53902,3,24,0,1606,41,11,0,35,0,24,4,7,0,17,221,365,0,0,0,3,0,4,0,0,0,0,6,25,983,215,30,1484,199,766,49,204,42,245,234,4446
SED54006,22,4,0,729,76,7,7,91,19,45,10,18,15,55,620,956,5,0,6,5,0,0,0,0,5,4,21,47,907,150,41,1349,183,769,93,199,116,348,650,4796
SED54104,12,48,3,2878,56,10,3,56,5,28,0,11,0,12,228,419,3,0,4,3,0,3,0,0,0,0,12,24,1173,242,25,1621,167,1024,41,224,32,232,246,5029
SED54203,4,0,0,298,44,6,0,24,9,14,0,5,3,16,165,289,5,0,0,0,0,0,0,3,0,3,12,28,371,66,38,404,75,274,44,69,40,193,182,1756
SED54304,5,16,4,1772,26,9,0,35,5,14,0,4,0,17,219,325,0,0,0,5,0,0,0,0,0,0,3,13,931,193,22,1342,220,774,60,138,27,213,230,4136
SED54403,41,7,5,1941,85,3,9,37,10,33,5,5,7,11,397,611,4,0,6,7,4,0,0,0,0,0,23,52,1450,123,80,1330,275,872,101,100,106,174,438,5053
SED54505,17,47,0,2123,75,19,5,77,4,30,7,28,6,36,437,726,9,0,0,3,0,0,0,0,4,0,17,29,1721,315,36,2136,149,1311,66,377,73,452,469,7110
SED54605,6,8,0,576,54,8,0,48,6,23,8,13,7,29,396,597,0,0,0,4,0,0,0,0,3,7,18,30,632,126,32,948,141,726,82,203,85,370,412,3750
SED54701,0,5,0,452,152,18,8,146,12,30,3,8,6,16,260,655,10,0,4,9,5,0,0,0,6,5,12,45,801,141,48,1280,142,539,56,124,66,165,277,3646
SED54804,20,20,3,1952,49,11,0,54,11,19,0,10,4,9,330,493,3,0,5,4,0,3,0,0,0,0,10,27,1073,216,50,1848,255,739,69,153,43,178,346,4972
SED54905,14,36,0,2022,34,3,3,41,5,26,0,7,0,13,273,410,4,0,0,4,0,0,0,0,0,4,13,27,1022,197,37,1456,177,762,47,195,37,246,288,4467
SED55005,13,18,0,1343,59,12,8,77,13,54,8,17,17,43,549,852,4,0,4,9,3,0,0,0,3,0,21,48,1754,271,57,2139,235,1587,104,393,110,508,586,7744
SED55102,20,9,0,1125,88,11,13,94,13,49,10,18,10,35,775,1121,10,0,5,10,0,3,0,0,4,0,23,61,1457,199,80,1931,233,1095,105,262,101,278,820,6554
SED55202,4,16,0,528,40,10,9,46,8,43,3,25,14,44,409,637,7,0,5,0,0,0,0,3,3,4,22,41,982,239,51,1348,148,1321,72,453,97,598,458,5772
SED55306,12,8,0,718,67,23,11,84,12,27,5,9,5,29,587,872,3,0,4,9,0,7,4,0,0,0,11,42,848,280,58,1645,155,569,133,201,67,201,605,4770
SED55405,8,9,0,1111,32,9,3,26,4,16,0,4,5,19,267,384,0,0,0,0,0,0,0,0,0,0,9,16,855,237,35,1357,197,755,63,256,51,259,291,4350
