SED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SED50106,0,19,0,19,..,56,4,61,0,61,..,8,0,6,0,6,..,34,0,39,0,39,..,465,136,594,0,597,..,2119,248,2373,14,2387,..,92,8,103,2235,2339,34040,2210,262,2468,2252,38763
SED50202,69,504,8,514,..,145,22,166,0,166,..,18,6,26,0,26,..,71,21,93,3,93,..,2407,467,2881,55,2934,..,7917,1042,8955,116,9078,..,288,59,344,3298,3640,38175,8202,1098,9305,3411,50888
SED50304,3,96,3,92,..,130,28,153,0,153,..,58,7,61,0,64,..,606,201,809,6,811,..,2265,278,2542,36,2576,..,14059,2030,16096,187,16284,..,285,35,323,2063,2387,26621,14347,2069,16414,2257,45295
SED50405,5,177,0,179,..,139,17,162,0,162,..,10,0,15,0,16,..,87,26,118,4,124,..,1756,159,1916,43,1950,..,8123,717,8833,115,8955,..,245,20,263,2743,3004,45389,8368,736,9100,2860,57344
SED50502,12,166,3,171,..,126,24,147,0,147,..,18,7,30,0,30,..,1102,557,1662,9,1673,..,1843,432,2275,37,2306,..,8911,1931,10845,110,10953,..,252,49,299,1954,2257,30017,9164,1974,11146,2058,43217
SED50605,6,246,0,247,..,117,24,142,0,146,..,29,3,32,0,32,..,162,25,193,0,191,..,615,46,667,9,673,..,10094,1143,11238,69,11311,..,201,16,214,1117,1332,31552,10294,1158,11454,1188,44195
SED50702,7,109,0,112,..,204,57,262,4,266,..,87,28,117,0,117,..,410,103,513,9,519,..,2026,312,2343,58,2400,..,12130,1800,13923,187,14118,..,266,42,310,3046,3354,30948,12396,1840,14236,3231,48411
SED50805,0,32,0,32,..,73,4,76,0,76,..,19,0,13,0,13,..,30,8,32,0,32,..,422,37,465,6,471,..,3440,291,3738,29,3769,..,104,14,119,1466,1585,33867,3548,303,3858,1498,39223
SED50906,0,29,0,29,..,57,11,65,0,65,..,6,0,6,0,6,..,61,32,90,0,93,..,572,61,635,13,643,..,3780,399,4177,47,4224,..,136,11,147,2821,2965,37050,3912,410,4329,2867,44242
SED51004,0,30,0,33,..,103,13,121,0,121,..,19,0,19,0,19,..,130,49,179,0,179,..,837,99,933,23,959,..,5531,550,6081,60,6142,..,177,27,206,1696,1902,37548,5712,574,6288,1763,45594
