SED_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SED50106,661,4869,5539,2117,1327,14508,220,14733
SED50202,1164,6754,6835,2276,1245,18275,304,18585
SED50304,1300,8301,6873,1685,816,18977,242,19217
SED50405,502,6234,8332,2570,1239,18869,237,19110
SED50502,835,5374,6173,2176,1158,15726,232,15952
SED50605,570,5184,6903,2216,1176,16054,139,16187
SED50702,1350,7956,6957,1938,893,19095,305,19404
SED50805,761,5533,6211,1702,920,15128,152,15279
SED50906,941,6364,6475,2071,968,16822,287,17111
SED51004,428,4605,6764,2479,1305,15573,157,15728
SED51104,677,7253,7916,2324,1117,19287,252,19534
SED51205,1010,7079,7278,2326,1189,18880,309,19183
SED51304,316,3744,7192,2257,1252,14754,154,14907
SED51401,541,4100,4870,2264,1736,13516,287,13803
SED51504,776,5717,6767,1907,979,16139,142,16280
SED51605,512,5172,7308,2537,1310,16828,158,16987
SED51706,436,4603,6502,2795,1646,15986,240,16223
SED51804,926,5885,6598,2010,1055,16473,150,16627
SED51902,203,3288,6434,3062,2478,15458,185,15639
SED52006,532,6107,6586,2118,1052,16397,218,16613
SED52102,479,4683,6099,2338,1498,15095,220,15311
SED52205,1506,7450,6447,1705,800,17898,261,18157
SED52301,669,4804,5406,1967,1071,13927,230,14158
SED52404,341,4292,6986,2417,1264,15297,113,15406
SED52505,205,4180,9203,2825,1470,17886,126,18011
SED52604,442,4375,6276,2313,1254,14666,157,14822
SED52702,317,3105,5683,2738,2118,13958,120,14078
SED52803,638,3747,4467,1777,1007,11635,305,11942
SED52903,1784,3293,2844,1107,625,9646,441,10089
SED53004,438,4455,6796,2267,1272,15233,109,15344
SED53105,689,5521,7055,2223,1200,16689,213,16908
SED53204,277,3803,7307,2692,1486,15569,137,15710
SED53306,1246,7595,6076,1993,967,17877,317,18190
SED53402,1486,8103,6430,1444,684,18146,234,18385
SED53502,1115,6351,6644,2312,1299,17716,262,17976
SED53602,1118,6075,5853,2182,1279,16510,343,16851
SED53701,310,3604,5100,2526,1913,13456,338,13791
SED53802,947,6504,6836,2079,1107,17473,229,17698
SED53902,1332,7747,6106,1580,828,17600,197,17793
SED54006,388,4496,6034,2711,1829,15462,255,15716
SED54104,1520,8087,6169,1603,712,18094,161,18247
SED54203,557,2304,2136,743,503,6238,216,6449
SED54304,3430,11820,6094,1238,459,23030,266,23301
SED54403,615,3543,5338,2011,984,12495,275,12771
SED54505,449,4542,6982,2261,1117,15347,132,15478
SED54605,1135,6860,5677,1885,889,16436,265,16698
SED54701,606,4114,4957,2146,1711,13525,283,13811
SED54804,903,7256,7607,1819,803,18388,214,18603
SED54905,981,7346,6609,1779,750,17465,169,17632
SED55005,399,4549,7044,2712,1504,16207,186,16389
SED55102,267,3876,6472,2841,2087,15547,190,15736
SED55202,1019,6246,6349,2278,1299,17188,245,17430
SED55306,473,5348,6589,2290,1217,15915,253,16174
SED55405,1824,8330,6459,1812,848,19275,293,19568
SED55504,535,4984,6994,2626,1637,16779,191,16967
SED55605,421,4741,6996,2662,1441,16256,196,16452
SED55706,504,5128,6434,2493,1460,16023,281,16300
SED55802,410,5054,7702,2679,1589,17439,164,17602
SED55905,923,5396,6040,2000,1085,15442,224,15669
SED59494,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,3,0,3
