SED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED50106,512,123,1164,6167,9131,4289,3292,6779,2303,31970
SED50202,352,120,736,7468,9702,4000,3638,11853,3098,39756
SED50304,573,90,1145,8336,10462,3771,2725,10797,2274,38364
SED50405,145,53,328,8532,11381,4635,3911,11461,2627,42541
SED50502,384,79,748,7072,9287,3797,2849,10037,2071,35119
SED50605,521,58,1166,8553,10712,4894,3388,7798,1257,36602
SED50702,465,143,961,8489,10424,3696,2830,12037,3158,40633
SED50805,691,136,1385,7652,10091,4072,2644,6266,1531,32259
SED50906,478,171,1024,7007,9719,4336,3281,8823,2917,36082
SED51004,232,60,447,8326,10300,4109,2922,9132,1812,36600
SED51104,407,88,769,8676,11260,4568,3862,11929,2750,43040
SED51205,365,114,791,8086,10205,4147,3428,14415,2921,43207
SED51304,418,55,853,7708,10700,5160,3182,6074,1135,33955
SED51401,423,159,929,5390,7360,3736,3524,7015,4024,31051
SED51504,644,101,1345,8713,10797,4651,2913,7337,1286,35703
SED51605,201,60,447,8531,10620,4182,3231,9708,1804,38083
SED51706,302,177,823,6511,9744,4823,4284,7836,2531,35729
SED51804,614,210,1506,9225,11044,4816,3046,6802,1953,36885
SED51902,229,53,464,7460,10374,4613,4088,8160,2236,36933
SED52006,546,130,1125,6355,9456,4618,4035,9281,2055,35800
SED52102,352,72,667,6793,8918,3761,3067,9213,2043,33786
SED52205,534,207,1186,8378,11184,4140,2731,8291,2764,37487
SED52301,365,151,832,5596,8259,3644,2998,7382,3320,31196
SED52404,250,49,564,7586,10271,4643,3069,6995,1261,33828
SED52505,155,32,354,9146,12118,5288,3975,10751,2646,43929
SED52604,335,92,666,7928,9846,4183,2673,7966,1657,34252
SED52702,408,112,1017,6800,9943,4950,3587,5707,1465,32447
SED52803,134,36,230,5158,6885,2663,2162,7723,4629,29218
SED52903,71,37,139,5903,6677,2417,1627,5716,4745,27084
SED53004,523,67,994,7523,10434,4472,3035,7317,1137,33920
SED53105,300,42,516,7323,9759,3988,3461,10347,3301,38180
SED53204,259,33,478,8476,10060,4086,3073,10498,1417,37611
SED53306,698,295,1567,6626,9270,4320,3774,10628,3011,37639
SED53402,465,107,910,8442,11218,3944,2473,8449,1998,36534
SED53502,435,262,1049,7858,10136,4043,3268,10432,2755,38492
SED53602,375,167,751,7074,8000,3284,2844,14496,2973,38672
SED53701,274,105,694,5389,7992,3985,3780,6924,3876,31942
SED53802,430,74,994,7792,9654,3998,3053,11327,2022,37844
SED53902,833,169,1649,8670,10393,4014,2526,8743,1869,36209
SED54006,314,129,825,6163,9226,4679,4279,8197,2684,35229
SED54104,510,120,1157,10036,12221,4767,2800,7649,1957,39432
SED54203,50,29,139,3263,4292,1841,1340,4115,3644,18488
SED54304,411,68,733,11683,13827,3818,2351,11730,4084,47500
SED54403,23,11,55,6342,8545,3008,2570,8546,7373,36385
SED54505,514,92,1084,8122,10219,4993,3710,8478,1197,36719
SED54605,553,284,1311,6351,8675,3889,3205,9447,3023,34583
SED54701,317,137,778,6038,7772,3695,3086,6379,3400,30370
SED54804,624,227,1256,9392,11549,4066,2541,8266,2463,38276
SED54905,565,244,1228,8966,11142,4093,2554,8202,2114,37069
SED55005,345,85,598,7932,9882,4346,3599,11870,1914,39552
SED55102,136,23,321,7627,10004,4406,3747,8680,4061,38522
SED55202,473,193,1027,7178,8971,3860,3430,12775,2649,38857
SED55306,500,109,1085,7123,10285,5058,3759,7100,2531,35843
SED55405,496,347,1221,9548,11333,3716,2359,11404,3423,41774
SED55504,305,100,643,8107,10593,4371,3240,10187,1863,38364
SED55605,234,60,478,7670,10261,4445,3670,9564,2200,37802
SED55706,374,135,924,6470,9910,5266,4256,6614,3360,35874
SED55802,337,39,591,8412,10675,4131,3521,12223,2183,41149
SED55905,455,292,1222,7313,9386,3849,2828,8471,2211,34066
SED59494,10,23,30,870,963,339,278,1476,3362,7285
SED59797,0,0,0,33,21,10,15,214,222,516
