SED_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SED50106,0,0,0,5,0,0,0,5,13,0,18,0,4,0,4,0,0,0,9,4,0,7,0,3,0,5,0,0,0,7,7,0,18,0,12,0,12,0,5,5,19,25,0,39,4,22,4,29,9,6,11,41,59,0,100,3,51,5,64,0,3,5,68,78,3,144,10,69,8,90,5,4,5,96,68,0,164,31,51,8,89,3,0,6,97,71,0,166,63,60,13,134,0,0,0,137,71,0,213,61,48,3,117,3,0,3,117,31,0,151,55,32,0,86,0,0,4,85,32,0,122,39,15,0,59,0,0,0,65,25,0,86,60,22,3,86,0,0,0,86,23,0,104,20,6,0,29,0,0,0,29,8,0,39,24,4,0,24,0,0,0,24,8,0,28,4,0,0,8,0,0,0,8,0,0,8,11,9,0,15,0,0,0,15,3,0,20,49,30,4,76,0,0,0,79,38,0,120,0,0
SED50202,0,0,0,0,0,3,6,9,48,0,55,0,0,0,4,3,3,7,6,5,0,18,0,11,0,8,6,11,12,21,30,0,48,3,17,0,22,13,6,17,41,48,0,87,4,19,0,20,9,16,31,52,109,0,163,7,57,6,69,22,25,44,112,169,0,281,27,88,11,125,16,10,31,158,149,0,307,66,94,9,168,11,8,16,184,164,3,348,120,85,16,218,4,12,18,240,141,0,376,94,76,6,184,7,11,22,207,90,0,297,103,27,12,141,10,7,9,155,56,4,209,77,35,8,119,0,6,0,121,42,0,159,112,40,8,160,0,0,0,160,60,0,221,47,16,0,67,5,3,3,73,33,0,107,40,8,0,45,0,0,0,50,10,0,57,7,4,0,6,0,0,0,4,0,0,7,11,0,0,18,0,0,0,15,12,0,33,59,32,10,97,10,4,14,108,75,6,184,0,0
SED50304,0,0,0,3,0,0,5,7,15,0,20,0,0,0,0,0,0,0,3,8,0,5,0,0,0,3,5,5,6,10,17,0,27,0,10,0,9,0,3,10,18,28,0,45,0,13,3,17,3,11,13,32,57,0,84,10,29,8,43,10,9,17,61,63,0,129,14,46,5,69,4,6,10,79,60,0,132,32,49,6,86,4,8,10,98,107,0,208,62,52,0,113,0,5,3,123,56,0,176,68,43,3,119,7,0,7,124,46,0,172,68,30,9,101,0,0,4,103,49,0,153,62,32,3,105,5,0,5,106,18,0,121,121,38,7,166,0,0,0,168,42,0,215,39,15,4,59,0,0,0,63,19,0,79,30,12,0,40,0,0,0,40,10,0,52,9,3,3,19,0,0,0,19,6,0,22,37,8,3,48,0,0,0,49,12,0,59,41,21,3,67,3,5,3,77,34,4,115,5,4
SED50405,0,0,4,4,4,6,8,14,43,0,60,0,0,0,5,0,3,3,11,5,0,17,0,11,0,12,0,0,0,15,15,0,31,0,16,0,13,0,13,14,29,23,0,53,0,23,5,20,7,10,18,43,49,0,90,13,54,3,73,7,12,21,94,122,0,219,21,96,7,114,7,12,19,132,95,0,230,51,95,15,159,5,3,9,167,80,3,252,87,97,8,193,3,5,14,205,94,0,296,115,66,10,188,3,0,3,194,62,0,256,92,30,6,128,0,0,0,132,40,0,172,91,22,4,117,3,3,5,125,27,0,155,155,34,3,192,0,0,4,200,27,0,221,53,13,3,75,3,6,3,79,23,0,100,44,5,6,55,0,0,0,55,15,0,67,21,4,8,28,0,0,0,28,0,0,33,35,9,0,46,0,0,0,48,3,0,52,68,45,9,123,5,0,8,130,52,0,180,8,3
SED50502,0,3,0,5,4,0,5,6,30,3,41,0,4,0,4,0,0,0,7,9,0,11,0,3,0,3,0,5,5,5,25,0,31,0,11,0,15,9,3,13,31,35,0,62,0,16,0,17,5,7,15,26,57,0,84,11,43,3,54,0,12,13,69,78,0,145,24,53,0,77,0,12,13,90,100,0,188,39,69,9,107,6,4,12,121,115,0,237,75,79,8,161,3,3,12,166,61,0,231,82,53,3,137,5,3,9,146,63,0,215,67,28,3,97,5,0,7,104,37,0,145,64,22,4,89,0,0,0,88,26,0,118,129,40,0,182,3,0,3,185,44,0,224,62,12,4,82,4,0,4,78,25,0,108,37,11,0,51,0,6,6,55,7,0,61,17,0,0,16,0,0,0,16,0,0,14,15,3,0,24,0,0,0,24,6,0,33,51,22,11,86,5,3,6,96,45,5,142,5,0
SED50605,0,0,0,4,0,3,3,6,29,0,39,0,3,0,3,3,0,3,5,10,0,9,0,0,0,3,0,5,6,8,13,0,19,3,5,0,13,6,0,3,14,16,3,32,3,15,0,17,3,0,8,28,28,0,56,0,31,3,38,3,4,11,48,30,0,75,3,29,3,34,0,4,4,41,31,0,71,23,50,3,78,0,6,6,79,31,0,112,38,36,5,78,0,0,0,76,41,0,119,32,51,0,81,0,3,3,75,46,0,127,31,34,6,66,3,0,0,72,32,0,102,35,16,0,55,0,0,0,54,22,0,74,114,37,7,154,3,6,4,160,48,0,206,59,20,0,74,0,0,0,80,22,0,96,41,14,4,54,0,0,0,61,11,0,74,25,0,0,29,0,0,0,29,7,0,32,79,16,3,96,0,0,0,100,24,0,123,46,25,4,79,0,0,0,81,31,0,109,0,0
SED50702,0,0,0,0,3,5,4,4,43,0,49,0,3,0,7,0,0,0,7,9,0,14,0,0,0,0,5,0,10,12,16,0,30,10,6,0,13,11,8,19,28,35,0,68,0,18,0,18,11,8,15,35,46,0,83,5,34,0,40,4,10,18,61,76,0,139,13,51,7,69,7,5,19,81,70,0,157,33,48,5,87,0,11,12,96,93,0,191,46,51,4,100,3,3,5,107,78,3,186,75,50,3,132,8,8,11,139,54,0,194,53,33,0,87,0,3,6,94,44,0,142,58,14,3,78,5,3,4,83,32,0,117,123,28,0,151,3,0,3,148,50,0,199,42,10,0,56,0,0,0,57,28,0,86,47,10,4,57,0,0,0,57,7,0,70,14,3,0,15,0,0,0,15,4,0,21,34,6,3,47,0,0,0,44,15,0,59,45,19,9,72,0,5,6,82,36,8,127,0,0
SED50805,0,0,0,0,0,0,0,0,16,0,19,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,5,0,0,4,0,7,0,7,0,5,3,6,8,0,21,0,14,0,18,6,3,5,20,31,0,58,6,22,0,28,4,3,0,32,38,3,62,5,46,0,55,4,4,3,64,35,0,95,21,44,0,55,0,0,0,61,46,0,106,30,48,7,87,0,3,6,92,49,0,138,42,44,3,94,4,0,4,99,33,0,131,49,40,6,94,0,0,0,96,21,0,119,57,27,5,84,0,0,0,89,17,0,103,115,25,4,150,0,0,0,153,25,0,173,44,14,0,61,0,0,0,64,16,0,74,40,10,0,54,0,0,3,57,11,0,71,18,4,0,21,0,0,0,21,5,0,24,77,16,3,98,0,0,0,98,8,0,104,59,27,4,97,0,0,0,93,25,5,123,0,0
SED50906,0,0,0,3,0,0,0,6,22,0,30,0,0,0,0,0,0,0,0,7,0,5,0,7,0,6,3,3,11,13,12,0,28,0,17,0,18,4,3,10,21,49,0,72,3,25,3,33,3,3,9,41,70,0,111,7,53,3,67,9,22,29,100,119,0,217,11,92,9,116,8,9,12,132,86,0,216,48,86,5,139,3,0,10,151,99,0,255,84,83,17,181,0,0,0,180,96,0,277,70,68,6,144,0,4,4,145,68,0,218,67,38,10,114,0,3,3,113,34,0,143,71,21,3,96,0,0,4,97,29,0,123,119,19,12,151,3,3,9,155,33,0,189,39,18,3,60,0,0,0,61,14,0,77,29,3,0,37,0,0,0,37,4,0,42,13,6,0,16,0,0,0,16,0,0,16,22,3,0,28,0,0,0,27,8,0,39,73,30,10,113,3,0,3,120,55,5,181,0,0
SED51004,0,6,0,6,0,0,7,9,26,0,37,3,3,0,9,0,0,0,9,5,0,11,0,3,0,7,0,0,3,7,8,0,19,0,11,0,11,9,0,11,25,19,0,43,0,12,4,14,3,9,11,27,52,0,76,7,36,0,44,9,9,19,62,62,0,124,14,58,5,78,6,9,11,87,71,0,154,42,57,4,99,7,3,10,112,72,0,184,68,70,8,145,5,0,3,146,77,0,222,74,63,6,141,4,4,3,147,36,0,189,77,46,3,124,0,4,4,128,27,0,147,82,17,3,104,3,4,4,111,16,0,134,147,55,7,208,0,3,5,214,38,0,249,72,16,5,93,0,0,0,95,12,0,103,48,18,5,68,0,0,0,68,7,0,74,19,7,0,19,0,0,0,22,8,0,27,49,8,8,60,5,0,5,66,6,0,71,87,43,4,139,4,0,4,136,39,0,181,0,3
