SED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED50106,218,8,0,0,0,223,137,5,0,0,0,141,78,9,0,0,0,86,174,4,0,0,0,179,255,5,0,0,0,264,922,21,0,0,0,955,1032,11,0,0,0,1050,951,13,0,0,3,967,308,8,0,0,0,315,213,4,0,0,0,221,124,3,0,0,0,130,248,10,0,0,0,256,4667,89,12,6,9,4780
SED50202,289,18,0,0,0,308,153,20,3,0,0,176,123,17,3,0,0,139,284,46,0,6,0,337,454,68,0,0,0,520,1640,140,11,0,0,1791,2064,96,5,0,0,2169,1789,33,0,0,0,1822,467,6,0,0,0,476,243,3,0,0,0,247,158,10,0,0,0,167,406,18,0,0,0,428,8069,480,24,7,0,8579
SED50304,193,104,9,0,0,305,47,34,9,0,0,88,53,37,13,0,0,104,72,71,20,0,0,164,117,136,14,0,0,265,383,479,73,0,0,944,533,627,60,0,0,1222,775,538,33,0,0,1344,426,161,3,0,0,592,465,119,4,0,0,591,343,49,4,0,0,392,220,110,11,0,0,343,3630,2468,259,0,0,6357
SED50405,208,10,0,0,0,218,86,0,0,0,0,91,80,4,0,0,0,87,180,5,0,0,0,190,254,12,0,0,0,269,1356,41,5,3,0,1404,2661,30,4,0,0,2690,3471,32,3,0,0,3515,1143,7,0,0,0,1147,549,5,0,0,0,555,345,4,0,0,0,344,536,11,0,0,0,547,10870,155,14,4,9,11051
SED50502,329,40,3,0,0,371,113,14,0,0,0,132,95,5,0,0,0,106,189,26,10,0,0,225,271,40,8,0,0,316,899,124,37,0,0,1052,1260,132,24,0,0,1416,1584,82,10,0,0,1680,564,24,0,0,3,595,379,19,5,0,0,399,210,5,4,0,0,219,360,21,3,0,0,385,6249,540,107,0,6,6898
SED50605,278,32,3,0,0,319,62,13,4,0,0,74,65,11,0,0,0,81,70,14,0,0,0,85,97,16,6,0,0,116,287,73,19,0,0,377,322,84,41,0,0,447,683,137,48,0,0,863,537,90,31,0,0,655,802,85,14,0,0,902,839,82,19,0,0,939,269,48,11,0,0,330,4309,679,199,0,0,5189
SED50702,227,32,20,0,0,281,78,9,3,0,0,86,50,8,3,0,0,70,127,21,13,0,0,164,166,47,31,0,0,248,586,187,124,0,0,902,916,201,162,0,3,1279,1206,180,138,0,0,1525,520,64,45,0,0,634,434,48,59,0,0,536,237,27,39,0,0,302,245,34,41,0,0,322,4791,867,683,0,11,6342
SED50805,216,48,9,0,0,270,66,10,4,0,0,82,52,15,0,0,0,74,89,39,9,0,0,137,100,33,22,0,0,156,283,156,64,0,0,502,332,228,83,0,0,638,701,292,40,0,0,1031,564,125,13,0,0,705,751,94,11,0,0,859,850,65,6,0,4,920,256,63,11,0,0,331,4250,1170,276,0,5,5705
SED50906,232,23,3,0,0,260,94,14,0,0,0,112,104,14,0,0,0,115,200,17,6,0,0,226,332,32,3,0,0,364,1140,95,9,0,0,1252,1317,48,3,5,3,1375,1171,36,8,0,0,1224,389,20,0,0,0,411,297,13,4,0,0,310,180,10,4,0,0,191,280,22,3,0,0,309,5729,341,51,5,8,6136
SED51004,295,8,0,0,0,311,91,6,0,0,0,96,87,3,3,0,0,101,159,9,0,0,0,164,253,6,5,0,0,266,911,49,27,0,0,982,1425,60,19,0,0,1500,2107,49,7,0,0,2167,994,11,9,0,0,1012,829,9,5,0,0,841,516,6,4,0,0,527,448,17,6,0,0,470,8117,241,77,0,9,8446
