SED_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED50106,4786,9460,105,564,380,1741,142,639,2055,8061,2680,11009,144,576,257,821,667,2064,1076,3465,3757,14472,16,64,132,459,77,281,642,1751,869,2552,52,178,121,255,530,1141,708,1575,1578,4120,122,253,10242,28309
SED50202,4477,8903,141,833,502,2450,200,980,3210,12483,4054,16742,221,956,287,947,911,2874,1419,4783,5479,21525,49,234,194,705,137,545,1290,3575,1666,5062,106,315,213,468,1047,2276,1362,3056,3030,8116,268,569,13257,39112
SED50304,5104,10076,46,258,348,1585,60,256,3022,11011,3472,13110,223,934,367,1265,797,2540,1385,4739,4857,17851,15,61,97,330,35,107,671,1619,819,2123,75,228,198,435,747,1590,1016,2256,1831,4373,277,582,12071,32882
SED50405,4777,9296,168,913,825,3786,280,1284,5117,19429,6380,25411,312,1275,455,1457,952,2984,1717,5719,8096,31130,41,187,196,692,113,388,1239,3401,1594,4668,109,336,198,438,609,1314,916,2094,2510,6766,166,344,15550,47534
SED50502,4086,8127,101,602,453,2147,131,636,2772,10650,3457,14033,271,1182,390,1330,1060,3384,1722,5906,5179,19934,38,191,128,457,82,317,759,2045,1013,3006,92,292,169,403,839,1845,1104,2538,2124,5548,241,501,11627,34107
SED50605,4858,9655,71,388,667,2991,96,427,2910,11235,3741,15052,377,1579,734,2623,1170,3696,2285,7895,6029,22952,15,66,124,391,30,103,479,1173,642,1724,85,249,202,471,561,1215,847,1933,1487,3655,202,422,12571,36684
SED50702,5229,10255,74,445,359,1668,105,472,3006,11227,3542,13814,193,814,335,1127,691,2172,1226,4117,4770,17929,25,121,108,368,59,200,727,1849,911,2543,79,246,168,394,782,1694,1030,2340,1946,4878,389,811,12335,33880
SED50805,3974,7824,54,265,521,2338,60,269,2661,10170,3293,13039,283,1186,596,2076,700,2192,1579,5450,4870,18486,10,47,130,402,29,85,462,1108,634,1649,74,222,226,502,513,1075,815,1802,1445,3448,132,273,10431,30040
SED50906,4734,9302,77,399,471,2084,166,730,2458,9436,3172,12651,207,816,336,1056,702,2153,1243,4025,4417,16680,29,125,164,534,100,360,1008,2704,1304,3714,67,199,170,345,715,1493,953,2038,2258,5753,160,335,11566,32070
SED51004,4365,8579,137,712,609,2722,226,970,3131,11884,4100,16288,389,1592,643,2173,1346,4206,2365,7966,6460,24256,42,194,152,512,90,320,742,1985,1028,3012,94,291,227,536,725,1584,1042,2406,2074,5420,147,312,13046,38556
SED51104,4931,9589,163,891,703,3204,308,1355,4342,16526,5513,21975,364,1474,459,1494,1075,3300,1896,6270,7403,28246,67,331,204,757,131,459,1415,3786,1825,5331,130,411,220,490,800,1711,1156,2608,2973,7936,197,417,15512,46187
SED51205,4924,9831,105,694,491,2350,141,658,3882,14709,4620,18410,249,1063,434,1494,983,3120,1665,5677,6289,24091,27,127,144,506,63,215,697,1842,926,2686,103,347,184,416,853,1848,1137,2612,2062,5301,391,833,13665,40052
SED51304,4722,9359,72,385,631,2765,83,353,3343,13143,4129,16648,369,1500,683,2431,1029,3238,2075,7172,6209,23823,8,36,120,387,20,66,419,1041,570,1522,64,191,135,312,447,953,649,1460,1218,2986,100,204,12238,36363
SED51401,4657,9100,75,387,318,1296,108,481,1870,7409,2368,9571,102,387,208,537,632,1922,945,2847,3307,12414,25,135,96,326,69,265,482,1375,671,2103,24,63,82,170,508,1076,610,1315,1283,3419,114,238,9366,25172
SED51504,4229,8379,65,357,776,3481,71,288,3466,13344,4378,17467,301,1261,811,2865,701,2224,1810,6358,6188,23827,16,62,112,338,24,72,483,1151,624,1631,59,188,217,511,416,855,691,1555,1312,3186,157,329,11889,35716
SED51605,4437,8746,115,618,649,2880,180,803,3817,14486,4762,18797,394,1634,586,2024,1129,3653,2108,7322,6871,26115,22,103,145,472,68,236,798,2044,1032,2850,108,345,189,419,604,1345,903,2106,1935,4961,180,379,13429,40197
SED51706,5482,10748,89,498,479,2139,200,911,2806,10877,3583,14419,206,828,293,891,915,2781,1416,4502,4997,18924,29,130,129,423,81,295,742,2051,986,2907,62,193,106,238,552,1165,723,1598,1708,4502,120,243,12303,34414
SED51804,4718,9228,46,232,689,3109,44,174,2562,9998,3339,13512,372,1525,895,3142,664,2032,1922,6691,5265,20204,12,34,127,411,14,45,419,1014,574,1496,54,171,276,634,397,838,728,1643,1305,3139,137,281,11417,32860
