SED_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
SED50106,0,0,0,0,0,0,0,0,4,4,8,5,10,3,0,0,0,33,5,26,37,107,147,280,151,118,863,6,27,46,115,157,280,151,118,899,2022,1835,1771,2052,2252,2013,1119,341,13402,152,294,229,174,164,138,70,43,1263,2175,2155,2048,2342,2574,2429,1340,498,15562,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,5,27,34,35,14,14,130,0,4,10,28,34,35,14,14,138,1853,1885,2082,2487,2710,2394,1434,584,15436,105,101,93,118,124,129,100,67,836,1955,1990,2179,2635,2872,2565,1551,661,16411,0,0,0,0,0,0,0,0,4,4,8,6,10,3,0,0,0,30,5,26,43,134,181,310,170,128,992,6,34,55,139,192,310,170,128,1033,3870,3722,3856,4539,4963,4407,2552,927,28834,255,394,322,291,287,269,172,107,2103,4134,4150,4231,4976,5440,4990,2890,1164,31970
SED50202,4,9,6,0,0,0,0,0,15,0,10,0,0,4,0,0,0,13,11,39,64,141,206,279,108,49,906,15,55,78,141,211,279,108,49,938,2841,3431,3213,2562,2244,1620,836,201,16951,253,339,263,247,209,89,69,43,1513,3110,3825,3555,2946,2659,1981,1018,299,19398,4,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,5,7,15,25,34,23,12,7,127,6,9,20,25,34,23,12,7,140,2912,3738,3382,2744,2619,2113,1039,357,18911,234,275,224,174,123,104,102,73,1316,3151,4025,3629,2947,2778,2242,1155,441,20367,7,4,10,0,0,0,0,0,20,0,10,0,0,4,0,0,0,18,17,47,82,168,242,298,123,57,1031,23,61,96,172,247,298,123,57,1077,5754,7171,6591,5305,4864,3735,1880,561,35859,489,611,495,422,329,192,173,117,2827,6266,7846,7185,5896,5439,4225,2173,736,39756
SED50304,5,8,4,5,0,0,0,0,19,6,17,3,9,0,0,0,0,37,0,30,51,74,74,127,93,58,517,10,47,63,88,78,127,93,58,569,2027,3941,3514,2444,2055,1472,928,368,16752,138,271,217,171,120,72,51,26,1058,2175,4261,3791,2706,2256,1672,1071,454,18380,0,6,6,0,0,0,0,0,12,0,5,0,0,0,0,0,0,6,0,7,6,17,19,14,13,7,76,4,23,8,12,19,14,13,7,90,2163,4389,3532,2546,2320,2068,1301,632,18939,101,256,158,107,116,86,72,57,946,2269,4663,3697,2663,2447,2162,1386,694,19975,4,10,8,5,0,0,0,0,34,6,17,3,14,0,0,0,0,39,0,38,58,91,91,140,106,61,590,16,73,76,98,89,140,106,61,660,4190,8330,7044,4991,4382,3539,2229,999,35699,240,531,371,275,238,151,121,81,2002,4441,8928,7486,5369,4706,3832,2460,1145,38364
SED50405,93,253,115,58,12,0,0,0,533,5,11,17,12,19,0,0,0,60,19,112,185,270,237,189,115,28,1158,118,374,316,343,261,189,115,28,1760,3137,3815,3858,2787,1876,1138,596,102,17305,184,345,350,245,150,67,45,18,1391,3439,4531,4520,3379,2287,1395,755,148,20456,47,59,25,10,4,0,0,0,142,0,4,9,4,4,0,0,0,17,10,46,68,64,61,28,16,0,285,56,108,102,71,66,28,16,0,449,3363,4813,4442,3234,2305,1605,754,147,20667,151,249,188,135,85,70,59,29,974,3576,5177,4736,3446,2457,1697,833,174,22088,139,313,142,72,16,0,0,0,681,3,17,23,18,20,0,0,0,80,30,155,250,334,295,219,131,28,1442,174,489,422,413,329,219,131,28,2203,6499,8628,8296,6023,4185,2739,1354,245,37970,336,598,534,380,230,134,101,45,2365,7006,9710,9255,6820,4738,3092,1589,328,42541
SED50502,0,0,3,0,0,0,0,0,10,0,12,9,3,4,0,0,0,35,0,30,58,98,139,210,112,50,693,7,36,72,104,143,210,112,50,734,2477,2787,2836,2496,2380,1627,729,201,15537,152,220,187,149,123,97,66,22,1007,2625,3046,3098,2749,2647,1930,900,273,17278,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,7,34,25,23,13,9,123,4,10,10,30,25,23,13,9,126,2261,2852,2959,2723,2649,2016,986,432,16889,113,172,123,124,100,65,83,42,823,2385,3032,3100,2881,2777,2113,1081,479,17846,0,3,3,0,0,0,0,0,12,0,9,11,8,4,0,0,0,36,0,35,69,127,164,235,127,52,815,8,44,83,138,174,235,127,52,860,4740,5639,5797,5219,5034,3645,1714,629,32422,267,395,311,271,223,159,142,66,1830,5011,6080,6193,5627,5430,4042,1982,748,35119
SED50605,4,3,10,10,0,0,0,0,26,3,8,12,11,3,0,0,0,36,6,23,56,107,118,202,147,113,775,10,34,74,134,118,202,147,113,838,2824,2166,2551,2527,2471,2162,1158,323,16173,68,104,111,108,98,76,30,12,607,2904,2303,2737,2762,2686,2439,1335,449,17615,0,0,0,5,0,0,0,0,9,0,0,3,4,0,0,0,0,7,0,6,6,16,33,18,20,14,107,0,6,8,23,29,18,20,14,122,2599,2170,2971,2992,2923,2672,1371,666,18373,67,68,68,74,76,75,39,34,495,2667,2239,3042,3091,3032,2765,1428,715,18983,5,3,11,8,0,0,0,0,26,3,8,9,13,4,0,0,0,39,6,31,58,128,145,220,168,128,883,14,42,77,154,152,220,168,128,954,5419,4331,5520,5518,5396,4836,2527,988,34546,137,179,179,178,170,146,68,46,1103,5573,4549,5775,5856,5717,5205,2766,1166,36602
SED50702,0,8,9,5,3,0,0,0,22,3,14,4,3,5,0,0,0,32,4,43,61,122,143,170,112,65,725,11,68,72,129,157,170,112,65,783,2576,4375,3546,2665,2406,1574,767,246,18158,219,390,316,245,183,112,64,47,1579,2806,4833,3936,3039,2742,1849,945,357,20519,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,0,8,14,33,26,26,21,5,139,5,8,18,35,24,26,21,5,149,2489,4372,3404,2613,2380,1907,1006,509,18686,165,305,237,159,145,92,96,94,1286,2659,4683,3656,2810,2547,2030,1121,606,20122,3,13,9,6,3,0,0,0,27,5,14,9,7,6,0,0,0,36,7,50,74,154,173,204,137,66,861,18,76,82,165,179,204,137,66,926,5066,8744,6956,5278,4781,3475,1778,752,36845,378,694,554,407,328,208,158,138,2863,5467,9515,7593,5853,5290,3881,2069,961,40633
SED50805,0,13,15,7,3,0,0,0,36,6,8,10,10,6,0,0,0,35,4,36,60,118,111,195,151,131,801,14,56,79,134,115,195,151,131,874,2116,1762,2127,2444,2139,1587,809,324,13313,58,119,118,135,117,85,73,60,760,2192,1939,2324,2714,2375,1865,1031,516,14951,7,0,0,0,0,0,0,0,5,3,3,3,0,0,0,0,0,11,0,3,15,41,36,24,19,22,162,5,11,19,44,36,24,19,22,183,2312,2125,2628,2850,2499,2019,1243,734,16421,70,104,86,99,72,65,89,115,706,2389,2236,2728,2998,2611,2105,1358,872,17303,7,15,15,7,3,0,0,0,42,4,15,10,9,6,0,0,0,47,4,41,77,163,148,215,171,150,964,17,69,99,174,154,215,171,150,1056,4432,3884,4755,5298,4646,3607,2055,1061,29737,133,227,206,233,190,148,163,172,1466,4584,4181,5057,5708,4988,3970,2385,1385,32259
SED50906,0,4,4,0,3,0,0,0,7,4,0,6,0,4,0,0,0,14,6,24,45,127,139,294,185,80,908,14,31,58,130,144,294,185,80,933,2348,2287,2362,2493,2417,1801,908,242,14857,180,388,371,293,189,146,68,50,1686,2542,2705,2789,2919,2754,2241,1157,371,17473,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,9,22,24,39,36,23,9,162,0,7,17,24,42,36,23,9,168,2433,2583,2713,2904,2718,2289,1236,542,17408,140,185,155,136,119,110,86,98,1028,2573,2775,2884,3066,2883,2432,1342,650,18606,0,4,7,0,5,0,0,0,13,8,3,6,0,4,0,0,0,20,6,34,64,156,180,331,199,90,1069,13,38,77,159,186,331,199,90,1103,4779,4874,5077,5398,5137,4080,2144,778,32268,319,573,521,432,308,255,150,150,2713,5114,5480,5673,5984,5637,4671,2502,1024,36082
SED51004,9,9,5,3,3,0,0,0,29,9,14,4,10,9,0,0,0,45,7,41,72,119,154,157,81,37,658,22,60,78,128,167,157,81,37,730,3169,2553,2616,3182,2685,1367,565,128,16267,118,163,189,183,143,49,31,17,900,3312,2771,2882,3495,2997,1574,675,179,17897,4,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,8,0,5,14,40,30,11,3,4,122,4,5,21,47,34,11,3,4,136,3034,2744,3000,3664,2869,1588,758,224,17875,120,119,114,111,89,51,42,41,687,3157,2875,3126,3821,2990,1652,812,271,18699,9,9,8,3,3,0,0,0,33,9,14,7,8,10,0,0,0,51,9,50,90,157,185,167,87,44,785,24,69,103,176,198,167,87,44,870,6205,5296,5612,6843,5549,2962,1322,346,34141,241,281,303,291,232,104,80,55,1587,6468,5647,6015,7314,5981,3227,1489,447,36600
