SED_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SED50106,4,0,0,0,0,0,0,0,0,55,3,67,0,0,0,3,0,0,0,3,0,40,0,46,0,5,0,0,0,0,0,6,0,12,0,24,0,0,0,0,0,3,0,11,0,13,0,27,0,8,0,0,0,0,0,7,3,98,0,121,0,4,0,0,0,3,0,9,5,67,0,97,5,9,3,6,3,10,0,48,5,492,10,598,11,26,4,9,0,28,0,71,5,248,6,411,16,53,6,19,0,51,3,72,4,211,0,430,35,60,7,67,8,37,4,64,8,195,3,477,22,26,3,64,5,36,7,27,7,55,0,252,56,27,9,82,4,40,3,20,4,68,0,309,166,44,10,156,15,65,17,32,8,57,0,559,160,17,9,112,16,20,12,10,3,27,0,386,81,15,7,64,11,24,3,10,9,17,0,239,57,6,0,27,6,14,6,4,0,12,0,130,95,19,3,57,9,26,3,7
SED50202,0,0,0,0,0,0,0,0,0,78,5,81,0,0,0,0,0,0,0,3,0,15,0,21,0,0,0,0,0,0,0,8,0,22,0,31,0,0,0,0,0,0,0,0,0,17,0,20,0,3,0,0,0,0,0,18,4,102,0,130,0,3,0,0,0,0,0,22,0,65,0,96,0,4,0,8,0,21,3,45,3,456,6,543,0,15,0,8,0,26,0,50,9,185,0,302,4,24,0,24,6,105,3,43,3,159,0,368,25,32,4,71,9,73,3,41,8,120,8,386,44,19,5,79,9,62,3,28,0,18,0,261,72,16,0,95,10,61,0,15,4,27,0,295,260,12,7,156,18,94,0,18,3,28,0,603,199,14,11,106,15,24,5,4,3,18,0,396,134,3,6,48,11,23,7,0,0,8,0,234,94,0,7,14,5,8,0,0,0,0,0,124,86,3,0,24,10,21,3,3
SED50304,4,0,0,0,0,0,0,4,0,115,0,121,0,0,0,0,0,0,0,3,0,32,0,40,0,0,0,0,0,0,0,7,0,22,0,29,0,0,0,0,0,0,0,5,0,16,0,19,0,0,0,0,0,0,0,16,0,114,0,130,0,5,0,4,0,0,0,26,4,45,0,86,0,11,4,0,0,5,0,39,0,394,7,470,0,15,0,10,0,27,0,45,0,154,0,260,4,39,0,16,0,51,7,54,0,146,0,315,21,73,0,93,3,61,5,48,4,88,3,402,32,31,0,95,3,41,8,16,0,21,0,262,50,29,0,94,7,42,3,22,0,26,0,269,282,47,3,205,12,73,5,23,9,31,4,680,260,18,3,134,14,20,0,9,0,14,0,481,225,8,8,82,11,22,0,9,0,4,3,372,174,3,6,46,12,7,0,0,0,5,0,257,320,21,7,85,19,28,4,14
SED50405,0,0,0,0,0,0,0,0,0,77,0,86,0,0,0,0,0,0,0,0,4,18,0,26,0,0,0,0,0,0,0,0,0,21,0,24,0,0,0,0,0,0,0,3,0,12,0,19,0,0,0,0,0,0,0,4,0,59,0,69,0,0,0,0,0,7,0,21,0,43,0,75,0,6,0,5,0,8,0,33,0,340,7,393,9,14,0,4,3,14,0,35,7,192,0,269,8,15,0,13,0,37,0,36,6,137,0,270,16,27,4,37,5,57,6,37,8,125,0,327,20,16,4,71,4,81,5,14,0,40,0,257,55,20,3,79,4,57,5,16,6,29,0,266,239,24,7,185,24,120,10,17,16,28,0,674,235,18,11,150,18,30,15,10,8,10,0,486,210,5,4,77,18,50,5,8,10,0,0,394,152,3,6,40,14,16,5,0,0,0,0,234,215,5,6,43,20,40,7,3
SED50502,0,0,0,0,0,0,0,4,0,69,0,76,0,0,0,0,0,0,0,0,5,30,0,31,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,4,0,21,0,24,0,0,0,0,0,0,0,16,0,76,4,100,0,0,0,4,0,7,3,18,0,51,0,82,0,7,0,0,0,13,0,43,0,389,0,454,0,8,0,7,0,29,0,58,5,155,0,258,0,18,0,17,3,61,0,37,3,144,0,299,19,30,0,59,0,72,0,30,4,113,3,335,17,21,0,50,0,46,0,23,10,27,0,195,45,17,0,62,0,52,5,10,3,24,4,221,172,17,4,127,11,84,6,18,4,39,0,482,212,13,4,114,12,25,5,6,4,17,0,404,147,6,0,64,14,24,5,0,0,6,0,273,121,0,0,27,14,7,3,0,0,4,0,179,182,4,0,53,10,30,8,4
SED50605,0,4,0,0,0,3,0,0,0,114,0,121,0,0,0,0,0,0,0,4,0,63,0,72,0,0,0,0,0,0,0,7,0,33,0,43,0,0,0,0,0,0,0,6,0,14,0,14,0,7,0,0,0,0,0,10,0,107,0,116,0,7,0,0,0,3,0,14,0,36,0,61,0,11,0,9,0,8,0,26,4,279,0,335,3,11,0,3,0,13,6,54,5,234,0,325,5,21,0,5,0,18,3,56,5,241,0,350,10,28,0,23,0,25,0,45,8,268,0,415,12,14,0,40,3,15,0,32,4,91,0,212,10,21,0,38,0,34,0,37,3,124,0,272,77,23,5,82,8,81,4,56,12,151,0,493,87,17,3,96,12,42,3,32,5,53,0,350,100,13,7,47,8,34,5,21,0,55,0,288,81,9,0,50,4,15,0,9,0,24,0,201,394,36,17,171,16,139,9,53
SED50702,3,0,0,0,0,3,0,4,0,95,3,109,0,0,0,0,0,0,0,3,0,24,0,29,0,0,0,0,0,0,0,5,0,5,0,18,0,0,0,0,0,0,0,6,0,19,0,24,0,4,0,0,0,4,0,12,0,64,0,81,0,4,0,3,0,0,0,16,0,41,0,76,0,13,0,0,0,12,0,28,4,298,10,359,0,15,0,0,0,31,5,49,7,164,0,268,0,41,0,17,0,53,0,48,9,107,4,277,24,46,3,78,3,59,8,40,3,123,3,388,20,32,0,87,4,71,0,19,7,30,0,274,57,34,3,109,5,57,8,18,4,32,0,329,311,38,7,204,22,96,15,24,5,34,0,764,272,16,5,135,17,42,9,16,0,22,0,527,249,14,5,76,10,35,0,4,0,11,0,401,178,9,0,44,8,8,3,4,0,3,0,264,329,12,3,76,23,62,7,18
SED50805,0,0,0,0,0,4,0,0,0,62,0,68,0,0,0,0,0,0,0,4,0,39,0,41,0,0,0,0,0,0,0,0,0,16,0,17,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,8,0,73,0,83,0,3,0,0,0,4,0,15,0,37,0,61,0,7,0,0,0,4,0,24,0,220,5,269,0,5,0,5,0,10,0,24,0,125,0,177,5,13,0,14,0,14,0,36,7,198,0,292,9,17,0,28,3,17,0,34,4,166,0,293,4,9,0,29,0,26,0,35,0,67,0,170,17,16,0,39,9,24,0,24,0,81,0,209,98,34,0,88,11,58,4,33,3,96,0,424,113,21,3,101,7,15,6,23,0,33,0,337,116,27,0,76,7,23,3,16,4,30,0,310,123,6,8,46,9,16,5,5,0,5,0,228,321,29,3,153,19,85,11,34
SED50906,0,0,0,0,0,0,0,0,0,62,3,72,3,0,0,0,0,0,0,3,0,22,0,33,0,0,0,0,0,0,0,4,0,19,0,34,0,0,0,0,0,0,0,3,0,9,0,17,0,0,0,3,0,0,0,6,0,103,0,116,0,0,0,0,0,9,0,28,0,58,0,95,0,8,0,0,0,10,0,49,8,468,9,550,0,7,0,4,0,24,0,56,0,251,0,352,5,31,0,17,0,48,0,56,11,189,0,356,16,34,0,56,3,49,4,58,5,171,6,391,20,18,0,56,6,55,5,26,3,39,0,237,62,14,0,75,5,52,0,20,0,61,0,299,172,22,11,141,15,98,6,20,12,63,0,565,147,16,3,154,13,25,3,13,0,21,0,398,147,8,6,87,14,27,4,5,5,14,0,319,89,4,0,22,9,9,0,0,0,6,0,148,178,9,6,83,18,40,8,12
SED51004,0,0,0,0,0,0,0,0,0,76,3,78,0,0,0,0,0,0,0,4,0,24,0,34,0,0,0,0,0,0,0,4,0,23,0,33,0,0,0,0,0,0,0,0,0,14,0,19,0,0,0,0,0,0,0,5,3,64,0,82,0,3,0,0,0,3,0,15,0,53,0,75,4,4,0,0,0,8,0,32,4,276,0,333,0,16,0,0,0,9,0,48,0,182,5,262,7,24,0,19,0,51,0,40,5,160,0,299,10,36,0,45,4,51,3,26,4,108,0,287,12,19,0,59,7,37,5,17,5,54,0,211,32,18,7,64,0,39,3,16,9,21,0,204,163,46,4,171,18,110,9,21,7,57,0,591,202,18,0,133,19,33,10,12,3,15,0,447,165,8,0,80,17,31,9,3,6,10,0,335,119,4,6,35,9,8,3,5,0,5,0,205,247,13,12,88,23,67,3,11
