SED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED50106,65,177,125,83,106,10,0,570,7,10,9,5,3,0,0,33,5,3,6,7,3,0,0,22,105,275,239,186,230,18,5,1050,0,12,0,3,5,0,0,26,6,14,6,0,3,0,0,37,6,26,10,7,9,0,0,58,117,296,244,188,233,18,9,1106,157,183,86,62,64,11,3,558,6,4,0,6,0,0,0,14,273,480,336,259,303,25,7,1685
SED50202,123,191,128,110,114,31,19,717,15,9,9,11,4,0,4,60,3,8,6,4,15,0,0,41,227,391,280,237,270,73,60,1541,23,40,23,21,20,9,0,127,33,66,39,22,13,0,0,177,57,102,62,42,30,5,0,301,287,495,343,284,307,76,61,1844,473,401,243,153,117,18,14,1413,14,16,11,14,0,0,0,49,770,909,591,440,429,97,69,3305
SED50304,67,145,70,36,54,23,22,417,8,5,8,6,4,0,6,39,4,0,4,4,8,3,0,25,123,255,164,124,169,84,51,978,3,14,5,4,11,0,0,51,17,22,11,8,8,5,0,72,23,35,18,12,21,9,0,122,145,292,179,137,193,90,53,1097,99,120,44,28,42,13,19,371,4,0,0,0,5,0,0,11,247,410,231,169,239,108,76,1471
SED50405,143,281,159,100,121,34,14,852,28,19,12,6,16,0,0,85,8,5,4,3,9,0,3,37,281,510,374,247,321,87,53,1868,22,16,17,14,9,0,0,78,23,57,24,11,11,0,0,122,44,75,39,29,22,0,0,201,327,577,411,272,339,87,53,2064,305,313,153,94,99,11,23,994,10,8,4,0,3,0,0,38,643,899,574,370,439,89,74,3094
SED50502,68,155,79,78,86,18,31,515,10,4,6,3,4,5,0,35,0,3,4,8,3,7,4,27,134,301,185,182,213,74,58,1142,8,13,14,5,8,4,0,58,15,28,22,14,11,3,0,95,20,47,34,20,18,9,6,152,155,342,223,208,234,81,58,1290,187,217,117,84,65,26,11,708,5,5,3,0,0,4,0,16,344,565,340,288,305,103,71,2018
SED50605,38,107,86,75,89,48,27,465,3,0,0,4,10,0,0,17,4,9,0,0,0,0,0,10,62,203,179,162,222,115,59,998,6,10,5,4,3,5,0,23,5,5,8,10,3,0,0,31,6,14,15,11,8,3,0,53,73,214,191,168,229,118,60,1054,48,58,43,38,37,24,15,252,0,0,3,6,3,0,0,12,122,271,235,208,265,146,75,1323
SED50702,65,116,77,58,68,27,29,433,6,5,6,7,5,0,0,21,0,3,0,3,3,0,0,12,134,233,181,133,181,74,57,987,3,18,13,15,17,6,0,66,17,34,17,11,18,0,0,99,21,50,28,23,38,4,0,164,153,280,208,155,214,74,63,1152,161,175,76,68,52,22,14,569,0,3,0,4,0,0,0,6,317,459,283,225,268,96,76,1726
SED50805,56,83,72,63,91,38,16,416,5,0,4,5,7,0,0,26,0,6,0,0,3,0,0,9,90,189,176,169,234,116,57,1027,3,3,3,3,8,0,0,24,5,7,9,3,3,4,0,29,8,18,11,5,10,4,0,47,99,203,187,168,244,121,57,1077,34,40,35,31,41,4,12,193,0,4,4,0,0,0,0,12,131,244,227,196,286,122,67,1277
SED50906,88,207,150,118,101,12,3,693,17,15,5,9,16,0,0,66,6,4,9,3,0,0,0,17,157,360,298,254,278,30,8,1381,4,12,10,7,0,0,0,43,19,29,13,17,9,0,0,88,26,44,26,23,18,0,0,133,181,400,323,272,292,30,7,1515,288,250,151,84,76,5,4,859,3,3,0,3,0,0,0,11,468,655,474,365,370,38,9,2380
SED51004,77,159,107,72,104,32,19,571,9,13,9,3,11,3,0,47,3,9,4,0,4,0,0,25,138,313,231,202,290,93,59,1328,7,15,16,9,12,4,0,63,10,21,16,9,7,0,0,55,13,36,31,15,20,8,0,118,156,346,264,212,309,99,61,1446,164,213,97,59,66,18,14,633,0,4,5,3,6,0,0,12,317,562,365,279,379,111,78,2095
