RA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
RA50,793060,853403,1646460,382573,226714,609282,115897,240813,356712,26698,29578,56277,30316,28052,58370,555475,525156,1080634,202085,292364,494458,5.5,5.3,5.4,70,61.5,65.6,66.2,58.2,62.1,49640,49261,98901,14263,27691,41957,130376,171708,302082,70838,91031,161872,177689,98906,276593,10339,14921,25255,10268,19223,29491,198292,133044,331336,805677,847473,1653153,135052,145219,280277,519563,545128,1064692,365706,395027,760734
RA51,89739,92678,182418,38282,20640,58924,10785,26332,37113,3876,3495,7367,2543,2304,4846,55486,52767,108251,28282,34440,62720,4.6,4.4,4.5,61.8,56.9,59.3,59,54.4,56.7,1749,2064,3809,918,2360,3266,7178,12489,19666,6095,9365,15469,26234,14668,40903,1387,2338,3726,1254,2225,3479,28879,19230,48113,85295,89035,174333,15272,16489,31761,57827,59562,117390,37257,40858,78117
RA52,75738,74478,150213,33180,18195,51378,8581,18993,27569,3099,2822,5927,2118,1573,3696,46981,41588,88568,20970,26208,47185,4.5,3.8,4.2,62,55.8,59,59.2,53.7,56.5,1486,1672,3162,681,1723,2406,5260,9429,14691,4379,6979,11357,20074,10203,30277,1202,1956,3159,984,1558,2547,22265,13723,35981,69466,69029,138490,12583,12857,25435,47304,45890,93193,30300,31773,62069
RA53,44861,37555,82420,21440,11126,32566,3510,7842,11354,2294,2060,4349,838,683,1520,28083,21710,49794,8208,10362,18569,3,3.1,3,62.6,57.8,60.4,60.7,56,58.6,868,1057,1924,386,1003,1394,3259,5641,8906,2786,3461,6250,12202,4545,16745,535,879,1411,527,709,1238,13262,6132,19392,35858,31686,67542,8428,8220,16650,21811,18602,40417,19688,18787,38478
RA54,62628,35250,97879,25306,9629,34937,3189,4066,7257,4136,2856,6990,936,677,1609,33565,17223,50791,10891,11603,22497,2.8,3.9,3.2,53.6,48.9,51.9,52.1,47,50.2,1339,1066,2401,511,824,1336,4443,4685,9132,3544,2858,6399,15712,3821,19535,696,720,1417,561,647,1210,16970,5190,22156,40566,27144,67713,9302,6974,16273,26576,17515,44090,21212,14754,35968
RA55,2854,392,3249,1339,139,1478,54,20,77,115,31,147,7,0,7,1525,190,1711,87,81,165,0.6,0.5,0.6,53.3,48.1,52.7,53,47.8,52.4,43,16,55,15,15,31,208,68,277,257,34,292,659,43,703,22,9,28,39,4,41,722,57,776,1324,213,1540,286,55,345,925,147,1067,678,129,801
