RA_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
RA50,4268,816,1548,165,6796,1566,207,501,86,2367,1238,367,1103,135,2834,890,352,1976,84,3308,4543,842,3378,251,9018,3554,1266,5892,286,10995,18479,2671,6511,442,28103,13172,4067,8173,849,26266,14594,7416,9021,833,31862,16380,10999,7948,979,36308,9982,11801,6245,687,28716,11449,13075,5283,668,30467,25092,32882,8960,1248,68177,19036,29005,3949,750,52740,15228,27384,2786,472,45874,9433,18761,1112,260,29565,24817,63279,3258,436,91789,14738,30735,6454,347,52271,2518,1600,1080,130,5328,210984,257513,85179,9110,562783
RA51,474,65,111,8,660,241,20,49,3,315,180,26,120,4,329,154,31,245,8,436,779,68,449,18,1315,549,111,805,21,1493,3227,261,871,39,4402,2056,368,1059,81,3567,2214,749,1105,65,4136,2370,1218,859,69,4510,1262,1269,574,48,3153,1562,1408,455,44,3467,3131,3408,736,69,7351,2143,3055,315,35,5541,1643,2585,182,27,4437,855,1640,78,14,2580,2013,3689,156,25,5877,2197,4440,832,33,7497,449,201,136,18,802,27480,24619,9141,626,61871
RA52,363,58,95,14,531,182,20,52,11,259,137,32,127,14,304,91,16,209,3,320,588,61,385,19,1053,415,98,597,21,1125,2474,222,680,34,3413,1536,354,747,68,2703,1624,576,748,69,3009,1803,911,596,62,3373,963,958,443,39,2403,1208,1076,369,38,2679,2489,2561,529,65,5640,1785,2164,234,42,4225,1362,1845,163,32,3402,760,1112,65,7,1949,1753,2750,151,24,4670,1706,2920,599,42,5263,419,161,169,24,770,21650,17891,6938,620,47101
RA53,115,27,45,3,192,47,11,12,7,81,23,9,54,5,94,19,6,93,6,129,145,41,135,10,319,99,38,161,9,311,515,68,165,22,776,361,119,201,19,705,407,204,218,23,849,458,301,191,25,980,252,323,178,9,760,393,386,157,18,945,979,1014,268,28,2292,807,939,85,19,1847,789,1007,97,10,1911,499,690,36,10,1237,1404,2447,107,12,3970,803,1455,260,17,2538,150,99,94,11,353,8279,9185,2557,263,20280
RA54,64,17,23,3,105,20,16,20,0,58,24,20,152,8,208,20,17,157,5,198,204,160,196,35,593,63,121,172,24,376,317,225,198,41,779,172,191,180,38,584,184,195,185,28,592,240,187,136,17,580,133,138,109,10,385,189,194,93,20,497,436,459,133,11,1041,389,401,58,7,853,362,420,42,13,830,239,237,14,4,503,522,682,34,5,1253,389,692,212,22,1315,118,96,112,18,340,4094,4465,2226,312,11089
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
