RA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
RA50,11837,1352,481,9,5,13686,3908,461,173,4,0,4540,3496,451,220,0,0,4173,6194,934,400,12,3,7549,9058,1353,663,15,3,11091,33286,4934,2228,11,19,40479,49705,5869,2298,20,26,57921,70852,5877,1952,17,50,78746,32632,2341,785,9,20,35782,26160,1980,704,7,8,28870,20639,1281,503,9,13,22444,15941,1430,530,13,14,17920,283702,28260,10942,122,169,323203
RA51,1370,43,8,8,6,1425,626,29,8,3,0,666,582,25,7,0,0,616,1072,40,8,5,0,1129,1629,67,6,5,4,1710,5322,181,18,9,4,5530,6581,119,11,15,8,6737,7190,100,10,5,8,7319,2993,36,3,5,5,3045,2197,37,3,3,8,2245,1333,25,0,3,6,1375,1777,55,4,5,7,1853,32674,753,90,69,61,33649
RA52,1114,29,4,4,10,1160,607,13,0,0,0,620,567,27,4,0,0,597,1232,49,9,4,5,1290,1507,58,6,10,8,1588,4204,154,7,18,7,4390,3968,92,6,18,11,4097,3829,103,0,7,9,3947,1286,23,0,0,3,1321,999,28,4,0,0,1031,623,20,0,3,3,657,1267,20,5,9,5,1307,21209,628,46,85,51,22021
RA53,426,13,5,6,7,458,161,11,0,4,0,181,152,13,0,4,5,179,302,29,0,12,0,348,350,28,7,12,0,403,913,73,8,13,3,1012,933,48,0,8,0,997,1145,63,5,25,3,1242,570,19,0,4,0,602,545,9,0,6,3,565,390,7,0,8,0,415,390,14,0,10,0,416,6284,337,42,114,29,6812
RA54,124,8,0,30,6,167,67,0,0,9,4,82,62,0,0,19,0,76,99,3,0,13,3,116,112,6,0,26,0,144,255,5,4,44,3,311,200,12,4,33,0,250,259,6,4,48,3,325,128,5,0,21,6,157,100,3,0,21,5,127,89,5,0,24,15,134,106,3,0,24,4,140,1606,48,8,303,53,2021
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
